Frame	X32	Y32	Flag32	X33	Y33	Flag33	X34	Y34	Flag34	X42	Y42	Flag42	X48	Y48	Flag48	X14	Y14	Flag14	X26	Y26	Flag26	X41	Y41	Flag41	X20	Y20	Flag20	X36	Y36	Flag36	X38	Y38	Flag38	X51	Y51	Flag51	X57	Y57	Flag57	X1	Y1	Flag1	X16	Y16	Flag16	X18	Y18	Flag18	X3	Y3	Flag3	X6	Y6	Flag6	X9	Y9	Flag9	X30	Y30	Flag30	X46	Y46	Flag46	X49	Y49	Flag49	X53	Y53	Flag53	X28	Y28	Flag28	X24	Y24	Flag24	X69	Y69	Flag69	X10	Y10	Flag10	X31	Y31	Flag31	X45	Y45	Flag45	X47	Y47	Flag47	X50	Y50	Flag50	X29	Y29	Flag29	X43	Y43	Flag43	X15	Y15	Flag15	X17	Y17	Flag17	X22	Y22	Flag22	X65	Y65	Flag65	X63	Y63	Flag63	X4	Y4	Flag4	X7	Y7	Flag7	X2	Y2	Flag2	X5	Y5	Flag5	X8	Y8	Flag8	X56	Y56	Flag56	X74	Y74	Flag74	X76	Y76	Flag76	X67	Y67	Flag67	X66	Y66	Flag66	X75	Y75	Flag75	X12	Y12	Flag12	X39	Y39	Flag39	X52	Y52	Flag52	X80	Y80	Flag80	X83	Y83	Flag83	X60	Y60	Flag60	X55	Y55	Flag55	X70	Y70	Flag70	X23	Y23	Flag23	X54	Y54	Flag54	X79	Y79	Flag79	X82	Y82	Flag82	X85	Y85	Flag85	X62	Y62	Flag62	X11	Y11	Flag11	X44	Y44	Flag44	X72	Y72	Flag72	X64	Y64	Flag64	X68	Y68	Flag68	X77	Y77	Flag77	X89	Y89	Flag89	X27	Y27	Flag27	X84	Y84	Flag84	X86	Y86	Flag86	X91	Y91	Flag91	X59	Y59	Flag59	X90	Y90	Flag90	X21	Y21	Flag21	X37	Y37	Flag37	X87	Y87	Flag87	X58	Y58	Flag58	X81	Y81	Flag81	X13	Y13	Flag13	X19	Y19	Flag19	X25	Y25	Flag25	X35	Y35	Flag35	X40	Y40	Flag40	X61	Y61	Flag61	X71	Y71	Flag71	X73	Y73	Flag73	X78	Y78	Flag78	X88	Y88	Flag88
1	377.3283	514.6010	0	356.5472	574.8019	0	194.7603	652.2672	0	386.6068	832.0437	0	250.9776	1005.4403	0	1214.6163	358.3837	0	1187.1625	599.1875	0	1304.4857	981.8714	0	1201.8560	352.0593	0	1401.2257	643.7655	0	166.6753	618.2526	0	50.7051	868.2180	0	934.0000	974.5000	0	539.9143	138.5143	0	184.0000	347.2273	0	432.7088	349.8626	0	684.0185	167.7222	0	818.8425	194.3904	0	808.0960	426.2475	0	846.5602	691.9819	0	744.7857	850.7941	0	676.0505	936.8483	0	580.7100	1017.4400	0	457.3637	389.7091	0	451.4114	394.7532	0	337.5000	5.0000	0	862.5078	686.8125	0	794.3182	798.3182	0	745.8174	852.9048	0	678.4266	930.7201	0	573.2353	1026.3235	0	473.2284	471.5124	0	787.9286	799.2714	0	5.1786	342.8214	0	171.4000	350.4500	0	440.1631	354.6053	0	23.7222	352.0000	0	262.3571	1014.9286	0	827.7500	218.8750	0	802.4596	432.4495	0	821.4750	225.0000	0	804.0755	446.4717	0	581.7857	453.5000	0	936.7222	979.9445	0	1437.8600	882.8200	0	362.5000	8.5000	0	1111.7941	3.1078	0	252.8448	1006.3793	0	1399.6666	251.6667	0	840.5000	505.0000	0	34.0000	871.5000	0	280.5000	1021.5000	0	1408.5000	244.1364	0	1432.8636	881.0455	0	537.8333	152.3889	0	870.1429	819.7143	0	1399.8334	239.5000	0	461.5000	357.0897	0	270.3637	1016.7727	0	268.2143	1024.5000	0	474.5000	361.8529	0	1122.3182	0.8636	0	475.0333	466.3000	0	275.8333	1017.9445	0	797.5000	796.5000	0	472.6250	469.6250	0	134.0000	833.0000	0	1401.6052	237.9211	0	712.2568	188.9054	0	840.7857	510.5000	0	1439.0714	883.7857	0	137.8750	823.2500	0	475.6177	469.9118	0	277.9074	1011.6852	0	706.5857	196.1857	0	1422.2142	253.9286	0	1405.7190	650.1095	0	1437.2812	887.8750	0	23.0000	348.5000	0	1416.1154	244.0769	0	25.0000	353.2143	0	1411.7500	254.8333	0	466.3750	367.3750	0	1214.9750	354.9000	0	1187.5896	599.4105	0	1404.5088	645.4649	0	1305.3060	979.5895	0	472.0000	468.5000	0	270.4231	1019.2180	0	1376.8334	92.2778	0	346.0238	1.1190	0
2	376.7396	514.0417	0	355.7381	573.7667	0	194.2671	652.6096	0	386.9722	832.0833	0	252.2742	1006.4516	0	1214.0834	357.7500	0	1187.9579	600.0422	0	1304.7142	981.3285	0	1202.3524	351.8443	0	1401.2434	645.6239	0	165.8263	618.0158	0	50.1933	867.2466	0	933.0079	974.9286	0	539.4429	138.4571	0	183.2895	346.5000	0	431.3854	350.1250	0	685.0000	165.7143	0	819.0732	194.3415	0	808.1400	425.5900	0	846.1296	691.8704	0	744.5738	849.9672	0	674.7150	936.5000	0	580.4900	1016.7900	0	457.1522	390.3087	0	452.9737	395.5263	0	336.5000	4.7692	0	860.9724	686.6732	0	794.2097	797.2097	0	746.6085	852.1512	0	678.4370	931.5721	0	574.4804	1025.6177	0	473.7800	470.3933	0	787.1316	799.4211	0	5.1333	342.1333	0	170.1190	352.2619	0	438.9681	356.0000	0	23.1667	352.1667	0	264.6429	1019.2143	0	827.3823	219.0882	0	802.3119	432.7772	0	822.0714	224.8571	0	805.1286	445.4524	0	582.0000	453.0000	0	937.6231	979.1616	0	1436.6200	882.6600	0	360.7500	8.5000	0	1110.0000	3.1800	0	252.2812	1007.3281	0	1399.1666	252.3889	0	841.7000	504.5000	0	33.2500	871.4500	0	280.1071	1022.6429	0	1407.1364	244.5909	0	1432.4166	883.1667	0	537.0000	151.5000	0	869.8846	819.8846	0	1400.2646	240.4412	0	463.0000	356.8809	0	270.0714	1017.2143	0	268.5000	1024.0000	0	474.6579	361.6579	0	1121.7222	1.2222	0	474.7000	467.7400	0	275.5000	1019.0000	0	797.5000	795.5000	0	473.3750	469.6250	0	133.6818	832.3182	0	1400.8200	236.9400	0	711.5000	189.5000	0	840.5000	510.2143	0	1431.5000	885.0000	0	137.6250	823.3750	0	476.2619	469.8333	0	279.3537	1009.8171	0	705.6282	196.6282	0	1414.5000	247.2143	0	1406.0648	649.8241	0	1437.6666	889.3750	0	23.3750	349.3750	0	1415.7500	244.6500	0	23.3667	352.9667	0	1412.7858	255.5000	0	466.3182	367.6818	0	1215.3158	354.9474	0	1186.6666	598.4697	0	1403.5364	644.7091	0	1305.6096	980.7328	0	472.5000	469.7000	0	271.0000	1019.0000	0	1377.1000	92.9000	0	345.9667	1.0333	0
3	376.6212	513.2172	0	357.2619	572.8143	0	193.1892	653.0135	0	387.2290	831.4252	0	252.4180	1006.4672	0	1213.0294	357.9314	0	1189.1296	599.0432	0	1305.3695	981.3696	0	1201.8091	350.8818	0	1401.8914	647.3522	0	165.6579	616.6473	0	50.5286	867.2429	0	932.0968	974.6129	0	539.3732	138.4578	0	182.6429	346.6905	0	430.9546	351.0353	0	684.3125	164.7812	0	818.5507	194.2089	0	807.5707	424.7525	0	844.0595	690.6071	0	743.9103	849.5598	0	675.1374	935.4561	0	580.1238	1017.5891	0	457.2857	390.0357	0	452.4412	397.4706	0	336.2407	4.9074	0	861.5666	685.8926	0	793.3438	796.8750	0	746.9603	852.5873	0	679.0948	930.0948	0	574.5467	1025.9767	0	472.5000	469.0000	0	786.5232	799.9186	0	7.0000	342.5000	0	170.1538	352.8462	0	439.2640	356.6573	0	24.0000	351.2143	0	261.3750	1013.6250	0	827.0926	219.4259	0	800.9811	433.1981	0	822.5000	225.2561	0	804.1000	444.6818	0	582.2143	451.6429	0	937.3307	978.7923	0	1435.9073	880.9445	0	359.9000	9.3000	0	1110.1809	3.1383	0	252.5000	1006.9308	0	1399.2646	252.2647	0	841.8846	503.1154	0	32.4000	871.8000	0	279.6786	1022.6071	0	1407.0000	245.3000	0	1431.2693	883.8846	0	536.0385	150.6538	0	870.9000	820.1000	0	1400.6111	240.3889	0	465.7308	358.5000	0	269.1667	1008.4394	0	268.9706	1023.8530	0	474.0294	359.8529	0	1122.5370	1.5741	0	475.7778	468.3889	0	274.5000	1019.8530	0	797.0455	794.8637	0	473.7500	470.1667	0	133.0000	831.3750	0	1399.7174	235.5870	0	711.8666	188.6000	0	841.5000	508.3000	0	1430.9445	884.9445	0	137.3182	822.6818	0	475.8667	470.8667	0	279.9091	1008.5682	0	704.4722	196.5833	0	1415.8000	248.2000	0	1407.0769	649.2885	0	1437.1666	888.4048	0	22.5000	348.7857	0	1413.5834	243.8333	0	24.5000	353.0000	0	1413.5714	255.3571	0	466.7353	366.7941	0	1215.2317	353.9390	0	1186.4412	597.5294	0	1404.5973	644.2610	0	1305.5428	982.3571	0	471.5000	469.5000	0	271.8529	1020.6765	0	1375.5526	93.1316	0	345.2647	1.0882	0
4	376.9902	512.6470	0	357.2788	572.5096	0	193.5000	653.5000	0	386.0133	830.8009	0	253.0000	1005.5000	0	1212.2709	357.7917	0	1190.2307	598.2180	0	1304.4539	982.1616	0	1200.7833	351.2333	0	1400.9869	648.2565	0	166.3105	617.8684	0	50.7857	867.6286	0	930.3644	975.0763	0	539.8506	139.6818	0	182.9737	347.8684	0	432.2426	350.0941	0	686.2143	167.5714	0	818.9117	194.3824	0	807.2809	425.0428	0	844.6548	690.6667	0	743.9628	849.8884	0	676.1556	935.6000	0	579.6456	1018.2087	0	455.8750	389.6083	0	450.4105	398.4105	0	336.5000	4.2083	0	862.5231	684.9769	0	791.8666	797.1334	0	747.9080	852.0360	0	678.8826	928.9521	0	574.1415	1026.6887	0	473.7319	469.3841	0	787.4318	799.5455	0	8.0000	343.5000	0	169.2407	351.9074	0	439.3969	357.3041	0	24.2222	350.3889	0	261.6739	1012.5000	0	826.7593	219.0926	0	800.3846	432.7500	0	823.0849	224.8208	0	803.6389	444.3333	0	581.8333	452.3889	0	936.4524	979.1667	0	1437.1552	879.3966	0	359.5000	7.7857	0	1110.6818	2.7727	0	251.8443	1006.5000	0	1398.6740	252.7609	0	842.0000	503.0000	0	33.4091	870.5909	0	280.4259	1023.0926	0	1407.0000	245.5000	0	1430.9667	883.6334	0	535.7000	150.5000	0	872.3750	820.6250	0	1401.3846	241.5000	0	464.5000	357.7424	0	269.5000	1007.6363	0	268.5000	1025.0000	0	474.7105	359.5000	0	1123.0000	1.7941	0	476.0385	468.3462	0	275.0000	1019.7222	0	796.6818	795.3182	0	473.7222	469.8333	0	132.6250	829.3750	0	1399.2600	234.4600	0	713.2500	188.4444	0	842.0455	509.1363	0	1438.2500	882.8000	0	138.0000	822.7857	0	475.9118	472.3529	0	279.6628	1010.0582	0	704.8871	194.8548	0	1417.3572	248.2143	0	1407.2596	648.1635	0	1436.7500	887.1250	0	22.5000	348.7857	0	1414.1000	244.7000	0	24.9667	351.6333	0	1413.1666	254.9167	0	467.4000	368.4500	0	1214.3223	355.3444	0	1186.3939	597.7576	0	1403.3596	644.3070	0	1306.3400	981.0733	0	471.5000	468.6667	0	271.5741	1020.9074	0	1375.4090	93.4091	0	345.8333	0.8333	0
5	375.7574	512.5693	0	356.8429	572.4905	0	193.7794	653.5147	0	384.9912	830.9123	0	252.0455	1004.4243	0	1210.9166	358.2500	0	1189.8467	598.5533	0	1303.5000	982.2015	0	1199.4656	350.9655	0	1400.2500	648.1121	0	167.0269	619.4462	0	51.5000	866.9329	0	928.6746	975.4841	0	539.6039	140.9416	0	182.0000	349.0000	0	431.8333	350.5882	0	688.3148	168.9074	0	818.5161	194.1774	0	807.1733	425.2822	0	844.9938	689.4383	0	744.5407	849.0284	0	676.0056	935.0618	0	580.1389	1018.1389	0	455.6600	389.0760	0	450.0352	399.4437	0	336.4091	4.5909	0	862.9418	683.2597	0	791.0000	798.0000	0	747.5000	851.3819	0	679.7567	928.5974	0	574.4151	1026.1698	0	474.4079	468.6184	0	789.5909	801.9773	0	7.6111	343.7963	0	169.5833	352.5833	0	440.7584	355.7697	0	23.8529	350.5000	0	261.5454	1012.5682	0	825.9400	219.4200	0	801.1262	433.7430	0	823.1000	225.1000	0	802.9815	445.2685	0	581.8333	452.6111	0	934.5000	979.5000	0	1437.6740	878.5000	0	358.6667	8.3333	0	1110.3695	2.6522	0	251.2460	1005.3889	0	1397.1333	252.1333	0	841.9000	503.1000	0	33.1818	870.6818	0	280.4200	1024.3000	0	1406.3462	245.7308	0	1431.4500	885.4000	0	535.8637	150.0455	0	871.5000	820.7000	0	1402.3636	241.6364	0	463.9074	357.4259	0	269.4600	1008.1000	0	270.1333	1026.1333	0	475.9118	359.6177	0	1123.1957	1.3696	0	476.5000	468.5000	0	275.7778	1019.6667	0	795.5000	795.5000	0	473.0000	469.7857	0	135.6250	829.3750	0	1400.1800	234.7400	0	714.6389	188.1111	0	842.2000	507.8000	0	1438.7142	883.7143	0	139.0000	822.5000	0	475.6282	472.3718	0	279.8793	1009.3104	0	704.5000	194.6739	0	1417.1666	248.1667	0	1407.3750	649.0000	0	1436.4333	885.7000	0	23.8333	347.6111	0	1414.1250	245.1250	0	24.5000	351.5000	0	1413.5000	255.0000	0	467.0000	367.7000	0	1213.3298	354.4787	0	1187.5151	598.1363	0	1403.5085	644.2863	0	1305.9736	981.6184	0	472.5000	469.8529	0	271.1667	1022.4394	0	1375.5910	91.5909	0	345.5000	0.8750	0
6	375.4806	513.0534	0	355.5288	571.7500	0	194.3906	652.8594	0	385.5273	830.9181	0	251.3889	1004.1826	0	1210.8695	359.3913	0	1189.7433	597.6757	0	1303.6471	982.4559	0	1200.0000	350.3621	0	1400.9706	647.9706	0	167.9149	621.3192	0	50.1493	866.9286	0	929.4697	976.5606	0	539.9533	142.1667	0	181.8684	350.2895	0	431.6200	349.9000	0	687.9516	169.9194	0	817.4730	195.2432	0	806.6340	425.4278	0	843.6685	689.2640	0	744.8361	847.3740	0	675.5000	934.3571	0	581.4245	1018.1132	0	456.4457	388.0814	0	449.8971	399.5000	0	335.7917	5.5000	0	862.9963	682.0259	0	792.1562	797.1250	0	746.7713	850.5310	0	680.6044	928.4913	0	576.2589	1024.5892	0	474.4344	469.0410	0	791.3000	801.5750	0	6.5000	343.0000	0	168.8667	353.1333	0	440.9575	355.0745	0	23.6579	351.3421	0	261.0833	1012.3750	0	826.1190	219.2619	0	801.7762	434.6048	0	822.9340	226.0472	0	803.0872	444.8762	0	581.5000	453.2143	0	933.5678	978.9746	0	1437.5741	877.9074	0	358.0000	9.5000	0	1110.3909	3.1364	0	250.9762	1005.4365	0	1397.0555	252.9074	0	844.1154	503.8846	0	33.5000	871.5000	0	280.7917	1024.7916	0	1406.5667	245.1000	0	1432.4090	884.5909	0	536.3182	149.6818	0	868.9667	819.6334	0	1402.4500	241.2500	0	463.8637	356.8030	0	271.1842	1012.5526	0	270.7500	1026.1875	0	477.1191	359.7381	0	1123.3182	1.3182	0	477.0472	467.5566	0	276.7917	1020.0000	0	794.6667	796.3333	0	472.6579	469.6579	0	136.0294	830.1470	0	1401.0000	235.5000	0	714.9865	187.5000	0	841.5000	507.2143	0	1438.6250	883.0000	0	140.3421	821.6579	0	475.1562	472.9688	0	279.7258	1008.7258	0	706.5000	194.5000	0	1416.6111	247.8333	0	1407.5194	649.6068	0	1436.1000	884.9000	0	24.7857	348.0000	0	1414.9828	245.4310	0	24.7917	352.5000	0	1413.5910	254.5000	0	466.7000	369.5000	0	1213.9000	354.1000	0	1187.6160	598.5145	0	1403.7720	644.2807	0	1306.3000	982.1934	0	472.9706	469.1471	0	271.6290	1023.5968	0	1376.3096	90.4524	0	347.0000	0.9000	0
7	374.6400	512.5900	0	355.0524	572.4810	0	193.9667	652.6166	0	385.2281	830.2456	0	250.4048	1004.2619	0	1211.0294	359.9314	0	1189.0810	597.7027	0	1303.6571	982.5714	0	1200.5000	351.0000	0	1400.9052	647.2241	0	167.4200	623.7000	0	50.0526	865.8289	0	930.9348	977.1377	0	539.8158	141.9605	0	183.6176	349.9118	0	431.4000	350.8400	0	688.2857	169.0000	0	817.1857	194.6000	0	806.0784	426.5686	0	843.5000	689.5000	0	743.3067	846.8865	0	675.4457	934.6304	0	581.5980	1018.0393	0	457.2236	388.5407	0	450.0224	400.2015	0	336.2857	6.0000	0	862.4398	680.7406	0	793.3530	797.0294	0	747.4329	850.7164	0	680.7250	929.0500	0	577.5849	1024.8302	0	474.9348	470.5290	0	791.9103	803.5000	0	7.0000	343.5000	0	169.0185	353.3889	0	441.0745	354.7553	0	25.2000	352.4000	0	262.0000	1012.5000	0	825.6539	219.1154	0	801.1600	434.0000	0	823.3837	225.3837	0	801.3716	445.3073	0	580.5000	453.5000	0	934.0088	979.2895	0	1436.9517	878.2097	0	358.5000	10.5000	0	1112.1800	3.0000	0	260.6250	1016.1667	0	1398.5000	253.8529	0	845.2500	504.1667	0	33.8809	871.7381	0	280.3750	1024.8334	0	1407.9117	245.9118	0	1434.8846	884.4231	0	536.9286	149.5000	0	867.5000	818.0000	0	1402.6154	241.5000	0	465.5000	358.0000	0	272.0714	1012.5476	0	271.0000	1026.2059	0	477.5714	360.3571	0	1122.7894	2.0000	0	477.7338	466.1363	0	276.5000	1020.3637	0	795.3000	796.5000	0	473.0555	468.9074	0	136.1000	830.7800	0	1402.9400	236.4200	0	715.5571	186.6143	0	840.6250	506.3750	0	1438.7000	882.9000	0	140.3947	822.0789	0	474.2647	472.8529	0	278.7281	1009.2193	0	708.0000	195.0000	0	1414.3750	247.3750	0	1407.5000	650.6226	0	1437.0000	885.0000	0	25.3462	348.0385	0	1416.2500	245.8929	0	25.6739	352.5000	0	1414.8334	253.5833	0	466.0000	369.5000	0	1214.4111	353.7222	0	1188.4860	599.3873	0	1402.8982	643.6770	0	1305.5411	982.1575	0	471.3571	468.8333	0	272.4032	1022.9839	0	1377.3000	89.6333	0	346.4000	1.2500	0
8	375.1737	512.6368	0	355.1132	573.2830	0	193.9848	653.4394	0	385.5636	830.9363	0	249.6613	1004.2742	0	1210.2551	359.5816	0	1189.3750	598.7656	0	1304.4166	984.2083	0	1199.8704	353.0000	0	1401.8043	647.2565	0	165.6748	625.2767	0	50.6974	867.5000	0	931.3383	976.4412	0	541.0000	141.5000	0	184.9706	349.1471	0	430.8981	351.7718	0	687.7000	169.2600	0	816.5000	194.9000	0	807.5000	426.6053	0	842.5000	691.5000	0	742.7301	846.7301	0	675.9334	934.6667	0	581.6200	1018.3800	0	457.6750	389.3417	0	450.7273	400.8637	0	337.6035	7.0172	0	862.3372	681.0814	0	792.5000	797.5000	0	747.1241	850.5677	0	680.9370	929.8950	0	577.5467	1024.9767	0	474.7800	470.3933	0	792.0897	803.5000	0	7.8929	343.6786	0	169.0000	352.5000	0	440.7083	355.6667	0	24.6000	353.8000	0	261.9419	1012.3372	0	825.3637	219.5000	0	800.9476	434.5190	0	822.5208	224.1250	0	800.9074	445.4815	0	579.6818	452.6818	0	933.4167	978.6334	0	1437.5000	878.5000	0	357.7000	11.9000	0	1112.7554	2.7979	0	261.0000	1018.0000	0	1399.8125	254.3750	0	846.1667	505.2500	0	35.4091	871.5909	0	279.5000	1026.0000	0	1407.8334	245.2333	0	1436.1666	885.1667	0	537.7105	149.5000	0	867.7857	818.0000	0	1403.6333	242.0333	0	465.4268	358.2805	0	272.9706	1013.6177	0	270.0000	1026.2059	0	478.3889	359.1667	0	1123.0000	2.2727	0	477.5461	466.3769	0	275.2083	1020.0000	0	794.5000	796.7857	0	472.9138	468.9483	0	135.5000	830.0000	0	1404.0000	235.5000	0	716.5000	186.6714	0	841.3182	506.3182	0	1438.5588	881.8530	0	139.9545	822.2727	0	473.4474	472.5790	0	278.5000	1009.6500	0	709.5000	195.0000	0	1414.5000	246.7500	0	1407.8334	650.6296	0	1435.0385	885.3461	0	26.9545	347.8637	0	1416.2407	245.6481	0	23.5909	352.4091	0	1415.5000	254.7000	0	465.1875	368.6250	0	1214.4800	354.9600	0	1188.0443	598.8671	0	1403.0226	644.1757	0	1306.0200	982.9400	0	470.5000	468.7917	0	273.3182	1022.5303	0	1378.0385	91.6539	0	346.5000	1.2333	0
9	374.7842	511.2790	0	354.6923	573.2500	0	193.5152	654.8637	0	386.1727	831.4091	0	250.2656	1004.4844	0	1210.0660	359.0472	0	1188.8284	599.4403	0	1305.5555	983.5417	0	1200.2413	353.7758	0	1402.9872	647.6795	0	163.9712	626.8461	0	49.7051	869.2180	0	930.3195	975.9861	0	540.5366	141.0366	0	184.9000	348.9000	0	431.2745	351.5294	0	687.7174	169.5870	0	816.9430	195.4747	0	808.3776	427.2755	0	841.8140	691.3256	0	742.4652	846.6826	0	676.9944	934.9382	0	581.7789	1018.3558	0	457.3862	388.7276	0	451.1721	400.2541	0	337.8333	9.3750	0	863.0906	681.6968	0	792.1774	797.4032	0	747.3657	849.6567	0	682.2167	930.2667	0	576.4905	1024.1698	0	475.1667	469.8809	0	792.5000	804.0000	0	7.5000	343.3286	0	170.5800	351.7000	0	441.3854	355.3125	0	24.0000	354.5000	0	261.0757	1013.0455	0	826.7400	218.7000	0	801.4314	434.4216	0	821.2600	223.7400	0	800.8273	445.4091	0	580.9615	453.6538	0	933.3525	978.5984	0	1437.3620	877.3966	0	356.7000	10.9000	0	1112.4423	3.0000	0	262.4131	1016.7174	0	1401.2620	253.8810	0	846.8846	505.1154	0	35.9737	872.1316	0	279.2895	1025.3948	0	1406.7500	243.8750	0	1435.5526	885.2895	0	538.0000	149.2143	0	868.7500	818.5000	0	1403.3000	241.6200	0	463.8333	358.5555	0	273.8000	1014.6000	0	270.5000	1025.5000	0	478.8846	359.1154	0	1121.5731	2.0854	0	478.4041	466.4589	0	274.8478	1019.8913	0	795.0833	795.2500	0	473.1538	469.6154	0	134.9000	831.5400	0	1402.9828	234.2586	0	717.4375	186.3438	0	841.1667	506.6111	0	1437.9615	881.4615	0	140.3000	822.0000	0	474.1154	472.7500	0	279.5678	1009.6187	0	709.5000	194.7000	0	1416.3000	248.0000	0	1407.2890	649.1605	0	1435.3823	885.9117	0	28.5000	349.0000	0	1417.8810	244.6429	0	22.3636	352.5000	0	1415.6250	255.6250	0	465.2273	367.6818	0	1214.9000	356.1000	0	1188.2028	599.3649	0	1402.8545	644.5546	0	1305.5986	983.5986	0	470.7727	469.3182	0	273.5000	1022.0000	0	1377.3000	92.3000	0	346.9000	0.7000	0
10	374.8158	511.2790	0	354.7525	573.5707	0	193.4394	655.6515	0	386.0357	831.0000	0	250.4683	1004.6905	0	1209.9340	358.9528	0	1189.8188	599.5435	0	1306.7329	982.6096	0	1200.3966	355.0862	0	1403.1293	648.3276	0	163.6372	627.5294	0	48.6446	869.0422	0	928.4028	977.0833	0	541.1582	141.9051	0	185.7143	348.8571	0	432.1078	351.1569	0	688.7500	169.2500	0	816.4883	197.1395	0	808.5618	427.4897	0	840.4091	690.8863	0	742.2479	846.7437	0	677.4457	934.5870	0	581.0872	1018.1605	0	457.5397	390.8571	0	450.0000	400.5000	0	338.0000	9.5000	0	863.9688	681.2969	0	792.0000	798.7143	0	747.6912	850.6103	0	682.8115	931.2951	0	575.5833	1024.1759	0	474.3621	470.0000	0	794.0000	805.0000	0	7.6579	343.7105	0	171.4091	351.5909	0	441.4570	356.3279	0	24.3800	354.7800	0	260.4111	1014.2111	0	826.5000	218.3378	0	801.2500	434.5200	0	821.8585	222.8585	0	799.7500	445.2315	0	580.6818	455.3182	0	930.9912	978.9211	0	1435.0000	876.2857	0	355.9000	11.7000	0	1112.3948	2.2368	0	262.5000	1015.5000	0	1400.6364	253.9545	0	847.8846	504.8846	0	35.3889	870.9445	0	279.6628	1024.0581	0	1406.5000	243.6429	0	1434.6428	884.6905	0	540.0385	149.6538	0	869.4000	819.3000	0	1402.4231	240.5769	0	463.3823	358.7059	0	274.7500	1014.5000	0	271.5465	1024.1976	0	478.5000	358.5000	0	1122.0000	1.6875	0	478.9521	467.3493	0	275.2273	1020.4545	0	795.9000	795.1000	0	473.8448	470.7758	0	136.7174	831.3696	0	1402.5000	234.3400	0	718.1334	186.1333	0	843.0000	507.0000	0	1438.3636	882.6818	0	140.3235	821.6765	0	474.6216	472.6486	0	280.0254	1009.5678	0	708.8637	193.5909	0	1416.3889	249.1667	0	1406.9722	649.2871	0	1435.1364	886.4091	0	27.5000	349.0000	0	1418.4375	243.2500	0	23.6429	351.6905	0	1417.0000	255.5000	0	465.8333	368.3889	0	1214.9706	358.0686	0	1187.2368	599.1184	0	1402.0690	643.3017	0	1305.0000	983.1842	0	471.6333	468.9667	0	273.7593	1021.1667	0	1376.8846	91.8846	0	347.2647	1.0882	0
