Frame	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X10	Y10	Flag10	X13	Y13	Flag13	X14	Y14	Flag14	X17	Y17	Flag17	X18	Y18	Flag18	X2	Y2	Flag2	X9	Y9	Flag9	X12	Y12	Flag12	X16	Y16	Flag16	X20	Y20	Flag20	X21	Y21	Flag21	X1	Y1	Flag1	X8	Y8	Flag8	X11	Y11	Flag11	X15	Y15	Flag15	X19	Y19	Flag19
1	21.6436	169.7730	0	102.3959	179.7723	0	336.0233	221.8625	0	277.3153	285.4132	0	874.8027	417.4827	0	393.1745	510.6075	0	641.8720	592.6034	0	512.5443	686.0558	0	429.3429	722.2148	0	605.3831	839.9592	0	1138.3263	455.3731	0	1246.6549	532.4646	0	1286.1135	715.2356	0	709.1947	924.1399	0	1270.4231	0.6538	0	1266.0000	0.5000	0	1266.5000	0.5000	0	1135.8058	452.2220	0	1241.8275	534.2015	0	1285.2955	717.0781	0	698.6808	928.6884	0
2	21.9465	169.3984	0	102.4019	179.3860	0	335.2505	221.1370	0	277.3757	285.2626	0	875.6011	417.4140	0	393.4213	510.1335	0	642.0886	592.1909	0	512.9213	686.2501	0	430.0038	721.6971	0	605.1046	840.0918	0	1137.4762	455.4836	0	1247.0411	532.5000	0	1285.3729	715.2904	0	708.9062	924.3254	0	1268.9231	0.9231	0	1265.5000	0.5000	0	1266.5000	0.5000	0	1135.7089	452.0774	0	1241.5168	534.6453	0	1285.6590	717.4601	0	698.4514	927.8536	0
3	22.3264	168.4810	0	102.7862	179.2364	0	335.6220	220.4590	0	277.5136	285.0161	0	875.7732	417.1579	0	393.0082	509.6520	0	642.1808	591.6147	0	512.6702	686.2244	0	430.4575	720.7354	0	604.5842	840.4986	0	1137.1221	455.5946	0	1247.6070	532.7747	0	1285.4427	716.0797	0	709.1439	924.3907	0	1270.0714	0.8333	0	1267.5000	0.5000	0	1268.5000	0.5000	0	1135.0111	452.1987	0	1241.2441	533.5292	0	1285.0594	717.2817	0	699.0375	928.1868	0
4	21.6196	167.7372	0	102.3119	179.1590	0	336.1329	220.7132	0	277.4706	284.7565	0	875.0305	416.0435	0	393.7769	509.2996	0	642.2169	591.1613	0	512.4227	685.7731	0	430.7471	720.3887	0	604.8746	840.2851	0	1136.9613	455.3379	0	1246.8247	534.1490	0	1285.7009	716.0900	0	709.8774	924.2521	0	1269.6852	0.8704	0	1266.6936	0.8871	0	1268.5000	0.5000	0	1135.1876	452.6461	0	1241.0872	532.8960	0	1284.9945	717.0350	0	698.8423	927.0020	0
5	21.6442	167.1743	0	102.3656	179.4466	0	336.4044	221.2348	0	277.5619	284.5680	0	875.0136	415.7812	0	395.2830	508.4050	0	643.4161	591.2418	0	513.1205	685.2095	0	431.7060	720.1166	0	605.4384	840.4346	0	1136.2048	455.3439	0	1245.3489	534.7635	0	1285.9060	716.8488	0	710.1274	923.5660	0	1269.1800	0.8600	0	1267.3148	0.8704	0	1269.5526	0.8158	0	1136.2936	453.1164	0	1242.6396	532.7031	0	1285.4076	716.8053	0	699.7198	925.8326	0
6	21.4455	167.9073	0	102.0268	180.3775	0	336.1551	221.2162	0	277.4572	284.9632	0	875.2398	416.3459	0	393.9986	508.4345	0	643.5540	591.8478	0	513.9758	685.2660	0	431.5452	720.5113	0	604.1100	841.0585	0	1136.9844	454.5387	0	1245.9164	534.5124	0	1286.1786	717.3618	0	710.6949	922.8323	0	1270.4762	1.2143	0	1267.5000	0.8500	0	1268.1207	0.9138	0	1135.9573	453.7260	0	1242.3992	532.6277	0	1284.9042	717.0012	0	700.0886	926.0900	0
7	21.2806	167.5406	0	101.4413	180.9233	0	336.5462	220.8721	0	277.3687	285.0967	0	875.6805	416.5747	0	393.7592	508.5261	0	644.1723	591.9225	0	514.4295	685.1726	0	431.5986	721.3534	0	604.3774	840.9667	0	1136.6228	454.0987	0	1245.9240	534.3746	0	1284.6401	717.5674	0	710.6877	922.4371	0	1269.8600	1.7400	0	1267.7609	1.2174	0	1268.4539	1.5615	0	1136.0432	454.0800	0	1241.9493	533.4027	0	1285.5657	717.2275	0	701.5746	925.8721	0
8	20.6852	167.2735	0	100.0290	180.8795	0	337.6010	220.7555	0	277.3956	285.1811	0	875.5434	416.5796	0	393.6892	509.1684	0	643.8068	592.5536	0	514.0210	685.3643	0	431.4647	722.5932	0	604.9360	841.9123	0	1137.5963	454.5283	0	1246.6251	534.5156	0	1285.4502	717.8730	0	711.8420	922.6990	0	1270.5461	1.5462	0	1267.7632	1.6974	0	1267.3710	1.5000	0	1136.2416	455.2999	0	1242.3073	533.9658	0	1286.2351	717.5018	0	701.8391	926.3771	0
9	20.4544	167.6374	0	99.8620	180.4563	0	337.4774	221.2617	0	277.4638	285.0602	0	876.1270	416.8227	0	392.8790	509.5189	0	643.4137	592.9312	0	514.0652	685.1864	0	431.9122	722.9232	0	605.0921	841.9974	0	1138.0688	454.6437	0	1246.9159	535.2109	0	1285.4702	717.8936	0	712.6739	923.4692	0	1270.1666	1.2708	0	1266.5952	1.7738	0	1267.2273	1.4636	0	1136.8475	455.3293	0	1242.7892	534.5763	0	1287.1377	717.8935	0	702.3392	925.8629	0
10	20.6829	167.4513	0	100.4900	179.7040	0	337.8344	219.8729	0	277.5056	284.8712	0	876.8982	416.8014	0	392.4850	509.8159	0	642.6429	592.6765	0	514.1616	685.2360	0	431.4295	722.0555	0	605.5254	841.4868	0	1137.7428	454.6198	0	1246.9912	535.4339	0	1285.0099	718.5694	0	712.5233	924.2447	0	1270.2937	1.5317	0	1265.2474	2.0051	0	1267.4592	1.2959	0	1137.2241	455.6140	0	1242.9248	534.6261	0	1286.9082	718.0886	0	703.5658	925.2438	0
11	20.6939	166.7645	0	100.5068	179.1772	0	337.4039	218.6484	0	277.5331	284.8770	0	877.2677	416.7921	0	391.7916	509.9760	0	642.4605	592.1664	0	513.3024	685.4617	0	429.9082	721.5784	0	604.9569	841.9083	0	1138.0010	454.2355	0	1247.5995	535.3588	0	1285.3270	719.6074	0	712.4207	924.9901	0	1270.2709	1.2292	0	1264.6560	2.1147	0	1267.3298	1.2447	0	1137.3040	455.8460	0	1242.8163	534.5032	0	1286.5120	717.7746	0	702.7254	924.7446	0
