Frame	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X9	Y9	Flag9	X8	Y8	Flag8	X6	Y6	Flag6	X16	Y16	Flag16	X17	Y17	Flag17	X7	Y7	Flag7	X4	Y4	Flag4	X3	Y3	Flag3	X5	Y5	Flag5	X18	Y18	Flag18	X2	Y2	Flag2	X14	Y14	Flag14	X15	Y15	Flag15	X1	Y1	Flag1
1	1309.5000	196.5000	0	849.0000	93.0000	0	943.5000	919.5000	0	723.0000	960.0000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	655.5000	897.0000	0	1425.0000	711.0000	0	772.5000	559.5000	0	583.5000	982.5000	0	463.5000	928.5000	0	1281.0000	927.0000	0	661.5000	1027.5000	0	1375.5006	1042.5443	0	385.5000	312.0000	0	1334.8145	1061.6061	0	85.0201	960.0927	0	1134.0000	1062.0000	0
2	1309.5000	195.0000	0	849.0000	93.0000	0	943.5000	918.0000	0	723.0000	960.0000	0	1216.5000	993.0000	0	378.0000	1000.5000	0	655.5000	895.5000	0	1425.0000	711.0000	0	769.5000	561.0000	0	583.5000	982.5000	0	463.5000	930.0000	0	1279.5000	925.5000	0	664.5000	1027.5000	0	1378.2725	1042.4950	0	385.5000	313.5000	0	1332.4126	1062.5424	0	85.8844	963.8731	0	1134.0000	1063.5000	0
3	1309.5000	195.0000	0	847.5000	93.0000	0	943.5000	918.0000	0	724.5000	960.0000	0	1215.0000	994.5000	0	378.0000	1002.0000	0	657.0000	895.5000	0	1423.5000	711.0000	0	768.0000	562.5000	0	583.5000	984.0000	0	463.5000	930.0000	0	1278.0000	924.0000	0	664.5000	1026.0000	0	1375.7573	1042.3687	0	384.0000	313.5000	0	1335.2713	1060.7172	0	85.7154	963.1151	0	1134.0000	1060.5000	0
4	1309.5000	195.0000	0	847.5000	91.5000	0	945.0000	918.0000	0	723.0000	960.0000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	658.5000	895.5000	0	1422.0000	711.0000	0	768.0000	562.5000	0	583.5000	982.5000	0	462.0000	930.0000	0	1278.0000	922.5000	0	664.5000	1027.5000	0	1377.2469	1042.1173	0	384.0000	313.5000	0	1334.9383	1060.9628	0	91.3550	972.5883	0	1132.5000	1062.0000	0
5	1308.0000	196.5000	0	847.5000	91.5000	0	943.5000	919.5000	0	723.0000	961.5000	0	1215.0000	994.5000	0	378.0000	1002.0000	0	655.5000	897.0000	0	1420.5000	712.5000	0	768.0000	562.5000	0	582.0000	984.0000	0	460.5000	931.5000	0	1279.5000	924.0000	0	664.5000	1026.0000	0	1376.0031	1042.3232	0	382.5000	315.0000	0	1334.2454	1061.0040	0	95.2081	974.3375	0	1132.5000	1062.0000	0
6	1308.0000	198.0000	0	847.5000	91.5000	0	942.0000	919.5000	0	724.5000	961.5000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	655.5000	898.5000	0	1419.0000	714.0000	0	766.5000	564.0000	0	583.5000	984.0000	0	460.5000	933.0000	0	1279.5000	924.0000	0	664.5000	1026.0000	0	1374.7688	1042.6894	0	382.5000	315.0000	0	1335.9243	1060.8428	0	95.5649	974.3851	0	1132.5000	1062.0000	0
7	1308.0000	198.0000	0	847.5000	93.0000	0	940.5000	919.5000	0	724.5000	963.0000	0	1216.5000	993.0000	0	378.0000	1002.0000	0	655.5000	900.0000	0	1417.5000	715.5000	0	766.5000	564.0000	0	583.5000	982.5000	0	460.5000	933.0000	0	1279.5000	924.0000	0	664.5000	1027.5000	0	1372.8889	1043.2084	0	381.0000	315.0000	0	1335.3825	1061.3919	0	95.7853	974.9331	0	1131.0000	1063.5000	0
8	1308.0000	198.0000	0	847.5000	94.5000	0	940.5000	919.5000	0	724.5000	963.0000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	654.0000	901.5000	0	1416.0000	715.5000	0	766.5000	564.0000	0	583.5000	982.5000	0	459.0000	933.0000	0	1278.0000	925.5000	0	664.5000	1027.5000	0	1374.1638	1042.6502	0	381.0000	315.0000	0	1334.5081	1061.5588	0	94.8363	974.4132	0	1132.5000	1063.5000	0
9	1308.0000	199.5000	0	847.5000	94.5000	0	942.0000	919.5000	0	724.5000	964.5000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	654.0000	901.5000	0	1416.0000	715.5000	0	765.0000	565.5000	0	583.5000	982.5000	0	457.5000	934.5000	0	1278.0000	924.0000	0	664.5000	1029.0000	0	1373.0767	1042.9848	0	379.5000	316.5000	0	1338.6346	1061.2326	0	97.7155	974.8265	0	1131.0000	1065.0000	0
10	1308.0000	199.5000	0	846.0000	94.5000	0	942.0000	921.0000	0	723.0000	964.5000	0	1216.5000	994.5000	0	376.5000	1002.0000	0	654.0000	901.5000	0	1414.5000	718.5000	0	766.5000	565.5000	0	582.0000	984.0000	0	457.5000	934.5000	0	1278.0000	925.5000	0	664.5000	1029.0000	0	1373.8984	1042.6422	0	378.0000	315.0000	0	1343.3602	1063.1332	0	98.2887	975.2181	0	1131.0000	1065.0000	0
