Frame	X19	Y19	Flag19	X20	Y20	Flag20	X22	Y22	Flag22	X25	Y25	Flag25	X31	Y31	Flag31	X32	Y32	Flag32	X33	Y33	Flag33	X24	Y24	Flag24	X21	Y21	Flag21	X26	Y26	Flag26	X27	Y27	Flag27	X30	Y30	Flag30	X28	Y28	Flag28	X23	Y23	Flag23	X18	Y18	Flag18	X17	Y17	Flag17	X29	Y29	Flag29	X16	Y16	Flag16	X37	Y37	Flag37	X15	Y15	Flag15	X14	Y14	Flag14	X13	Y13	Flag13	X39	Y39	Flag39	X43	Y43	Flag43	X12	Y12	Flag12	X11	Y11	Flag11	X9	Y9	Flag9	X41	Y41	Flag41	X3	Y3	Flag3	X36	Y36	Flag36	X10	Y10	Flag10	X38	Y38	Flag38	X46	Y46	Flag46	X58	Y58	Flag58	X55	Y55	Flag55	X44	Y44	Flag44	X50	Y50	Flag50	X35	Y35	Flag35	X48	Y48	Flag48	X8	Y8	Flag8	X34	Y34	Flag34	X56	Y56	Flag56	X61	Y61	Flag61	X65	Y65	Flag65	X52	Y52	Flag52	X57	Y57	Flag57	X62	Y62	Flag62	X7	Y7	Flag7	X66	Y66	Flag66	X6	Y6	Flag6	X40	Y40	Flag40	X63	Y63	Flag63	X64	Y64	Flag64	X68	Y68	Flag68	X5	Y5	Flag5	X60	Y60	Flag60	X69	Y69	Flag69	X67	Y67	Flag67	X53	Y53	Flag53	X2	Y2	Flag2	X4	Y4	Flag4	X45	Y45	Flag45	X1	Y1	Flag1	X51	Y51	Flag51	X42	Y42	Flag42	X47	Y47	Flag47	X54	Y54	Flag54	X49	Y49	Flag49	X59	Y59	Flag59
1	970.5000	676.5000	0	543.0000	565.5000	0	1401.0000	310.5000	0	960.0000	163.5000	0	870.0000	106.5000	0	954.0000	576.0000	0	1026.0000	291.0000	0	1341.0000	493.5000	0	666.0000	265.5000	0	1188.0000	52.5000	0	27.0000	93.0000	0	672.0000	871.5000	0	172.5000	130.5000	0	816.0000	750.0000	0	157.5000	1044.0000	0	252.0000	1045.5000	0	561.0000	447.0000	0	598.5000	789.0000	0	583.5000	114.0000	0	139.5000	775.5000	0	589.5000	327.0000	0	681.0000	1044.0000	0	1417.9662	457.5393	0	22.5000	786.0000	0	1218.0000	723.0000	0	240.0000	387.0000	0	1315.5000	399.0000	0	1101.0000	93.0000	0	1291.4027	235.0439	0	75.0000	492.0000	0	1260.0000	474.0000	0	466.5000	880.5000	0	1027.5000	28.5000	0	243.0000	367.5000	0	1321.3895	310.1186	0	1096.5000	946.5000	0	468.0000	885.0000	0	69.0000	493.5000	0	832.5000	999.0000	0	891.0000	1035.0000	0	1047.0000	927.0000	0	537.5426	379.2568	0	673.5338	1045.9718	0	585.9645	332.6707	0	394.5000	751.5000	0	1268.1695	434.6128	0	60.0000	429.0000	0	34.5000	766.5000	0	631.5000	742.5000	0	388.5000	774.0000	0	1071.0000	39.0000	0	1321.5000	399.0000	0	1247.1452	443.2263	0	598.5000	78.0000	0	393.0000	756.0000	0	843.0000	963.0000	0	1425.0000	415.5000	0	394.5000	750.0000	0	1047.0000	927.0000	0	1331.0349	296.9626	0	421.5000	712.5000	0	1075.5000	37.5000	0	1107.0000	100.5000	0	889.5000	1018.5000	0	453.0000	895.5000	0	885.0000	1021.5000	0	63.0000	436.5000	0	1041.0000	928.5000	0	802.5000	960.0000	0
2	970.5689	668.3775	0	541.5000	564.0000	0	1408.5084	301.4405	0	966.0000	153.0000	0	871.5000	106.5000	0	952.5000	577.5000	0	1026.0000	291.0000	0	1340.7602	481.9536	0	664.5000	265.5000	0	1188.0000	52.5000	0	28.5000	91.5000	0	672.0000	871.5000	0	172.5000	132.0000	0	817.5000	748.5000	0	157.5000	1045.5000	0	252.0000	1045.5000	0	562.5000	444.0000	0	600.0000	789.0000	0	582.0000	114.0000	0	139.5000	775.5000	0	591.0000	325.5000	0	682.5000	1044.0000	0	1418.1493	457.9525	0	24.0000	781.5000	0	1218.0000	723.0000	0	240.0000	388.5000	0	1317.0000	399.0000	0	1099.5000	91.5000	0	1291.5853	235.1296	0	76.5000	492.0000	0	1260.0000	474.0000	0	469.5000	879.0000	0	1027.5000	30.0000	0	243.0000	367.5000	0	1321.4705	310.2531	0	1095.0000	945.0000	0	468.0000	885.0000	0	69.0000	492.0000	0	832.5000	997.5000	0	892.5000	1030.5000	0	1047.0000	925.5000	0	536.9914	378.6431	0	673.6390	1045.8728	0	589.4688	326.0379	0	397.5000	753.0000	0	1267.0699	434.0480	0	63.0000	418.5000	0	33.0000	766.5000	0	628.5000	744.0000	0	390.0000	774.0000	0	1066.6367	53.1908	0	1321.5000	394.5000	0	1264.5000	448.5000	0	598.5000	81.0000	0	393.0000	756.0000	0	843.0000	964.5000	0	1423.5000	415.5000	0	393.0000	753.0000	0	1045.0559	926.2637	0	1329.2634	297.6026	0	421.5000	714.0000	0	1074.0000	43.5000	0	1107.0000	99.0000	0	888.0000	1018.5000	0	454.5000	894.0000	0	886.5000	1023.0000	0	63.0000	436.5000	0	1041.0000	928.5000	0	802.5000	960.0000	0
3	973.5000	676.5000	0	543.0000	565.5000	0	1401.0000	310.5000	0	960.0000	163.5000	0	871.5000	105.0000	0	954.0000	576.0000	0	1027.5000	291.0000	0	1342.5000	492.0000	0	666.0000	265.5000	0	1188.0000	52.5000	0	28.5000	91.5000	0	672.0000	871.5000	0	176.9899	122.0481	0	816.0000	747.0000	0	156.0000	1044.0000	0	252.0000	1045.5000	0	562.5000	442.5000	0	600.0000	789.0000	0	582.0000	112.5000	0	141.0000	777.0000	0	588.0000	327.0000	0	682.5000	1042.5000	0	1417.8373	458.3836	0	24.0000	781.5000	0	1216.5000	717.0000	0	240.0000	388.5000	0	1317.0000	399.0000	0	1098.0000	94.5000	0	1291.2556	234.9667	0	76.5000	492.0000	0	1260.0000	472.5000	0	462.8482	889.0584	0	1026.0000	28.5000	0	243.0000	367.5000	0	1321.5742	310.3034	0	1093.5000	943.5000	0	469.5000	882.0000	0	69.0000	492.0000	0	832.5000	997.5000	0	892.5000	1029.0000	0	1047.0000	927.0000	0	536.2093	376.6333	0	673.3994	1045.9951	0	590.2105	324.4488	0	397.5000	751.5000	0	1269.0000	423.0000	0	64.5000	415.5000	0	33.0000	766.5000	0	631.5000	741.0000	0	390.0000	772.5000	0	1067.5617	53.2439	0	1324.5000	388.5000	0	1266.0000	448.5000	0	598.5000	79.5000	0	391.5000	757.5000	0	843.0000	963.0000	0	1423.5000	414.0000	0	393.0000	754.5000	0	1044.8095	926.3596	0	1330.1631	297.5299	0	421.5000	712.5000	0	1072.5000	42.0000	0	1108.5000	99.0000	0	886.5000	1017.0000	0	454.5000	894.0000	0	886.5000	1024.5000	0	63.0000	435.0000	0	1041.0000	930.0000	0	802.5000	960.0000	0
4	973.5000	675.0000	0	541.5000	562.5000	0	1408.3863	301.2397	0	966.0000	153.0000	0	871.5000	105.0000	0	954.0000	576.0000	0	1026.0000	289.5000	0	1342.5000	490.5000	0	664.5000	265.5000	0	1188.0000	54.0000	0	30.0000	91.5000	0	672.0000	871.5000	0	172.5000	129.0000	0	816.0000	747.0000	0	160.5000	1042.5000	0	252.0000	1044.0000	0	562.5000	441.0000	0	598.5000	787.5000	0	582.0000	111.0000	0	141.0000	777.0000	0	589.5000	327.0000	0	681.0000	1042.5000	0	1418.8066	456.3028	0	25.5000	778.5000	0	1218.7161	711.4362	0	240.0000	388.5000	0	1318.5000	399.0000	0	1099.5000	91.5000	0	1291.1895	234.9606	0	76.5000	492.0000	0	1258.5000	472.5000	0	460.4000	892.2102	0	1026.0000	28.5000	0	242.9858	376.7271	0	1321.8392	311.0931	0	1095.0000	942.0000	0	469.5000	882.0000	0	69.0000	492.0000	0	832.5000	997.5000	0	891.0000	1029.0000	0	1045.5000	927.0000	0	536.8462	376.7775	0	670.5000	1062.0000	0	591.0738	322.3649	0	397.5000	750.0000	0	1269.0000	423.0000	0	66.0000	411.0000	0	34.5000	766.5000	0	631.5000	739.5000	0	390.0000	772.5000	0	1067.3872	52.9615	0	1326.0000	385.5000	0	1266.0000	448.5000	0	598.5000	78.0000	0	393.0000	757.5000	0	843.0000	963.0000	0	1423.5000	414.0000	0	393.0000	754.5000	0	1047.0000	922.5000	0	1330.1934	297.1805	0	421.5000	712.5000	0	1069.5000	39.0000	0	1105.5000	94.5000	0	886.5000	1018.5000	0	456.0000	894.0000	0	886.5000	1024.5000	0	63.0000	435.0000	0	1041.0000	931.5000	0	802.5000	960.0000	0
5	973.5000	675.0000	0	541.5000	562.5000	0	1401.0000	310.5000	0	958.5000	163.5000	0	871.5000	106.5000	0	954.0000	576.0000	0	1027.5000	291.0000	0	1342.5000	490.5000	0	666.0000	265.5000	0	1188.0000	52.5000	0	30.0000	91.5000	0	673.5000	871.5000	0	172.5000	129.0000	0	816.0000	747.0000	0	157.5000	1044.0000	0	252.0000	1044.0000	0	562.5000	441.0000	0	598.5000	787.5000	0	580.5000	111.0000	0	138.0000	775.5000	0	589.5000	331.5000	0	681.0000	1042.5000	0	1419.8324	455.6759	0	25.5000	778.5000	0	1215.0000	717.0000	0	240.0000	388.5000	0	1315.5000	399.0000	0	1099.5000	91.5000	0	1291.1708	234.9036	0	76.5000	492.0000	0	1260.0000	471.0000	0	469.5000	879.0000	0	1027.5000	27.0000	0	243.0000	367.5000	0	1321.7638	310.2436	0	1095.0000	940.5000	0	466.5000	883.5000	0	67.5000	492.0000	0	832.5000	997.5000	0	891.0000	1029.0000	0	1045.5000	927.0000	0	537.2054	376.4157	0	672.0000	1057.5000	0	591.2251	320.9455	0	396.0000	750.0000	0	1267.5000	421.5000	0	67.5000	409.5000	0	33.0000	766.5000	0	631.5000	741.0000	0	391.5000	772.5000	0	1065.0000	43.5000	0	1330.5000	379.5000	0	1266.0000	448.5000	0	598.5000	79.5000	0	393.0000	756.0000	0	841.5000	963.0000	0	1423.5000	414.0000	0	394.5000	750.0000	0	1045.5000	924.0000	0	1329.5016	297.2363	0	421.5000	712.5000	0	1071.0000	37.5000	0	1107.0000	100.5000	0	889.5000	1018.5000	0	456.0000	892.5000	0	886.5000	1024.5000	0	63.0000	435.0000	0	1042.5000	931.5000	0	804.0000	960.0000	0
6	973.5000	675.0000	0	541.5000	562.5000	0	1401.0000	312.0000	0	966.0000	153.0000	0	871.5000	106.5000	0	954.0000	576.0000	0	1027.5000	291.0000	0	1340.5593	481.2099	0	666.0000	267.0000	0	1188.0000	52.5000	0	30.0000	91.5000	0	672.0000	871.5000	0	172.5000	129.0000	0	816.0000	748.5000	0	157.5000	1044.0000	0	250.5000	1044.0000	0	562.5000	442.5000	0	600.0000	786.0000	0	580.5000	112.5000	0	138.0000	775.5000	0	591.0000	325.5000	0	681.0000	1044.0000	0	1422.0000	463.5000	0	25.5000	780.0000	0	1218.5950	711.8941	0	240.0000	387.0000	0	1317.0000	399.0000	0	1099.5000	90.0000	0	1297.5000	229.5000	0	73.5000	492.0000	0	1258.5000	471.0000	0	465.0000	877.5000	0	1027.5000	28.5000	0	243.0000	382.5000	0	1321.7985	310.7267	0	1095.0000	939.0000	0	466.5000	883.5000	0	66.0000	492.0000	0	831.0000	997.5000	0	892.5000	1029.0000	0	1047.0000	925.5000	0	536.1203	377.4533	0	673.5000	1056.0000	0	591.5327	320.2392	0	396.0000	750.0000	0	1266.6704	432.0668	0	67.5000	408.0000	0	34.5000	766.5000	0	631.5000	741.0000	0	390.0000	771.0000	0	1068.8350	53.8822	0	1332.0000	372.0000	0	1264.5000	448.5000	0	597.0000	76.5000	0	391.5000	756.0000	0	841.5000	963.0000	0	1423.5000	414.0000	0	394.5000	750.0000	0	1045.5000	922.5000	0	1329.7812	296.0861	0	420.0000	714.0000	0	1071.0000	40.5000	0	1105.5000	99.0000	0	891.0000	1015.5000	0	456.0000	892.5000	0	888.0000	1024.5000	0	61.5000	435.0000	0	1044.0000	931.5000	0	805.5000	958.5000	0
7	973.5000	675.0000	0	540.0000	552.0000	0	1401.0000	310.5000	0	966.0000	153.0000	0	871.5000	106.5000	0	954.0000	576.0000	0	1029.0000	292.5000	0	1342.5000	492.0000	0	666.0000	267.0000	0	1182.0000	66.0000	0	31.5000	91.5000	0	673.5000	871.5000	0	172.5000	129.0000	0	816.0000	748.5000	0	157.5000	1044.0000	0	252.0000	1044.0000	0	562.5000	442.5000	0	600.0000	786.0000	0	580.5000	112.5000	0	139.5000	777.0000	0	589.5000	331.5000	0	681.0000	1045.5000	0	1420.5000	468.0000	0	25.5000	780.0000	0	1215.0000	717.0000	0	240.0000	387.0000	0	1315.5000	399.0000	0	1101.0000	90.0000	0	1299.0000	232.5000	0	75.0000	492.0000	0	1258.5000	472.5000	0	462.8421	887.8360	0	1026.0000	28.5000	0	240.0000	384.0000	0	1321.8361	310.1448	0	1095.0000	939.0000	0	468.0000	883.5000	0	69.0000	493.5000	0	829.5000	997.5000	0	891.0000	1029.0000	0	1047.0000	925.5000	0	535.9384	377.4397	0	673.5000	1056.0000	0	592.1514	318.7115	0	396.0000	748.5000	0	1266.7421	432.2563	0	69.0000	408.0000	0	33.0000	766.5000	0	631.5000	739.5000	0	391.5000	772.5000	0	1069.3450	54.0139	0	1330.5000	372.0000	0	1264.5000	448.5000	0	598.5000	76.5000	0	391.5000	756.0000	0	843.0000	961.5000	0	1423.5000	414.0000	0	394.5000	754.5000	0	1047.0000	924.0000	0	1330.8209	296.0675	0	421.5000	712.5000	0	1069.5000	37.5000	0	1105.5000	99.0000	0	889.5000	1014.0000	0	456.0000	892.5000	0	888.0000	1023.0000	0	63.0000	435.0000	0	1042.5000	933.0000	0	805.5000	952.5000	0
8	973.5000	675.0000	0	540.0000	550.5000	0	1402.5000	310.5000	0	964.5000	154.5000	0	871.5000	105.0000	0	954.0000	576.0000	0	1027.5000	291.0000	0	1342.5000	492.0000	0	666.0000	267.0000	0	1188.0000	52.5000	0	31.5000	91.5000	0	672.0000	871.5000	0	171.0000	129.0000	0	816.0000	747.0000	0	157.5000	1044.0000	0	252.0000	1044.0000	0	561.0000	442.5000	0	601.5000	786.0000	0	579.0000	112.5000	0	139.5000	774.0000	0	591.0000	325.5000	0	681.0000	1045.5000	0	1420.5000	468.0000	0	25.5000	778.5000	0	1216.5000	723.0000	0	240.0000	387.0000	0	1317.0000	399.0000	0	1098.0000	91.5000	0	1299.0000	232.5000	0	75.0000	492.0000	0	1258.5000	471.0000	0	466.5000	876.0000	0	1026.0000	28.5000	0	241.5000	382.5000	0	1321.6125	310.3090	0	1095.0000	939.0000	0	468.0000	883.5000	0	69.0000	492.0000	0	831.0000	996.0000	0	891.0000	1029.0000	0	1047.0000	925.5000	0	536.1337	375.9605	0	672.0000	1054.5000	0	592.8223	317.9558	0	396.0000	748.5000	0	1266.9691	431.8477	0	69.0000	408.0000	0	33.0000	766.5000	0	631.5000	739.5000	0	390.0000	774.0000	0	1069.8829	54.1178	0	1330.5000	370.5000	0	1266.0000	448.5000	0	597.0000	76.5000	0	393.0000	756.0000	0	844.5000	960.0000	0	1422.0000	414.0000	0	393.0000	754.5000	0	1048.5000	922.5000	0	1329.7967	296.8663	0	423.0000	711.0000	0	1069.5000	39.0000	0	1105.5000	99.0000	0	891.0000	1015.5000	0	456.0000	892.5000	0	889.5000	1023.0000	0	63.0000	435.0000	0	1042.5000	931.5000	0	805.5000	951.0000	0
9	973.5000	676.5000	0	540.0000	564.0000	0	1402.5000	309.0000	0	957.0000	163.5000	0	871.5000	105.0000	0	952.5000	576.0000	0	1026.0000	291.0000	0	1340.7387	481.6203	0	666.0000	267.0000	0	1188.0000	52.5000	0	31.5000	91.5000	0	673.5000	871.5000	0	172.5000	129.0000	0	816.0000	745.5000	0	157.5000	1044.0000	0	252.0000	1044.0000	0	561.0000	442.5000	0	601.5000	786.0000	0	579.0000	112.5000	0	139.5000	775.5000	0	589.1731	332.1648	0	681.0000	1045.5000	0	1419.4595	456.3460	0	27.0000	775.5000	0	1216.5000	724.5000	0	240.0000	387.0000	0	1317.0000	399.0000	0	1098.0000	91.5000	0	1291.2569	234.9663	0	76.5000	492.0000	0	1258.5000	471.0000	0	469.5000	877.5000	0	1026.0000	27.0000	0	241.5000	382.5000	0	1321.7028	310.3168	0	1096.5000	937.5000	0	472.5000	882.0000	0	69.0000	492.0000	0	831.0000	994.5000	0	891.0000	1029.0000	0	1047.0000	927.0000	0	538.5000	375.0000	0	672.0000	1053.0000	0	593.0060	317.9516	0	396.0000	748.5000	0	1267.3794	431.2383	0	69.0000	406.5000	0	33.0000	766.5000	0	630.0000	741.0000	0	390.0000	772.5000	0	1069.7944	54.2938	0	1327.5000	369.0000	0	1264.5000	448.5000	0	597.0000	78.0000	0	394.5000	756.0000	0	844.5000	960.0000	0	1422.0000	414.0000	0	393.0000	756.0000	0	1048.5000	924.0000	0	1331.7051	295.4890	0	421.5000	712.5000	0	1069.5000	39.0000	0	1104.0000	94.5000	0	891.0000	1017.0000	0	456.0000	891.0000	0	889.5000	1023.0000	0	61.5000	435.0000	0	1042.5000	930.0000	0	807.0000	949.5000	0
10	972.0000	675.0000	0	540.0000	564.0000	0	1402.5000	309.0000	0	957.0000	163.5000	0	871.5000	105.0000	0	954.0000	576.0000	0	1027.5000	291.0000	0	1344.0000	492.0000	0	667.5000	279.0000	0	1188.0000	52.5000	0	31.5000	91.5000	0	673.5000	871.5000	0	171.0000	129.0000	0	816.0000	745.5000	0	159.0000	1044.0000	0	250.5000	1044.0000	0	561.0000	441.0000	0	601.5000	787.5000	0	579.0000	114.0000	0	140.1309	766.5850	0	591.0000	325.5000	0	681.0000	1045.5000	0	1419.0000	465.0000	0	27.0000	777.0000	0	1215.0000	726.0000	0	240.0000	387.0000	0	1317.0000	399.0000	0	1098.0000	93.0000	0	1300.5000	232.5000	0	76.5000	492.0000	0	1258.5000	471.0000	0	466.5000	874.5000	0	1026.0000	27.0000	0	241.5000	382.5000	0	1322.1990	310.3484	0	1098.0000	936.0000	0	471.0000	880.5000	0	69.0000	492.0000	0	831.0000	994.5000	0	892.5000	1029.0000	0	1045.5000	927.0000	0	537.2570	374.4977	0	673.5000	1053.0000	0	593.4369	317.2738	0	399.0000	747.0000	0	1268.0232	430.6385	0	69.0000	406.5000	0	33.0000	766.5000	0	630.0000	741.0000	0	390.0000	772.5000	0	1069.6613	53.9631	0	1327.5000	369.0000	0	1266.0000	448.5000	0	597.0000	76.5000	0	394.5000	754.5000	0	846.0000	960.0000	0	1420.5000	414.0000	0	391.5000	754.5000	0	1048.5000	925.5000	0	1332.8160	294.6293	0	421.5000	711.0000	0	1069.5000	37.5000	0	1105.5000	96.0000	0	889.5000	1017.0000	0	456.0000	891.0000	0	889.5000	1024.5000	0	61.5000	433.5000	0	1044.0000	931.5000	0	807.0000	948.0000	0
