Frame	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X3	Y3	Flag3	X2	Y2	Flag2	X9	Y9	Flag9	X1	Y1	Flag1	X10	Y10	Flag10
1	250.5000	450.0000	0	775.5000	1027.5000	0	1135.5000	756.0000	0	600.0000	330.0000	0	98.8842	737.5502	0	1294.5000	615.0000	0	1198.5000	309.0000	0	1213.5000	355.5000	0	100.5000	744.0000	0	1299.0000	615.0000	0
2	250.5000	450.0000	0	775.5000	1027.5000	0	1142.2013	755.3342	0	597.0000	330.0000	0	103.5000	739.5000	0	1294.5000	615.0000	0	1198.5000	309.0000	0	1215.0000	357.0000	0	102.0000	742.5000	0	1297.5000	615.0000	0
3	250.5000	450.0000	0	777.0000	1030.5000	0	1134.0000	756.0000	0	595.5000	328.5000	0	102.0000	738.0000	0	1296.0000	616.5000	0	1198.5000	309.0000	0	1213.5000	357.0000	0	102.0000	741.0000	0	1299.0000	615.0000	0
4	250.5000	450.0000	0	777.0000	1030.5000	0	1137.0000	756.0000	0	598.5000	328.5000	0	100.5000	736.5000	0	1296.0000	616.5000	0	1198.5000	309.0000	0	1215.0000	357.0000	0	102.0000	739.5000	0	1297.5000	616.5000	0
5	250.5000	451.5000	0	778.5000	1032.0000	0	1138.5000	756.0000	0	597.0000	328.5000	0	102.0000	736.5000	0	1294.5000	615.0000	0	1207.5000	318.0000	0	1215.0000	357.0000	0	102.0000	739.5000	0	1297.5000	616.5000	0
6	250.5000	450.0000	0	778.5000	1029.0000	0	1137.0000	757.5000	0	594.0000	325.5000	0	102.0000	736.5000	0	1296.0000	615.0000	0	1198.5000	309.0000	0	1216.5000	357.0000	0	102.0000	739.5000	0	1299.0000	615.0000	0
7	250.5000	450.0000	0	777.0000	1027.5000	0	1137.0000	756.0000	0	594.0000	325.5000	0	102.0000	736.5000	0	1296.0000	615.0000	0	1198.5000	309.0000	0	1215.0000	357.0000	0	102.0000	738.0000	0	1299.0000	615.0000	0
8	250.5000	450.0000	0	777.0000	1029.0000	0	1142.5157	755.3371	0	594.0000	325.5000	0	105.0000	736.5000	0	1296.0000	616.5000	0	1198.5000	309.0000	0	1215.0000	357.0000	0	100.5000	738.0000	0	1299.0000	615.0000	0
9	250.5000	451.5000	0	778.5000	1033.5000	0	1138.5000	757.5000	0	593.6295	319.3068	0	102.0000	736.5000	0	1297.5000	615.0000	0	1198.5000	309.0000	0	1215.0000	357.0000	0	100.5000	736.5000	0	1297.5000	615.0000	0
10	250.5000	451.5000	0	778.5000	1030.5000	0	1138.5000	756.0000	0	594.0000	324.0000	0	102.0000	736.5000	0	1299.0000	616.5000	0	1198.5000	309.0000	0	1215.0000	357.0000	0	99.0000	738.0000	0	1297.5000	616.5000	0
11	250.5000	450.0000	0	777.0000	1029.0000	0	1140.0000	759.0000	0	595.5000	324.0000	0	103.5000	735.0000	0	1299.0000	616.5000	0	1198.5000	309.0000	0	1215.0000	357.0000	0	100.5000	738.0000	0	1293.9902	630.3801	0
12	258.0000	445.5000	0	775.5000	1029.0000	0	1140.0000	757.5000	0	594.0000	322.5000	0	102.0000	733.5000	0	1299.0000	616.5000	0	1198.5000	309.0000	0	1216.5000	358.5000	0	86.2064	738.7722	0	1299.0000	616.5000	0
13	255.0000	447.0000	0	777.0000	1029.0000	0	1138.5000	754.5000	0	595.5000	324.0000	0	102.0000	733.5000	0	1300.5000	618.0000	0	1197.0000	309.0000	0	1216.5000	358.5000	0	100.5000	738.0000	0	1299.0000	615.0000	0
14	255.0000	447.0000	0	777.0000	1030.5000	0	1140.0000	757.5000	0	592.5000	318.0000	0	100.5000	733.5000	0	1300.5000	618.0000	0	1207.5000	316.5000	0	1218.0000	358.5000	0	100.5000	738.0000	0	1299.0000	616.5000	0
15	255.0000	448.5000	0	775.5000	1032.0000	0	1141.5000	753.0000	0	594.0000	324.0000	0	100.5000	733.5000	0	1300.5000	618.0000	0	1198.5000	309.0000	0	1218.0000	357.0000	0	100.5000	738.0000	0	1297.5000	618.0000	0
16	256.5000	450.0000	0	780.1785	1033.5856	0	1140.0000	759.0000	0	594.0000	325.5000	0	100.5000	735.0000	0	1300.5000	618.0000	0	1198.5000	309.0000	0	1216.5000	358.5000	0	100.5000	738.0000	0	1296.0000	618.0000	0
17	255.0000	450.0000	0	780.4876	1032.5637	0	1141.5000	759.0000	0	593.4887	318.8702	0	102.0000	735.0000	0	1302.0000	618.0000	0	1198.5000	309.0000	0	1216.5000	358.5000	0	99.0000	736.5000	0	1297.5000	616.5000	0
18	255.0000	450.0000	0	775.5000	1032.0000	0	1140.0000	760.5000	0	594.0000	324.0000	0	100.5000	736.5000	0	1300.5000	618.0000	0	1204.5000	315.0000	0	1216.5000	358.5000	0	99.0000	738.0000	0	1297.5000	616.5000	0
19	253.5000	450.0000	0	777.0000	1033.5000	0	1140.0000	760.5000	0	594.0000	324.0000	0	100.5000	736.5000	0	1300.5000	618.0000	0	1198.5000	309.0000	0	1215.0000	355.5000	0	100.5000	738.0000	0	1297.5000	616.5000	0
20	253.5000	450.0000	0	780.3212	1033.3774	0	1140.0000	760.5000	0	593.4854	318.8087	0	100.5000	735.0000	0	1299.0000	618.0000	0	1206.0000	315.0000	0	1216.5000	358.5000	0	102.0000	738.0000	0	1297.5000	615.0000	0
21	253.5000	451.5000	0	780.5128	1032.7526	0	1140.0000	760.5000	0	593.5526	318.8199	0	100.5000	733.5000	0	1300.5000	618.0000	0	1200.0000	310.5000	0	1216.5000	357.0000	0	100.5000	738.0000	0	1299.0000	615.0000	0
22	253.5000	451.5000	0	775.5000	1032.0000	0	1140.0000	760.5000	0	592.5000	324.0000	0	99.0000	732.0000	0	1299.0000	618.0000	0	1204.5000	313.5000	0	1216.5000	357.0000	0	105.0000	739.5000	0	1300.5000	613.5000	0
23	250.5000	451.5000	0	774.0000	1032.0000	0	1140.0000	760.5000	0	594.0000	322.5000	0	99.0000	733.5000	0	1297.5204	613.7006	0	1195.5000	306.0000	0	1216.5000	355.5000	0	102.0000	738.0000	0	1300.5000	613.5000	0
24	249.0000	451.5000	0	775.5000	1033.5000	0	1141.5000	762.0000	0	592.5000	324.0000	0	99.0000	735.0000	0	1299.0000	618.0000	0	1201.5000	310.5000	0	1216.5000	355.5000	0	105.0000	739.5000	0	1300.5000	613.5000	0
25	250.5000	451.5000	0	775.5000	1035.0000	0	1140.0000	760.5000	0	594.0000	324.0000	0	99.0000	735.0000	0	1299.0000	618.0000	0	1198.5000	309.0000	0	1216.5000	357.0000	0	103.5000	738.0000	0	1300.5000	615.0000	0
26	250.5000	453.0000	0	777.0000	1032.0000	0	1141.5000	762.0000	0	594.0000	324.0000	0	97.5000	735.0000	0	1299.0000	616.5000	0	1200.0000	310.5000	0	1216.5000	357.0000	0	98.7011	737.6159	0	1302.0000	615.0000	0
27	249.0000	450.0000	0	775.5000	1032.0000	0	1143.0000	760.5000	0	594.0000	324.0000	0	97.5000	736.5000	0	1299.0000	615.0000	0	1198.5000	310.5000	0	1218.0000	357.0000	0	103.5000	738.0000	0	1302.0000	615.0000	0
28	250.5000	450.0000	0	777.0000	1032.0000	0	1143.0000	759.0000	0	594.0000	324.0000	0	99.0000	735.0000	0	1297.5000	616.5000	0	1198.5000	309.0000	0	1216.5000	357.0000	0	103.5000	738.0000	0	1302.0000	615.0000	0
29	250.5000	450.0000	0	777.0000	1032.0000	0	1141.5000	760.5000	0	593.5999	318.7297	0	99.0000	735.0000	0	1296.0000	616.5000	0	1200.0000	310.5000	0	1216.5000	358.5000	0	103.5000	736.5000	0	1300.5000	615.0000	0
30	250.5000	448.5000	0	778.5000	1033.5000	0	1141.5000	759.0000	0	594.0000	322.5000	0	99.0000	735.0000	0	1297.5000	613.5000	0	1200.0000	310.5000	0	1216.5000	357.0000	0	103.5000	738.0000	0	1302.0000	615.0000	0
31	252.0000	448.5000	0	778.5000	1032.0000	0	1141.5000	759.0000	0	594.0000	321.0000	0	99.0000	736.5000	0	1297.5000	615.0000	0	1198.5000	310.5000	0	1216.5000	358.5000	0	103.5000	738.0000	0	1302.0000	613.5000	0
32	252.0000	450.0000	0	778.5000	1032.0000	0	1141.5000	760.5000	0	594.0000	322.5000	0	99.0000	736.5000	0	1299.0000	613.5000	0	1197.0000	309.0000	0	1216.5000	358.5000	0	103.5000	738.0000	0	1302.0000	615.0000	0
33	252.0000	448.5000	0	778.5000	1032.0000	0	1141.5000	760.5000	0	594.0000	321.0000	0	100.5000	736.5000	0	1297.5000	612.0000	0	1197.0000	310.5000	0	1216.5000	357.0000	0	103.5000	738.0000	0	1302.0000	615.0000	0
34	250.5000	450.0000	0	780.0000	1032.0000	0	1141.5000	760.5000	0	595.5000	321.0000	0	100.5000	735.0000	0	1297.5000	613.5000	0	1203.0000	310.5000	0	1216.5000	357.0000	0	103.5000	738.0000	0	1300.5000	615.0000	0
35	249.0000	450.0000	0	778.5000	1032.0000	0	1141.5000	762.0000	0	595.5000	319.5000	0	100.5000	736.5000	0	1296.0000	613.5000	0	1197.0000	310.5000	0	1216.5000	358.5000	0	99.0000	738.0000	0	1302.0000	615.0000	0
36	247.5000	451.5000	0	780.0000	1030.5000	0	1140.0000	760.5000	0	595.5000	321.0000	0	100.5000	736.5000	0	1296.0000	612.0000	0	1198.5000	310.5000	0	1216.5000	357.0000	0	102.0000	738.0000	0	1302.0000	616.5000	0
37	247.5000	450.0000	0	780.0000	1030.5000	0	1140.0000	760.5000	0	595.5000	319.5000	0	86.4561	740.3566	0	1296.0000	613.5000	0	1197.0000	310.5000	0	1216.5000	358.5000	0	113.5217	738.1548	0	1302.0000	615.0000	0
38	247.5000	451.5000	0	781.5000	1030.5000	0	1138.5000	759.0000	0	594.0000	319.5000	0	99.0000	738.0000	0	1296.0000	613.5000	0	1200.0000	309.0000	0	1218.0000	357.0000	0	113.5416	737.6697	0	1300.5000	615.0000	0
39	247.5000	451.5000	0	781.5000	1030.5000	0	1142.3068	754.9426	0	594.0000	318.0000	0	99.0000	738.0000	0	1297.5000	613.5000	0	1195.5000	306.0000	0	1216.5000	358.5000	0	100.5000	738.0000	0	1300.5000	613.5000	0
40	249.0000	451.5000	0	780.0000	1033.5000	0	1135.5000	759.0000	0	595.5000	319.5000	0	100.5000	738.0000	0	1296.0000	616.5000	0	1195.5000	306.0000	0	1218.0000	358.5000	0	100.5000	738.0000	0	1300.5000	612.0000	0
41	249.0000	450.0000	0	775.5000	1032.0000	0	1135.5000	759.0000	0	595.5000	321.0000	0	97.5000	738.0000	0	1296.0000	615.0000	0	1195.5000	306.0000	0	1216.5000	355.5000	0	102.0000	738.0000	0			
42	250.5000	451.5000	0	778.5000	1035.0000	0	1138.5000	757.5000	0	595.5000	319.5000	0	97.5000	738.0000	0	1296.0000	616.5000	0	1200.0000	310.5000	0	1216.5000	358.5000	0	114.0742	738.9774	0			
43	250.5000	451.5000	0	777.0000	1036.5000	0	1135.5000	759.0000	0	595.5000	319.5000	0	97.5000	736.5000	0	1297.5000	615.0000	0	1195.5000	304.5000	0	1216.5000	358.5000	0	103.5000	739.5000	0			
44	250.5000	453.0000	0	775.5000	1038.0000	0	1135.5000	757.5000	0	595.5000	319.5000	0	99.0000	736.5000	0	1296.0000	616.5000	0	1195.5000	304.5000	0	1216.5000	355.5000	0	114.1809	740.0205	0			
45	252.0000	453.0000	0	775.5000	1038.0000	0	1137.0000	759.0000	0	594.0000	319.5000	0	99.0000	736.5000	0	1294.5000	616.5000	0	1198.5000	309.0000	0	1216.5000	358.5000	0						
46	250.5000	453.0000	0	775.5000	1036.5000	0	1135.5000	757.5000	0	595.5000	319.5000	0	99.0000	738.0000	0	1294.5000	616.5000	0	1197.0000	309.0000	0	1216.5000	358.5000	0						
47	250.5000	453.0000	0	774.0000	1035.0000	0	1135.5000	754.5000	0	597.0000	319.5000	0	99.0000	738.0000	0	1294.5000	616.5000	0	1204.5000	318.0000	0	1216.5000	357.0000	0						
48	250.5000	453.0000	0	774.0000	1038.0000	0	1138.5000	756.0000	0	597.0000	318.0000	0	99.0000	739.5000	0	1294.5000	616.5000	0	1197.0000	310.5000	0	1216.5000	358.5000	0						
49	252.0000	453.0000	0	774.0000	1036.5000	0	1137.0000	756.0000	0	597.0000	318.0000	0	99.0000	739.5000	0	1294.5000	618.0000	0	1197.0000	309.0000	0	1218.0000	357.0000	0						
50	252.0000	454.5000	0	775.5000	1038.0000	0	1137.0000	756.0000	0	597.0000	318.0000	0	100.5000	738.0000	0	1294.5000	616.5000	0	1198.5000	309.0000	0	1216.5000	358.5000	0						
51	252.0000	454.5000	0	777.0000	1038.0000	0	1135.5000	756.0000	0	597.0000	319.5000	0	97.5000	739.5000	0	1300.0189	613.8077	0	1195.5000	304.5000	0	1215.0000	355.5000	0						
52	252.0000	454.5000	0	777.0000	1038.0000	0	1135.5000	754.5000	0	594.0000	318.0000	0	99.0000	741.0000	0	1294.5000	618.0000	0	1197.0000	307.5000	0	1216.5000	357.0000	0						
53	252.0000	454.5000	0	778.9317	1031.2766	0	1135.5000	754.5000	0	594.0000	316.5000	0	99.0000	741.0000	0	1294.5000	616.5000	0	1198.5000	309.0000	0									
54	252.0000	454.5000	0	777.0000	1036.5000	0	1135.5000	754.5000	0	594.0000	318.0000	0	99.0000	741.0000	0	1294.5000	616.5000	0	1197.0000	309.0000	0									
55	252.0000	454.5000	0	775.5000	1035.0000	0	1135.5000	754.5000	0	595.5000	316.5000	0	97.5000	742.5000	0	1294.5000	616.5000	0	1197.0000	307.5000	0									
56	252.0000	454.5000	0	775.5000	1033.5000	0	1137.0000	754.5000	0	594.0000	315.0000	0	99.0000	738.0000	0	1294.5000	616.5000	0	1197.0000	307.5000	0									
57	253.5000	453.0000	0	774.0000	1035.0000	0	1138.5000	754.5000	0	595.5000	315.0000	0	99.0000	738.0000	0	1294.5000	616.5000	0	1198.5000	309.0000	0									
58	250.2924	449.3644	0	774.0000	1036.5000	0	1138.5000	754.5000	0	594.0000	316.5000	0	99.0000	738.0000	0	1296.0000	615.0000	0	1197.0000	307.5000	0									
59	253.5000	451.5000	0	775.5000	1036.5000	0	1138.5000	753.0000	0	594.0000	315.0000	0	97.5000	739.5000	0	1296.0000	615.0000	0	1198.5000	309.0000	0									
60	253.5000	450.0000	0	777.0000	1035.0000	0	1138.5000	753.0000	0	594.0000	318.0000	0	97.5000	739.5000	0	1297.5000	615.0000	0	1197.0000	309.0000	0									
61	253.5000	448.5000	0	777.0000	1036.5000	0	1138.5000	753.0000	0	594.0000	318.0000	0	96.0000	741.0000	0	1296.0000	613.5000	0	1200.0000	310.5000	0									
62	252.0000	448.5000	0	777.0000	1035.0000	0	1138.5000	754.5000	0	594.0000	316.5000	0	96.0000	741.0000	0	1297.5000	613.5000	0	1200.0000	310.5000	0									
63	253.5000	450.0000	0	775.5000	1035.0000	0	1138.5000	754.5000	0	592.5000	315.0000	0	93.0000	742.5000	0	1296.5762	599.6142	0	1200.0000	312.0000	0									
64	255.0000	450.0000	0	777.0000	1035.0000	0	1140.0000	753.0000	0	594.0000	318.0000	0	93.0000	742.5000	0	1303.1067	600.3803	0												
65	255.0000	450.0000	0	778.5000	1036.5000	0	1140.0000	754.5000	0	594.0000	316.5000	0	94.5000	742.5000	0	1299.0000	613.5000	0												
66	253.5000	451.5000	0	778.5000	1036.5000	0	1141.5000	754.5000	0	594.0000	318.0000	0	93.0000	744.0000	0	1300.5000	615.0000	0												
67	253.5000	451.5000	0	778.5000	1036.5000	0	1140.0000	756.0000	0	592.5000	318.0000	0	94.5000	744.0000	0	1299.0000	613.5000	0												
68	252.0000	448.5000	0	778.5000	1035.0000	0	1140.0000	754.5000	0	592.5000	318.0000	0	93.0000	744.0000	0	1305.0542	601.7604	0												
