Frame	X5	Y5	Flag5	X4	Y4	Flag4	X2	Y2	Flag2	X3	Y3	Flag3	X6	Y6	Flag6	X1	Y1	Flag1	X8	Y8	Flag8	X9	Y9	Flag9	X7	Y7	Flag7
1	192.0000	1021.5000	0	337.5000	376.5000	0	693.0000	411.0000	0	439.5000	771.0000	0	1066.5000	471.0000	0	1246.5000	433.5000	0	15.0000	574.5000	0	1261.5000	436.5000	0	21.7555	556.5866	0
2	192.0000	1021.5000	0	337.5000	376.5000	0	685.5000	418.5000	0	441.0000	772.5000	0	1066.5000	471.0000	0	1249.5000	435.0000	0	16.5000	573.0000	0	1260.0000	436.5000	0	23.0717	559.4944	0
3	190.5000	1023.0000	0	337.5000	378.0000	0	690.0000	415.5000	0	441.0000	772.5000	0	1068.0000	471.0000	0	1251.0000	433.5000	0	16.5000	573.0000	0	1258.5000	436.5000	0	22.6268	558.0360	0
4	192.0000	1023.0000	0	337.5000	378.0000	0	691.5000	412.5000	0	441.0000	774.0000	0	1063.5000	468.0000	0	1254.0000	433.5000	0	20.4983	571.6110	0	1257.0000	435.0000	0	22.4986	557.4001	0
5	193.5000	1023.0000	0	336.0000	378.0000	0	688.5000	415.5000	0	436.5000	771.0000	0	1065.0000	468.0000	0	1252.5000	432.0000	0	15.0000	573.0000	0	1258.5000	436.5000	0	22.5119	559.0186	0
6	192.0000	1021.5000	0	336.0000	378.0000	0	688.5000	415.5000	0	438.0000	771.0000	0	1066.5000	468.0000	0	1252.5000	432.0000	0	20.1414	572.1171	0	1257.0000	438.0000	0	21.5404	557.7700	0
7	193.5000	1023.0000	0	336.0000	378.0000	0	690.0000	411.0000	0	438.0000	771.0000	0	1066.5000	468.0000	0	1246.5000	432.0000	0	15.0000	571.5000	0	1255.5000	439.5000	0	20.8856	558.3250	0
8	193.5000	1021.5000	0	334.5000	376.5000	0	691.5000	412.5000	0	439.5000	771.0000	0	1066.5000	469.5000	0	1245.0000	433.5000	0	15.0000	570.0000	0	1246.5000	436.5000	0	20.0507	556.7561	0
9	192.0000	1021.5000	0	337.5000	382.5000	0	691.5000	412.5000	0	439.5000	772.5000	0	1065.0000	468.0000	0	1245.0000	432.0000	0	20.4748	572.7157	0	1248.0000	438.0000	0	19.9958	558.4321	0
10	192.0000	1021.5000	0	340.5000	388.5000	0	688.5000	415.5000	0	439.5000	771.0000	0	1066.5000	468.0000	0	1245.0000	433.5000	0	20.1088	572.1631	0	1246.5000	438.0000	0	20.3694	558.4939	0
11	190.5000	1023.0000	0	337.5000	375.0000	0	688.5000	415.5000	0	439.5000	772.5000	0	1065.0000	468.0000	0	1243.5000	433.5000	0	20.6548	572.8837	0	1246.5000	438.0000	0	20.8719	559.3367	0
12	186.2255	1017.7699	0	337.5000	375.0000	0	690.0000	412.5000	0	438.0000	771.0000	0	1065.0000	468.0000	0	1245.0000	433.5000	0	20.4498	572.7286	0	1246.5000	438.0000	0	21.1692	559.8722	0
13	189.0000	1024.5000	0	337.5000	384.0000	0	690.0000	412.5000	0	438.0000	772.5000	0	1065.0000	469.5000	0	1245.0000	433.5000	0	20.2554	572.4796	0	1254.0000	442.5000	0	21.1619	560.7959	0
14	187.5000	1023.0000	0	336.0000	373.5000	0	690.0000	412.5000	0	436.5000	771.0000	0	1065.0000	469.5000	0	1249.3014	439.8356	0	15.0000	570.0000	0	1254.0000	442.5000	0	21.4951	559.6392	0
15	187.5000	1024.5000	0	339.0000	385.5000	0	690.0000	412.5000	0	436.5000	771.0000	0	1065.0000	469.5000	0	1245.0000	432.0000	0	16.5000	570.0000	0	1254.0000	442.5000	0	20.8788	559.4402	0
