Frame	X1	Y1	Flag1	X2	Y2	Flag2
1	905.3843	723.0834	0	300.0000	834.0000	0
2	890.7986	719.9608	0	301.2291	847.1006	0
3	887.1696	721.1447	0	300.2169	846.7667	0
4	886.7761	721.5569	0	300.0000	834.0000	0
5	886.1639	721.7811	0	300.0000	835.5000	0
6	883.1028	723.2817	0	302.2922	846.8252	0
7	894.4471	719.9029	0	298.5000	831.0000	0
8	882.5181	723.8730	0	301.1131	846.8877	0
9	881.6894	724.4386	0	300.0000	834.0000	0
10	881.0241	725.2195	0	298.3736	846.5087	0
11	891.0000	735.0000	0			
12	880.6160	725.5178	0			
13	891.2386	719.3106	0			
14	874.7128	733.5342	0			
15	876.2467	733.0086	0			
16	884.1909	722.3038	0			
