Frame	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X1	Y1	Flag1
1	837.0000	255.0000	0	796.6442	395.7537	0	861.9596	349.9687	0	816.9240	276.2104	0
2	837.0000	256.5000	0	798.0174	396.7133	0	860.2120	354.4888	0	815.4349	275.2965	0
3	837.0000	258.0000	0	796.0614	394.9710	0	858.2013	352.5591	0	813.6811	275.0707	0
4	837.0000	258.0000	0	794.8054	392.2866	0	858.1897	349.3658	0	813.9923	275.0144	0
5	837.0000	256.5000	0	794.4570	395.0307	0	859.3371	350.1218	0	815.5005	275.7251	0
6	835.5000	258.0000	0	794.3169	395.8319	0	861.9764	350.9320	0	813.3574	275.0417	0
7	835.5000	258.0000	0	794.1310	392.4740	0	863.2307	348.4756	0	815.2753	275.6655	0
8	837.0000	256.5000	0	796.0369	396.5206	0	866.8413	350.1194	0	814.6687	275.7113	0
9	835.5000	256.5000	0	795.8375	393.8360	0	868.1621	350.1245	0	811.8486	274.0171	0
10	835.5000	258.0000	0	795.8967	393.3243	0	867.8158	349.2516	0	812.0671	274.3776	0
11	837.0000	259.5000	0	796.0741	393.1417	0	865.6203	349.7233	0	810.7627	272.6096	0
12	834.0000	258.0000	0	798.4797	393.5515	0	869.6926	350.3014	0	810.1872	273.7595	0
13	834.0000	258.0000	0	800.7007	392.6814	0	867.8939	352.7470	0	807.9671	271.1572	0
14	834.0000	258.0000	0	802.4677	390.4223	0	866.6294	357.9112	0	809.1900	272.8782	0
15	834.0000	259.5000	0	805.6979	388.7839	0	862.5000	358.5000	0	809.5504	273.2807	0
16	834.0000	261.0000	0	804.7236	387.2528	0	859.9440	351.8753	0	812.0873	274.9338	0
17	834.0000	261.0000	0	806.8042	390.3870	0	860.1604	357.9718	0	812.3500	275.0612	0
18	832.5000	259.5000	0	804.0850	389.1168	0	860.1749	355.2596	0	810.6298	272.4114	0
19	834.0000	258.0000	0	804.2646	388.2170	0	859.1528	355.6050	0	812.9330	274.9939	0
20	832.5000	256.5000	0	803.5318	386.3068	0	861.2571	358.3338	0	808.8272	273.3889	0
21	834.0000	258.0000	0	803.7528	386.0190	0	859.4016	361.9712	0	810.7885	274.2433	0
22	835.5000	258.0000	0	803.1914	388.7453	0	857.7924	363.2609	0	810.0718	273.7831	0
23	835.5000	258.0000	0	803.1462	391.3821	0	857.7422	363.1358	0	808.6827	272.4022	0
24	832.5000	258.0000	0	802.3351	393.7820	0	859.9035	364.0154	0	808.2884	272.2288	0
25	831.0000	259.5000	0	806.2307	388.4212	0	860.4580	362.9632	0	808.5070	272.5770	0
26	834.0000	259.5000	0	807.0085	386.4285	0	862.9128	361.3634	0	810.1977	274.6163	0
27	832.5000	259.5000	0	805.1417	389.5334	0	864.8056	365.3097	0	809.8232	274.2232	0
28	832.5000	259.5000	0	806.2240	389.2414	0	864.0970	364.0226	0	811.7049	275.6939	0
29	831.0000	261.0000	0	807.8101	387.1644	0	864.0454	363.7017	0	812.9022	276.4571	0
30	831.0000	261.0000	0	806.3883	388.5020	0	869.1077	360.4431	0	812.5139	276.5667	0
31	829.5000	261.0000	0	813.6049	385.2853	0	872.0038	357.6085	0			
32	831.0000	261.0000	0	816.4098	384.0279	0	874.9245	356.6862	0			
33	831.0000	259.5000	0	818.6965	381.8130	0	877.1425	356.2164	0			
34	829.5000	259.5000	0	816.4285	380.5703	0	876.0260	356.7684	0			
35	831.0000	259.5000	0	816.1970	380.2920	0	875.9386	356.4303	0			
36	831.0000	259.5000	0	816.2252	380.1783	0	876.7141	354.4279	0			
37	829.5000	258.0000	0	819.0218	376.7161	0	877.0969	352.5271	0			
38	829.5000	256.5000	0	817.0301	376.0467	0	876.0927	355.6024	0			
39	828.0000	256.5000	0	819.3263	373.9013	0	876.5530	355.4490	0			
40	826.5000	258.0000	0	822.6079	375.4254	0	876.8753	358.6672	0			
41	828.0000	258.0000	0	826.1675	373.7265	0	880.2446	355.9733	0			
42	826.5000	256.5000	0	825.9374	374.8623	0	879.5225	357.9961	0			
43	826.5000	258.0000	0	826.8980	374.3756	0	883.2053	361.0447	0			
44	826.5000	256.5000	0	826.5114	375.5713	0	882.9978	358.4776	0			
45	828.0000	258.0000	0	825.1586	379.2039	0	881.7827	359.1118	0			
46	828.0000	256.5000	0	825.1426	381.4444	0	885.2081	361.1619	0			
47	828.0000	258.0000	0	824.7546	385.4178	0	883.8048	360.7596	0			
48	828.0000	258.0000	0	825.8047	383.5975	0	885.6157	357.8063	0			
49	828.0000	259.5000	0	828.3808	380.0323	0	884.1107	356.2348	0			
50	828.0000	259.5000	0	829.1096	382.0102	0	883.8073	355.6725	0			
51	828.0000	258.0000	0	830.5815	383.1894	0	884.8601	351.3699	0			
52	826.5000	258.0000	0	829.6409	381.7795	0	882.7642	348.5503	0			
53	826.5000	256.5000	0	829.5722	381.9471	0	885.0000	349.5000	0			
54	828.0000	256.5000	0	827.5450	383.3423	0	883.8067	346.7464	0			
55	828.0000	255.0000	0	828.5041	380.0053	0	881.1270	346.3535	0			
56	828.0000	255.0000	0	828.6725	376.7533	0	883.1197	345.4766	0			
57	826.5000	253.5000	0	827.6220	379.7924	0	886.0357	343.3570	0			
58	825.0000	255.0000	0	828.8566	376.2785	0	892.4810	338.7331	0			
59	823.5000	255.0000	0	828.4000	381.8724	0	891.4231	343.3112	0			
60	823.5000	255.0000	0	829.1921	387.9641	0	893.0169	340.3423	0			
61	823.5000	255.0000	0	830.1288	387.4601	0	892.1507	335.7528	0			
62	823.5000	253.5000	0	830.8762	382.9824	0	893.1813	335.5844	0			
63	822.0000	255.0000	0	831.0000	379.5000	0	893.7727	339.8448	0			
64	822.0000	256.5000	0	831.0000	382.5000	0	892.7587	342.8764	0			
65	822.0000	256.5000	0	831.0000	379.5000	0	895.0504	339.7028	0			
66	820.5000	258.0000	0	829.5000	381.0000	0	896.5820	337.0926	0			
67	819.0000	258.0000	0	832.5000	381.0000	0	898.3296	335.9863	0			
68	820.5000	258.0000	0	831.0520	382.5928	0	902.7543	332.4218	0			
69	820.5000	258.0000	0	832.0092	379.9143	0	904.8469	328.0602	0			
70	820.5000	258.0000	0	828.7162	381.3219	0	910.2872	332.0844	0			
71	822.0000	258.0000	0	828.4565	381.3467	0	914.1934	333.1019	0			
72	820.5000	259.5000	0	827.2943	378.7454	0	911.9428	328.6436	0			
73	820.5000	261.0000	0	830.6591	374.7714	0	913.2571	330.0674	0			
74	820.5000	261.0000	0	831.2347	374.5470	0	914.8630	334.5011	0			
75	820.5000	258.0000	0	831.7609	376.2242	0	914.3036	333.6727	0			
76	820.5000	258.0000	0	832.4091	376.0587	0	913.9329	330.7450	0			
77	820.5000	256.5000	0	832.9910	378.8406	0	911.7898	330.7637	0			
78	820.5000	256.5000	0	831.9572	376.2209	0	910.3253	328.0604	0			
79	820.5000	256.5000	0	834.8253	376.6639	0	908.7863	325.1200	0			
80	819.0000	258.0000	0	836.1540	380.4375	0	909.0333	324.4235	0			
81	819.0000	258.0000	0	837.5318	382.8174	0	907.7382	324.5466	0			
82	817.5000	256.5000	0	833.3617	381.0625	0	904.9980	325.4761	0			
83	817.5000	258.0000	0	837.2801	377.5526	0	904.6955	321.3903	0			
84	817.5000	256.5000	0	837.2230	378.3385	0	904.8788	325.0163	0			
85	816.0000	256.5000	0	836.7371	375.9647	0	908.0966	319.4836	0			
86	816.0000	256.5000	0	839.3483	374.8327	0	908.7863	315.9005	0			
87	817.5000	256.5000	0	838.1281	374.4809	0	907.8999	322.2325	0			
88	817.5000	258.0000	0	835.6891	375.9539	0	908.4522	329.6989	0			
89	819.0000	258.0000	0	837.0556	378.7009	0	908.1600	329.1270	0			
90	819.0000	256.5000	0	838.2825	379.2793	0	910.2437	328.7961	0			
91	819.0000	256.5000	0	838.9752	375.6097	0	910.9432	326.9674	0			
92	820.5000	255.0000	0	838.9024	374.1928	0	908.2639	327.0048	0			
93	822.0000	255.0000	0	837.8903	369.8458	0	908.2949	324.9904	0			
94	822.0000	255.0000	0	838.6771	371.4994	0	905.2270	324.8741	0			
95	820.5000	255.0000	0	839.1842	370.8976	0	902.6319	325.8565	0			
96	820.5000	256.5000	0	839.4732	370.3288	0	900.7404	328.5879	0			
97	819.0000	255.0000	0	840.4563	368.8940	0	897.5074	328.9951	0			
98	817.5000	255.0000	0	840.9783	370.6475	0	898.2630	331.5729	0			
99	817.5000	255.0000	0	836.9417	371.5888	0	909.5489	333.1856	0			
100	817.5000	253.5000	0	836.1659	368.4749	0	908.5078	330.3093	0			
101	817.5000	255.0000	0	835.6698	369.3888	0	909.8176	329.8328	0			
102	817.5000	253.5000	0	839.2695	371.3245	0	916.0031	327.0915	0			
103	816.0000	255.0000	0	838.5000	372.0000	0	918.5939	332.1712	0			
104	816.0000	255.0000	0	836.4993	371.9055	0	920.7337	329.1718	0			
105	816.0000	255.0000	0	838.6460	374.5773	0	924.0654	325.0220	0			
106	814.5000	255.0000	0	839.6605	375.4228	0	923.6834	326.9484	0			
107	816.0000	256.5000	0	837.6909	378.0172	0	923.9256	328.7662	0			
108	814.5000	256.5000	0	840.2278	379.4758	0	923.9726	330.8209	0			
109	816.0000	258.0000	0	844.5416	374.6131	0	921.4112	328.5797	0			
110	814.5000	261.0000	0	843.7710	373.0602	0	924.0591	330.4138	0			
111	814.5000	259.5000	0	842.2886	374.7986	0	926.4984	332.7606	0			
112	813.0000	259.5000	0	842.5473	376.5223	0	930.2461	329.9792	0			
113	813.0000	261.0000	0	846.3761	376.5526	0	931.3455	326.9609	0			
114	811.5000	261.0000	0	844.5000	376.5000	0	931.9678	328.5022	0			
115	811.5000	259.5000	0	846.0000	375.0000	0	928.9550	332.2132	0			
116	810.0000	261.0000	0	844.7659	376.0903	0	928.2896	333.0524	0			
117	810.0000	261.0000	0	846.3197	375.6694	0						
118	810.0000	261.0000	0	848.3145	376.3617	0						
119	810.0000	262.5000	0	849.4002	375.8858	0						
120	811.5000	261.0000	0	852.6946	374.8387	0						
