Frame	X2	Y2	Flag2	X5	Y5	Flag5	X3	Y3	Flag3	X1	Y1	Flag1	X6	Y6	Flag6	X4	Y4	Flag4
1	1077.0000	1014.0000	0	486.5226	657.3945	0	745.6724	367.9794	0	457.3893	631.4956	0	724.2527	373.6787	0	449.0984	670.2977	0
2	1078.5000	1014.0000	0	486.5478	657.5001	0	747.9794	369.6940	0	471.7003	632.0139	0	723.3454	371.8454	0	449.1504	670.3618	0
3	1078.4681	1015.6837	0	486.6444	657.5201	0	750.5242	370.2576	0	472.8841	633.0859	0	723.7177	374.3912	0	446.7324	673.2652	0
4	1080.4056	1015.0064	0	486.4078	657.6062	0	750.9064	371.0498	0	466.8294	634.2559	0	722.1068	370.6647	0	442.9113	673.9535	0
5	1078.1670	1016.1427	0	486.5211	657.4150	0	747.9766	371.4726	0	458.4731	632.6060	0	724.3310	372.2860	0	449.2086	674.3265	0
6	1080.0000	1017.0000	0	486.6525	657.4388	0	746.6854	370.9227	0	461.9758	631.4650	0	724.4416	373.9274	0	447.6618	675.4928	0
7	1078.5000	1018.5000	0	479.2520	650.4905	0	744.8813	369.8802	0	461.7789	628.4205	0	721.2339	367.8601	0	450.1655	671.5996	0
8	1081.7650	1017.4152	0	486.9001	657.2037	0	747.3168	370.9532	0	476.9752	628.0899	0	724.9248	373.7016	0	441.1322	657.4959	0
9	1079.6466	1020.0306	0	487.5167	657.6974	0	748.2312	371.3367	0	471.0994	626.5399	0	724.6569	373.1464	0	452.0524	669.0437	0
10	1082.4093	1013.6754	0	487.2463	657.6132	0	746.8960	373.0255	0	477.7530	629.0833	0	724.1661	372.2824	0	450.5101	652.2248	0
11	1081.9796	1021.7190	0	487.5709	657.6385	0	747.7126	374.6402	0	477.9091	625.7803	0	723.8246	371.1784	0			
12	1082.4083	1014.2221	0	486.9364	657.3836	0	745.9480	374.3678	0	481.9627	625.0435	0	720.5781	367.3698	0			
13	1082.3737	1017.3534	0	487.5000	657.0000	0	745.7124	372.7029	0	482.6701	623.9246	0	716.6148	362.7876	0			
