Frame	X2	Y2	Flag2	X1	Y1	Flag1	X3	Y3	Flag3
1	853.9782	309.5117	0	876.1976	671.1757	0	860.5525	697.8518	0
2	860.0093	321.0008	0	876.3253	671.2191	0	861.0303	691.8336	0
3	861.4537	333.0797	0	876.0545	670.9883	0	868.5503	692.7019	0
4	860.0003	336.2248	0	876.2513	671.1606	0	859.9774	686.9746	0
5	857.2959	334.9702	0	876.0291	671.0970	0	860.3644	692.1864	0
6	856.4849	335.5849	0	875.9949	671.0398	0	862.9676	685.2049	0
7	858.7752	336.6860	0	875.9742	670.9454	0	866.3996	677.4368	0
8	859.5000	339.0000	0	876.0439	671.0436	0	870.5876	672.8823	0
9	861.0000	339.0000	0	876.0931	670.8069	0	870.7667	673.0080	0
10	859.5000	339.0000	0	877.0771	671.5549	0	871.3122	672.3012	0
11	858.0000	334.5000	0	878.0346	672.7297	0	871.7616	672.8845	0
12	853.5000	333.0000	0	877.0939	672.3944	0	873.3033	674.3051	0
13	849.0000	331.5000	0	878.2335	673.2056	0	886.0145	667.0852	0
14	852.0000	336.0000	0	878.3414	672.8645	0	885.3648	667.1789	0
15	853.5000	337.5000	0	878.3621	673.0615	0	885.4362	668.4922	0
16	850.5000	339.0000	0	875.0524	668.0480	0	886.6632	668.5567	0
17	855.0000	337.5000	0	875.3060	668.5468	0	886.3456	668.1584	0
18	859.5000	339.0000	0	875.9434	667.6297	0	886.2934	669.7315	0
19	856.9448	336.0306	0	875.4276	668.2225	0	885.0755	670.7036	0
20	857.1823	335.1985	0	874.8545	669.6568	0	883.7771	672.2259	0
21	861.0000	331.5000	0	876.3447	669.8517	0	884.5293	671.7961	0
22	860.0722	334.7606	0	874.5000	661.5000	0	884.1345	671.6491	0
23	865.5000	333.0000	0	876.7922	670.0160	0	882.4050	673.2196	0
24	868.5000	330.0000	0	876.6327	671.2597	0	884.7256	672.0864	0
25	868.5000	327.0000	0	877.9840	672.6388	0	884.1196	674.0751	0
26	862.6341	331.4062	0	875.6218	673.7825	0	885.9256	675.0628	0
27	868.5000	325.5000	0	871.5000	669.0000	0	886.3017	673.8769	0
28	864.0000	324.0000	0	874.5114	672.2138	0	885.7924	673.3760	0
29	865.5000	322.5000	0	871.5000	670.5000	0	886.1636	674.8655	0
30	862.5000	322.5000	0	873.0000	669.0000	0	884.5702	676.7109	0
31	862.5000	328.5000	0	875.1362	671.9943	0	886.8659	677.2875	0
32	859.5000	330.0000	0	870.0000	667.5000	0	886.2641	676.9686	0
33	858.0000	328.5000	0	867.0000	669.0000	0	884.3919	678.1237	0
34	856.5000	328.5000	0	867.0000	669.0000	0	885.1408	675.6351	0
35	853.5000	325.5000	0	862.5000	667.5000	0	884.6554	676.6042	0
36	856.9615	331.1794	0	865.5000	669.0000	0	884.2732	676.5342	0
37	857.4072	331.7921	0	867.0000	672.0000	0	883.2171	676.9414	0
38	856.4907	331.7915	0	865.5000	673.5000	0	884.0927	678.8473	0
39	855.0759	331.3412	0	870.0000	676.5000	0	881.9565	679.0355	0
40	854.8914	330.2487	0	873.0000	673.5000	0	880.4893	677.9968	0
41	855.5598	328.6849	0	874.5000	670.5000	0	880.8836	678.1933	0
42	857.2088	330.0102	0	874.5000	667.5000	0	880.8175	681.2835	0
43	856.7086	331.6448	0	873.0000	673.5000	0	879.7189	682.6847	0
44	856.0525	330.3353	0	873.0000	676.5000	0	880.5898	682.6978	0
45	856.4454	329.9455	0	876.0000	675.0000	0	882.4612	680.9108	0
46	856.9505	331.6848	0	877.5000	676.5000	0	882.9447	679.4710	0
47	857.3742	331.7238	0	874.5000	678.0000	0			
48	856.1418	331.0247	0	874.1193	676.4761	0			
49	857.1535	332.1203	0	874.0183	676.8695	0			
50	858.8880	332.7710	0	872.9970	676.9266	0			
51	856.8262	333.3506	0	870.8139	676.2895	0			
52	857.5212	334.3947	0	870.4732	676.6595	0			
53	857.5612	335.1105	0	871.7601	675.5265	0			
54	859.5855	335.4988	0	872.6838	676.9210	0			
55	855.4126	335.6863	0	873.4524	677.9683	0			
56	855.1777	336.6023	0	874.8724	676.4034	0			
57	854.6234	337.4099	0	875.2874	675.7896	0			
58	856.4744	336.6292	0	876.9469	675.4360	0			
59	855.6354	337.7403	0	875.6800	675.9989	0			
60	854.8063	337.2022	0	874.2400	676.0173	0			
61	852.0000	339.0000	0	874.7146	677.0362	0			
62	850.5000	342.0000	0	875.4608	677.2188	0			
63	855.0210	337.5448	0	875.0249	677.0004	0			
64	855.3943	337.6133	0	875.5337	675.6355	0			
65	853.5000	343.5000	0	873.5181	675.4964	0			
66	856.0775	338.3368	0	874.1672	675.3303	0			
67	856.0110	338.5254	0	875.0480	675.4234	0			
68	856.9519	338.5325	0	875.4135	675.8661	0			
69	855.0566	340.2184	0	876.6925	676.0311	0			
70	854.4430	338.5100	0	876.7320	674.6240	0			
71	854.5811	337.8980	0	892.7475	674.8836	0			
72	853.8471	338.6874	0	896.3261	670.6799	0			
73	858.3821	337.6127	0	898.7834	668.0614	0			
74	858.6753	338.5409	0	899.0666	670.0426	0			
75	858.6267	337.9764	0	897.6038	670.3507	0			
