Frame	X2	Y2	Flag2	X1	Y1	Flag1	X3	Y3	Flag3
1	114.0000	280.5000	0	852.0000	796.5000	0	862.7490	779.4641	0
2	114.0000	280.5000	0	853.5000	796.5000	0	861.7814	778.4252	0
3	117.0000	283.5000	0	848.5222	794.7134	0	843.1825	784.2657	0
4	115.5000	282.0000	0	855.0000	796.5000	0	835.5000	786.0000	0
5	118.5000	280.5000	0	855.0000	795.0000	0	835.5000	786.0000	0
6	120.0000	280.5000	0	853.5000	796.5000	0	841.2043	785.3201	0
7	120.0000	280.5000	0	849.4360	794.4104	0	842.6043	781.8778	0
8	120.0000	279.0000	0	856.5000	796.5000	0	841.8930	781.3881	0
9	118.5000	279.0000	0	855.0000	796.5000	0	842.5869	781.3582	0
10	118.5000	280.5000	0	852.0000	795.0000	0	842.2644	781.1126	0
11	120.0000	279.0000	0	853.5000	795.0000	0	840.9724	782.1698	0
12	121.5000	279.0000	0	846.4440	792.4923	0	840.0000	784.5000	0
13	120.0000	280.5000	0	852.0000	796.5000	0	838.5000	784.5000	0
14	120.0000	279.0000	0	852.6089	797.3713	0	840.7717	781.5311	0
15	118.5000	279.0000	0	852.0000	795.0000	0	840.1438	781.0868	0
16	121.5000	274.5000	0	845.9067	791.1411	0	834.0000	786.0000	0
17	115.5000	277.5000	0	847.5000	793.5000	0	841.5000	787.5000	0
18	117.0000	279.0000	0	847.5000	793.5000	0	841.2601	779.7721	0
19	118.5000	276.0000	0	852.0000	793.5000	0	840.5893	781.2630	0
20	114.0000	276.0000	0	852.0000	793.5000	0			
21	114.0000	279.0000	0	847.5000	793.5000	0			
22	117.0000	277.5000	0	847.5000	793.5000	0			
23	120.0000	279.0000	0	841.5000	784.5000	0			
24	120.0000	279.0000	0	849.1942	797.1084	0			
25	113.3047	281.7265	0	848.2482	796.2750	0			
26	118.5000	276.0000	0	844.5000	793.5000	0			
27	114.0000	277.5000	0	840.8140	792.4026	0			
28	114.0000	277.5000	0	844.5000	793.5000	0			
29	117.0000	276.0000	0	844.5000	793.5000	0			
30	117.0000	274.5000	0	846.0000	792.0000	0			
31	115.5000	279.0000	0	844.5000	792.0000	0			
32	117.0000	279.0000	0	843.0000	793.5000	0			
33	117.0000	274.5000	0	841.5000	792.0000	0			
34	114.0000	279.0000	0	840.0000	787.5000	0			
35	113.4104	282.0497	0	843.0000	792.0000	0			
36	113.4401	281.2990	0	844.5000	790.5000	0			
37	114.0221	282.3187	0	842.5679	789.6531	0			
38	114.0000	280.5000	0	841.1789	789.0238	0			
39	114.0000	279.0000	0	840.0000	789.0000	0			
40	112.5000	280.5000	0	842.4118	787.9581	0			
41	114.0000	279.0000	0	839.9493	788.3924	0			
42	114.0000	279.0000	0	840.2619	787.8360	0			
43	111.0000	276.0000	0	840.0822	788.2802	0			
44	112.5000	277.5000	0	840.0000	789.0000	0			
45	112.5000	279.0000	0	844.5000	787.5000	0			
46	112.5000	280.5000	0	844.0071	786.8631	0			
47	112.5000	277.5000	0	842.2311	786.4019	0			
48	112.5000	279.0000	0	841.5000	787.5000	0			
49	114.0000	279.0000	0	844.5000	795.0000	0			
50	112.5000	277.5000	0	838.5000	786.0000	0			
51	114.0000	279.0000	0	838.5000	787.5000	0			
52	111.0000	282.0000	0	841.2591	786.3132	0			
53	109.5000	283.5000	0	840.2937	787.3475	0			
54	114.0000	280.5000	0	841.8813	786.6279	0			
55	114.0000	279.0000	0	842.3484	786.9644	0			
56	112.5000	280.5000	0	843.0520	786.3566	0			
57	111.0000	280.5000	0						
58	111.0000	280.5000	0						
59	111.0000	282.0000	0						
60	109.5000	282.0000	0						
61	111.0000	282.0000	0						
62	111.0000	280.5000	0						
63	112.5000	280.5000	0						
64	109.5000	282.0000	0						
65	111.0000	283.5000	0						
66	114.0000	280.5000	0						
67	111.0000	283.5000	0						
68	112.5000	283.5000	0						
69	111.0000	285.0000	0						
70	112.5000	283.5000	0						
71	118.5000	277.5000	0						
72	118.5000	277.5000	0						
73	114.0000	282.0000	0						
74	114.0000	282.0000	0						
75	115.5000	280.5000	0						
76	118.5000	277.5000	0						
77	120.0000	276.0000	0						
78	118.5000	277.5000	0						
79	114.0000	280.5000	0						
80	114.0000	280.5000	0						
81	118.5000	277.5000	0						
82	114.2963	279.9703	0						
83	108.0000	283.5000	0						
84	118.5000	277.5000	0						
85	109.5000	282.0000	0						
86	108.0000	282.0000	0						
87	109.5000	280.5000	0						
88	115.5000	279.0000	0						
89	108.0000	282.0000	0						
90	114.0315	280.0794	0						
91	114.0125	280.0791	0						
92	113.9912	280.4436	0						
93	105.0000	285.0000	0						
94	102.0000	285.0000	0						
95	105.0000	285.0000	0						
96	103.5000	283.5000	0						
