Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9
Tracks 1 to 9
1	756.51576	189.37308	 	 	 	 	788.40898	192.29878	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	756.36534	188.76590	 	 	 	 	788.30336	192.54412	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	756.19772	186.91811	 	 	 	 	787.83847	193.39343	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	757.06987	183.88322	*	 	 	 	787.68087	195.32459	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	757.01544	186.29949	 	 	 	 	788.56029	194.06794	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	758.26427	186.53354	 	 	 	 	790.06958	195.93498	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	760.94915	193.19976	*	 	 	 	790.34287	186.94747	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	759.66626	193.07150	 	 	 	 	791.53132	189.19350	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	760.08526	195.86012	 	 	 	 	791.05178	184.38346	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	760.15058	192.68744	 	 	 	 	792.00381	189.14203	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	761.63869	186.09187	 	 	 	 	790.73006	196.47610	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	765.52517	180.94012	 	 	 	 	786.88869	200.73159	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	764.68412	181.49856	 	 	 	 	786.40698	203.02909	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	766.10623	179.85561	 	 	 	 	784.76781	204.62513	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	768.80991	178.07334	 	 	 	 	782.24198	206.44797	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	763.95737	183.54145	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	764.97225	181.33518	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	 	 	 	772.75658	173.10920	 	773.95738	209.24553	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	 	 	 	770.08805	177.17582	 	780.07691	207.82973	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	770.78273	176.62268	 	778.94655	208.40107	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	 	 	 	770.66429	176.81879	 	778.98955	208.27678	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	 	 	 	772.48472	176.35044	 	776.86629	209.43432	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	 	 	 	766.03398	180.48764	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	 	 	 	763.73316	185.21445	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	 	 	 	762.34596	189.26963	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	 	 	 	762.71098	198.43057	 	790.08555	180.20768	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	 	 	 	760.94713	196.16380	 	791.31919	183.30172	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
