Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
1	1145.42317	1033.24537	 	498.79210	761.09988	 	 	 	 	 	 	 
2	 	 	 	498.96266	761.07935	 	 	 	 	 	 	 
3	1148.87580	1033.75478	*	498.37582	761.29847	 	 	 	 	 	 	 
4	1148.57916	1033.03206	 	498.23956	761.23587	 	 	 	 	 	 	 
5	1147.96174	1035.68074	 	498.18322	761.31206	 	 	 	 	 	 	 
6	1149.69345	1032.18816	 	498.17458	765.75447	 	479.95548	782.35959	 	 	 	 
7	1146.15761	1031.09783	 	497.72325	766.67663	 	477.91071	781.57526	 	 	 	 
8	1146.37179	1029.79808	 	498.00211	767.73470	 	478.38601	781.56218	 	 	 	 
9	1146.81301	1031.20325	 	498.40697	768.41525	 	479.45439	783.03301	 	 	 	 
10	1142.93135	1033.98145	 	498.55595	765.74561	 	478.57267	774.85174	 	 	 	 
11	1140.39370	1030.45984	 	498.63519	764.21728	 	479.95337	780.03109	 	 	 	 
12	1140.39385	1030.04323	 	498.96258	764.74151	 	481.32471	777.97882	 	 	 	 
13	1138.66875	1028.00783	 	499.46552	764.58676	 	479.92213	776.25615	 	 	 	 
14	1138.69691	1024.88581	 	499.76537	764.71008	 	480.46458	775.15651	 	 	 	 
15	1137.42689	1025.74284	 	500.54441	762.97405	 	481.21429	777.05844	 	 	 	 
16	 	 	 	499.53972	760.62350	 	 	 	 	 	 	 
17	 	 	 	501.82988	760.01521	 	 	 	 	 	 	 
18	 	 	 	503.26697	759.20588	 	 	 	 	 	 	 
19	 	 	 	503.03195	759.19361	 	 	 	 	 	 	 
20	 	 	 	495.08333	769.94521	 	 	 	 	 	 	 
21	 	 	 	503.54508	758.91393	 	 	 	 	 	 	 
22	1130.44170	1021.61013	*	503.16291	759.25130	 	 	 	 	 	 	 
23	1109.51264	1016.98556	 	504.73077	761.41687	 	 	 	 	 	 	 
24	1110.37719	1015.58772	 	506.13433	760.49440	 	 	 	 	 	 	 
25	 	 	 	503.84393	759.19461	 	 	 	 	 	 	 
26	 	 	 	492.41469	768.87422	 	 	 	 	 	 	 
27	1115.27517	1016.18792	*	495.75767	767.78942	 	 	 	 	 	 	 
28	 	 	 	497.75673	768.31107	 	 	 	 	 	 	 
29	 	 	 	497.98108	768.53243	 	 	 	 	 	 	 
30	 	 	 	500.37931	767.26207	 	 	 	 	875.21698	635.76415	 
31	 	 	 	507.82759	756.88362	 	 	 	 	 	 	 
32	 	 	 	499.12828	765.05831	 	 	 	 	 	 	 
33	 	 	 	506.03448	755.31897	 	 	 	 	 	 	 
34	 	 	 	506.55034	744.00000	 	 	 	 	 	 	 
35	 	 	 	506.56000	744.01333	 	498.50940	766.06341	 	 	 	 
36	 	 	 	507.07463	744.54478	 	499.94832	766.44956	 	 	 	 
37	 	 	 	 	 	 	499.98520	765.42866	 	 	 	 
38	 	 	 	 	 	 	502.23077	761.40865	 	864.12252	635.67881	*
39	 	 	 	 	 	 	504.87445	763.71145	 	 	 	 
40	 	 	 	506.56000	744.01333	*	504.69023	765.94599	 	 	 	 
41	1082.26866	1049.39179	 	506.57237	744.03289	 	503.65335	766.60583	 	 	 	 
42	1078.71240	1051.90237	 	 	 	 	501.64473	765.74664	 	 	 	 
43	1083.09101	1053.19379	 	 	 	 	500.71029	765.05223	 	862.44813	635.48340	*
44	1084.61723	1052.83481	 	 	 	 	503.32881	761.81417	 	862.83107	633.12718	 
45	1087.54658	1053.38878	 	 	 	 	503.33799	760.01990	 	859.54215	630.66858	 
46	1085.53301	1052.99160	 	 	 	 	502.95329	759.47578	 	858.44649	630.92989	 
47	1083.00791	1052.16763	 	 	 	 	501.69631	760.85568	 	856.42077	628.42520	 
48	1086.13562	1050.65238	 	 	 	 	499.77893	761.73230	 	855.18178	628.23271	 
49	1084.62604	1052.69560	 	 	 	 	499.34171	763.20226	 	854.86373	631.33845	 
50	1085.77972	1053.65770	 	 	 	 	499.13923	764.74492	 	852.36087	631.40648	 
51	1086.31038	1053.54922	 	 	 	 	499.04618	764.20635	 	850.74498	627.49913	 
52	1085.97783	1055.47513	 	 	 	 	505.81977	758.57558	 	850.47537	624.80870	 
53	1086.99436	1054.66583	 	 	 	 	497.82199	762.45026	 	848.20488	621.22095	 
54	1083.40389	1055.20578	 	 	 	 	499.45169	760.97090	 	847.74502	620.62810	 
55	1082.24698	1055.99212	 	 	 	 	490.49462	751.17921	 	844.22786	622.19304	 
56	1082.24262	1054.30426	 	 	 	 	497.92353	761.09706	 	843.27035	624.02510	 
57	1079.87500	1054.44689	 	 	 	 	496.32196	759.78042	 	841.87921	623.47800	 
58	1078.76178	1054.30283	 	 	 	 	494.45664	760.45750	 	843.29207	626.76982	 
59	1077.39645	1056.37204	 	 	 	 	492.46579	760.00127	 	842.87234	623.32964	 
60	1078.95276	1057.10236	 	 	 	 	492.24754	760.59234	 	841.36526	623.66138	 
61	1076.88710	1057.45308	 	 	 	 	492.75665	757.11787	 	841.70285	623.08256	 
62	1079.94206	1057.67597	 	 	 	 	503.91631	759.45494	 	841.80858	622.82640	 
63	1079.67290	1060.73164	 	 	 	 	504.76732	759.06039	 	842.80246	622.52926	 
64	1078.64317	1061.41850	 	 	 	 	493.46535	755.20682	 	840.72678	624.25875	 
65	1079.51163	1060.08721	 	 	 	 	492.80409	755.25601	 	837.86105	626.58018	 
66	 	 	 	 	 	 	492.84321	752.54836	 	839.04306	627.14386	 
67	 	 	 	 	 	 	493.61267	751.12887	 	837.09836	625.54525	 
68	 	 	 	 	 	 	498.84248	761.39857	 	836.85742	624.84349	 
69	 	 	 	 	 	 	496.10722	752.46804	 	837.19176	623.70526	 
70	1095.25514	1039.63430	*	 	 	 	496.81065	753.70044	 	840.11911	625.02902	 
71	1095.22120	1040.08508	 	 	 	 	498.57593	751.65821	 	839.31789	626.88457	 
72	1093.65948	1039.75347	 	 	 	 	498.86031	754.44327	 	836.92480	624.62398	 
73	1094.07544	1037.78010	 	 	 	 	501.33480	755.13569	 	837.60341	623.04610	 
74	1094.05024	1039.78957	 	 	 	 	500.39916	755.90789	 	839.51203	624.76905	 
75	1092.11426	1037.34176	 	 	 	 	498.84224	756.55000	 	843.29556	621.26438	 
76	1092.61860	1038.01139	 	 	 	 	499.55680	757.64574	 	843.72290	620.82151	 
77	1092.91308	1038.30633	 	 	 	 	500.35079	758.55476	 	840.95611	620.65053	 
78	1102.34064	1042.35174	 	 	 	 	501.45258	759.07443	 	839.72775	619.06468	 
79	1100.46734	1044.59815	 	 	 	 	502.94816	759.21828	 	838.61721	622.74122	 
80	1100.59174	1044.31715	 	 	 	 	501.04240	759.64523	 	836.86512	621.53809	 
81	1099.95069	1043.10911	 	 	 	 	499.57741	757.78680	 	836.71074	618.46643	 
82	1097.89335	1042.21470	 	 	 	 	492.84567	764.10994	 	836.67668	619.31291	 
83	1097.67925	1041.28958	 	 	 	 	493.46465	764.26768	 	834.28399	619.89847	 
84	1095.39905	1038.78964	 	 	 	 	493.99721	763.41226	 	833.54194	616.79274	 
85	1083.30446	1033.90664	 	 	 	 	498.20359	757.27545	 	833.51701	618.96568	 
86	1093.94451	1040.55436	 	 	 	 	488.57037	751.85432	 	833.44361	617.13213	 
87	1080.05217	1032.16957	 	 	 	 	498.10434	756.79002	 	833.35428	617.06871	 
88	 	 	 	 	 	 	497.98224	756.03835	 	831.96309	617.43621	 
89	1087.07256	1032.50894	*	 	 	 	498.65928	755.08614	 	829.97681	619.25580	 
90	1088.52181	1031.94704	 	 	 	 	502.32057	754.92557	 	830.76639	618.53844	 
91	1089.04019	1035.12530	 	 	 	 	503.09056	754.01065	 	830.42456	620.47999	 
92	1088.67024	1036.00804	 	 	 	 	503.89870	755.04281	 	829.89431	620.95943	 
93	1086.44224	1037.61056	 	 	 	 	502.01590	753.33091	 	831.78703	620.56668	 
94	1086.03315	1039.35083	 	 	 	 	501.42849	752.53127	 	831.80821	622.64430	 
95	1095.35377	1049.40684	 	 	 	 	500.10339	754.04634	 	832.31747	623.10200	 
96	1085.88532	1040.83028	 	 	 	 	501.45951	752.22094	 	830.77688	624.45528	 
97	 	 	 	 	 	 	501.12252	748.93966	 	829.85308	624.36263	 
98	1090.79444	1043.35858	*	 	 	 	500.02348	749.90083	 	829.14418	623.31977	 
99	1090.27230	1041.41315	 	 	 	 	498.30755	749.92021	 	829.31745	623.37928	 
100	1087.04157	1040.90993	 	 	 	 	496.90345	750.48663	 	827.23841	623.38408	 
101	 	 	 	 	 	 	497.91771	751.33092	 	829.68859	625.20114	 
102	1088.40452	1045.94975	*	 	 	 	496.22279	751.52792	 	829.44729	624.24949	 
103	1091.64886	1055.25258	 	 	 	 	494.50667	752.09861	 	828.59023	624.60067	 
104	1094.41075	1044.91681	 	 	 	 	495.81874	751.56065	 	827.31909	624.66853	 
105	1087.03114	1043.65201	 	 	 	 	494.55278	751.32406	 	826.27784	623.86354	 
106	1091.36887	1042.93817	 	 	 	 	495.00000	753.00000	 	830.14958	625.04432	 
107	1089.96023	1046.09280	 	 	 	 	496.37747	753.93408	 	830.39071	625.78274	 
108	1090.05296	1048.68696	 	 	 	 	497.37489	751.32581	 	831.31623	628.28078	 
109	1090.81379	1049.09667	 	 	 	 	497.17988	747.93259	 	831.24377	627.93767	 
110	1090.95874	1047.11198	 	 	 	 	498.31560	747.87586	 	827.25771	630.80192	 
111	1086.20565	1053.57661	 	 	 	 	499.94252	749.89191	 	827.19199	631.98860	 
112	1088.79130	1056.36957	 	 	 	 	500.91988	751.41554	 	827.45875	633.66123	 
113	 	 	 	 	 	 	501.53175	750.75208	 	825.69355	633.25697	 
114	1084.96183	1056.68893	*	 	 	 	503.04535	750.20570	 	826.18316	632.01633	 
115	1087.93910	1055.52564	 	 	 	 	502.50000	750.00000	 	826.85775	628.75630	 
116	1089.73252	1051.84785	 	 	 	 	500.85723	753.24913	 	827.98917	629.76319	 
117	1087.31148	1053.53689	 	 	 	 	497.45615	751.69069	 	826.42497	631.08230	 
118	1088.49763	1055.83412	 	 	 	 	495.29755	753.78942	 	826.21993	632.93758	 
119	1090.22609	1055.07826	 	 	 	 	494.30419	754.84387	 	825.52564	633.67179	 
120	1089.04730	1054.98649	 	 	 	 	495.08435	754.70931	 	825.76112	633.72488	 

Track 	Length	Distance traveled	Nr of Frames
1	404.35570	60.42280	90
2	130.64253	18.75672	38
3	308.49767	31.51857	96
4	171.00404	49.49789	80
