Frame	X11	Y11	Flag11	X13	Y13	Flag13	X12	Y12	Flag12	X2	Y2	Flag2	X10	Y10	Flag10	X6	Y6	Flag6	X9	Y9	Flag9	X3	Y3	Flag3	X7	Y7	Flag7	X16	Y16	Flag16	X18	Y18	Flag18	X8	Y8	Flag8	X1	Y1	Flag1	X4	Y4	Flag4	X5	Y5	Flag5	X15	Y15	Flag15	X14	Y14	Flag14	X17	Y17	Flag17
1	1141.1162	784.6669	0	395.3522	266.1055	0	1177.9492	71.9823	0	1166.2014	53.0486	0	946.5779	148.3218	0	198.3187	142.7143	0	932.6752	153.0234	0	938.5143	125.9533	0	952.8281	143.0955	0	1168.4086	89.8833	0	302.6095	712.0118	0	942.8548	127.4596	0	1204.1029	54.4434	0	1145.3387	749.5538	0	148.0185	111.9974	0	294.7586	699.3534	0	1119.6562	753.6108	0	192.9609	113.0703	0
2	1141.1891	784.6675	0	395.2939	267.2903	0	1177.8967	70.9353	0	1183.7383	53.2318	0	926.4746	148.9545	0	199.7343	140.5852	0	928.3503	158.1853	0	939.0490	127.5041	0	954.1520	150.8214	0	1166.7179	91.6232	0	298.8383	714.9357	0	943.8179	125.0131	0	1203.2557	57.4633	0	1146.2547	750.8446	0	148.0921	114.2105	0	298.9360	698.5353	0	1117.9471	756.1147	0	191.8176	111.4696	0
3	1143.0000	786.0000	0	393.0616	269.0662	0	1178.0407	70.8823	0	1181.1624	52.2320	0	927.4755	147.3429	0	199.8956	142.1032	0	930.0578	156.9442	0	938.6535	128.0196	0	956.4301	147.7989	0	1163.7565	86.6810	0	297.3848	715.5476	0	944.8401	125.4824	0	1203.9377	55.0726	0	1144.5366	751.7675	0	145.3467	115.6667	0	297.0478	700.9522	0	1122.0275	749.7857	0	197.1398	115.8548	0
4	1143.0000	786.0000	0	393.1023	267.5996	0	1177.5000	75.0000	0	1190.6505	53.3449	0	926.9435	147.6849	0	196.7278	146.8089	0	940.7334	151.7599	0	938.4172	127.2799	0	955.3870	149.5795	0	1167.3096	89.4964	0	295.9859	715.6500	0	941.3681	131.0705	0	1205.5269	57.7361	0	1147.2634	752.6720	0	141.9932	122.5238	0	299.6018	701.7588	0	1119.1143	760.3000	0	199.2440	118.5749	0
5	1143.0000	786.0000	0	394.8741	267.4350	0	1177.5000	76.5000	0	1187.5074	50.3407	0	936.6030	134.1962	0	200.7674	138.4567	0	930.2014	155.3887	0	937.8486	128.2096	0	952.9601	146.4688	0	1163.6774	92.5323	0	294.3309	712.8744	0	939.5924	133.7557	0	1207.0230	58.7951	0	1149.0709	756.7731	0	145.1098	125.1195	0	302.4938	702.0000	0	1122.0458	756.0888	0	204.1429	123.6829	0
6	1141.7232	785.8452	0	395.0627	270.3838	0	1177.5000	75.0000	0	1182.6106	53.6569	0	933.0000	133.5000	0	196.1283	145.4861	0	924.9884	156.6959	0	938.1929	126.4810	0	950.2290	148.9953	0	1163.8543	92.1611	0	293.1838	710.4224	0	944.1063	129.1263	0	1203.6686	55.1838	0	1149.4562	756.0250	0	151.7175	118.8588	0	305.8562	712.1688	0	1121.1129	757.7742	0	205.6016	126.4453	0
7	1141.7507	786.1565	0	393.3392	270.0503	0	1177.5000	75.0000	0	1182.3613	54.8634	0	933.0000	132.0000	0	199.6648	137.9006	0	932.2206	157.4762	0	938.1718	128.9227	0	939.7626	153.2732	0	1166.7956	92.6735	0	291.7607	708.3049	0	946.0692	129.4562	0	1202.9990	52.1226	0	1141.5478	756.3631	0	152.4246	117.7024	0	303.4869	711.2603	0	1121.2951	757.6250	0	204.6025	110.9685	0
8	1144.5000	786.0000	0	396.6760	270.2214	0	1177.5000	75.0000	0	1189.0055	52.6974	0	936.8859	133.3682	0	201.7808	135.4835	0	926.6811	155.5536	0	939.2346	127.8920	0	953.1412	149.5300	0	1167.2332	92.6230	0	291.0170	709.6681	0	948.4982	120.4917	0	1199.3458	51.6241	0	1143.7054	755.2636	0	151.8151	118.7815	0	304.9971	710.6941	0	1121.9729	757.6808	0	202.6942	107.9320	0
9	1141.9559	786.2942	0	396.7721	272.3372	0	1177.5000	75.0000	0	1187.0134	52.1844	0	936.8662	133.0310	0	201.2659	133.7612	0	927.4450	156.4398	0	938.1266	128.2589	0	952.2195	148.2568	0	1161.3750	91.2500	0	289.3250	711.0338	0	949.1051	119.5442	0	1195.2817	51.0155	0	1141.2643	756.9821	0	153.3618	116.7588	0	308.3624	711.3289	0	1121.7602	757.7466	0	201.3023	113.1615	0
10	1143.0000	786.0000	0	398.4124	273.3260	0	1177.5000	75.0000	0	1182.3327	55.1924	0	934.2385	138.9118	0	204.4420	139.5966	0	924.0104	157.9635	0	938.7217	126.9203	0	950.8325	149.2707	0	1164.3773	89.5831	0	288.3627	712.3700	0	948.2441	120.8153	0	1193.7841	48.6676	0	1146.3075	760.3656	0	155.7287	115.1293	0	304.4686	712.4650	0	1119.6522	765.4348	0	201.2892	121.0241	0
