Frame	X4	Y4	Flag4	X6	Y6	Flag6	X7	Y7	Flag7	X5	Y5	Flag5	X3	Y3	Flag3	X2	Y2	Flag2	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X1	Y1	Flag1	X8	Y8	Flag8
1	886.5000	427.5000	0	985.3192	597.0312	0	74.6384	353.6313	0	165.0000	645.0000	0	979.1208	588.5253	0	995.9164	572.6490	0	867.9643	441.2857	0	855.9336	408.9258	0	1254.4064	1064.4817	0	712.4264	1030.4189	0	82.9457	380.4070	0	894.0757	436.4101	0
2	886.5000	429.0000	0	984.6798	596.5864	0	74.5166	354.2534	0	170.7374	641.9775	0	979.3585	587.4952	0	995.9901	572.3717	0	865.6944	438.1204	0	856.7080	407.5133	0	1251.4906	1062.3077	0	714.0664	1033.2449	0	86.3605	375.6327	0	897.0149	435.0280	0
3	886.5000	429.0000	0	983.8809	594.3282	0	74.2083	354.3236	0	170.4468	642.4897	0	979.3039	587.9099	0	996.3070	572.6890	0	860.3041	435.0341	0	856.6127	408.9648	0	1252.4544	1061.0184	0	711.9752	1035.2820	0	82.9431	379.2827	0	899.0060	430.9378	0
4	886.5000	427.5000	0	987.8022	595.6647	0	74.7788	354.8727	0	169.6428	642.4292	0	980.3585	586.4459	0	995.6045	571.6300	0	860.7033	437.5934	0	860.3226	405.1828	0	1254.7039	1062.7590	0	715.0318	1035.7727	0	78.1659	381.6114	0	898.9295	429.1156	0
5	888.0000	427.5000	0	989.1275	595.2084	0	75.0982	355.7144	0	168.5594	642.5909	0	980.0546	586.6535	0	995.9112	572.6884	0	861.5373	439.2687	0	879.1377	401.1667	0	1255.1568	1061.7845	0	715.8736	1037.2332	0	77.8237	381.1295	0	890.1244	429.0982	0
6	880.7523	420.9815	0	988.6870	594.6963	0	74.4293	355.9799	0	172.5000	640.5000	0	980.2011	586.6814	0	996.0640	571.8373	0	859.3878	440.2571	0	885.1638	401.3758	0	1258.0144	1062.3330	0	714.1545	1037.1127	0	72.4880	380.9537	0	887.5036	431.2893	0
7	881.4884	421.4443	0	988.3580	594.1029	0	73.9354	356.0589	0	166.4066	642.1220	0	980.5520	586.2014	0	995.4413	570.7929	0	854.4661	438.2203	0	887.0668	402.5942	0	1257.4015	1063.5847	0	713.4413	1037.0744	0	74.1472	381.3980	0	902.4825	422.1563	0
8	888.0000	427.5000	0	985.6767	595.7188	0	74.0323	355.6781	0	172.5000	639.0000	0	980.6009	586.2017	0	995.8160	571.2266	0	858.0048	442.4589	0	884.7827	399.5578	0	1257.1366	1064.6252	0	715.2097	1036.7429	0	73.6221	381.5385	0	899.0153	429.8298	0
9	889.5000	427.5000	0	984.6170	594.8346	0	73.8044	355.8602	0	172.5000	640.5000	0	980.6755	585.9281	0	995.8695	571.4415	0	854.7577	441.2765	0	890.1176	399.4412	0	1259.1786	1062.5138	0	713.6644	1035.9211	0	72.6374	381.4085	0	900.5369	428.6795	0
10	888.0000	427.5000	0	986.0831	593.3719	0	74.0720	356.1887	0	172.5145	639.9346	0	980.9240	586.0110	0	996.0198	572.6196	0	853.5171	442.5951	0	892.3703	401.7740	0	1257.4117	1062.8421	0	713.7384	1035.4641	0	73.0798	380.3821	0	901.1040	423.2027	0
