Frame	X2	Y2	Flag2	X1	Y1	Flag1	X4	Y4	Flag4	X5	Y5	Flag5	X3	Y3	Flag3
1	1200.8160	379.0738	0	239.9728	363.5270	0	399.1347	759.3147	0	669.0000	1018.5000	0	431.2956	84.5539	0
2	1200.6468	381.1288	0	239.8084	364.4440	0	405.0000	771.0000	0	679.3565	1019.1835	0	431.8420	84.2034	0
3	1201.0261	378.4741	0	240.7684	361.8612	0	405.0000	771.0000	0	667.5000	1018.5000	0	431.1848	84.3923	0
4	1200.7145	379.5463	0	239.8210	364.0374	0	405.0000	769.5000	0	667.5000	1017.0000	0	431.9258	83.9797	0
5	1200.7166	381.4905	0	239.3348	365.6245	0	406.5000	772.5000	0	679.0974	1020.2220	0	434.2622	83.3979	0
6	1201.0658	379.4038	0	240.2105	362.9380	0	405.0000	771.0000	0	679.0697	1021.4632	0	434.2891	83.4233	0
7	1200.9790	378.9210	0	239.6321	364.4620	0	403.5000	769.5000	0	679.5279	1020.6214	0	433.7797	83.4122	0
8	1201.1074	377.9357	0	239.2069	365.5673	0	405.0000	771.0000	0	679.1213	1022.1722	0	434.0261	83.2386	0
9	1201.3283	377.6902	0	239.2985	365.1876	0	403.5000	771.0000	0	679.3977	1018.6657	0	435.0720	83.0991	0
10	1200.6280	380.2767	0	239.2676	365.0613	0	406.5000	772.5000	0	679.6055	1021.2251	0	433.8748	83.3361	0
11	1200.4797	381.2908	0	239.2344	365.3559	0	405.0000	772.5000	0	680.1209	1020.9297	0	435.6249	83.4928	0
12	1200.2274	380.7901	0	239.6597	364.8380	0	405.0000	772.5000	0	679.6611	1022.2237	0	436.5031	83.4750	0
13	1200.2816	380.5824	0	239.5145	364.6645	0	405.0000	772.5000	0	678.8776	1024.3680	0			
14	1200.6748	380.4665	0	239.6699	364.6438	0	405.0000	772.5000	0	679.6100	1021.6258	0			
15	1200.6891	380.5767	0	239.8559	364.2642	0	405.0000	772.5000	0	679.1914	1021.5301	0			
16	1200.4301	382.6741	0	239.6492	364.9668	0	405.0000	774.0000	0	679.3722	1021.1536	0			
17	1200.4933	382.7874	0	239.7911	364.6239	0	405.0000	772.5000	0	679.0163	1021.3292	0			
18	1200.5690	382.2636	0	240.5135	362.2525	0	405.0000	774.0000	0	667.5000	1017.0000	0			
19	1200.3869	381.6061	0	240.7416	361.6529	0	406.5000	772.5000	0	667.5000	1017.0000	0			
20	1200.5751	383.5058	0	240.4971	362.2303	0	405.0000	772.5000	0	667.5000	1018.5000	0			
21	1200.6043	383.0712	0	240.9314	361.5540	0	405.0000	772.5000	0	667.5000	1018.5000	0			
22	1200.9735	379.5346	0	242.2001	360.1683	0	405.0000	774.0000	0	679.3889	1020.6102	0			
23	1200.6251	380.0780	0	240.8640	362.8817	0	405.0000	772.5000	0	679.0344	1021.8904	0			
24	1200.5436	379.8988	0	241.6835	361.6210	0	405.0000	772.5000	0	678.5573	1024.9997	0			
25	1201.6702	376.4046	0	242.5305	360.1422	0	405.0000	772.5000	0						
26	1200.9963	378.3078	0	252.0000	369.0000	0	405.0000	772.5000	0						
27	1200.4102	380.5354	0	252.0000	369.0000	0	403.5000	769.5000	0						
28	1200.6064	379.9985	0	253.5000	369.0000	0	405.0000	771.0000	0						
29	1200.5430	380.5630	0	253.5000	369.0000	0	403.5000	771.0000	0						
30	1200.6130	383.2073	0	253.5000	369.0000	0	406.5000	771.0000	0						
31	1200.6380	380.6833	0	253.5000	369.0000	0	406.5000	771.0000	0						
32	1201.2772	378.4364	0	253.5000	369.0000	0	406.5000	771.0000	0						
33	1200.8175	380.8782	0	253.5000	369.0000	0	408.0000	774.0000	0						
34	1201.1296	379.6213	0	253.5000	370.5000	0									
35	1201.0352	380.7029	0	255.0000	370.5000	0									
36	1201.2336	380.6084	0	256.5000	372.0000	0									
37	1201.5680	379.1265	0	255.0000	370.5000	0									
38	1212.0000	379.5000	0	256.5000	373.5000	0									
39	1202.1388	378.1658	0	256.5000	372.0000	0									
40	1202.5828	376.8869	0	256.5000	372.0000	0									
41	1212.0000	381.0000	0	256.5000	372.0000	0									
42	1213.5000	381.0000	0	256.5000	372.0000	0									
43	1212.7500	381.0000	0	256.5000	372.0000	0									
44	1213.5000	379.5000	0	258.0000	372.0000	0									
45	1213.5000	381.0000	0	256.5000	372.0000	0									
46	1212.0000	381.0000	0	258.0000	372.0000	0									
47	1213.5000	381.0000	0	256.5000	372.0000	0									
48	1213.5000	379.5000	0	256.5000	373.5000	0									
49	1212.0000	381.0000	0	256.5000	372.0000	0									
50	1213.7560	376.8844	0	256.5000	372.0000	0									
51	1216.2204	377.7678	0	256.5000	373.5000	0									
52	1215.7136	376.7692	0	258.0000	373.5000	0									
53	1216.6472	375.0979	0	256.5000	373.5000	0									
54	1214.1232	375.4479	0	256.5000	372.0000	0									
55	1213.5000	379.5000	0	258.0000	373.5000	0									
56	1213.5000	381.0000	0	258.0000	373.5000	0									
57	1213.4243	375.3613	0	267.6465	379.5631	0									
58	1214.1086	379.1008	0	268.3082	378.4932	0									
59	1214.4423	375.9661	0	268.6022	377.7815	0									
60	1215.0000	381.0000	0	268.1592	379.0625	0									
61	1215.0000	379.5000	0	268.3991	378.6889	0									
62	1219.1974	377.2192	0	267.6413	379.6975	0									
63	1215.0000	381.0000	0	268.4095	378.4295	0									
64	1218.7804	376.9096	0	269.4520	376.8678	0									
65	1215.0000	382.5000	0	270.2954	374.7765	0									
66	1215.0000	382.5000	0	270.8353	373.2425	0									
67	1216.5000	382.5000	0	270.4810	375.3754	0									
68	1215.0000	382.5000	0	259.5000	372.0000	0									
69	1218.0000	382.5000	0	270.6105	373.8693	0									
70	1215.0000	382.5000	0	270.7021	373.2960	0									
71	1215.0000	382.5000	0	270.5493	373.5523	0									
72	1216.5000	382.5000	0	270.5972	372.7040	0									
73	1226.6847	383.2344	0	270.2731	374.4518	0									
74	1227.1155	384.4522	0	258.0000	370.5000	0									
75	1227.0842	386.2810	0	269.6499	370.0144	0									
76	1227.0652	387.5198	0	269.8791	368.1901	0									
77	1225.9472	389.5830	0	259.5000	369.0000	0									
78	1226.2928	388.8796	0	259.5000	369.0000	0									
79	1226.6661	387.9588	0	270.6128	369.8597	0									
80	1226.7866	387.9165	0	259.5000	369.0000	0									
81	1226.9591	387.3999	0	270.4466	368.8666	0									
82	1227.1995	386.9965	0	270.5487	369.4923	0									
83	1227.4775	385.6760	0	269.9193	367.5111	0									
84	1226.9996	387.3293	0	259.5000	369.0000	0									
85	1226.9032	388.0955	0	259.5000	370.5000	0									
86	1227.4697	387.3301	0	259.5000	369.0000	0									
87	1227.2152	387.5726	0	259.5000	369.0000	0									
88	1218.0000	387.0000	0	259.5000	369.0000	0									
89	1225.9575	389.6533	0	259.5000	369.0000	0									
90	1226.4161	388.8411	0	261.0000	369.0000	0									
91	1226.0742	389.2740	0												
92	1226.3768	388.6752	0												
93	1226.8297	387.4141	0												
94	1226.8505	387.2320	0												
95	1226.6837	387.4513	0												
96	1227.2054	385.9661	0												
97	1227.4869	385.6963	0												
98	1227.4841	386.1068	0												
99	1227.7663	385.4893	0												
100	1227.7839	385.3839	0												
101	1227.4069	386.7589	0												
102	1227.1898	387.3669	0												
103	1227.5094	387.4311	0												
104	1227.6788	386.5958	0												
105	1228.0348	386.0155	0												
106	1227.9467	386.4791	0												
107	1228.2323	385.6187	0												
108	1228.0787	387.1998	0												
109	1228.0023	387.4873	0												
110	1228.1212	387.2890	0												
111	1228.2500	387.2314	0												
112	1228.1716	387.8966	0												
113	1228.3531	387.2133	0												
114	1228.3751	386.2699	0												
115	1228.5573	385.6010	0												
116	1229.1075	385.9601	0												
117	1229.0874	385.6556	0												
118	1229.0152	386.7308	0												
119	1229.0669	386.2518	0												
120	1228.8540	386.0394	0												
