Frame	X4	Y4	Flag4	X1	Y1	Flag1	X3	Y3	Flag3	X2	Y2	Flag2	X6	Y6	Flag6	X5	Y5	Flag5
1	1120.2569	69.9493	0	1118.5796	40.8665	0	556.6135	842.2659	0	1213.6716	129.9304	0	567.1540	859.0341	0	1187.1435	126.9507	0
2	1124.5041	70.3206	0	1118.0560	40.6671	0	556.3076	842.3462	0	1213.9318	129.0510	0	566.0860	865.2472	0	1200.0000	126.0000	0
3	1124.6808	70.6285	0	1118.6362	40.5956	0	560.6456	844.2390	0	1213.6624	130.0240	0	564.4674	868.5984	0	1201.5000	126.0000	0
4	1125.8763	70.1151	0	1116.7229	41.6309	0	560.5216	844.3170	0	1214.2403	127.0508	0	566.7961	863.8882	0	1187.3579	126.3476	0
5	1128.0095	69.9523	0	1119.3577	41.2682	0	559.6700	843.6380	0	1214.2443	127.0038	0	565.5285	867.0837	0	1186.9032	124.7863	0
6	1129.7693	69.3059	0	1118.9619	41.3435	0	560.6516	844.5601	0	1214.2841	128.6494	0	564.0002	868.9082	0	1186.8057	126.8973	0
7	1127.4365	70.0358	0	1117.1775	41.5667	0	557.3311	842.6079	0	1214.4207	123.0708	0	563.3533	869.8052	0	1186.7006	126.2789	0
8	1126.4726	70.1187	0	1115.7349	42.0822	0	555.5592	842.0895	0	1214.2185	123.4036	0	564.0593	869.0967	0	1186.6029	126.9284	0
9	1130.6002	68.9782	0	1120.3895	41.0341	0	555.8721	841.9201	0	1213.6396	130.0180	0	562.0542	870.8179	0	1186.8312	129.1390	0
10	1122.8450	70.6915	0	1118.4527	41.2974	0	558.4187	843.1172	0	1214.1670	124.2406	0	560.9761	871.5553	0	1186.3568	126.6831	0
11	1121.0272	70.2962	0	1118.1922	41.3470	0	556.9092	842.3810	0	1214.0933	122.8765	0	561.1559	871.4900	0	1186.3197	126.1012	0
12	1124.5329	70.3452	0	1117.2689	41.5441	0	550.6232	842.1335	0	1213.8808	127.6081	0	560.2215	872.0109	0	1186.9386	130.4304	0
13	1125.6586	70.2681	0	1118.9479	41.2057	0	547.5537	843.1774	0	1214.1098	124.2429	0	558.2844	873.2712	0	1186.8166	129.9461	0
14	1123.2801	70.4254	0	1118.7782	41.4025	0	547.7132	842.9009	0	1213.7549	128.2347	0	557.7802	873.6028	0	1186.4459	125.3171	0
15	1127.5575	70.0064	0	1119.1004	41.4318	0	546.9349	843.4627	0	1213.6834	121.8727	0	559.2179	872.7213	0	1186.1452	125.2271	0
16	1130.3701	69.0358	0	1114.8885	42.5727	0	549.2431	842.4631	0	1214.2967	124.0809	0	558.5302	873.1201	0	1186.1953	126.0322	0
17	1126.8759	70.0097	0	1112.8245	43.9333	0	550.5999	842.2113	0	1214.7210	126.7763	0	558.8381	873.1302	0	1186.4049	122.0803	0
18	1127.4666	69.7655	0	1111.9469	44.6439	0	547.9507	843.0473	0	1214.5822	125.4717	0	558.3039	873.1094	0	1187.4995	119.0943	0
19	1129.4821	69.6755	0	1114.1764	43.0631	0	545.1242	844.1352	0	1213.9582	123.0491	0	557.3796	873.1756	0	1186.7606	121.2514	0
20	1126.9793	69.9663	0	1116.5615	41.5899	0	543.1737	845.2110	0	1214.2170	123.9695	0	555.2554	873.6727	0			
21	1126.5224	70.1348	0	1113.9247	43.0626	0	545.2295	844.2462	0									
22	1129.8711	69.2594	0	1113.8836	42.9528	0	547.4496	843.4240	0									
23	1125.7364	70.2757	0	1113.2221	43.3810	0	536.9963	852.1310	0									
24	1124.2063	70.9653	0	1111.5418	45.0137	0	548.3747	843.3013	0									
25	1126.6098	70.3262	0	1111.7738	44.9868	0	537.0413	855.1306	0									
26	1129.6996	69.3556	0	1112.1860	44.5768	0												
27	1128.7200	70.2058	0	1113.0455	43.5632	0												
28	1130.9998	69.0507	0															
29	1132.3876	67.4894	0															
30	1130.4297	69.2119	0															
31	1129.8062	69.5032	0															
32	1133.8176	65.7658	0															
33	1132.7740	66.9540	0															
34	1131.8539	68.3608	0															
35	1134.3869	64.8081	0															
36	1134.8164	64.3298	0															
37	1133.0884	66.7582	0															
38	1133.5180	66.1872	0															
39	1133.9537	65.3183	0															
40	1134.2240	64.8438	0															
41	1133.7378	66.1265	0															
42	1134.0700	65.3706	0															
43	1135.5431	62.4569	0															
44	1135.3759	63.1480	0															
45	1135.9288	60.6009	0															
46	1136.4335	56.4751	0															
47	1136.5016	59.0102	0															
48	1136.1522	59.9878	0															
49	1136.2888	53.1775	0															
50	1135.3979	50.4855	0															
51	1135.5775	51.4545	0															
