Frame	X1	Y1	Flag1	X2	Y2	Flag2
1	1290.7682	160.0608	0	294.0000	688.5000	0
2	1290.3660	160.2973	0	294.0000	688.5000	0
3	1290.4787	160.1664	0	294.0000	688.5000	0
4	1290.4245	159.8485	0	283.2634	687.9611	0
5	1291.1789	159.6511	0	292.5000	687.0000	0
6	1291.3580	159.7189	0	292.5000	687.0000	0
7	1292.0076	159.5476	0	283.0895	685.6942	0
8	1292.2909	159.1244	0	283.0696	685.7255	0
9	1291.5544	160.2090	0	294.0000	687.0000	0
10	1291.6542	160.2391	0	283.4500	685.6531	0
11	1292.6537	159.0908	0	283.7535	684.3018	0
12	1295.3933	157.8499	0	294.0000	684.0000	0
13	1296.0175	157.9526	0	294.0000	684.0000	0
14	1295.6047	158.6008	0	294.0000	684.0000	0
15	1295.0604	158.7581	0	292.5000	684.0000	0
16	1293.9807	159.1472	0	284.0461	681.5906	0
17	1294.8634	159.0666	0	292.5000	684.0000	0
18	1294.7780	159.4095	0	284.5915	680.2781	0
19	1295.6275	158.9941	0	285.0072	679.3538	0
20	1295.2089	159.8324	0	284.9494	679.2775	0
21	1295.9529	159.5791	0	294.0000	684.0000	0
22	1296.9674	159.0846	0	292.5000	684.0000	0
23	1296.0418	158.9443	0	283.6268	681.1741	0
24	1295.7988	159.4107	0	283.6708	681.9874	0
25	1293.8253	159.8371	0	283.6005	681.9188	0
26	1294.1125	160.1459	0	283.1693	685.0173	0
27	1293.9684	160.5560	0	294.0000	685.5000	0
28	1293.3800	161.0031	0	283.6191	685.2294	0
29	1291.0443	163.4529	0	294.0000	687.0000	0
30	1290.9893	163.5268	0	283.9072	685.6916	0
31	1291.8896	163.2124	0	284.7222	683.4244	0
32	1291.4876	163.9215	0	284.9164	683.3020	0
33	1292.4653	163.3966	0	297.0000	685.5000	0
34	1290.8379	165.6725	0	295.5000	687.0000	0
35	1291.0227	165.4471	0	297.0000	688.5000	0
36	1291.1469	166.4168	0	298.5000	688.5000	0
37	1290.5526	169.1193	0	298.5000	687.0000	0
38	1297.5000	172.5000	0	300.0000	688.5000	0
39	1297.5000	172.5000	0	310.8981	690.0752	0
40	1297.5000	172.5000	0	311.0555	690.1967	0
41	1295.9556	168.1736	0	300.0000	688.5000	0
42	1292.8516	173.1894	0	311.4484	687.2568	0
43	1296.1013	175.7991	0	311.3041	686.5313	0
44	1297.5000	172.5000	0	310.8654	687.8575	0
45	1297.5000	172.5000	0	311.0488	687.9154	0
46	1297.5000	172.5000	0	311.1763	684.9153	0
47	1297.5000	172.5000	0	311.0606	686.0663	0
48	1297.5000	172.5000	0	311.2155	688.0913	0
49	1290.7197	167.9544	0	311.3887	685.5562	0
50	1297.5000	172.5000	0	311.7945	686.1010	0
51	1293.1496	174.3878	0	311.8530	687.7674	0
52	1299.0000	175.5000	0	311.8968	687.7966	0
53	1297.5000	174.0000	0	311.7201	685.9580	0
54	1295.0220	174.9527	0	311.6204	685.8733	0
55	1294.5118	178.0262	0	311.5315	687.2855	0
56	1299.0000	175.5000	0	311.1629	684.3062	0
57	1299.0000	175.5000	0	311.1668	686.1628	0
58	1297.5000	172.5000	0	310.4945	689.0847	0
59	1295.6354	175.7373	0	298.5000	687.0000	0
60	1297.7820	175.0419	0	297.0000	687.0000	0
61	1301.5722	175.2891	0	297.0000	687.0000	0
62	1301.8680	173.9722	0	297.0000	688.5000	0
63	1301.6899	175.1683	0	297.0000	688.5000	0
64	1300.2851	173.6907	0	297.0000	688.5000	0
65	1299.1479	174.7848	0	298.5000	688.5000	0
66	1296.6207	177.2286	0	298.5000	688.5000	0
67	1297.5599	180.8668	0	297.0000	688.5000	0
68	1298.8185	182.6064	0	298.5000	688.5000	0
69	1299.6187	181.3596	0	298.5000	688.5000	0
70	1300.9978	183.4176	0	298.5000	688.5000	0
71	1304.3561	183.9913	0	300.0000	688.5000	0
72	1304.7812	186.2030	0	298.5000	688.5000	0
73	1300.1629	184.9174	0	298.5000	688.5000	0
74	1300.1766	185.7071	0	298.5000	688.5000	0
75	1301.8665	187.4240	0	298.5000	688.5000	0
76	1300.2657	187.2312	0	298.5000	688.5000	0
77	1301.2863	187.9670	0	298.5000	688.5000	0
78	1300.5000	181.5000	0	298.5000	688.5000	0
79	1300.1630	188.7181	0	298.5000	688.5000	0
80	1300.5000	183.0000	0	298.5000	687.0000	0
81	1300.5000	183.0000	0	297.0000	687.0000	0
82	1302.0000	184.5000	0	297.0000	688.5000	0
83	1302.0000	184.5000	0	297.0000	688.5000	0
84	1303.5000	184.5000	0	297.0000	688.5000	0
85	1302.0000	184.5000	0	298.5000	688.5000	0
86	1303.5000	184.5000	0	298.5000	688.5000	0
87	1303.5000	184.5000	0	298.5000	687.0000	0
88	1302.0000	184.5000	0	298.5000	687.0000	0
89	1304.4223	189.1241	0	310.8147	689.3635	0
90	1302.0000	183.0000	0	300.0000	685.5000	0
91	1303.5000	183.0000	0	300.0000	685.5000	0
92	1305.0000	183.0000	0	298.5000	685.5000	0
93	1305.0000	183.0000	0	300.0000	684.0000	0
94	1305.0000	183.0000	0	300.0000	684.0000	0
95	1308.1589	187.1631	0	300.0000	684.0000	0
96	1305.0000	183.0000	0	301.5000	684.0000	0
97	1308.0563	187.6424	0	301.5000	684.0000	0
98	1307.7175	186.4523	0	311.1320	679.4346	0
99	1305.0000	181.5000	0	303.0000	684.0000	0
100	1305.0000	181.5000	0	303.0000	684.0000	0
101	1306.5000	181.5000	0	303.0000	684.0000	0
102	1305.0000	181.5000	0	303.0000	684.0000	0
103	1309.9496	185.1610	0	303.0000	684.0000	0
104	1306.5000	181.5000	0	303.0000	684.0000	0
105	1310.9700	183.3110	0	311.8748	680.4177	0
106	1311.0083	183.6806	0	313.1314	683.8415	0
107	1311.7831	182.4506	0	313.0792	684.2620	0
108	1311.7466	182.0117	0	313.6564	684.1869	0
109	1312.6282	181.3481	0	313.3243	682.5143	0
110	1311.8625	182.6468	0	312.5196	680.7250	0
111	1312.3276	181.3472	0	304.5000	682.5000	0
112	1312.3930	181.6557	0	310.9975	678.5271	0
113	1313.0233	181.0721	0	303.0000	684.0000	0
114	1313.3302	179.7778	0	311.3071	679.8074	0
115	1313.1903	180.0770	0	310.7438	678.3197	0
116	1313.7959	179.7502	0	311.2740	679.6624	0
117	1314.9589	179.7384	0	312.1822	681.2284	0
118	1314.7219	180.2331	0	312.5442	681.3965	0
