Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
1	349.5000	310.5000	0	368.3613	578.8920	0	1095.0000	111.0000	0
2	349.6167	317.5989	0	368.8291	577.8079	0	1096.5000	111.0000	0
3	349.5000	309.0000	0	369.3043	576.1274	0	1098.0000	114.0000	0
4	348.8480	317.5609	0	369.0801	577.2399	0	1111.9974	114.1142	0
5	349.5000	309.0000	0	368.5573	578.4803	0	1098.0000	115.5000	0
6	349.5000	309.0000	0	369.1492	576.1567	0	1111.3562	114.3408	0
7	349.5000	309.0000	0	361.5000	574.5000	0	1111.2181	112.1903	0
8	348.9214	317.5728	0	367.3999	580.4545	0	1111.2981	112.9995	0
9	349.3582	317.2195	0	366.8207	580.8147	0	1111.4680	114.1694	0
10	349.5000	307.5000	0	367.6671	578.9542	0	1111.6788	113.5321	0
11	349.1825	316.7059	0	367.0581	579.2454	0	1111.3606	110.3649	0
12	349.5000	307.5000	0	365.8864	580.8117	0	1111.6164	111.9644	0
13	349.5000	306.0000	0	367.5173	579.0576	0	1111.9179	112.6685	0
14	346.1682	314.6364	0	366.8119	580.2846	0	1111.9164	112.3448	0
15	348.0000	306.0000	0	367.0530	579.5925	0	1111.7162	111.9245	0
16	348.8079	315.4177	0	366.1402	580.2493	0	1099.5000	114.0000	0
17	349.5000	304.5000	0	367.3448	577.9771	0	1099.5000	114.0000	0
18	349.5000	304.5000	0	367.9757	577.3120	0	1099.5000	114.0000	0
19	349.5000	304.5000	0	368.3261	577.5350	0	1099.5000	114.0000	0
20	351.0000	304.5000	0	368.6971	576.1493	0	1111.4284	115.1562	0
21	349.5000	303.0000	0	368.1583	576.9807	0	1111.3719	116.0075	0
22	348.0000	303.0000	0	367.3470	578.1944	0	1098.0000	109.5000	0
23	348.0000	303.0000	0	367.6922	577.2448	0	1095.0000	109.5000	0
24	349.0319	303.3754	0	367.2554	577.4631	0	1095.3973	98.8473	0
25	348.0000	304.5000	0	367.6104	577.6928	0	1096.5000	111.0000	0
26	346.5000	303.0000	0	367.6089	577.9032	0	1096.5000	109.5000	0
27	348.0000	303.0000	0	367.2588	578.4203	0	1096.5000	109.5000	0
28	348.0000	303.0000	0	365.6231	580.2187	0	1096.5000	109.5000	0
29	348.0000	303.0000	0	365.5580	580.4870	0	1096.5000	109.5000	0
30	346.5000	303.0000	0	364.5927	580.7411	0	1095.0000	109.5000	0
31	346.5000	303.0000	0	364.8463	579.6781	0	1095.0000	111.0000	0
32	346.5000	303.0000	0	366.6112	578.9151	0	1095.0000	109.5000	0
33	344.8499	313.8914	0	365.2784	579.8901	0	1095.0000	111.0000	0
34	345.3005	314.1027	0	360.0000	574.5000	0	1095.0000	111.0000	0
35	348.0000	304.5000	0	365.6305	580.2397	0	1095.0000	109.5000	0
36	348.0000	304.5000	0	365.6883	580.5531	0	1095.0000	111.0000	0
37	348.0000	303.0000	0	366.1473	579.1952	0			
38	346.5000	303.0000	0	366.5757	578.3090	0			
39	343.6368	313.5513	0	365.9735	578.8870	0			
40	348.0000	303.0000	0	365.2835	578.9898	0			
41	348.0000	304.5000	0	361.8159	579.4375	0			
42	348.0000	304.5000	0	357.0000	573.0000	0			
43	348.1158	315.2654	0	357.0000	573.0000	0			
44	348.0000	306.0000	0	362.3527	579.8509	0			
45	349.5000	306.0000	0	364.4198	579.1051	0			
46	349.5000	306.0000	0	363.8501	579.6748	0			
47	349.5000	306.0000	0	362.4565	580.9229	0			
48	349.5000	306.0000	0	363.7441	579.5182	0			
49	349.5000	306.0000	0	357.0000	573.0000	0			
50	349.5000	306.0000	0	357.0000	571.5000	0			
51	348.0000	306.0000	0	357.0000	571.5000	0			
52	348.0000	304.5000	0	357.0000	571.5000	0			
53	348.0000	304.5000	0	357.0000	570.0000	0			
54	349.5000	304.5000	0	357.0000	570.0000	0			
55	349.5000	303.0000	0	358.5000	568.5000	0			
56	349.5000	303.0000	0	358.5000	567.0000	0			
57	348.0000	304.5000	0	357.0000	567.0000	0			
58	348.0000	303.0000	0	357.0000	565.5000	0			
59	348.0000	303.0000	0	357.0000	567.0000	0			
60	348.0000	303.0000	0	355.5000	564.0000	0			
61	348.0000	303.0000	0	355.5000	564.0000	0			
62	348.0000	303.0000	0	355.5000	565.5000	0			
63	349.5000	301.5000	0	355.5000	565.5000	0			
64	349.5000	303.0000	0	355.5000	565.5000	0			
65	349.5000	301.5000	0	355.0862	558.8880	0			
66	349.5000	301.5000	0	355.5000	568.5000	0			
67	351.0000	301.5000	0	351.2441	559.1249	0			
68	351.0000	300.0000	0	352.2635	559.2373	0			
69	351.0000	300.0000	0	355.5000	565.5000	0			
70	351.0000	300.0000	0	354.6001	559.1194	0			
71	351.0000	298.5000	0	347.3198	561.0787	0			
72	349.5000	298.5000	0	346.4230	562.4990	0			
73	351.0000	298.5000	0	350.6934	558.6065	0			
74	355.7711	289.8450	0	354.0000	568.5000	0			
75	351.0000	298.5000	0	347.4223	561.0325	0			
76	351.0000	298.5000	0	345.5661	563.4346	0			
77	355.0537	288.6617	0	352.5000	570.0000	0			
78	356.7546	289.7125	0	345.0415	563.1200	0			
79	352.5000	298.5000	0	344.4023	564.3838	0			
80	357.0922	289.6191	0	352.5000	570.0000	0			
81	356.5584	288.8304	0	344.5468	568.2930	0			
82	356.2824	289.5695	0	342.8326	566.7141	0			
83	354.2824	288.4085	0	351.0000	570.0000	0			
84	353.7796	287.8316	0	352.5000	570.0000	0			
85	353.1898	287.8971	0	343.2189	566.6543	0			
86	353.4561	288.2724	0	343.3149	565.8507	0			
87	352.3353	288.1878	0	343.3481	567.8542	0			
88	353.6427	288.3933	0	344.5783	563.7794	0			
89	349.5000	297.0000	0	345.0574	562.9030	0			
90	348.0000	297.0000	0	344.5539	563.0228	0			
91	349.5000	297.0000	0	345.0010	563.0255	0			
92	349.5000	297.0000	0	345.5053	562.7328	0			
93	351.4254	288.1615	0	345.1074	562.8166	0			
94	348.0000	297.0000	0	345.2009	563.0476	0			
95	348.0000	297.0000	0	344.7436	563.3989	0			
96	346.5000	297.0000	0	345.6548	562.2576	0			
97	345.3926	288.6185	0	345.2931	562.6762	0			
98	346.5000	297.0000	0	344.4852	563.7488	0			
99	342.6678	289.4167	0	343.7680	564.6757	0			
100	344.4881	288.6953	0	342.9753	565.3405	0			
101	348.0000	297.0000	0	351.0000	570.0000	0			
102	348.0000	298.5000	0	342.2038	566.4135	0			
103	346.5000	298.5000	0	341.3892	568.6782	0			
104	344.3487	289.1019	0	348.0000	570.0000	0			
105	344.6408	288.5887	0	348.0000	570.0000	0			
106	343.8603	289.0590	0	340.6464	568.5159	0			
107	346.5000	298.5000	0	348.0000	570.0000	0			
108	346.7616	288.9648	0	341.3648	566.6459	0			
109	344.0063	289.3017	0	342.2135	564.7379	0			
110	341.7473	289.8830	0	342.7853	563.7561	0			
111	345.0000	297.0000	0	342.1613	564.9141	0			
112	340.3828	290.3288	0	341.9565	564.7429	0			
113	345.0000	297.0000	0	342.0832	564.7491	0			
114	342.8368	289.7105	0	341.4024	564.5960	0			
115	343.9638	289.3811	0	340.8519	565.4534	0			
116	346.2460	299.6123	0	341.0401	565.3193	0			
117	343.2997	289.3601	0	341.0005	566.3063	0			
