Frame	X1	Y1	Flag1	X2	Y2	Flag2	X4	Y4	Flag4	X3	Y3	Flag3	X5	Y5	Flag5
1	1033.5000	478.5000	0	645.0000	496.5000	0	339.0000	463.5000	0	1342.5000	795.0000	0	573.0000	349.5000	0
2	1039.5000	489.0000	0	640.5000	507.0000	0	337.5000	463.5000	0	1342.5000	795.0000	0	571.5000	349.5000	0
3	1039.5000	489.0000	0	646.5000	498.0000	0	339.0000	465.0000	0	1342.5000	796.5000	0	571.5000	349.5000	0
4	1039.5000	489.0000	0	648.0000	498.0000	0	335.1904	460.7704	0	1344.0000	796.5000	0	571.5000	348.0000	0
5	1039.5000	489.0000	0	646.5000	498.0000	0	335.1832	460.7407	0	1342.5000	796.5000	0	571.5000	348.0000	0
6	1039.5000	489.0000	0	648.0000	498.0000	0	339.0000	465.0000	0	1344.0000	796.5000	0	571.5000	349.5000	0
7	1041.0000	489.0000	0	646.5000	498.0000	0	339.0000	463.5000	0	1342.5000	796.5000	0	571.5000	349.5000	0
8	1039.5000	489.0000	0	648.0000	498.0000	0	337.5000	463.5000	0	1344.0000	795.0000	0	570.0000	349.5000	0
9	1039.5000	487.5000	0	648.0000	498.0000	0	334.8391	460.4355	0	1344.0000	796.5000	0	570.0000	349.5000	0
10	1041.0000	489.0000	0	648.0000	498.0000	0	339.0000	463.5000	0	1344.0000	798.0000	0	570.0000	349.5000	0
11	1039.5000	489.0000	0	648.0000	498.0000	0	339.0000	463.5000	0	1344.0000	798.0000	0	571.5000	351.0000	0
12	1035.0000	483.0000	0	646.5000	499.5000	0	334.6966	460.4707	0	1344.0000	798.0000	0	571.5000	351.0000	0
13	1039.5000	489.0000	0	642.0000	507.0000	0	337.5000	463.5000	0	1344.0000	799.5000	0	573.0000	351.0000	0
14	1039.5000	487.5000	0	642.0000	507.0000	0	337.5000	465.0000	0	1345.5000	796.5000	0	573.0000	351.0000	0
15	1039.5000	487.5000	0	642.0000	507.0000	0	337.5000	466.5000	0	1344.0000	796.5000	0	573.0000	351.0000	0
16	1039.5000	487.5000	0	642.0000	507.0000	0	336.0000	466.5000	0	1344.0000	796.5000	0	573.0000	351.0000	0
17	1035.0000	483.0000	0	642.0000	507.0000	0	336.0000	466.5000	0	1345.5000	798.0000	0	573.0000	351.0000	0
18	1035.0000	483.0000	0	640.5000	507.0000	0	336.0000	465.0000	0	1345.5000	798.0000	0	573.0000	351.0000	0
19	1036.5000	483.0000	0	646.5000	498.0000	0	334.5043	460.2267	0	1345.5000	796.5000	0	571.5000	352.5000	0
20	1038.0000	486.0000	0	642.0000	507.0000	0	336.0000	463.5000	0	1345.5000	798.0000	0	573.0000	352.5000	0
21	1036.5000	484.5000	0	642.0000	498.0000	0	334.5000	463.5000	0	1345.5000	798.0000	0	573.0000	354.0000	0
22	1039.5000	489.0000	0	642.0000	507.0000	0	334.5000	462.0000	0	1345.5000	798.0000	0	571.5000	352.5000	0
23	1035.0000	483.0000	0	642.0000	507.0000	0	334.5000	460.5000	0	1345.5000	798.0000	0	571.5000	352.5000	0
24	1036.5000	483.0000	0	642.0708	504.8854	0	333.0000	459.0000	0	1345.5000	798.0000	0	571.5000	352.5000	0
25	1038.0000	484.5000	0	642.0000	507.0000	0	334.5000	460.5000	0	1345.5000	798.0000	0	570.0000	355.5000	0
26	1036.5000	484.5000	0	640.5000	498.0000	0	334.5000	460.5000	0	1345.5000	798.0000	0	563.1036	362.9417	0
27	1036.5000	484.5000	0	640.5000	498.0000	0	334.5000	460.5000	0	1347.0000	798.0000	0	570.0000	352.5000	0
28	1036.5000	486.0000	0	642.0000	499.5000	0	334.5000	462.0000	0	1345.5000	799.5000	0	557.6716	354.1369	0
29	1036.5000	484.5000	0	642.0000	499.5000	0	333.0000	462.0000	0	1347.0000	799.5000	0	568.5000	352.5000	0
30	1036.5000	484.5000	0	643.5000	501.0000	0	333.0000	462.0000	0	1347.0000	799.5000	0	571.8078	354.0762	0
31	1035.0000	486.0000	0	642.0000	505.5000	0	333.0000	463.5000	0	1347.0000	799.5000	0	568.5000	352.5000	0
32	1036.5000	486.0000	0	643.5000	502.5000	0	333.0000	460.5000	0	1348.5000	799.5000	0	567.0000	354.0000	0
33	1036.5000	484.5000	0	643.5000	502.5000	0	333.0000	460.5000	0	1348.5000	801.0000	0	567.0000	355.5000	0
34	1036.5000	484.5000	0	643.5000	502.5000	0	333.0000	460.5000	0	1350.0000	799.5000	0	571.5548	352.1511	0
35	1036.5000	484.5000	0	643.5000	504.0000	0	331.5000	459.0000	0	1350.0000	799.5000	0	567.0000	355.5000	0
36	1036.5000	484.5000	0	643.5000	502.5000	0	333.0000	459.0000	0	1351.5000	799.5000	0	570.0000	354.0000	0
37	1036.5000	486.0000	0	643.5000	502.5000	0	331.5000	459.0000	0	1351.5000	798.0000	0	570.0000	354.0000	0
38	1036.5000	486.0000	0	645.0000	504.0000	0	331.5000	459.0000	0	1351.5000	799.5000	0	568.5110	352.2398	0
39	1036.5000	486.0000	0	643.5000	502.5000	0	331.5000	459.0000	0	1350.0000	799.5000	0	571.5000	352.5000	0
40	1036.5000	484.5000	0	643.5000	502.5000	0	331.5000	459.0000	0	1350.0000	799.5000	0	573.0000	352.5000	0
41	1038.0000	486.0000	0	643.5000	502.5000	0	331.5000	459.0000	0	1350.0000	796.5000	0	574.5000	351.0000	0
