Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25	X26	Y26	Flag26	X27	Y27	Flag27	X28	Y28	Flag28	X29	Y29	Flag29	X30	Y30	Flag30	X31	Y31	Flag31	X32	Y32	Flag32	X33	Y33	Flag33	X34	Y34	Flag34	X35	Y35	Flag35	X36	Y36	Flag36	X37	Y37	Flag37	X38	Y38	Flag38	X39	Y39	Flag39	X40	Y40	Flag40	X41	Y41	Flag41	X42	Y42	Flag42	X43	Y43	Flag43	X44	Y44	Flag44	X45	Y45	Flag45	X46	Y46	Flag46	X47	Y47	Flag47	X48	Y48	Flag48	X49	Y49	Flag49	X50	Y50	Flag50	X51	Y51	Flag51	X52	Y52	Flag52	X53	Y53	Flag53	X54	Y54	Flag54	X55	Y55	Flag55	X56	Y56	Flag56	X57	Y57	Flag57	X58	Y58	Flag58	X59	Y59	Flag59	X60	Y60	Flag60	X61	Y61	Flag61	X62	Y62	Flag62	X63	Y63	Flag63	X64	Y64	Flag64	X65	Y65	Flag65	X66	Y66	Flag66	X67	Y67	Flag67	X68	Y68	Flag68	X69	Y69	Flag69	X70	Y70	Flag70	X71	Y71	Flag71	X72	Y72	Flag72	X73	Y73	Flag73	X74	Y74	Flag74	X75	Y75	Flag75	X76	Y76	Flag76	X77	Y77	Flag77	X78	Y78	Flag78
Tracks 1 to 78
1	18.88608	477.44937	 	957.96222	802.83513	 	748.54180	907.11254	 	205.08654	323.82395	 	688.10788	101.01763	 	241.76562	573.66146	 	718.89472	568.44048	 	1192.28724	429.13849	 	968.40675	837.01003	 	1247.08927	1060.66593	 	1000.05322	822.83894	 	562.80537	474.69799	 	912.85117	753.48537	 	657.08274	91.67263	 	97.40021	471.57315	 	259.50000	1035.00000	 	399.88535	118.00143	 	903.18999	791.85665	 	490.32892	155.61153	 	463.45796	309.49132	 	614.23534	428.94279	 	852.00000	412.50000	 	64.71244	393.58805	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	31.69925	485.58496	 	958.74492	801.74839	 	745.51709	911.21510	 	205.21931	323.73378	 	689.28006	102.19026	 	216.42562	563.72314	 	717.86501	567.65276	 	1190.09250	430.38774	 	967.94580	834.35809	 	1247.01025	1060.81489	 	999.14932	821.21041	 	565.66608	471.11424	 	912.63802	753.22066	 	657.03855	91.67691	 	97.18530	471.62759	 	259.50000	1038.00000	 	400.34167	119.20005	 	904.45158	792.05212	 	490.83884	156.24321	 	462.17559	309.01755	 	 	 	 	848.79729	416.12905	 	64.68472	395.81528	 	531.53521	148.92488	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	31.87251	485.77092	 	961.56354	799.99511	 	744.00838	913.50698	 	205.91731	322.11059	 	689.16190	100.32381	 	 	 	 	717.43139	567.74307	 	1194.00000	429.00000	 	968.78752	832.01813	 	1246.94755	1061.05650	 	997.88828	825.21526	 	562.95349	477.26578	 	912.11445	752.59541	 	657.03585	91.64165	 	96.72636	471.21539	 	264.83646	1037.80187	 	399.65985	116.88267	 	903.46594	789.91212	 	491.59465	156.64448	 	460.93010	308.45151	 	 	 	 	847.87330	414.84744	 	66.35655	398.69421	 	 	 	 	889.05620	761.91074	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	27.52644	482.55048	 	959.46996	800.55855	 	746.48460	914.87844	 	206.71507	322.43264	 	688.94839	100.00389	 	233.80693	571.07426	*	720.01737	566.91283	 	1198.50000	424.50000	 	969.85068	830.75977	 	1245.89046	1061.36108	 	1000.05280	816.61180	 	564.50697	473.26902	 	912.13401	751.65393	 	657.05969	91.65744	 	92.63213	470.08874	 	264.75041	1037.14050	 	399.61108	117.29527	 	904.59499	788.06606	 	491.98174	156.95707	 	460.57892	308.23887	 	 	 	 	846.26170	415.26104	 	65.18236	399.14541	 	529.53271	149.39252	*	877.59794	781.08591	 	1003.25063	429.51128	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	953.90331	797.29007	 	746.01166	913.19580	 	207.49946	322.01604	 	690.31316	101.16523	 	234.99123	568.79825	 	719.03431	567.96717	 	1198.50000	429.00000	 	974.29262	828.33602	 	1246.89706	1060.61110	 	998.98300	809.75889	 	562.99766	475.70794	 	912.80923	751.11778	 	657.01422	91.66100	 	97.09505	471.50274	 	255.00000	1039.50000	 	399.82150	117.20743	 	903.07827	785.38126	 	491.91069	156.94861	 	460.35967	308.20730	 	 	 	 	848.49003	415.31572	 	66.43210	395.98148	 	 	 	 	 	 	 	995.94475	430.34254	 	1026.28261	961.07609	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	953.38152	798.08617	 	743.54030	914.86152	 	204.92721	323.43878	 	691.44403	103.91027	 	227.16185	565.68786	 	718.46171	571.15353	 	1190.62228	429.92049	 	980.85771	819.91403	 	1245.98240	1061.26712	 	 	 	 	562.38519	473.12593	 	912.44321	750.97521	 	656.93856	91.58912	 	96.92263	471.21675	 	255.00000	1039.50000	 	400.00979	118.09739	 	906.08904	783.74381	 	492.46660	157.66633	 	460.29377	308.36476	 	 	 	 	845.73634	417.55975	 	65.87965	399.03970	 	 	 	 	 	 	 	993.65152	430.10859	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	743.58561	916.66129	 	210.07886	330.31453	 	688.18345	101.86691	 	214.72222	553.91111	 	718.01545	571.45379	 	1194.00000	429.00000	 	974.22550	827.92128	 	1245.23109	1061.77605	 	993.24540	808.55215	*	562.98201	475.08273	 	912.77612	750.16345	 	657.00656	91.64526	 	96.68846	471.14990	 	265.88099	1037.84946	 	399.92078	116.86626	 	907.90491	782.56926	 	492.60004	157.97413	 	460.54694	308.21367	 	 	 	 	850.50000	417.00000	 	64.87575	400.80240	 	 	 	 	 	 	 	994.73905	430.52007	 	1021.98099	965.26236	*	216.36283	524.21386	 	198.64257	309.29016	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	28.67444	475.52245	*	950.72013	800.58773	*	745.67027	916.90270	 	230.76395	332.94421	 	689.94319	98.04689	 	212.06771	539.85938	 	715.89935	572.23652	 	1191.00000	429.00000	 	981.70079	820.00264	 	1245.69958	1061.99975	 	 	 	 	566.34683	472.48680	 	913.11116	750.23928	 	657.01991	91.60974	 	96.97161	470.99022	 	256.50000	1041.00000	 	399.96388	117.44269	 	909.29218	783.39171	 	492.32818	157.37786	 	460.14556	308.27874	 	 	 	 	855.00000	417.00000	 	66.72834	398.54919	 	555.63889	192.01389	*	912.06002	807.93902	*	994.54831	428.04348	 	 	 	 	 	 	 	206.62513	320.45593	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	35.14860	476.50682	 	950.25650	801.31525	 	748.30462	916.46816	 	 	 	 	693.70206	98.97443	 	223.73203	560.30065	 	715.37444	572.11668	 	1191.00000	426.00000	 	972.60864	830.73189	 	1244.97439	1061.89850	 	994.43084	810.24792	*	564.96522	473.90774	 	912.75835	750.73205	 	656.97880	91.61705	 	96.92180	471.41652	 	256.50000	1044.00000	 	400.82164	117.51387	 	904.16514	786.52818	 	492.27458	157.78006	 	460.14082	308.18345	 	604.67240	424.87753	*	850.28076	416.34241	 	66.18064	395.61561	 	 	 	 	915.00409	810.29565	 	995.52617	429.29201	 	986.82732	972.05680	*	 	 	 	209.90927	320.35741	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
