Frame	X2	Y2	Flag2	X3	Y3	Flag3	X1	Y1	Flag1	X5	Y5	Flag5	X4	Y4	Flag4	X6	Y6	Flag6
1	594.0000	157.5000	0	160.5000	837.0000	0	688.5070	485.8499	0	726.0000	594.0000	0	715.3319	591.0465	0	729.6097	586.3299	0
2	594.0000	157.5000	0	160.5000	835.5000	0	689.5001	485.3143	0	724.6993	590.8131	0	715.3727	591.1248	0	730.1512	586.6965	0
3	594.0000	156.0000	0	160.5000	835.5000	0	690.5458	484.3522	0	723.0000	594.0000	0	713.3803	594.6835	0	730.9834	586.9146	0
4	594.0000	157.5000	0	160.5000	835.5000	0	690.7794	483.9889	0	722.9003	591.1511	0	712.9290	596.7823	0	732.0168	586.9156	0
5	594.0000	157.5000	0	159.0000	835.5000	0	690.6108	478.1413	0	723.3805	591.4929	0	712.8204	597.4371	0	731.0033	586.7202	0
6	592.5000	157.5000	0	159.0000	835.5000	0	688.6491	482.1994	0	724.5000	594.0000	0	713.0907	597.2725	0	731.3469	586.8758	0
7	592.5000	157.5000	0	157.5000	837.0000	0	690.5041	479.5256	0	724.4489	591.6936	0	713.4068	595.9459	0	735.6685	589.3376	0
8	592.5000	156.0000	0	157.5000	835.5000	0	691.0272	476.3215	0	726.0000	594.0000	0	713.8920	594.6543	0	734.9630	589.4247	0
9	594.0000	157.5000	0	159.0000	837.0000	0	689.7417	477.6361	0	725.8778	591.9448	0	713.5771	595.2239	0	734.0365	588.6419	0
10	594.0000	156.0000	0	157.5000	837.0000	0	688.7969	480.7698	0	724.8597	592.8597	0	713.4357	596.5835	0	734.7615	589.6088	0
11	594.0000	157.5000	0	157.5000	835.5000	0	688.5705	481.6662	0	724.3978	591.6214	0	713.7216	595.6930	0	735.4747	589.8410	0
12	592.5000	157.5000	0	157.5000	835.5000	0	687.8820	483.0317	0	722.9077	593.2987	0	714.2242	593.6390	0	733.6689	604.5234	0
13	591.0000	159.0000	0	156.0000	835.5000	0	686.1517	482.2973	0	723.6472	593.6762	0	714.4551	593.2142	0	730.9815	590.5395	0
14	591.0000	160.5000	0	154.5000	834.0000	0	686.8921	482.5211	0	726.0000	595.5000	0	713.8686	594.7331	0	731.0346	589.6006	0
15	589.5000	160.5000	0	154.5000	834.0000	0	685.6493	483.0754	0	724.4545	593.9184	0	714.5315	593.5969	0	718.8046	593.0543	0
16	588.0000	160.5000	0	154.5000	835.5000	0	686.1513	478.3162	0	724.5770	593.8929	0	714.2683	593.4095	0	732.3339	589.2449	0
17	588.0000	162.0000	0	154.5000	835.5000	0	684.9403	472.0527	0	723.1061	594.0201	0	714.5594	592.8830	0	735.3619	589.7191	0
18	586.5000	162.0000	0	153.0000	837.0000	0	683.5818	472.3177	0	721.9641	600.4931	0	714.2143	592.4753	0	737.7986	599.9404	0
19	588.0000	163.5000	0	153.0000	834.0000	0	684.4361	469.7790	0	726.0000	597.0000	0	713.6542	593.5746	0	734.6029	590.3656	0
20	588.0000	163.5000	0	153.0000	838.5000	0	683.6412	469.9657	0	723.7414	593.6871	0	713.2839	594.8253	0			
21	589.5000	162.0000	0	153.0000	834.0000	0	684.6510	472.3079	0	721.5820	599.4141	0	713.3715	595.1685	0			
22	589.5000	162.0000	0	153.0000	832.5000	0	683.5289	471.8141	0	721.0550	600.7387	0	714.1062	593.2843	0			
23	591.0000	162.0000	0	154.5000	832.5000	0	682.3885	472.2681	0	726.0000	594.0000	0	713.1846	596.2405	0			
24	591.0000	162.0000	0	156.0000	832.5000	0	683.8045	470.2255	0	726.0000	597.0000	0	713.1050	597.1419	0			
