Frame	X3	Y3	Flag3	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X2	Y2	Flag2	X1	Y1	Flag1	X5	Y5	Flag5	X4	Y4	Flag4	X6	Y6	Flag6
1	603.0000	531.0000	0	571.5000	526.5000	0	187.5000	655.5000	0	1164.0000	592.5000	0	1173.0000	594.0000	0	172.5000	277.5000	0	1162.5000	598.5000	0	229.5000	663.0000	0	415.1730	788.0625	0
2	603.0000	531.0000	0	567.0000	526.5000	0	187.5000	655.5000	0	1164.0000	595.5000	0	1173.0000	592.5000	0	174.0000	277.5000	0	1162.5000	598.5000	0	231.0000	663.0000	0	414.4346	789.0260	0
3	603.0000	532.5000	0	564.0000	525.0000	0	186.0000	655.5000	0	1167.6778	597.7894	0	1173.0000	592.5000	0	174.0000	277.5000	0	1161.0000	598.5000	0	231.0000	663.0000	0	415.2099	787.4597	0
4	603.0000	532.5000	0	561.0000	523.5000	0	186.0000	655.5000	0	1170.0000	598.5000	0	1173.0000	592.5000	0	172.5000	277.5000	0	1161.0000	598.5000	0	229.5000	663.0000	0	415.6330	786.4775	0
5	603.0000	531.0000	0	561.0000	525.0000	0	187.5000	655.5000	0	1166.9615	597.6877	0	1174.5000	592.5000	0	172.5000	277.5000	0	1164.0000	598.5000	0	229.5000	663.0000	0	416.0337	784.5825	0
6	603.0000	532.5000	0	559.5000	523.5000	0	186.0000	655.5000	0	1165.5000	598.5000	0	1174.5000	594.0000	0	172.5000	277.5000	0	1156.5000	594.0000	0	228.0000	664.5000	0	416.4013	783.8184	0
7	601.5000	531.0000	0	556.5000	523.5000	0	187.5000	655.5000	0	1165.5000	597.0000	0	1174.5000	592.5000	0	172.5000	276.0000	0	1162.5000	597.0000	0	229.5000	664.5000	0	416.6901	785.1622	0
8	601.5000	532.5000	0	556.5000	525.0000	0	187.5000	655.5000	0	1167.0000	594.0000	0	1174.5000	592.5000	0	172.5000	276.0000	0	1165.5000	598.5000	0	228.0000	663.0000	0	416.7338	784.1536	0
9	601.5000	531.0000	0	556.5000	525.0000	0	186.0000	655.5000	0	1161.0000	588.0000	0	1174.5000	591.0000	0	171.0000	277.5000	0	1167.0000	598.5000	0	228.0000	664.5000	0	416.5934	783.0829	0
10	600.0000	532.5000	0	556.5000	525.0000	0	187.5000	654.0000	0	1165.5000	594.0000	0	1173.0000	592.5000	0	172.5000	279.0000	0	1167.0000	597.0000	0	228.0000	663.0000	0	416.7889	784.2914	0
11	601.5000	531.0000	0	556.5000	525.0000	0	187.5000	654.0000	0	1167.0000	595.5000	0	1174.5000	592.5000	0	172.5000	277.5000	0	1168.5000	595.5000	0	226.5000	666.0000	0	416.9514	783.6693	0
12	601.5000	531.0000	0	556.5000	525.0000	0	186.0000	652.5000	0	1167.3632	597.6376	0	1174.5000	592.5000	0	172.5000	277.5000	0	1167.0000	597.0000	0	226.5000	667.5000	0	416.8510	783.2544	0
13	601.5000	532.5000	0	556.5000	525.0000	0	184.5000	651.0000	0	1167.5601	597.6911	0	1174.5000	594.0000	0	171.0000	277.5000	0	1168.5000	598.5000	0						
14	601.5000	532.5000	0	558.0000	525.0000	0	186.0000	651.0000	0	1167.4405	597.6938	0	1173.0000	594.0000	0	157.7282	274.7208	0	1168.5000	595.5000	0						
15	601.5000	532.5000	0	559.5000	523.5000	0	186.0000	651.0000	0	1167.7839	597.7698	0	1174.5000	594.0000	0	171.0000	277.5000	0	1162.5000	597.0000	0						
16	600.0000	532.5000	0	558.0000	523.5000	0	187.5000	652.5000	0	1165.5000	598.5000	0	1171.5000	594.0000	0	169.5000	277.5000	0	1164.0000	592.5000	0						
17	601.5000	532.5000	0	558.0000	523.5000	0	187.5000	652.5000	0	1167.6065	597.7642	0	1171.5000	594.0000	0	171.0000	276.0000	0									
18	600.0000	531.0000	0	556.5000	525.0000	0	186.0000	652.5000	0	1165.5000	598.5000	0	1171.5000	592.5000	0	157.2087	274.4866	0									
19	600.0000	531.0000	0	556.5000	525.0000	0	186.0000	652.5000	0	1167.7635	597.7563	0	1170.0000	594.0000	0												
20	600.0000	532.5000	0	558.0000	525.0000	0	184.5000	654.0000	0	1167.8361	597.7913	0	1171.5000	592.5000	0												
21	600.0000	531.0000	0	556.5000	523.5000	0	186.0000	654.0000	0	1164.0000	598.5000	0	1171.5000	594.0000	0												
22	601.5000	532.5000	0	556.5000	523.5000	0	186.0000	654.0000	0	1168.5000	598.5000	0	1173.0000	594.0000	0												
23	601.5000	532.5000	0	558.0000	523.5000	0	184.5000	654.0000	0	1167.9110	597.7700	0	1173.0000	594.0000	0												
24	600.0000	532.5000	0	559.5000	523.5000	0	184.5000	655.5000	0	1168.0672	597.7503	0	1173.0000	594.0000	0												
25	600.0000	531.0000	0	558.0000	523.5000	0	184.5000	655.5000	0	1167.0000	595.5000	0	1171.5000	595.5000	0												
26	598.5000	531.0000	0	558.0000	525.0000	0	184.5000	654.0000	0	1168.2164	597.7827	0	1171.5000	595.5000	0												
27	598.5000	531.0000	0	558.0000	525.0000	0	184.5000	654.0000	0	1168.0358	597.7523	0	1171.5000	597.0000	0												
28	598.5000	531.0000	0	558.0000	525.0000	0	184.5000	655.5000	0	1165.5000	597.0000	0	1171.5000	597.0000	0												
29	598.5000	532.5000	0	558.0000	526.5000	0	183.0000	655.5000	0	1167.0000	595.5000	0	1170.0000	597.0000	0												
30	600.0000	532.5000	0	556.5000	526.5000	0	183.0000	654.0000	0	1165.5000	598.5000	0	1170.0000	597.0000	0												
31	600.0000	531.0000	0	558.0000	528.0000	0	183.0000	655.5000	0	1165.5000	598.5000	0	1171.5000	594.0000	0												
32	600.0000	531.0000	0	558.0000	528.0000	0	183.0000	655.5000	0	1165.5000	597.0000	0	1171.5000	594.0000	0												
33	598.5000	531.0000	0	558.0000	528.0000	0	183.0000	654.0000	0	1165.5000	597.0000	0	1171.5000	595.5000	0												
34	598.5000	531.0000	0	558.0000	526.5000	0	184.5000	654.0000	0	1165.5000	597.0000	0	1152.4966	599.2943	0												
35	598.5000	531.0000	0	558.0000	526.5000	0	183.0000	654.0000	0	1165.5000	597.0000	0	1168.5000	594.0000	0												
36	598.5000	531.0000	0	558.0000	526.5000	0	181.5000	654.0000	0	1165.5000	595.5000	0															
37	600.0000	531.0000	0	558.0000	525.0000	0	183.0000	654.0000	0	1165.5000	597.0000	0															
38	600.0000	529.5000	0	558.0000	523.5000	0	184.5000	654.0000	0	1167.0000	595.5000	0															
39	600.0000	531.0000	0	556.5000	523.5000	0	183.0000	652.5000	0	1165.5000	595.5000	0															
40	601.5000	531.0000	0	555.0000	523.5000	0	184.5000	652.5000	0	1165.5000	598.5000	0															
41	601.5000	532.5000	0	553.5000	523.5000	0	184.5000	652.5000	0	1165.5000	597.0000	0															
42	601.5000	531.0000	0	555.0000	523.5000	0	184.5000	651.0000	0	1167.0000	595.5000	0															
43	601.5000	532.5000	0	555.0000	525.0000	0	184.5000	651.0000	0	1165.5000	597.0000	0															
44	601.5000	532.5000	0	556.5000	525.0000	0	184.5000	652.5000	0	1167.0000	595.5000	0															
45	601.5000	532.5000	0	556.5000	525.0000	0	184.5000	651.0000	0	1167.0000	595.5000	0															
46	601.5000	532.5000	0	556.5000	525.0000	0	184.5000	652.5000	0	1165.5000	598.5000	0															
47	600.0000	532.5000	0	555.0000	525.0000	0	186.0000	651.0000	0	1165.5000	597.0000	0															
48	600.0000	531.0000	0	555.0000	523.5000	0	184.5000	651.0000	0	1165.5000	597.0000	0															
49	598.5000	532.5000	0	553.5000	522.0000	0	184.5000	649.5000	0																		
50	597.0000	534.0000	0	555.0000	523.5000	0	183.0000	649.5000	0																		
51	597.0000	532.5000	0	555.0000	523.5000	0	184.5000	649.5000	0																		
52	598.5000	532.5000	0	555.0000	522.0000	0	184.5000	651.0000	0																		
53	597.0000	532.5000	0	555.0000	522.0000	0	183.0000	651.0000	0																		
54	598.5000	534.0000	0	555.0000	522.0000	0	184.5000	651.0000	0																		
55	598.5000	534.0000	0	555.0000	522.0000	0	184.5000	649.5000	0																		
56	597.0000	534.0000	0	556.5000	522.0000	0	183.0000	649.5000	0																		
57	598.5000	535.5000	0	555.0000	523.5000	0	183.0000	649.5000	0																		
58	597.0000	534.0000	0	556.5000	523.5000	0	183.0000	651.0000	0																		
59	597.0000	534.0000	0	558.0000	523.5000	0	183.0000	651.0000	0																		
60	597.0000	534.0000	0	558.0000	522.0000	0	183.0000	651.0000	0																		
