Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9
Tracks 1 to 9
1	991.39254	450.06207	 	656.35469	332.19841	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	656.11453	330.07713	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	991.28003	451.55572	*	656.60072	332.30186	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	656.82433	332.04555	 	976.50000	448.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	991.32131	449.37618	*	656.59408	330.80822	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	990.95586	450.85408	 	656.92162	331.96488	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	991.20348	450.13542	 	657.42978	332.68140	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	976.50000	447.00000	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	991.39236	449.88288	*	657.38687	332.83089	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	 	 	 	657.20001	333.83723	 	976.50000	448.50000	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	 	 	 	656.75157	332.61635	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	991.53770	450.47171	*	656.88478	333.81679	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	991.46039	451.15814	 	656.83142	334.66646	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	 	 	 	656.90968	335.28706	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	657.06005	333.33846	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	 	656.73766	333.24789	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	 	 	 	656.40334	332.88328	 	976.50000	448.50000	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	 	 	 	656.08198	331.31154	 	976.50000	448.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	991.22317	450.54351	*	656.43273	332.39381	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	 	 	 	656.65645	333.73454	 	976.50000	448.50000	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	 	 	 	656.93405	332.42592	 	976.50000	448.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	 	 	 	656.83292	333.08543	 	975.00000	448.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	656.33770	333.52368	 	976.50000	448.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	991.06443	450.88455	*	656.52888	333.40968	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	 	 	 	656.29053	332.80071	 	975.00000	448.50000	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	 	 	 	656.42405	333.85692	 	975.00000	448.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	 	 	 	656.40533	333.52991	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	990.89973	449.91604	*	656.53930	334.42905	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	 	 	 	656.70251	335.26414	 	975.00000	448.50000	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	990.45622	451.13461	*	656.61503	335.92114	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	990.26117	451.83623	 	656.62621	336.19352	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	 	 	 	656.09131	335.78614	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	 	 	 	655.97255	335.08280	 	976.50000	448.50000	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	 	 	 	656.25513	334.34871	 	975.00000	450.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	990.19838	453.01194	*	656.22450	333.98297	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	 	 	 	656.22128	333.82308	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	 	 	 	656.14830	334.24168	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	 	 	 	656.39116	333.64809	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	 	 	 	656.42013	334.78432	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	 	 	 	656.27568	334.25698	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	 	 	 	656.18249	334.55930	 	973.50000	450.00000	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	989.21342	454.22622	*	656.17127	333.98938	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	989.23673	454.01049	 	655.76547	334.20272	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	 	 	 	655.56103	334.09364	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
45	989.18167	454.57482	*	655.26777	333.02282	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	989.74619	452.69854	 	655.15654	332.23861	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	 	 	 	655.18283	334.35296	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48	 	 	 	655.42517	333.82120	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	 	 	 	655.21826	334.43797	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50	 	 	 	655.09764	333.50188	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	 	 	 	655.00750	334.88181	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
52	989.76165	452.46514	*	655.33430	332.96357	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	989.50075	452.88083	 	655.45203	334.28102	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
54	 	 	 	655.59218	335.94999	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
55	 	 	 	655.42587	334.68898	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
56	 	 	 	655.65771	334.96411	 	 	 	 	1221.77701	800.93447	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
57	 	 	 	655.81360	336.19195	 	 	 	 	1221.68610	801.77951	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58	 	 	 	655.47812	334.49864	 	 	 	 	1221.58636	800.04541	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	 	 	 	655.34808	333.12790	 	 	 	 	1221.70095	799.54454	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	 	 	 	655.12120	333.00278	 	 	 	 	1221.55501	799.17366	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61	 	 	 	654.53631	332.77233	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	 	 	 	654.34572	333.63652	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
63	 	 	 	653.98767	332.82547	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
64	 	 	 	 	 	 	 	 	 	1221.40906	800.92426	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
