Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X6	Y6	Flag6	X5	Y5	Flag5
1	883.5000	840.0000	0	1041.0000	166.5000	0	754.5000	502.5000	0	787.5000	72.0000	0	205.5000	469.5000	0	1081.5000	241.5000	0	468.0000	63.0000	0	1020.0000	874.5000	0	777.0000	876.0000	0	576.0000	508.5000	0	588.0000	421.5000	0
2	889.5000	847.5000	0	1042.5000	166.5000	0	754.5000	501.0000	0	786.0000	73.5000	0	207.0000	469.5000	0	1078.5000	237.0000	0	468.0000	61.5000	0	1021.5000	876.0000	0	775.5000	879.0000	0	577.5000	504.0000	0	588.0000	421.5000	0
3	889.5000	847.5000	0	1041.0000	168.0000	0	754.5000	501.0000	0	784.5000	75.0000	0	210.0000	469.5000	0	1077.0000	235.5000	0	463.5000	61.5000	0	1024.5000	876.0000	0	778.5000	877.5000	0	576.0000	501.0000	0	589.5000	421.5000	0
4	891.0000	847.5000	0	1039.5000	168.0000	0	756.0000	501.0000	0	787.5000	72.0000	0	213.0000	468.0000	0	1077.0000	238.5000	0	465.0000	64.5000	0	1024.5000	879.0000	0	778.5000	877.5000	0	576.0000	504.0000	0	591.0000	423.0000	0
5	891.0000	847.5000	0	1041.0000	168.0000	0	762.0000	507.0000	0	787.5000	72.0000	0	207.0000	469.5000	0	1081.5000	237.0000	0	463.5000	67.5000	0	1027.5000	882.0000	0	780.0000	874.5000	0	574.5000	502.5000	0	589.5000	424.5000	0
6	894.0000	846.0000	0	1038.0000	169.5000	0	762.0000	508.5000	0	787.5000	72.0000	0	207.0000	466.5000	0	1083.0000	240.0000	0	463.5000	66.0000	0	1029.0000	882.0000	0	778.5000	874.5000	0	574.5000	508.5000	0	588.0000	426.0000	0
7	897.0000	844.5000	0	1039.5000	172.5000	0	762.0000	510.0000	0	792.0000	73.5000	0	205.5000	468.0000	0	1081.5000	243.0000	0	465.0000	64.5000	0	1024.5000	885.0000	0	778.5000	880.5000	0	570.0000	508.5000	0	588.0000	427.5000	0
8	897.0000	846.0000	0	1038.0000	172.5000	0	762.0000	510.0000	0	795.0000	70.5000	0	205.5000	468.0000	0	1086.0000	240.0000	0	468.0000	63.0000	0	1018.5000	885.0000	0	778.5000	883.5000	0	570.0000	508.5000	0	589.5000	427.5000	0
9	892.5000	843.0000	0	1036.5000	174.0000	0	760.5000	507.0000	0	796.5000	67.5000	0	205.5000	469.5000	0	1089.0000	237.0000	0	465.0000	61.5000	0	1018.5000	886.5000	0	781.5000	879.0000	0	574.5000	508.5000	0	592.5000	429.0000	0
10	895.5000	843.0000	0	1036.5000	178.5000	0	760.5000	510.0000	0	798.0000	67.5000	0	204.0000	468.0000	0	1089.0000	240.0000	0	465.0000	70.5000	0	1020.0000	888.0000	0	783.0000	877.5000	0	574.5000	507.0000	0	591.0000	427.5000	0
11	894.0000	843.0000	0	1036.5000	178.5000	0	762.0000	510.0000	0	796.5000	67.5000	0	202.5000	463.5000	0	1092.0000	237.0000	0	465.0000	70.5000	0	1023.0000	889.5000	0	783.0000	874.5000	0	573.0000	507.0000	0	592.5000	430.5000	0
12	894.0000	841.5000	0	1036.5000	177.0000	0	765.0000	507.0000	0	796.5000	66.0000	0	202.5000	462.0000	0	1093.5000	235.5000	0	468.0000	73.5000	0	1024.5000	891.0000	0	781.5000	876.0000	0	573.0000	508.5000	0	594.0000	429.0000	0
13	895.5000	841.5000	0	1035.0000	177.0000	0	765.0000	505.5000	0	792.0000	64.5000	0	202.5000	463.5000	0	1092.0000	237.0000	0	468.0000	70.5000	0	1023.0000	891.0000	0	783.0000	876.0000	0	573.0000	508.5000	0	594.0000	430.5000	0
14	892.5000	840.0000	0	1030.5000	177.0000	0	765.0000	507.0000	0	790.5000	60.0000	0	201.0000	463.5000	0	1093.5000	235.5000	0	469.5000	73.5000	0	1020.4543	892.1005	0	783.0000	879.0000	0	573.0000	508.5000	0	592.5000	429.0000	0
15	891.0000	838.5000	0	1032.0000	178.5000	0	762.0000	504.0000	0	792.0000	61.5000	0	201.0000	465.0000	0	1096.5000	238.5000	0	468.0000	70.5000	0	1021.5000	891.0000	0	784.5000	879.0000	0	570.0000	510.0000	0	591.0000	430.5000	0
16	892.5000	837.0000	0	1032.0000	178.5000	0	765.0000	504.0000	0	789.0000	60.0000	0	202.5000	468.0000	0	1101.0000	240.0000	0	465.0000	73.5000	0	1014.0000	888.0000	0	786.0000	877.5000	0	573.0000	508.5000	0	589.5000	429.0000	0
17	894.0000	838.5000	0	1035.0000	180.0000	0	763.5000	507.0000	0	789.0000	64.5000	0	198.0000	468.0000	0	1101.0000	243.0000	0	468.0000	73.5000	0	1017.0000	895.5000	0	786.0000	879.0000	0	573.0000	505.5000	0	588.0000	430.5000	0
18	897.0000	840.0000	0	1036.5000	178.5000	0	765.0000	505.5000	0	787.5000	64.5000	0	199.5000	468.0000	0	1101.0000	246.0000	0	469.5000	73.5000	0	1015.5000	897.0000	0	786.0000	877.5000	0	571.5000	505.5000	0	588.0000	436.5000	0
19	898.5000	843.0000	0	1036.5000	178.5000	0	762.0000	508.5000	0	789.0000	63.0000	0	199.5000	471.0000	0	1099.5000	244.5000	0	466.5000	78.0000	0	1011.0000	898.5000	0	787.5000	880.5000	0	570.0000	504.0000	0	586.5000	438.0000	0
20	897.0000	841.5000	0	1036.5000	177.0000	0	760.5000	511.5000	0	789.0000	61.5000	0	199.5000	472.5000	0	1099.5000	247.5000	0	462.0000	75.0000	0	1011.0000	898.5000	0	790.5000	876.0000	0	571.5000	507.0000	0	591.0000	439.5000	0
21	898.5000	843.0000	0	1038.0000	178.5000	0	760.5000	513.0000	0	792.0000	63.0000	0	195.0000	472.5000	0	1101.0000	246.0000	0	468.0000	75.0000	0	1012.5000	897.0000	0	792.0000	879.0000	0	573.0000	505.5000	0	591.0000	442.5000	0
22	898.5000	841.5000	0	1036.5000	175.5000	0	762.0000	516.0000	0	795.0000	64.5000	0	196.5000	474.0000	0	1099.5000	247.5000	0	469.5000	76.5000	0	1014.0000	897.0000	0	793.5000	882.0000	0	571.5000	505.5000	0	591.0000	444.0000	0
23	898.5000	844.5000	0	1033.5000	175.5000	0	759.0000	517.5000	0	793.5000	61.5000	0	196.5000	474.0000	0	1099.5000	246.0000	0	475.5000	75.0000	0	1017.0000	897.0000	0	792.0000	877.5000	0	571.5000	505.5000	0	591.0000	442.5000	0
24	897.0000	847.5000	0	1032.0000	175.5000	0	760.5000	514.5000	0	795.0000	60.0000	0	192.0000	471.0000	0	1096.5000	246.0000	0	474.0000	72.0000	0	1015.5000	892.5000	0	795.0000	880.5000	0	570.0000	505.5000	0	591.0000	441.0000	0
25	897.0000	847.5000	0	1032.0000	177.0000	0	760.5000	517.5000	0	795.0000	60.0000	0	196.5000	475.5000	0	1095.0000	250.5000	0	475.5000	72.0000	0	1017.0000	894.0000	0	796.5000	879.0000	0	570.0000	505.5000	0	588.0000	441.0000	0
26	898.5000	849.0000	0	1030.5000	175.5000	0	763.5000	517.5000	0	795.0000	61.5000	0	199.5000	475.5000	0	1093.5000	250.5000	0	472.5000	70.5000	0	1019.9793	890.8169	0	801.0000	882.0000	0	571.5000	507.0000	0	582.0000	442.5000	0
27	900.0000	847.5000	0	1027.5000	177.0000	0	760.5000	517.5000	0	798.0000	61.5000	0	201.0000	475.5000	0	1095.0000	250.5000	0	472.5000	72.0000	0	1012.5000	888.0000	0	798.0000	880.5000	0	571.5000	504.0000	0	583.5000	444.0000	0
28	897.0000	847.5000	0	1026.0000	174.0000	0	760.5000	517.5000	0	804.0000	63.0000	0	202.5000	475.5000	0	1095.0000	252.0000	0	472.5000	70.5000	0	1017.0000	885.0000	0	801.0000	882.0000	0	570.0000	502.5000	0	585.0000	442.5000	0
29	897.0000	849.0000	0	1027.5000	177.0000	0	759.0000	517.5000	0	801.0000	64.5000	0	202.5000	474.0000	0	1092.0000	252.0000	0	472.5000	67.5000	0	1018.5000	886.5000	0	802.5000	885.0000	0	570.0000	501.0000	0	582.0000	439.5000	0
30	900.0000	849.0000	0	1027.5000	175.5000	0	759.0000	513.0000	0	804.0000	63.0000	0	199.5000	477.0000	0	1089.0000	252.0000	0	471.0000	72.0000	0	1014.0000	882.0000	0	798.0000	886.5000	0	568.5000	498.0000	0	582.0000	438.0000	0
31	898.5000	847.5000	0	1026.0000	178.5000	0	760.5000	519.0000	0	799.5000	63.0000	0	199.5000	480.0000	0	1089.0000	250.5000	0	469.5000	76.5000	0	1015.5000	883.5000	0	799.5000	885.0000	0	567.0000	496.5000	0	579.0000	442.5000	0
32	900.0000	846.0000	0	1026.0000	186.0000	0	762.0000	517.5000	0	801.0000	61.5000	0	198.0000	475.5000	0	1092.0000	249.0000	0	472.5000	75.0000	0	1012.5000	885.0000	0	801.0000	892.5000	0	567.0000	493.5000	0	579.0000	442.5000	0
33	901.5000	844.5000	0	1018.5000	180.0000	0	765.0000	519.0000	0	804.0000	60.0000	0	195.0000	477.0000	0	1092.0000	252.0000	0	471.0000	75.0000	0	1018.5000	883.5000	0	802.5000	888.0000	0	570.0000	490.5000	0	583.5000	439.5000	0
34	901.5000	843.0000	0	1026.0000	178.5000	0	766.5000	516.0000	0	807.0000	61.5000	0	195.0000	477.0000	0	1092.0000	253.5000	0	472.5000	73.5000	0	1020.0000	885.0000	0	802.5000	888.0000	0	570.0000	489.0000	0	582.0000	439.5000	0
35	898.5000	841.5000	0	1023.0000	180.0000	0	766.5000	514.5000	0	804.0000	60.0000	0	192.0000	481.5000	0	1090.5000	249.0000	0	475.5000	73.5000	0	1023.0000	883.5000	0	802.5000	889.5000	0	570.0000	489.0000	0	582.0000	439.5000	0
