Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
1	1011.0000	624.0000	0	732.0000	508.5000	0	793.5000	304.5000	0	544.5000	700.5000	0	558.0000	397.5000	0	1102.5000	517.5000	0	496.5000	102.0000	0	637.5000	624.0000	0
2	1011.0000	622.5000	0	732.0000	510.0000	0	790.5000	306.0000	0	543.0000	700.5000	0	558.0000	402.0000	0	1102.5000	516.0000	0	493.5000	96.0000	0	636.0000	622.5000	0
3	1012.5000	621.0000	0	732.0000	510.0000	0	790.5000	303.0000	0	544.5000	702.0000	0	555.0000	394.5000	0	1102.5000	514.5000	0	493.5000	96.0000	0	634.5000	624.0000	0
4	1008.0000	624.0000	0	732.0000	508.5000	0	792.0000	301.5000	0	541.5000	699.0000	0	549.0000	393.0000	0	1102.5000	513.0000	0	493.5000	97.5000	0	636.0000	624.0000	0
5	1009.5000	624.0000	0	730.5000	510.0000	0	789.0000	303.0000	0	541.5000	694.5000	0	547.5000	397.5000	0	1102.5000	513.0000	0	492.0000	99.0000	0	637.5000	624.0000	0
6	1012.5000	622.5000	0	729.0000	508.5000	0	789.0000	297.0000	0	542.8744	700.3134	0	546.0000	394.5000	0	1102.5000	511.5000	0	495.0000	99.0000	0	639.0000	619.5000	0
7	1012.5000	622.5000	0	729.0000	507.0000	0	789.0000	298.5000	0	541.5000	697.5000	0	547.5000	393.0000	0	1110.0000	510.0000	0	496.5000	99.0000	0	643.5000	622.5000	0
8	1008.0000	624.0000	0	729.0000	510.0000	0	790.5000	301.5000	0	540.0000	699.0000	0	549.0000	391.5000	0	1108.5000	510.0000	0	498.0000	100.5000	0	645.0000	624.0000	0
9	1008.0000	621.0000	0	727.5000	504.0000	0	789.0000	301.5000	0	538.5000	700.5000	0	547.5000	390.0000	0	1105.5000	510.0000	0	499.5000	102.0000	0	648.0000	621.0000	0
10	1006.5000	621.0000	0	727.5000	502.5000	0	792.0000	303.0000	0	540.0000	700.5000	0	544.5000	388.5000	0	1105.5000	510.0000	0	499.5000	102.0000	0	646.5000	619.5000	0
11	1005.0000	621.0000	0	729.0000	501.0000	0	792.0000	303.0000	0	543.0000	699.0000	0	543.0000	393.0000	0	1105.5000	510.0000	0	498.0000	103.5000	0	648.0000	621.0000	0
12	1005.0000	622.5000	0	727.5000	501.0000	0	795.0000	303.0000	0	544.5000	703.5000	0	546.0000	391.5000	0	1105.5000	511.5000	0	495.0000	105.0000	0	652.5000	622.5000	0
13	1003.5000	624.0000	0	726.0000	501.0000	0	795.0000	301.5000	0	544.5000	703.5000	0	543.0000	388.5000	0	1107.0000	513.0000	0	499.5000	103.5000	0	655.5000	619.5000	0
14	1000.5000	622.5000	0	727.5000	502.5000	0	798.0000	301.5000	0	540.0000	700.5000	0	546.0000	390.0000	0	1105.5000	513.0000	0	501.0000	106.5000	0	657.0000	621.0000	0
15	1000.5000	624.0000	0	727.5000	502.5000	0	801.0000	303.0000	0	540.0000	703.5000	0	544.5000	391.5000	0	1105.5000	510.0000	0	499.5000	109.5000	0	658.5000	619.5000	0
16	997.5000	625.5000	0	732.0000	501.0000	0	796.5000	303.0000	0	546.0000	705.0000	0	541.5000	391.5000	0	1102.5000	508.5000	0	498.0000	109.5000	0	660.0000	616.5000	0
17	996.0000	627.0000	0	735.0000	502.5000	0	798.0000	300.0000	0	545.2500	705.0000	0	541.5000	391.5000	0	1105.5000	508.5000	0	492.0000	108.0000	0	657.0000	619.5000	0
18	996.0000	627.0000	0	733.5000	499.5000	0	796.5000	303.0000	0	547.5000	709.5000	0	547.5000	394.5000	0	1105.5000	510.0000	0	483.0000	111.0000	0	655.5000	619.5000	0
19	997.5000	627.0000	0	733.5000	496.5000	0	796.5000	298.5000	0	547.5000	711.0000	0	549.0000	391.5000	0	1105.5000	508.5000	0	486.0000	115.5000	0	658.5000	618.0000	0
20	997.5000	627.0000	0	735.0000	498.0000	0	795.0000	298.5000	0	549.0000	714.0000	0	546.0000	390.0000	0	1107.0000	504.0000	0	490.5000	112.5000	0	658.5000	621.0000	0
21	999.0000	627.0000	0	735.0000	501.0000	0	796.5000	297.0000	0	547.5000	718.5000	0	546.0000	394.5000	0	1102.5000	504.0000	0	489.0000	111.0000	0	658.5000	624.0000	0
22	1002.0000	630.0000	0	735.0000	499.5000	0	793.5000	295.5000	0	546.0000	717.0000	0	546.0000	397.5000	0	1107.0000	499.5000	0	487.5000	109.5000	0	658.5000	622.5000	0
23	999.0000	630.0000	0	732.0000	498.0000	0	792.0000	294.0000	0	544.5000	715.5000	0	544.5000	396.0000	0	1102.5000	498.0000	0	484.5000	109.5000	0	657.0000	624.0000	0
24	999.0000	628.5000	0	735.0000	498.0000	0	790.5000	297.0000	0	543.0000	718.5000	0	543.0000	396.0000	0	1101.0000	499.5000	0	481.5000	111.0000	0	664.5000	622.5000	0
25	997.5000	627.0000	0	739.5000	499.5000	0	787.5000	301.5000	0	543.0000	721.5000	0	546.0000	402.0000	0	1101.0000	501.0000	0	478.5000	111.0000	0	666.0000	622.5000	0
26	997.5000	625.5000	0	739.5000	498.0000	0	789.0000	300.0000	0	544.5000	724.5000	0	547.5000	402.0000	0	1101.0000	499.5000	0	480.0000	111.0000	0	667.5000	625.5000	0
27	996.0000	627.0000	0	738.0000	499.5000	0	786.0000	300.0000	0	543.0000	724.5000	0	547.5000	403.5000	0	1102.5000	502.5000	0	478.5000	112.5000	0	669.0000	627.0000	0
28	996.0000	625.5000	0	739.5000	498.0000	0	786.0000	303.0000	0	543.0000	727.5000	0	550.5000	405.0000	0	1102.5000	504.0000	0	477.0000	112.5000	0	669.0000	627.0000	0
