Frame	X4	Y4	Flag4	X5	Y5	Flag5	X7	Y7	Flag7	X6	Y6	Flag6	X8	Y8	Flag8	X3	Y3	Flag3	X2	Y2	Flag2	X9	Y9	Flag9	X1	Y1	Flag1	X10	Y10	Flag10	X12	Y12	Flag12	X11	Y11	Flag11
1	736.5000	474.0000	0	393.0000	249.0000	0	537.0000	312.0000	0	1345.5000	991.5000	0	249.8512	442.5246	0	1221.0000	535.5000	0	697.5000	696.0000	0	1158.0000	547.5000	0	985.5000	610.5000	0	1014.0000	631.5000	0	1305.0000	745.5000	0	717.0000	726.0000	0
2	735.0000	472.5000	0	396.0000	252.0000	0	540.0000	312.0000	0	1345.5000	993.0000	0	248.4017	444.4071	0	1221.0000	535.5000	0	702.0000	697.5000	0	1164.0000	547.5000	0	981.0000	612.0000	0	1015.5000	636.0000	0	1311.0000	747.0000	0	718.5000	724.5000	0
3	733.5000	471.0000	0	399.0000	250.5000	0	538.5000	310.5000	0	1344.0000	996.0000	0	247.5000	445.5000	0	1222.5000	535.5000	0	702.0000	697.5000	0	1162.5000	546.0000	0	982.5000	609.0000	0	1015.5000	631.5000	0	1315.5000	747.0000	0	723.0000	724.5000	0
4	735.0000	469.5000	0	400.5000	252.0000	0	540.0000	309.0000	0	1347.0000	993.0000	0	244.4350	454.0041	0	1222.5000	534.0000	0	700.5000	699.0000	0	1161.0000	549.0000	0	988.5000	609.0000	0	1017.0000	633.0000	0	1312.5000	751.5000	0	720.0000	726.0000	0
5	735.0000	468.0000	0	402.0000	250.5000	0	538.5000	309.0000	0	1348.5000	988.5000	0	249.0000	441.0000	0	1219.5000	537.0000	0	700.5000	697.5000	0	1164.0000	550.5000	0	988.5000	604.5000	0	1020.0000	633.0000	0	1315.5000	751.5000	0	721.5000	724.5000	0
6	735.0000	469.5000	0	399.0000	250.5000	0	538.5000	309.0000	0	1345.5000	990.0000	0	249.0000	444.0000	0	1218.0000	538.5000	0	702.0000	696.0000	0	1162.5000	550.5000	0	987.0000	607.5000	0	1018.5000	633.0000	0	1318.5000	751.5000	0	721.5000	723.0000	0
7	733.5000	468.0000	0	400.5000	249.0000	0	537.0000	310.5000	0	1345.5000	993.0000	0	244.5000	441.0000	0	1219.5000	537.0000	0	697.5000	697.5000	0	1164.0000	553.5000	0	985.5000	609.0000	0	1017.0000	634.5000	0	1317.0000	753.0000	0	723.0000	724.5000	0
8	738.0000	469.5000	0	397.5000	247.5000	0	538.5000	312.0000	0	1345.5000	990.0000	0	243.0000	445.5000	0	1222.5000	535.5000	0	699.0000	696.0000	0	1164.0000	552.0000	0	987.0000	607.5000	0	1018.5000	636.0000	0	1317.0000	751.5000	0	724.5000	726.0000	0
9	736.5000	471.0000	0	399.0000	243.0000	0	538.5000	313.5000	0	1347.0000	988.5000	0	244.5000	445.5000	0	1222.5000	538.5000	0	700.5000	696.0000	0	1162.5000	552.0000	0	988.5000	609.0000	0	1020.0000	637.5000	0	1318.5000	753.0000	0	727.5000	727.5000	0
10	736.5000	471.0000	0	400.5000	244.5000	0	537.0000	318.0000	0	1347.0000	990.0000	0	244.5000	447.0000	0	1222.5000	538.5000	0	699.0000	697.5000	0	1164.0000	553.5000	0	991.5000	609.0000	0	1018.5000	637.5000	0	1317.0000	753.0000	0	726.0000	727.5000	0
11	736.5000	469.5000	0	400.5000	244.5000	0	537.0000	316.5000	0	1345.5000	988.5000	0	241.5000	442.5000	0	1222.5000	537.0000	0	697.5000	700.5000	0	1164.0000	553.5000	0	994.5000	607.5000	0	1021.5000	637.5000	0	1318.5000	754.5000	0	726.0000	726.0000	0
12	739.5000	468.0000	0	403.5000	244.5000	0	538.5000	316.5000	0	1347.0000	991.5000	0	243.0000	442.5000	0	1225.5000	540.0000	0	697.5000	702.0000	0	1167.0000	555.0000	0	993.0000	606.0000	0	1020.0000	636.0000	0	1318.5000	753.0000	0	718.5000	726.0000	0
13	741.0000	465.0000	0	405.0000	246.0000	0	538.5000	315.0000	0	1347.0000	990.0000	0	244.5000	445.5000	0	1224.0000	540.0000	0	697.5000	703.5000	0	1168.5000	549.0000	0	991.5000	604.5000	0	1018.5000	631.5000	0	1320.0000	753.0000	0	714.0000	721.5000	0
14	742.5000	463.5000	0	405.0000	247.5000	0	537.0000	315.0000	0	1348.5000	990.0000	0	244.5000	442.5000	0	1221.0000	540.0000	0	697.5000	702.0000	0	1168.5000	549.0000	0	993.0000	604.5000	0	1017.0000	631.5000	0	1320.0000	753.0000	0			
15	742.5000	462.0000	0	405.0000	247.5000	0	537.0000	316.5000	0	1348.5000	990.0000	0	250.1957	444.2241	0	1224.0000	537.0000	0	694.5000	703.5000	0	1171.5000	549.0000	0	991.5000	601.5000	0	1015.5000	633.0000	0	1318.5000	751.5000	0			
16	738.0000	463.5000	0	403.5000	247.5000	0	541.5000	315.0000	0	1350.0000	991.5000	0	249.8889	444.6734	0	1225.5000	537.0000	0	694.5000	703.5000	0	1170.0000	547.5000	0	994.5000	604.5000	0	1014.0000	628.5000	0	1320.0000	750.0000	0			
