Frame	X2	Y2	Flag2	X1	Y1	Flag1	X3	Y3	Flag3	X4	Y4	Flag4
1	207.0000	253.5000	0	514.5000	541.5000	0	678.0000	766.5000	0	1424.7968	662.7079	0
2	207.0000	255.0000	0	514.5000	541.5000	0	684.0000	772.5000	0	1424.3922	660.0788	0
3	207.0000	255.0000	0	513.0000	541.5000	0	678.0000	766.5000	0	1423.5819	659.9591	0
4	207.0000	255.0000	0	514.5000	540.0000	0	687.0000	772.5000	0	1423.4437	662.0205	0
5	207.0000	255.0000	0	513.0000	538.5000	0	691.5000	769.5000	0	1423.6171	660.1833	0
6	207.0000	255.0000	0	514.5000	540.0000	0	696.3689	772.0891	0	1424.2993	660.4564	0
7	207.0000	255.0000	0	514.5000	540.0000	0	685.5000	772.5000	0	1424.2998	660.0188	0
8	207.0000	255.0000	0	516.0000	541.5000	0	687.0000	775.5000	0	1424.4726	659.8503	0
9	207.0000	255.0000	0	517.5000	543.0000	0	694.3835	773.2396	0	1424.0054	659.6870	0
10	207.0000	255.0000	0	514.5000	540.0000	0	688.5000	777.0000	0	1423.9068	660.1453	0
11	207.0000	255.0000	0	513.0000	540.0000	0	685.5000	774.0000	0	1422.9034	662.5063	0
12	207.0000	255.0000	0	514.5000	540.0000	0	685.5000	774.0000	0	1424.2324	662.9523	0
13	207.0000	255.0000	0	514.5000	540.0000	0	685.5000	774.0000	0	1423.3824	662.8480	0
14	207.0000	253.5000	0	519.0000	544.5000	0	685.5000	772.5000	0	1423.5478	664.0494	0
15	207.0000	255.0000	0	514.5000	540.0000	0	685.5000	774.0000	0	1423.5075	662.5743	0
16	207.0000	255.0000	0	514.5000	540.0000	0	685.5000	772.5000	0	1424.0000	662.7319	0
17	207.0000	253.5000	0	519.0000	544.5000	0	685.5000	772.5000	0	1424.6139	663.9874	0
18	207.0000	253.5000	0	520.5000	544.5000	0	684.0000	772.5000	0	1423.9012	664.0254	0
19	207.0000	255.0000	0	519.0000	544.5000	0	682.5000	774.0000	0	1424.1952	664.4463	0
20	207.0000	253.5000	0	519.0000	544.5000	0	685.5000	774.0000	0	1424.0746	662.9210	0
21	207.0000	253.5000	0	519.0000	544.5000	0	682.5000	772.5000	0	1424.4567	662.4723	0
22	207.0000	253.5000	0	519.0000	544.5000	0	685.5000	775.5000	0	1423.9970	662.7088	0
23	207.0000	252.0000	0	519.0000	544.5000	0	690.9423	770.6668	0	1424.3455	662.8573	0
24	210.0000	255.0000	0	520.5000	544.5000	0	684.0000	772.5000	0	1423.4380	662.9869	0
25	207.0000	255.0000	0	517.5000	543.0000	0	681.0000	768.0000	0	1423.9481	662.9144	0
26	207.0000	253.5000	0	517.5000	543.0000	0	684.0000	769.5000	0	1424.6164	663.0332	0
27	211.5000	255.0000	0	517.5000	543.0000	0	685.5000	772.5000	0	1423.8598	663.4860	0
28	207.0000	255.0000	0	517.5000	544.5000	0	681.0000	771.0000	0	1423.7510	663.7858	0
29	207.0000	255.0000	0	519.0000	543.0000	0	685.5000	772.5000	0	1422.9245	664.6470	0
30	207.0000	255.0000	0	519.0000	543.0000	0	685.5000	768.0000	0	1423.4098	664.5760	0
31	207.0000	255.0000	0	519.0000	543.0000	0	681.0000	768.0000	0	1421.7024	664.7364	0
32	208.5000	255.0000	0	519.0000	543.0000	0	682.5000	769.5000	0	1420.0940	662.2678	0
33	208.5000	255.0000	0	519.0000	544.5000	0	682.5000	768.0000	0	1420.1227	661.9992	0
34	207.0000	255.0000	0	519.0000	544.5000	0	682.5000	768.0000	0	1420.6720	661.8339	0
35	207.0000	253.5000	0	519.0000	544.5000	0	685.5000	772.5000	0	1419.9472	660.7860	0
36	207.0000	255.0000	0	519.0000	544.5000	0	681.0000	769.5000	0	1419.4576	659.4414	0
37	207.0000	255.0000	0	520.5000	544.5000	0	684.0000	769.5000	0	1418.3176	659.2626	0
38	207.0000	253.5000	0	520.5000	544.5000	0	682.5000	769.5000	0	1417.3538	659.4366	0
39	207.0000	253.5000	0	520.5000	544.5000	0	681.0000	768.0000	0	1416.3380	660.9347	0
40	207.0000	253.5000	0	520.5000	544.5000	0	679.5000	766.5000	0	1415.0514	661.5427	0
41	207.0000	253.5000	0	520.5000	544.5000	0	681.0000	768.0000	0	1414.5401	662.3222	0
42	207.0000	253.5000	0	520.5000	544.5000	0	682.5000	768.0000	0	1414.3099	663.6397	0
43	207.0000	253.5000	0	520.5000	544.5000	0	682.5000	768.0000	0	1413.3343	664.3635	0
44	205.5000	255.0000	0	520.5000	544.5000	0	681.0000	766.5000	0	1413.6163	663.9902	0
45	205.5000	253.5000	0	520.5000	544.5000	0	682.5000	765.0000	0	1413.5793	665.9170	0
