Frame	X1	Y1	Flag1	X2	Y2	Flag2
1	691.5000	484.5000	0	520.5000	345.0000	0
2	694.5000	483.0000	0	520.5000	343.5000	0
3	691.5000	484.5000	0	520.5000	345.0000	0
4	687.0000	495.0000	0	519.0000	343.5000	0
5	691.5000	484.5000	0	517.5000	343.5000	0
6	690.0000	486.0000	0	519.0000	343.5000	0
7	688.5000	487.5000	0	519.0000	345.0000	0
8	691.5000	483.0000	0	516.0000	342.0000	0
9	691.5000	483.0000	0	517.5000	343.5000	0
10	690.0000	484.5000	0	519.0000	345.0000	0
11	685.5000	495.0000	0	517.5000	342.0000	0
12	687.0000	495.0000	0	517.5000	342.0000	0
13	688.5000	484.5000	0	517.5000	342.0000	0
14	687.0000	495.0000	0	517.5000	342.0000	0
15	687.0000	495.0000	0	517.5000	340.5000	0
16	691.5000	481.5000	0	517.5000	342.0000	0
17	691.5000	483.0000	0	520.5000	340.5000	0
18	691.5000	483.0000	0	519.0000	340.5000	0
19	690.0000	486.0000	0	520.5000	340.5000	0
20	690.0000	486.0000	0	519.0000	340.5000	0
21	691.5000	486.0000	0	519.0000	340.5000	0
22	690.0000	486.0000	0	520.5000	340.5000	0
23	688.5000	487.5000	0	517.5000	340.5000	0
24	691.5000	486.0000	0	519.0000	340.5000	0
25	691.5000	486.0000	0	519.0000	340.5000	0
26	691.5000	487.5000	0	517.5000	339.0000	0
27	691.5000	487.5000	0	517.5000	339.0000	0
28	691.5000	487.5000	0	517.5000	340.5000	0
29	691.5000	489.0000	0	517.5000	340.5000	0
30	690.0000	489.0000	0	519.0000	340.5000	0
31	690.0000	490.5000	0	517.5000	342.0000	0
32	691.5000	489.0000	0	517.5000	340.5000	0
33	690.0000	489.0000	0	517.5000	340.5000	0
34	690.0000	489.0000	0	517.5000	342.0000	0
35	690.0000	489.0000	0	517.5000	340.5000	0
36	688.5000	489.0000	0	517.5000	340.5000	0
37	690.0000	487.5000	0	517.5000	342.0000	0
38	688.5000	489.0000	0	519.0000	340.5000	0
39	687.0000	484.5000	0	519.0000	339.0000	0
40	687.0000	487.5000	0	520.5000	340.5000	0
41	685.5000	486.0000	0	520.5000	340.5000	0
42	685.5000	486.0000	0	519.0000	340.5000	0
43	685.5000	487.5000	0	520.5000	340.5000	0
44	685.5000	486.0000	0	520.5000	340.5000	0
45	685.5000	487.5000	0	520.5000	340.5000	0
46	684.0000	487.5000	0	520.5000	340.5000	0
47	684.0000	487.5000	0	520.5000	340.5000	0
48	684.0000	487.5000	0	517.5000	339.0000	0
49	682.5000	489.0000	0	519.0000	339.0000	0
50	681.0000	487.5000	0	519.0000	336.0000	0
51	681.0000	489.0000	0	517.5000	336.0000	0
52	682.5000	489.0000	0	517.5000	337.5000	0
53	681.0000	489.0000	0	519.0000	339.0000	0
54	682.5000	487.5000	0	517.5000	337.5000	0
55	681.0000	489.0000	0	517.5000	339.0000	0
56	681.0000	490.5000	0	517.5000	339.0000	0
57	681.0000	489.0000	0	517.5000	339.0000	0
58	682.5000	490.5000	0	517.5000	340.5000	0
59	682.5000	489.0000	0	514.5000	339.0000	0
60	684.0000	490.5000	0	516.0000	340.5000	0
61	682.5000	489.0000	0	514.5000	340.5000	0
62	684.0000	487.5000	0	513.0000	339.0000	0
63	684.0000	487.5000	0	513.0000	339.0000	0
64	685.5000	486.0000	0	513.0000	339.0000	0
65	685.5000	486.0000	0	514.5000	339.0000	0
66	685.5000	486.0000	0	514.5000	337.5000	0
67	685.5000	486.0000	0	514.5000	337.5000	0
68	685.5000	486.0000	0	514.5000	337.5000	0
69	685.5000	486.0000	0	514.5000	337.5000	0
70	687.0000	487.5000	0	514.5000	339.0000	0
71	687.0000	486.0000	0	513.0000	337.5000	0
72	688.5000	489.0000	0	513.0000	339.0000	0
73	688.5000	489.0000	0	513.0000	339.0000	0
74	688.5000	489.0000	0	514.5000	337.5000	0
75	690.0000	487.5000	0	514.5000	340.5000	0
76	690.0000	489.0000	0	514.5000	340.5000	0
77	690.0000	489.0000	0	516.0000	339.0000	0
78	690.0000	489.0000	0	514.5000	339.0000	0
79	691.5000	487.5000	0	514.5000	339.0000	0
80	691.5000	487.5000	0	516.0000	337.5000	0
81	691.5000	487.5000	0	517.5000	337.5000	0
82	691.5000	487.5000	0	517.5000	339.0000	0
83	691.5000	486.0000	0	516.0000	339.0000	0
84	691.5000	486.0000	0	517.5000	340.5000	0
85	691.5000	484.5000	0	516.0000	340.5000	0
86	691.5000	484.5000	0	517.5000	342.0000	0
87	690.0000	487.5000	0	519.0000	345.0000	0
88	691.5000	487.5000	0	519.0000	343.5000	0
89	691.5000	487.5000	0	519.0000	343.5000	0
90	691.5000	487.5000	0	517.5000	340.5000	0
91	690.0000	487.5000	0	516.0000	340.5000	0
92	690.0000	489.0000	0	514.5000	340.5000	0
93	691.5000	487.5000	0	517.5000	340.5000	0
94	690.0000	487.5000	0	517.5000	339.0000	0
95	691.5000	487.5000	0	517.5000	342.0000	0
96	691.5000	487.5000	0	519.0000	340.5000	0
97	691.5000	487.5000	0	519.0000	342.0000	0
98	691.5000	489.0000	0	519.0000	342.0000	0
99	693.0000	489.0000	0	519.0000	342.0000	0
100	691.5000	490.5000	0	519.0000	342.0000	0
101	691.5000	490.5000	0	517.5000	343.5000	0
102	691.5000	489.0000	0	516.0000	343.5000	0
103	691.5000	490.5000	0	514.5000	343.5000	0
104	690.0000	489.0000	0	520.5000	345.0000	0
105	690.0000	490.5000	0	517.5000	343.5000	0
106	690.0000	490.5000	0	517.5000	342.0000	0
107	690.0000	490.5000	0	517.5000	343.5000	0
108	690.0000	490.5000	0	519.0000	345.0000	0
109	690.0000	490.5000	0	519.0000	345.0000	0
110	690.0000	492.0000	0	517.5000	345.0000	0
111	690.0000	490.5000	0	519.0000	345.0000	0
112	691.5000	489.0000	0	517.5000	345.0000	0
113	691.5000	490.5000	0	516.0000	345.0000	0
114	691.5000	490.5000	0	517.5000	345.0000	0
115	690.0000	490.5000	0	516.0000	343.5000	0
116	690.0000	489.0000	0	514.5000	343.5000	0
117	688.5000	490.5000	0	516.0000	345.0000	0
118	687.0000	490.5000	0	517.5000	345.0000	0
119	685.5000	492.0000	0	516.0000	345.0000	0
120	684.0000	490.5000	0	514.5000	345.0000	0
121	684.0000	490.5000	0	517.5000	345.0000	0
122	684.0000	492.0000	0	517.5000	343.5000	0
123	685.5000	492.0000	0	517.5000	345.0000	0
124	682.5000	493.5000	0	517.5000	343.5000	0
125	682.5000	492.0000	0	514.5000	342.0000	0
126	682.5000	492.0000	0	517.5000	342.0000	0
127	682.5000	492.0000	0	517.5000	343.5000	0
128	685.5000	493.5000	0	514.5000	342.0000	0
129	687.0000	492.0000	0	514.5000	342.0000	0
130	684.0000	493.5000	0	514.5000	342.0000	0
131	685.5000	493.5000	0	513.0000	345.0000	0
132	684.0000	492.0000	0	511.5000	345.0000	0
133	687.0000	493.5000	0	513.0000	345.0000	0
134	682.5000	495.0000	0	513.0000	345.0000	0
135	682.5000	495.0000	0	513.0000	345.0000	0
136	682.5000	492.0000	0	511.5000	343.5000	0
137	682.5000	493.5000	0	511.5000	343.5000	0
138	682.5000	492.0000	0	511.5000	342.0000	0
139	684.0000	492.0000	0	510.0000	340.5000	0
140	684.0000	492.0000	0	510.0000	342.0000	0
141	684.0000	493.5000	0	507.0000	342.0000	0
142	685.5000	492.0000	0	508.5000	342.0000	0
143	687.0000	492.0000	0	508.5000	342.0000	0
144	685.5000	492.0000	0	508.5000	343.5000	0
145	687.0000	492.0000	0	511.5000	343.5000	0
146	687.0000	490.5000	0	511.5000	343.5000	0
147	687.0000	490.5000	0	508.5000	343.5000	0
148	688.5000	492.0000	0	508.5000	343.5000	0
149	688.5000	493.5000	0	510.0000	343.5000	0
150	687.0000	493.5000	0	508.5000	343.5000	0
151	685.5000	492.0000	0	508.5000	342.0000	0
152	685.5000	493.5000	0	511.5000	343.5000	0
153	687.0000	489.0000	0	510.0000	340.5000	0
154	685.5000	493.5000	0	511.5000	343.5000	0
155	687.0000	495.0000	0	511.5000	343.5000	0
156	688.5000	492.0000	0	511.5000	342.0000	0
157	687.0000	492.0000	0	511.5000	342.0000	0
158	688.5000	492.0000	0	514.5000	343.5000	0
159	687.0000	489.0000	0	513.0000	342.0000	0
160	684.0000	490.5000	0	514.5000	342.0000	0
161	682.5000	492.0000	0	513.0000	342.0000	0
162	685.5000	492.0000	0	511.5000	340.5000	0
163	684.0000	489.0000	0	513.0000	339.0000	0
164	682.5000	490.5000	0	513.0000	339.0000	0
165	682.5000	493.5000	0	513.0000	340.5000	0
166	684.0000	490.5000	0	513.0000	337.5000	0
167	684.0000	490.5000	0	510.0000	337.5000	0
168	684.0000	490.5000	0	511.5000	339.0000	0
169	682.5000	490.5000	0	514.5000	337.5000	0
170	684.0000	489.0000	0	511.5000	336.0000	0
171	684.0000	492.0000	0	513.0000	337.5000	0
172	687.0000	492.0000	0	513.0000	337.5000	0
173	684.0000	490.5000	0	514.5000	337.5000	0
174	682.5000	490.5000	0	513.0000	339.0000	0
175	684.0000	490.5000	0	511.5000	339.0000	0
176	684.0000	490.5000	0	508.5000	337.5000	0
177	684.0000	493.5000	0	513.0000	339.0000	0
178	687.0000	493.5000	0	510.0000	337.5000	0
179	687.0000	495.0000	0	510.0000	340.5000	0
180	685.5000	493.5000	0	510.0000	340.5000	0
181	685.5000	495.0000	0	510.0000	340.5000	0
182	687.0000	495.0000	0	511.5000	340.5000	0
183	688.5000	496.5000	0	511.5000	340.5000	0
184	688.5000	495.0000	0	511.5000	340.5000	0
185	688.5000	495.0000	0	511.5000	340.5000	0
186	688.5000	495.0000	0	511.5000	340.5000	0
187	688.5000	495.0000	0	513.0000	340.5000	0
188	688.5000	495.0000	0	514.5000	340.5000	0
189	687.0000	495.0000	0	514.5000	340.5000	0
190	687.0000	493.5000	0	514.5000	339.0000	0
191	688.5000	493.5000	0	514.5000	339.0000	0
192	687.0000	495.0000	0	516.0000	340.5000	0
193	688.5000	493.5000	0	516.0000	339.0000	0
194	688.5000	495.0000	0	514.5000	339.0000	0
195	688.5000	495.0000	0	514.5000	339.0000	0
196	688.5000	498.0000	0	516.0000	340.5000	0
197	688.5000	495.0000	0	516.0000	339.0000	0
198	690.0000	495.0000	0	516.0000	340.5000	0
199	690.0000	496.5000	0	514.5000	339.0000	0
200	690.0000	495.0000	0	514.5000	339.0000	0
201	691.5000	493.5000	0	513.0000	339.0000	0
202	691.5000	493.5000	0	513.0000	339.0000	0
203	690.0000	495.0000	0	513.0000	340.5000	0
204	691.5000	493.5000	0	513.0000	340.5000	0
205	691.5000	493.5000	0	513.0000	340.5000	0
206	691.5000	493.5000	0	514.5000	342.0000	0
207	691.5000	493.5000	0	514.5000	342.0000	0
208	691.5000	495.0000	0	514.5000	342.0000	0
209	690.0000	495.0000	0	514.5000	343.5000	0
210	690.0000	493.5000	0	513.0000	343.5000	0
211	690.0000	493.5000	0	513.0000	343.5000	0
212	690.0000	495.0000	0	513.0000	345.0000	0
213	690.0000	493.5000	0	513.0000	346.5000	0
214	688.5000	493.5000	0	513.0000	346.5000	0
215	688.5000	493.5000	0	513.0000	346.5000	0
216	687.0000	492.0000	0	513.0000	345.0000	0
217	688.5000	493.5000	0	514.5000	345.0000	0
218	687.0000	492.0000	0	513.0000	346.5000	0
219	688.5000	493.5000	0	514.5000	346.5000	0
220	688.5000	493.5000	0	513.0000	348.0000	0
221	688.5000	493.5000	0	513.0000	348.0000	0
222	688.5000	493.5000	0	513.0000	348.0000	0
223	687.0000	493.5000	0	513.0000	346.5000	0
224	688.5000	493.5000	0	514.5000	348.0000	0
225	687.0000	492.0000	0	517.5000	348.0000	0
226	687.0000	492.0000	0	516.0000	346.5000	0
227	687.0000	492.0000	0	516.0000	346.5000	0
228	690.0000	492.0000	0	516.0000	348.0000	0
229	687.0000	490.5000	0	517.5000	346.5000	0
230	687.0000	493.5000	0	516.0000	346.5000	0
231	688.5000	493.5000	0	514.5000	349.5000	0
232	688.5000	493.5000	0	514.5000	348.0000	0
233	687.0000	493.5000	0	514.5000	349.5000	0
234	687.0000	493.5000	0	513.0000	349.5000	0
235	688.5000	493.5000	0	513.0000	349.5000	0
236	687.0000	492.0000	0	513.0000	349.5000	0
237	687.0000	492.0000	0	514.5000	349.5000	0
238	687.0000	492.0000	0	514.5000	349.5000	0
239	688.5000	492.0000	0	513.0000	349.5000	0
240	690.0000	490.5000	0	513.0000	349.5000	0
