Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
1	426.0000	162.0000	0	1261.5000	483.0000	0	465.0000	765.0000	0
2	426.0000	162.0000	0	1257.0000	489.0000	0	463.5000	765.0000	0
3	424.5000	162.0000	0	1258.5000	490.5000	0	465.0000	766.5000	0
4	423.0000	154.5000	0	1257.0000	489.0000	0	465.0000	768.0000	0
5	423.0000	160.5000	0	1260.0000	486.0000	0	466.5000	766.5000	0
6	421.5000	159.0000	0	1258.5000	490.5000	0	465.0000	763.5000	0
7	421.5000	159.0000	0	1260.0000	486.0000	0	466.5000	765.0000	0
8	423.0000	159.0000	0	1260.0000	487.5000	0	466.5000	769.5000	0
9	423.0000	157.5000	0	1257.0000	486.0000	0	466.5000	766.5000	0
10	423.0000	157.5000	0	1260.0000	487.5000	0	466.5000	768.0000	0
11	423.0000	156.0000	0	1258.5000	489.0000	0	465.0000	765.0000	0
12	424.5000	160.5000	0	1257.0000	492.0000	0	466.5000	766.5000	0
13	423.0000	157.5000	0	1257.0000	493.5000	0	465.0000	766.5000	0
14	423.0000	159.0000	0	1257.0000	493.5000	0	463.5000	771.0000	0
15	423.0000	160.5000	0	1257.0000	492.0000	0	460.5000	772.5000	0
16	424.5000	160.5000	0	1257.0000	495.0000	0	460.5000	771.0000	0
17	423.0000	159.0000	0	1255.5000	493.5000	0	460.5000	772.5000	0
18	424.5000	160.5000	0	1257.0000	493.5000	0	462.0000	771.0000	0
19	421.5000	159.0000	0	1255.5000	495.0000	0	460.5000	771.0000	0
20	423.0000	160.5000	0	1254.0000	493.5000	0	460.5000	772.5000	0
21	423.0000	160.5000	0	1257.0000	489.0000	0	460.5000	771.0000	0
22	423.0000	160.5000	0	1257.0000	490.5000	0	462.0000	771.0000	0
23	423.0000	160.5000	0	1255.5000	495.0000	0	463.5000	765.0000	0
24	423.0000	157.5000	0	1255.5000	496.5000	0	463.5000	765.0000	0
25	423.0000	159.0000	0	1255.5000	495.0000	0	465.0000	768.0000	0
26	423.0000	157.5000	0	1255.5000	495.0000	0	463.5000	766.5000	0
27	423.0000	157.5000	0	1257.0000	493.5000	0	465.0000	768.0000	0
28	421.5000	157.5000	0	1258.5000	492.0000	0	465.0000	769.5000	0
29	423.0000	157.5000	0	1257.0000	489.0000	0	466.5000	771.0000	0
30	424.5000	159.0000	0	1255.5000	495.0000	0	465.0000	771.0000	0
31	423.0000	159.0000	0	1254.0000	495.0000	0	463.5000	772.5000	0
32	423.0000	157.5000	0	1254.0000	493.5000	0	465.0000	772.5000	0
33	423.0000	157.5000	0	1255.5000	492.0000	0	463.5000	774.0000	0
34	424.5000	159.0000	0	1257.0000	490.5000	0	465.0000	774.0000	0
35	424.5000	157.5000	0	1258.5000	487.5000	0	465.0000	774.0000	0
36	426.0000	157.5000	0	1258.5000	489.0000	0	465.0000	771.0000	0
37	423.0000	154.5000	0	1257.0000	489.0000	0	466.5000	772.5000	0
38	423.0000	154.5000	0	1260.0000	487.5000	0	462.0000	771.0000	0
39	423.0000	157.5000	0	1258.5000	487.5000	0	462.0000	771.0000	0
40	421.5000	154.5000	0	1258.5000	489.0000	0	465.0000	771.0000	0
41	423.0000	156.0000	0	1257.0000	489.0000	0	465.0000	772.5000	0
42	421.5000	156.0000	0	1258.5000	489.0000	0	463.5000	771.0000	0
