Frame	X5	Y5	Flag5	X6	Y6	Flag6	X4	Y4	Flag4	X3	Y3	Flag3	X7	Y7	Flag7	X8	Y8	Flag8	X2	Y2	Flag2	X1	Y1	Flag1
1	883.5000	688.5000	0	1032.0000	789.0000	0	273.0000	466.5000	0	118.6108	832.0109	0	1210.5000	405.0000	0	1212.0000	405.0000	0	135.5991	842.0665	0	139.2073	819.3668	0
2	885.0000	688.5000	0	1032.0000	789.0000	0	273.0000	465.0000	0	121.0370	830.8717	0	1219.1248	407.3326	0	1210.5000	403.5000	0	134.5504	840.7844	0	140.7525	818.9089	0
3	885.0000	690.0000	0	1032.0000	789.0000	0	271.5000	466.5000	0	122.5673	831.5744	0	1210.5000	405.0000	0	1212.0000	405.0000	0	130.9819	838.1822	0	140.9544	819.8488	0
4	883.5000	688.5000	0	1035.0000	789.0000	0	273.0000	468.0000	0	122.9759	832.1778	0	1212.0000	405.0000	0	1212.0000	405.0000	0	129.9759	838.6472	0	139.6481	820.4298	0
5	882.0000	690.0000	0	1033.5000	789.0000	0	273.0000	469.5000	0	122.7403	831.5438	0	1212.0000	406.5000	0	1212.0000	403.5000	0	131.1931	838.8646	0	139.3684	820.5966	0
6	883.5000	691.5000	0	1033.5000	787.5000	0	273.0000	469.5000	0	122.6998	830.3666	0	1209.0000	408.0000	0	1212.0000	405.0000	0	134.8965	841.4916	0	138.2146	821.5600	0
7	883.5000	691.5000	0	1033.5000	787.5000	0	271.5000	468.0000	0	123.4886	829.5097	0	1210.5000	408.0000	0	1212.0000	406.5000	0	138.0689	841.5264	0	137.0903	821.8879	0
8	883.5000	690.0000	0	1035.0000	786.0000	0	273.0000	468.0000	0	123.4236	829.3502	0	1210.5000	409.5000	0	1212.0000	406.5000	0	136.3447	840.7193	0	137.1148	822.6805	0
9	883.5000	690.0000	0	1033.5000	787.5000	0	271.5000	471.0000	0	125.3759	828.6673	0	1210.5000	409.5000	0	1212.0000	405.0000	0	139.2504	839.4250	0	135.8673	823.5462	0
10	883.5000	691.5000	0	1033.5000	787.5000	0	270.0000	472.5000	0	123.7855	829.4232	0	1209.0000	406.5000	0	1212.0000	406.5000	0	138.9059	840.9723	0	135.5797	824.0212	0
11	883.5000	691.5000	0	1033.5000	786.0000	0	270.0000	472.5000	0	123.5593	829.5746	0	1207.5000	406.5000	0	1212.0000	406.5000	0	138.8111	837.6319	0	136.0295	822.3953	0
12	883.5000	690.0000	0	1035.0000	784.5000	0	267.0000	472.5000	0	123.7334	829.7503	0	1207.5000	408.0000	0	1212.0000	406.5000	0	133.9874	835.0803	0	136.1406	821.8485	0
13	882.0000	690.0000	0	1035.0000	786.0000	0	268.5000	471.0000	0	123.2025	829.7870	0	1207.5000	409.5000	0	1212.0000	405.0000	0	132.4459	833.3161	0	138.8225	820.0550	0
14	883.5000	690.0000	0	1035.0000	784.5000	0	270.0000	469.5000	0	123.2788	829.6758	0	1207.5000	409.5000	0	1212.0000	405.0000	0	133.1530	834.5258	0	136.9161	823.6759	0
15	882.0000	688.5000	0	1035.0000	786.0000	0	268.5000	468.0000	0	124.4264	830.5118	0	1209.0000	409.5000	0	1210.5000	403.5000	0	133.9514	831.0958	0	139.2844	821.4543	0
16	882.0000	690.0000	0	1036.5000	786.0000	0	270.0000	469.5000	0	124.2710	830.9922	0	1209.0000	409.5000	0	1212.0000	402.0000	0	133.7457	829.9809	0	141.5816	819.3764	0
17	882.0000	690.0000	0	1035.0000	786.0000	0	270.0000	468.0000	0	123.3104	830.8094	0	1210.5000	409.5000	0	1210.5000	403.5000	0	136.1731	831.6469	0	142.7940	821.2124	0
18	882.0000	690.0000	0	1033.5000	786.0000	0	270.0000	468.0000	0	122.3148	830.9143	0	1212.0000	408.0000	0	1210.5000	403.5000	0	132.5972	833.8399	0	142.0318	822.4981	0
19	882.0000	688.5000	0	1033.5000	786.0000	0	271.5000	468.0000	0	122.9095	832.2941	0	1210.5000	405.0000	0	1210.5000	403.5000	0	134.3089	832.1554	0	139.7539	824.2379	0
20	883.5000	690.0000	0	1035.0000	786.0000	0	268.5000	469.5000	0	122.5237	832.8691	0	1210.5000	405.0000	0	1207.5000	403.5000	0	137.8385	831.8750	0	140.5172	822.5463	0
21	882.0000	690.0000	0	1033.5000	787.5000	0	267.0000	468.0000	0	123.2973	833.0313	0	1210.5000	405.0000	0	1210.5000	403.5000	0	140.7605	831.2524	0	137.7076	825.4865	0
22	882.0000	690.0000	0	1033.5000	787.5000	0	271.5000	468.0000	0	123.2952	833.4143	0	1212.0000	403.5000	0	1210.5000	403.5000	0	140.3392	834.7264	0	137.6631	825.9270	0
23	882.0000	691.5000	0	1030.5000	789.0000	0	268.5000	468.0000	0	122.6559	832.8137	0	1210.5000	403.5000	0	1210.5000	402.0000	0	138.8905	831.5875	0	137.8470	826.2743	0
24	882.0000	691.5000	0	1032.0000	787.5000	0	267.0000	469.5000	0	123.5522	833.4511	0	1212.0000	405.0000	0	1209.0000	403.5000	0	135.5831	829.2689	0	137.3862	826.4645	0
