Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6
Tracks 1 to 6
1	1177.50000	325.50000	 	883.50000	690.00000	 	275.96639	461.52365	 	1031.20085	792.46897	 	 	 	 	 	 	 
2	1179.00000	325.50000	 	883.50000	688.50000	 	274.62491	463.08518	 	1031.19797	790.86681	 	 	 	 	 	 	 
3	1177.50000	325.50000	 	883.50000	688.50000	 	271.41369	467.96529	 	1030.13528	791.68197	 	 	 	 	 	 	 
4	1177.50000	325.50000	 	883.50000	690.00000	 	274.43295	469.73055	 	1036.50000	790.50000	 	 	 	 	 	 	 
5	1177.50000	325.50000	 	882.00000	691.50000	 	271.43020	469.79012	 	1032.81993	789.01726	 	 	 	 	 	 	 
6	1177.50000	325.50000	 	883.50000	691.50000	 	271.81392	469.88400	 	1034.04294	787.83527	 	 	 	 	 	 	 
7	1177.50000	324.00000	 	883.50000	691.50000	 	270.95336	469.01866	 	1032.38518	788.87626	 	 	 	 	 	 	 
8	1177.50000	325.50000	 	883.50000	690.00000	 	270.14511	469.44761	 	1036.81564	786.63760	 	 	 	 	 	 	 
9	1177.50000	325.50000	 	883.50000	690.00000	 	270.49026	471.21188	 	1032.76487	789.08628	 	 	 	 	 	 	 
10	1177.50000	325.50000	 	882.00000	690.00000	 	268.18805	474.94095	 	1036.49110	786.82409	 	 	 	 	 	 	 
11	1177.50000	325.50000	 	883.50000	691.50000	 	267.77675	474.94599	 	1033.50000	787.50000	 	 	 	 	 	 	 
12	1177.50000	325.50000	 	883.50000	690.00000	 	264.87579	473.61149	 	1035.00000	786.00000	 	 	 	 	 	 	 
13	1179.00000	324.00000	 	882.00000	690.00000	 	264.74773	472.89683	 	1033.50000	787.50000	 	 	 	 	 	 	 
14	1177.50000	325.50000	 	883.50000	691.50000	 	266.87509	469.95148	 	1033.50000	786.00000	 	 	 	 	 	 	 
15	1179.00000	324.00000	 	882.00000	690.00000	 	266.07684	469.53965	 	1035.00000	786.00000	 	 	 	 	 	 	 
16	1177.50000	325.50000	 	882.00000	691.50000	 	266.76783	469.85091	 	1036.50000	787.50000	 	 	 	 	 	 	 
17	1177.50000	325.50000	 	882.00000	690.00000	 	266.20825	469.42481	 	1035.00000	787.50000	 	 	 	 	 	 	 
18	1177.50000	325.50000	 	882.00000	690.00000	 	265.57730	469.48794	 	1033.50000	786.00000	 	 	 	 	 	 	 
19	1177.50000	325.50000	 	882.00000	690.00000	 	266.38383	467.49491	 	1033.50000	786.00000	 	 	 	 	 	 	 
20	1177.50000	325.50000	 	883.50000	691.50000	 	265.08727	467.57004	 	1035.00000	786.00000	 	 	 	 	 	 	 
21	1177.50000	325.50000	 	882.00000	690.00000	 	264.09429	467.93902	 	1032.69669	789.17090	 	 	 	 	 	 	 
22	1177.50000	325.50000	 	882.00000	691.50000	 	264.87108	466.66513	 	1032.17447	788.40751	 	 	 	 	 	 	 
23	1177.50000	324.00000	 	882.00000	691.50000	 	264.78755	469.83662	 	1030.29565	789.56229	 	 	 	 	 	 	 
24	1177.50000	325.50000	 	880.50000	691.50000	 	263.27385	468.77760	 	1031.24277	789.23674	 	 	 	 	 	 	 
25	1177.50000	325.50000	 	880.50000	690.00000	 	264.01375	466.72576	 	1035.53051	792.14399	 	 	 	 	 	 	 
26	1177.50000	325.50000	 	882.00000	691.50000	 	267.00000	466.50000	 	1036.50000	792.00000	 	 	 	 	 	 	 
27	1177.50000	325.50000	 	882.00000	691.50000	 	264.23757	466.34269	 	1035.00000	790.50000	 	 	 	 	 	 	 
28	1177.50000	325.50000	 	883.16405	692.73776	 	266.01411	466.79637	 	1036.50000	789.00000	 	 	 	 	 	 	 
29	1177.50000	325.50000	 	883.32438	692.87926	 	267.00000	466.50000	 	1032.29885	790.24846	 	 	 	 	 	 	 
30	1177.50000	325.50000	 	880.06461	689.91480	 	270.00000	468.00000	 	1036.50000	789.00000	 	 	 	 	 	 	 
31	1177.50000	325.50000	 	879.54066	687.86841	 	267.00000	466.50000	 	1034.02454	788.18857	 	118.35768	839.06268	 	 	 	 
