Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10
Tracks 1 to 10
1	1393.50000	171.00000	 	862.50000	133.50000	 	1138.01196	917.73014	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	1399.32671	177.02283	 	862.50000	133.50000	 	1146.00000	912.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	1399.69685	176.94465	 	861.00000	133.50000	 	1144.50000	912.00000	 	1285.50000	469.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	1393.50000	171.00000	 	864.00000	133.50000	 	1146.00000	913.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	1399.21932	176.99619	 	861.00000	135.00000	 	1137.61867	917.58964	 	1284.00000	469.50000	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	1401.00000	175.50000	 	864.00000	133.50000	 	1146.00000	912.00000	 	1284.00000	468.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	1396.50000	172.50000	 	859.50000	132.00000	 	1136.44383	915.77408	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	1396.50000	171.00000	 	862.50000	133.50000	 	1136.70252	916.01629	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	1396.50000	174.00000	 	861.00000	133.50000	 	1137.21448	916.01891	 	1285.50000	466.50000	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	1399.08493	177.04282	 	861.00000	133.50000	 	1147.50000	915.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	1398.00000	172.50000	 	856.50000	133.50000	 	1137.20884	916.42473	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	1399.50000	169.50000	 	862.50000	133.50000	 	1137.12232	916.71288	 	1284.00000	469.50000	*	1303.50000	621.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	1399.50000	171.00000	 	859.50000	132.00000	 	1137.30619	916.53297	 	 	 	 	1303.50000	618.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	1398.00000	169.50000	 	862.50000	135.00000	 	1144.50000	915.00000	 	 	 	 	1302.00000	612.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	1401.00000	171.00000	 	861.00000	135.00000	 	1144.50000	915.00000	 	1282.50000	471.00000	*	1303.50000	619.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	1401.00000	171.00000	 	862.50000	133.50000	 	1137.15722	916.33484	 	1284.00000	469.50000	 	1303.50000	619.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	1401.00000	174.00000	 	862.50000	133.50000	 	1144.50000	915.00000	 	1284.00000	471.00000	 	1306.50000	618.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	1402.50000	171.00000	 	862.50000	133.50000	 	1137.00373	916.51239	 	 	 	 	1306.50000	618.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	1402.50000	168.00000	 	861.00000	133.50000	 	1137.05922	916.42794	 	 	 	 	1306.50000	619.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	1402.50000	168.00000	 	862.50000	133.50000	 	1137.02063	916.41099	 	 	 	 	1308.00000	619.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	1402.50000	168.00000	 	861.00000	132.00000	 	1146.00000	913.50000	 	1282.50000	471.00000	*	1306.50000	621.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	1404.00000	166.50000	 	862.50000	133.50000	 	1144.50000	913.50000	 	1281.00000	472.50000	 	1306.50000	622.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	1402.50000	171.00000	 	861.00000	133.50000	 	1144.50000	912.00000	 	 	 	 	1306.50000	622.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	1405.50000	166.50000	 	862.50000	133.50000	 	1144.50000	910.50000	 	 	 	 	1306.50000	622.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	1402.50000	171.00000	 	862.50000	133.50000	 	1144.50000	910.50000	 	 	 	 	1308.00000	624.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	1402.50000	171.00000	 	861.00000	132.00000	 	1143.00000	910.50000	 	 	 	 	1306.50000	624.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	1402.50000	171.00000	 	861.00000	133.50000	 	1143.00000	910.50000	 	 	 	 	1306.50000	624.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	1401.00000	169.50000	 	861.00000	133.50000	 	1143.00000	910.50000	 	 	 	 	1308.00000	625.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	1399.50000	171.00000	 	861.00000	133.50000	 	1144.50000	910.50000	 	 	 	 	1308.00000	625.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	1397.06251	177.17703	 	858.00000	130.50000	 	1143.00000	910.50000	 	 	 	 	1309.50000	625.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	1397.27189	177.29424	 	861.00000	132.00000	 	1144.50000	910.50000	 	 	 	 	1308.00000	627.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	1397.11713	177.22323	 	862.50000	133.50000	 	1146.00000	910.50000	 	 	 	 	1306.63085	638.67204	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	1398.09835	177.36986	 	861.00000	135.00000	 	1138.26690	917.45831	 	 	 	 	1308.00000	627.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	1398.00000	172.50000	 	861.00000	133.50000	 	1137.69427	916.86874	 	 	 	 	1306.50000	627.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	1398.00000	174.00000	 	861.00000	133.50000	 	1146.00000	913.50000	 	 	 	 	1306.72179	638.40270	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	1399.14040	177.04899	 	862.50000	133.50000	 	1146.00000	913.50000	 	 	 	 	1309.50000	625.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	1398.54719	177.04359	 	861.00000	133.50000	 	1137.96436	917.46597	 	 	 	 	1309.50000	625.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	1398.44369	177.26357	 	861.00000	133.50000	 	1144.50000	913.50000	 	 	 	 	1308.00000	627.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	1397.94128	177.44863	 	862.50000	132.00000	 	1141.50000	915.00000	 	 	 	 	1308.00000	630.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	1402.50000	175.50000	 	866.60258	126.56964	 	1141.50000	915.00000	 	 	 	 	1306.50000	630.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	1398.25720	177.06516	 	861.00000	132.00000	 	1141.50000	915.00000	 	 	 	 	1308.00000	630.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	1398.38411	177.25271	 	861.00000	133.50000	 	1141.50000	915.00000	 	 	 	 	1306.50000	636.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	1398.75934	177.06758	 	858.00000	132.00000	 	1141.50000	916.50000	 	 	 	 	1308.00000	631.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	1393.50000	174.00000	 	864.00000	132.00000	 	1141.50000	916.50000	 	 	 	 	1305.00000	634.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
45	1395.00000	174.00000	 	861.00000	135.00000	 	1143.00000	918.00000	 	 	 	 	1305.00000	636.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	1395.00000	174.00000	 	861.00000	132.00000	 	1141.50000	918.00000	 	 	 	 	1305.00000	636.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	1395.00000	172.50000	 	862.50000	133.50000	 	1143.00000	918.00000	 	 	 	 	1305.00000	636.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48	1395.00000	172.50000	 	864.00000	133.50000	 	1141.50000	916.50000	 	 	 	 	1305.00000	634.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	1396.50000	172.50000	 	858.00000	132.00000	 	1143.00000	916.50000	 	 	 	 	1306.50000	636.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50	1399.50000	172.50000	 	861.00000	132.00000	 	1144.50000	915.00000	 	 	 	 	1306.24555	639.97664	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	1398.26432	177.33013	 	856.50000	132.00000	 	1144.50000	916.50000	 	 	 	 	1306.00267	640.22172	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
52	1401.00000	175.50000	 	862.50000	132.00000	 	1143.00000	918.00000	 	 	 	 	1306.50000	631.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	1399.50000	172.50000	 	861.00000	133.50000	 	1143.00000	918.00000	 	 	 	 	1305.95052	640.42600	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
54	1399.50000	172.50000	 	862.50000	133.50000	 	1141.50000	916.50000	 	 	 	 	1305.90771	640.64867	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
55	1401.00000	175.50000	 	862.50000	135.00000	 	1141.50000	916.50000	 	 	 	 	1306.23957	640.17291	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
