Frame	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X1	Y1	Flag1
1	832.5000	706.5000	0	366.0000	217.5000	0	563.8957	724.0355	0	559.5000	730.5000	0
2	834.0000	705.0000	0	364.5000	217.5000	0	563.7446	724.2837	0	559.5000	727.5000	0
3	832.5000	705.0000	0	364.5000	214.5000	0	563.6523	724.3029	0	556.5000	732.0000	0
4	832.5000	706.5000	0	367.5000	216.0000	0	564.2879	724.2011	0	556.5000	733.5000	0
5	832.5000	705.0000	0	366.0000	214.5000	0	563.8255	724.5214	0	556.5000	733.5000	0
6	831.0000	705.0000	0	367.5000	214.5000	0	564.1152	724.4023	0	556.5000	733.5000	0
7	831.0000	705.0000	0	367.5000	214.5000	0	564.1988	724.8282	0	556.5000	733.5000	0
8	832.5000	706.5000	0	367.5000	214.5000	0	564.0406	724.7568	0	558.0000	735.0000	0
9	831.0000	706.5000	0	372.0000	213.0000	0	563.9603	725.1975	0	558.0000	736.5000	0
10	821.3711	710.2030	0	375.0000	217.5000	0	563.8414	725.4178	0	559.5000	736.5000	0
11	832.5000	708.0000	0	375.0000	217.5000	0	563.3481	725.7208	0	558.0000	736.5000	0
12	821.1404	709.9632	0	375.0000	217.5000	0	563.7227	724.9988	0	558.0000	735.0000	0
13	831.0000	708.0000	0	375.0000	217.5000	0	563.9530	725.4511	0	556.5000	736.5000	0
14	831.0000	708.0000	0	376.5000	217.5000	0	563.9884	726.0473	0	556.5000	736.5000	0
15	821.3310	709.6966	0	373.5000	216.0000	0	564.0675	725.6295	0	558.0000	736.5000	0
16	832.5000	708.0000	0	375.0000	217.5000	0	564.4825	725.4675	0	558.0000	735.0000	0
17	820.8190	709.3260	0	375.3782	207.9082	0	564.7663	725.3169	0	556.5000	738.0000	0
18	820.6651	709.4409	0	376.9615	207.6154	0	564.6534	725.5333	0	555.0000	738.0000	0
19	832.5000	709.5000	0	375.2977	208.1725	0	565.2335	724.9030	0	556.5000	736.5000	0
20	829.5000	709.5000	0	375.8851	207.7190	0	555.0000	727.5000	0	556.5000	738.0000	0
21	820.8491	707.5579	0	374.9639	208.5129	0	555.0000	729.0000	0	556.5000	736.5000	0
22	821.0753	706.1686	0	375.5170	207.9439	0	555.0000	729.0000	0	555.0000	736.5000	0
23	820.8677	707.7708	0	376.0286	208.0502	0	553.5000	727.5000	0	556.5000	736.5000	0
24	820.8086	708.1479	0	376.4053	208.1591	0	555.0000	727.5000	0	556.5000	735.0000	0
25	829.5000	708.0000	0	376.9936	208.1511	0	565.3465	725.6190	0	555.0000	735.0000	0
26	829.5000	708.0000	0	376.6005	208.2572	0	553.5000	729.0000	0	553.5000	736.5000	0
27	821.2616	707.8389	0	376.9309	208.4084	0	565.1488	723.9561	0	552.0000	736.5000	0
28	831.0000	711.0000	0	377.6583	209.1503	0	565.1353	723.7699	0	553.5000	735.0000	0
29	821.5602	711.9933	0	377.8085	209.2388	0	565.0881	724.1567	0	553.5000	735.0000	0
30	829.5000	708.0000	0	377.7767	208.8397	0	564.9720	723.9906	0	553.5000	732.0000	0
31	821.6569	712.2173	0	372.0000	213.0000	0	553.5000	729.0000	0	553.5000	735.0000	0
32	821.2094	711.5385	0	376.1082	207.0560	0	555.0000	727.5000	0	552.0000	733.5000	0
33	829.5000	709.5000	0	373.5000	217.5000	0	565.2181	723.4963	0	552.0000	733.5000	0
34	820.3771	708.8273	0	376.9627	206.5265	0	565.2620	723.6874	0			
35	821.2184	705.4150	0	376.2465	206.3021	0	565.4097	723.4957	0			
36	820.6642	707.0119	0	373.5000	216.0000	0	559.5000	727.5000	0			
