Frame	X1	Y1	Flag1
1	669.0000	267.0000	0
2	669.0000	268.5000	0
3	667.5000	268.5000	0
4	667.5000	267.0000	0
5	667.5000	267.0000	0
6	666.0000	267.0000	0
7	667.5000	267.0000	0
8	667.5000	265.5000	0
9	667.5000	265.5000	0
10	664.7294	273.8398	0
11	666.0000	265.5000	0
12	666.0000	265.5000	0
13	667.5000	265.5000	0
14	667.5000	267.0000	0
15	669.0000	267.0000	0
16	667.5000	267.0000	0
17	667.5000	265.5000	0
18	666.0000	265.5000	0
19	666.0000	267.0000	0
20	666.0000	267.0000	0
21	666.0000	267.0000	0
22	666.0000	267.0000	0
23	666.0000	267.0000	0
24	667.5000	267.0000	0
25	667.5000	267.0000	0
26	667.5000	267.0000	0
27	664.5000	267.0000	0
28	663.0000	267.0000	0
29	664.5000	270.0000	0
30	663.0000	268.5000	0
31	664.5000	271.5000	0
32	663.0000	270.0000	0
33	666.1265	267.5792	0
34	664.5000	270.0000	0
35	663.0000	270.0000	0
36	664.5000	268.5000	0
37	663.0000	270.0000	0
38	666.0560	264.3341	0
39	663.0000	271.5000	0
40	661.5000	273.0000	0
41	661.5000	273.0000	0
42	663.0000	273.0000	0
43	663.0000	273.0000	0
44	663.0000	273.0000	0
45	663.0000	271.5000	0
46	663.0000	273.0000	0
47	664.5000	273.0000	0
48	666.0000	273.0000	0
49	663.7866	264.3929	0
50	663.9127	264.2852	0
51	667.5000	273.0000	0
52	666.0000	274.5000	0
53	666.0000	274.5000	0
54	666.0000	274.5000	0
55	664.4161	264.4291	0
56	667.5000	274.5000	0
57	664.5000	273.0000	0
58	664.5000	273.0000	0
59	664.5000	274.5000	0
60	663.0000	274.5000	0
61	663.0000	273.0000	0
62	663.0000	273.0000	0
63	666.0000	271.5000	0
64	664.5000	273.0000	0
65	665.1732	264.3478	0
66	666.0000	276.0000	0
67	664.5000	276.0000	0
68	665.5722	264.4400	0
69	665.5245	264.4631	0
70	666.0000	276.0000	0
71	664.5000	277.5000	0
72	664.5000	276.0000	0
73	664.5000	276.0000	0
74	666.0000	276.0000	0
75	666.0000	276.0000	0
76	665.1223	264.3386	0
77	666.0000	274.5000	0
78	665.2828	264.4688	0
79	663.0000	276.0000	0
80	664.5000	274.5000	0
81	666.0000	274.5000	0
82	664.5000	274.5000	0
83	663.7831	264.3427	0
84	664.4426	264.2503	0
85	667.5000	274.5000	0
86	666.4357	264.2629	0
87	666.3884	264.4146	0
88	666.2967	263.8428	0
89	664.5000	274.5000	0
90	666.0000	273.0000	0
91	667.5000	273.0000	0
92	667.5000	273.0000	0
93	667.5000	270.0000	0
94	667.5000	270.0000	0
95	666.0000	271.5000	0
96	667.5000	271.5000	0
97	664.5000	273.0000	0
98	664.5000	271.5000	0
99	666.7696	264.6629	0
100	664.5000	270.0000	0
101	664.5000	270.0000	0
102	664.5580	262.5882	0
103	666.7150	264.9484	0
104	665.7750	266.5391	0
105	663.8145	263.8534	0
106	666.0490	264.0950	0
107	663.0000	271.5000	0
108	666.0313	264.0297	0
109	664.5000	273.0000	0
110	667.2757	264.7195	0
111	663.0000	271.5000	0
112	663.0000	271.5000	0
113	663.0000	270.0000	0
114	661.5000	270.0000	0
115	661.5000	268.5000	0
116	661.5000	268.5000	0
117	661.5000	267.0000	0
118	661.5000	268.5000	0
119	661.5000	267.0000	0
120	661.5000	265.5000	0
121	661.5000	265.5000	0
122	663.0000	265.5000	0
123	663.0000	265.5000	0
124	661.5000	264.0000	0
125	667.3070	273.5912	0
126	663.0000	265.5000	0
127	667.4112	273.8420	0
128	663.0000	265.5000	0
129	668.0141	273.4509	0
130	668.0892	273.1585	0
131	660.0000	264.0000	0
132	667.5257	273.3931	0
133	667.2177	273.3138	0
134	666.8881	273.6369	0
135	666.7880	273.7738	0
136	666.4431	273.7225	0
137	666.4635	273.7828	0
138	665.8354	273.8346	0
139	666.5061	273.8140	0
140	666.9968	273.7754	0
141	666.9938	273.7774	0
142	663.0000	265.5000	0
143	663.0000	267.0000	0
144	661.5000	265.5000	0
145	663.0000	265.5000	0
146	666.8033	274.8968	0
147	667.7954	275.4445	0
148	663.0000	267.0000	0
149	663.0000	264.0000	0
150	666.0000	264.0000	0
151	664.5000	265.5000	0
152	663.0000	267.0000	0
153	663.0000	267.0000	0
154	663.0000	265.5000	0
155	663.0000	267.0000	0
156	663.0000	268.5000	0
157	666.0000	267.0000	0
158	666.0000	267.0000	0
159	666.0000	265.5000	0
160	667.5000	265.5000	0
161	667.5000	265.5000	0
162	666.0000	267.0000	0
163	666.0000	267.0000	0
164	666.0000	267.0000	0
165	667.5000	268.5000	0
166	666.0000	268.5000	0
167	666.0000	270.0000	0
168	667.5000	271.5000	0
169	667.5000	270.0000	0
170	667.5000	270.0000	0
171	667.5000	271.5000	0
172	667.5000	271.5000	0
173	667.5000	268.5000	0
174	663.5318	270.6082	0
175	666.8142	268.7903	0
176	666.6997	274.6943	0
177	664.5000	268.5000	0
178	663.0000	270.0000	0
179	661.5000	270.0000	0
180	663.0000	270.0000	0
181	663.0000	271.5000	0
182	664.5000	270.0000	0
183	664.5000	270.0000	0
184	663.0000	270.0000	0
185	667.5794	269.1324	0
186	664.5000	268.5000	0
187	664.5000	268.5000	0
188	661.5000	267.0000	0
189	663.0000	268.5000	0
190	661.5000	267.0000	0
191	663.0000	265.5000	0
