Frame	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X2	Y2	Flag2	X9	Y9	Flag9	X10	Y10	Flag10	X8	Y8	Flag8	X1	Y1	Flag1	X11	Y11	Flag11	X7	Y7	Flag7
1	285.2848	1026.7632	0	354.2523	628.4527	0	644.2307	322.0731	0	795.3237	607.7138	0	649.2999	637.3719	0	676.7560	614.2517	0	985.0076	317.1591	0	356.3305	634.3640	0	631.6903	336.4700	0	616.5395	343.7500	0	687.1214	599.4162	0
2	288.0000	1012.5000	0	337.0129	625.0903	0	644.5061	325.1861	0	797.9645	608.0211	0	648.4066	639.4699	0	677.4532	613.6751	0	984.2381	316.5524	0	356.1875	634.4509	0	629.0060	338.9399	0	617.5367	342.6055	0	687.2468	604.6270	0
3	286.5000	1012.5000	0	339.9918	626.7531	0	642.3238	325.4994	0	794.2205	609.1107	0	650.1378	637.5678	0	676.7639	614.3298	0	978.0135	313.8566	0	356.1298	634.3846	0	624.9338	339.3516	0	616.5826	343.6609	0	680.7913	598.2435	0
4	285.0000	1011.0000	0	340.6983	625.6961	0	641.1247	324.5864	0	795.2064	609.5341	0	650.6322	637.5569	0	676.8913	613.6052	0	984.4442	316.0558	0	356.4444	634.0292	0	623.4278	340.5415	0	617.0026	342.9162	0	688.8522	596.2261	0
5	291.0000	1014.0000	0	342.5675	630.9675	0	637.8952	329.5619	0	794.6249	607.7252	0	650.2138	638.2862	0	675.4446	612.6081	0	976.2537	316.2622	0	356.1675	634.4581	0	623.1802	341.0593	0	617.2880	343.1571	0	688.6992	592.3984	0
6	289.8263	1018.2586	0	339.9078	632.1161	0	636.0169	328.3786	0	794.5595	607.8392	0	649.1204	638.5553	0	675.7588	619.4600	0	973.3685	311.5856	0	356.1519	634.7764	0	637.2334	354.7923	0	617.2328	343.9138	0	683.0548	592.2808	0
7	291.0000	1011.0000	0	340.7490	630.7753	0	638.5725	329.9006	0	794.9619	610.3884	0	650.0334	638.1816	0	675.5616	622.6127	0	971.0312	309.0632	0	355.9756	633.9959	0	637.9818	353.7899	0	616.7754	342.5024	0	675.3571	589.0643	0
8	286.5000	1008.0000	0	344.7122	634.7342	0	640.2667	326.8738	0	794.2414	607.3911	0	649.4524	638.4901	0	677.8516	623.0989	0	978.6890	306.1850	0	356.1403	634.5339	0	637.0309	354.9227	0	617.5394	342.8328	0	684.3080	596.0646	0
9	285.4640	1018.4599	0	344.5773	636.9936	0	638.4385	328.4685	0	792.9381	606.7703	0	649.1858	639.0135	0	672.2333	620.4429	0	976.8651	309.6513	0	356.1777	634.5228	0	621.7970	341.6234	0	617.2145	343.7674	0	691.7139	593.3079	0
10	283.5243	1022.6942	0	346.3371	638.2228	0	635.9917	329.5301	0	793.0766	605.1931	0	650.8288	637.3884	0	672.9587	625.2702	0	978.4670	308.6996	0	356.1651	634.4764	0	621.1487	342.2380	0	616.9154	343.6939	0	689.3101	603.1202	0
11	285.0000	1017.0000	0	344.5161	636.5414	0	636.2248	329.5374	0	790.6177	605.5337	0	651.3700	636.0889	0	673.0995	620.3632	0	971.9387	306.8460	0	356.1469	634.4929	0	637.3515	354.2104	0	617.7555	343.3521	0	691.4937	603.1744	0
12	285.0000	1017.0000	0	345.1008	632.4291	0	636.4766	329.9801	0	787.5546	608.7411	0	650.8001	636.8120	0	673.1844	619.7249	0	979.7901	308.1374	0	356.1238	634.5143	0	637.0153	354.8218	0	624.9115	338.9450	0	699.8265	607.8607	0
13	286.5000	1012.5000	0	345.0000	630.0000	0	636.5827	331.1173	0	788.7177	606.8128	0	652.1730	635.1910	0	671.9076	619.3808	0	974.7951	309.5805	0	356.1327	634.4882	0	618.9310	343.5909	0	626.5533	338.0119	0	699.5045	602.6588	0
14	288.0000	1012.5000	0	345.0000	633.0000	0	636.1500	328.8273	0	790.0169	607.3149	0	650.6407	637.0267	0	670.7601	618.7433	0	977.8043	306.5714	0	356.1564	634.4739	0	618.4242	343.4689	0	628.2325	337.6885	0	698.5082	599.1699	0
15	286.5000	1014.0000	0	347.8890	630.5261	0	633.1085	329.3235	0	793.5000	609.0000	0	650.0153	637.0615	0	671.5859	619.8402	0	977.4800	307.4489	0	354.7758	629.6808	0	619.2710	343.1811	0	628.2026	337.6860	0			
