Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
1	165.00000	768.00000	 	391.50000	97.50000	 	 	 	 
2	165.00000	766.50000	 	393.00000	99.00000	 	 	 	 
3	165.00000	768.00000	 	391.50000	100.50000	 	 	 	 
4	165.00000	768.00000	 	390.00000	99.00000	 	 	 	 
5	166.50000	766.50000	 	390.00000	97.50000	 	 	 	 
6	166.50000	768.00000	 	390.00000	99.00000	 	 	 	 
7	166.50000	768.00000	 	391.50000	97.50000	 	 	 	 
8	168.00000	766.50000	 	394.50000	94.50000	 	 	 	 
9	168.00000	768.00000	 	391.50000	94.50000	 	 	 	 
10	169.50000	765.00000	 	393.00000	96.00000	 	 	 	 
11	171.00000	766.50000	 	394.50000	93.00000	 	 	 	 
12	171.00000	766.50000	 	394.50000	93.00000	 	 	 	 
13	171.00000	763.50000	 	396.00000	93.00000	 	 	 	 
14	171.00000	763.50000	 	397.50000	94.50000	 	 	 	 
15	172.50000	763.50000	 	399.00000	91.50000	 	 	 	 
16	171.00000	763.50000	 	401.39742	92.90232	 	 	 	 
17	169.50000	762.00000	 	 	 	 	 	 	 
18	171.00000	759.00000	 	402.00000	91.50000	*	 	 	 
19	169.50000	762.00000	 	402.00000	91.50000	 	 	 	 
20	171.00000	759.00000	 	402.00000	91.50000	 	 	 	 
21	169.50000	760.50000	 	403.50000	91.50000	 	 	 	 
22	168.00000	762.00000	 	405.00000	90.00000	 	 	 	 
23	168.00000	762.00000	 	405.00000	90.00000	 	 	 	 
24	169.50000	760.50000	 	405.00000	91.50000	 	 	 	 
25	168.00000	759.00000	 	406.50000	93.00000	 	 	 	 
26	166.50000	760.50000	 	406.50000	94.50000	 	 	 	 
27	165.00000	763.50000	 	406.50000	96.00000	 	 	 	 
28	165.00000	760.50000	 	405.00000	96.00000	 	 	 	 
29	163.50000	760.50000	 	402.00000	94.50000	 	 	 	 
30	162.00000	763.50000	 	402.00000	94.50000	 	 	 	 
31	159.00000	765.00000	 	402.00000	94.50000	 	 	 	 
32	159.00000	765.00000	 	402.00000	94.50000	 	 	 	 
33	159.00000	763.50000	 	402.00000	93.00000	 	 	 	 
34	159.00000	763.50000	 	402.00000	93.00000	 	 	 	 
35	162.00000	763.50000	 	402.00000	93.00000	 	 	 	 
36	162.00000	765.00000	 	403.50000	93.00000	 	 	 	 
37	162.00000	765.00000	 	405.00000	91.50000	 	 	 	 
