Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
1	622.50000	540.00000	 	86.00335	233.79017	 	897.00000	694.50000	 	862.50000	157.50000	 	 	 	 	 	 	 	 	 	 
2	624.00000	540.00000	 	83.31120	230.08418	 	898.50000	694.50000	 	862.50000	159.00000	 	 	 	 	 	 	 	 	 	 
3	624.00000	538.50000	 	81.87883	230.10428	 	900.00000	693.00000	 	862.50000	156.00000	 	 	 	 	 	 	 	 	 	 
4	625.50000	540.00000	 	83.36946	232.22256	 	900.00000	693.00000	 	864.00000	156.00000	 	 	 	 	 	 	 	 	 	 
5	625.50000	541.50000	 	84.36973	233.87997	 	901.50000	694.50000	 	861.00000	156.00000	 	 	 	 	 	 	 	 	 	 
6	625.50000	543.00000	 	84.78591	234.43200	 	903.00000	696.00000	 	861.00000	153.00000	 	 	 	 	 	 	 	 	 	 
7	625.50000	541.50000	 	84.05314	234.14017	 	904.50000	693.00000	 	859.50000	153.00000	 	 	 	 	 	 	 	 	 	 
8	625.50000	541.50000	 	82.62131	234.13481	 	906.00000	691.50000	 	859.50000	153.00000	 	 	 	 	 	 	 	 	 	 
9	627.00000	541.50000	 	83.99258	235.09205	 	906.00000	690.00000	 	859.50000	153.00000	 	 	 	 	 	 	 	 	 	 
10	627.00000	540.00000	 	84.65535	237.63485	 	907.50000	688.50000	 	859.50000	153.00000	 	 	 	 	 	 	 	 	 	 
11	628.50000	540.00000	 	83.41030	235.98078	 	906.00000	687.00000	 	859.50000	154.50000	 	 	 	 	 	 	 	 	 	 
12	630.00000	538.50000	 	84.13250	235.25306	 	906.00000	685.50000	 	861.00000	154.50000	 	 	 	 	 	 	 	 	 	 
13	630.00000	538.50000	 	83.37706	234.74162	 	907.50000	685.50000	 	861.00000	154.50000	 	 	 	 	 	 	 	 	 	 
14	631.50000	538.50000	 	83.60270	235.44256	 	906.00000	685.50000	 	861.00000	156.00000	 	 	 	 	 	 	 	 	 	 
15	631.50000	538.50000	 	83.28155	235.41444	 	907.50000	684.00000	 	864.00000	156.00000	 	 	 	 	 	 	 	 	 	 
16	633.00000	538.50000	 	83.35358	235.35788	 	906.00000	684.00000	 	865.50000	154.50000	 	 	 	 	 	 	 	 	 	 
