Frame	X4	Y4	Flag4	X3	Y3	Flag3	X2	Y2	Flag2	X5	Y5	Flag5	X1	Y1	Flag1	X6	Y6	Flag6
1	1011.0000	363.0000	0	504.0000	127.5000	0	801.0000	559.5000	0	1087.6139	876.9398	0	1134.1135	891.9900	0	821.5811	580.3329	0
2	1012.5000	363.0000	0	504.0000	124.5000	0	802.5000	559.5000	0	1088.7229	875.6028	0	1134.6094	891.5833	0	824.0401	578.8894	0
3	1011.0000	361.5000	0	505.5000	124.5000	0	802.5000	558.0000	0	1088.8252	876.3197	0	1133.7749	891.6638	0	821.6600	578.5985	0
4	1012.5000	363.0000	0	507.0000	123.0000	0	802.5000	561.0000	0	1090.4403	873.6824	0	1134.7197	891.3579	0	821.7564	578.3155	0
5	1011.0000	361.5000	0	505.5000	123.0000	0	801.0000	559.5000	0	1090.7531	876.1234	0	1135.2565	892.2257	0	823.0944	577.4813	0
6	1012.5000	363.0000	0	505.5000	126.0000	0	804.0000	558.0000	0	1089.9892	877.1581	0	1134.7351	893.4347	0	823.7794	578.0484	0
7	1012.5000	363.0000	0	505.5000	126.0000	0	802.5000	559.5000	0	1089.8672	877.4038	0	1134.4404	894.1912	0	822.5623	578.1259	0
8	1011.0000	363.0000	0	504.0000	126.0000	0	804.0000	561.0000	0	1088.3815	877.8083	0	1135.2906	893.5417	0	821.1613	577.7079	0
9	1011.0000	364.5000	0	505.5000	124.5000	0	805.5000	559.5000	0	1089.5703	877.7649	0	1135.1620	893.3532	0	821.5215	577.3145	0
10	1011.0000	363.0000	0	507.0000	124.5000	0	807.0000	559.5000	0	1089.1193	879.3655	0	1136.3659	892.0442	0	818.7106	578.5377	0
11	1012.5000	363.0000	0	507.0000	123.0000	0	807.0000	561.0000	0	1090.1277	876.0699	0	1137.2105	891.0222	0	820.2238	578.7904	0
12	1011.0000	363.0000	0	505.5000	124.5000	0	807.0000	559.5000	0	1091.4084	874.5001	0	1137.0974	889.5210	0	823.1850	577.5508	0
13	1009.5000	364.5000	0	505.5000	123.0000	0	807.0000	561.0000	0	1091.0920	875.1212	0	1136.6923	889.5915	0	822.8235	577.9338	0
14	1011.0000	366.0000	0	505.5000	123.0000	0	807.0000	559.5000	0	1091.4779	875.3040	0	1136.6274	888.7430	0	821.1792	579.5015	0
15	1012.5000	367.5000	0	507.0000	123.0000	0	807.0000	558.0000	0	1091.3508	876.0364	0	1137.3684	889.9345	0	819.0205	579.2832	0
16	1009.5000	369.0000	0	505.5000	123.0000	0	807.0000	559.5000	0	1092.5239	874.2950	0	1137.3795	889.7057	0	815.8237	577.2745	0
17	1011.0000	367.5000	0	505.5000	123.0000	0	807.0000	561.0000	0	1091.8708	874.6363	0	1137.4740	890.5431	0	815.2199	579.0402	0
18	1012.5000	370.5000	0	508.5000	123.0000	0	808.5000	562.5000	0	1091.9790	874.7745	0	1137.4264	891.1976	0	813.2851	586.8413	0
19	1012.5000	370.5000	0	508.5000	123.0000	0	807.0000	562.5000	0	1089.9430	872.8058	0	1136.1396	892.2018	0	814.1777	588.1011	0
20	1014.0000	370.5000	0	508.5000	123.0000	0	808.5000	564.0000	0	1090.6860	875.6146	0	1137.2037	892.0280	0	814.9421	589.5107	0
21	1012.5000	369.0000	0	508.5000	121.5000	0	808.5000	564.0000	0	1087.8675	873.5261	0	1137.0105	891.7343	0	810.7378	589.2117	0
22	1011.0000	370.5000	0	508.5000	121.5000	0	810.0000	565.5000	0	1089.6361	875.1101	0	1136.5718	890.6786	0	810.6638	586.8872	0
23	1012.5000	370.5000	0	510.0000	123.0000	0	810.0000	565.5000	0	1088.9713	874.1052	0	1136.5204	891.5485	0	813.2101	588.7307	0
24	1011.0000	370.5000	0	511.5000	121.5000	0	810.0000	565.5000	0	1087.7972	876.8984	0	1135.7649	891.2236	0	812.9511	588.3294	0
25	1011.0000	370.5000	0	510.0000	124.5000	0	810.0000	565.5000	0	1089.1580	875.9772	0	1135.7738	890.9492	0	810.9194	587.7060	0
26	1012.5000	372.0000	0	511.5000	124.5000	0	810.0000	567.0000	0	1090.8307	878.4499	0	1135.6492	890.2556	0	809.5367	589.5747	0
27	1012.5000	372.0000	0	513.0000	124.5000	0	811.5000	565.5000	0	1090.5639	876.9100	0	1135.5128	890.0365	0	808.0269	589.6852	0
28	1011.0000	372.0000	0	511.5000	124.5000	0	813.0000	565.5000	0	1090.2155	878.3127	0	1135.3418	890.8760	0	805.8206	588.8090	0
29	1012.5000	373.5000	0	511.5000	123.0000	0	813.0000	564.0000	0	1089.2289	879.1570	0	1135.2650	890.2975	0	805.3278	588.6019	0
30	1011.0000	375.0000	0	511.5000	123.0000	0	813.0000	564.0000	0	1088.2287	877.8880	0	1135.7931	891.3839	0	807.0958	589.8038	0
31	1011.0000	375.0000	0	511.5000	124.5000	0	811.5000	565.5000	0	1088.4334	879.8331	0	1136.3270	890.5276	0	805.0099	588.8445	0
32	1011.0000	375.0000	0	511.5000	124.5000	0	814.5000	565.5000	0	1088.0706	879.2684	0	1137.0949	890.4504	0	804.8041	589.5113	0
33	1011.0000	376.5000	0	511.5000	126.0000	0	814.5000	564.0000	0	1088.2879	878.4657	0	1137.2109	889.6450	0	804.7450	587.9171	0
34	1011.0000	375.0000	0	511.5000	127.5000	0	814.5000	564.0000	0	1088.1599	880.7102	0	1137.6242	889.9796	0	805.2087	587.9053	0
35	1011.0000	373.5000	0	511.5000	127.5000	0	814.5000	562.5000	0	1088.5511	882.2567	0	1138.6861	891.1605	0	804.9046	585.6318	0
36	1011.0000	373.5000	0	510.0000	126.0000	0	817.5000	564.0000	0	1089.2840	880.1638	0	1138.9649	891.3415	0	804.6618	586.5229	0
37	1011.0000	372.0000	0	511.5000	126.0000	0	817.5000	565.5000	0	1090.3231	879.6588	0	1139.1451	892.4995	0	803.6233	583.8091	0
38	1012.5000	373.5000	0	513.0000	123.0000	0	817.5000	565.5000	0	1091.5302	879.6302	0	1139.2201	892.2928	0	804.2254	584.3808	0
39	1012.5000	373.5000	0	511.5000	124.5000	0	819.0000	564.0000	0	1091.2211	882.3617	0	1138.9517	892.0345	0	805.5313	586.2751	0
40	1015.5000	372.0000	0	513.0000	124.5000	0	820.5000	564.0000	0	1090.6845	881.9111	0	1139.6423	893.0809	0	805.8103	587.4477	0
41	1017.0000	372.0000	0	510.0000	124.5000	0	819.0000	565.5000	0	1090.8695	881.1490	0	1139.1216	892.8130	0	806.5026	587.6881	0
42	1018.5000	372.0000	0	511.5000	127.5000	0	819.0000	565.5000	0	1090.4929	880.6503	0	1140.3613	891.2948	0	805.2948	585.6286	0
43	1018.5000	375.0000	0	511.5000	126.0000	0	819.0000	564.0000	0	1090.8953	882.3517	0	1139.7876	892.2557	0	805.7247	583.8976	0
44	1017.0000	373.5000	0	510.0000	123.0000	0	817.5000	564.0000	0	1090.6385	883.0682	0	1139.2019	893.1559	0	807.7484	586.9390	0
45	1018.5000	375.0000	0	510.0000	124.5000	0	817.5000	567.0000	0	1090.6349	883.2803	0	1139.3246	891.0297	0	809.1369	586.9662	0
46	1018.5000	373.5000	0	513.0000	123.0000	0	819.0000	565.5000	0	1092.1037	887.0301	0	1139.2802	889.7257	0	812.7319	585.6987	0
47	1018.5000	375.0000	0	513.0000	123.0000	0	822.0000	564.0000	0	1092.0282	884.8296	0	1139.3905	891.4436	0	809.9284	587.1064	0
48	1017.0000	373.5000	0	513.0000	123.0000	0	820.5000	564.0000	0	1092.0591	882.5552	0	1140.5089	888.7128	0	811.5000	583.5000	0
49	1020.0000	375.0000	0	513.0000	124.5000	0	820.5000	565.5000	0	1091.9022	882.9531	0	1139.9469	889.9990	0	814.2315	588.8156	0
50	1020.0000	375.0000	0	511.5000	124.5000	0	823.5000	564.0000	0	1091.5517	884.2965	0	1139.6295	890.6892	0	814.0443	589.2587	0
51	1021.5000	375.0000	0	514.5000	124.5000	0	825.0000	564.0000	0	1092.0267	882.1323	0	1139.1863	889.6076	0	813.1365	587.7640	0
52	1023.0000	376.5000	0	514.5000	124.5000	0	823.5000	565.5000	0	1091.8236	884.3212	0	1138.8731	890.7738	0	812.9162	588.1050	0
53	1021.5000	375.0000	0	514.5000	126.0000	0	823.5000	564.0000	0	1092.0184	884.8706	0	1138.0351	890.9202	0	811.1731	586.1412	0
54	1021.5000	375.0000	0	514.5000	124.5000	0	822.0000	565.5000	0	1091.4442	882.9818	0	1137.5358	891.0025	0	815.0750	588.9726	0
55	1023.0000	376.5000	0	516.0000	126.0000	0	820.5000	567.0000	0	1091.4222	885.9855	0	1136.7624	891.8250	0	820.4076	589.2030	0
56	1021.5000	375.0000	0	516.0000	126.0000	0	822.0000	565.5000	0	1091.6588	884.6388	0	1136.2599	892.2087	0	822.3234	590.1335	0
57	1021.5000	375.0000	0	517.5000	126.0000	0	820.5000	568.5000	0	1091.6194	884.1249	0	1136.0876	892.9454	0	824.8043	580.0893	0
58	1020.0000	376.5000	0	517.5000	127.5000	0	820.5000	570.0000	0	1090.9658	883.9814	0	1136.4734	893.8704	0	828.9004	585.8768	0
59	1020.0000	376.5000	0	517.5000	126.0000	0	820.5000	570.0000	0	1090.7678	882.6418	0	1136.2179	893.5319	0	827.9148	586.6412	0
60	1020.0000	376.5000	0	517.5000	126.0000	0	820.5000	568.5000	0	1091.0485	882.6859	0	1135.1356	893.2767	0	827.9938	586.6874	0
61	1020.0000	378.0000	0	517.5000	126.0000	0	820.5000	570.0000	0	1090.6796	882.5427	0	1135.8648	891.8226	0	830.1047	585.3406	0
62	1020.0000	379.5000	0	517.5000	126.0000	0	822.0000	570.0000	0	1090.5239	881.2638	0	1137.0055	891.1539	0	825.1688	577.3079	0
63	1021.5000	378.0000	0	517.5000	127.5000	0	820.5000	568.5000	0	1091.1072	880.8189	0	1136.5716	892.5699	0	826.4423	584.6089	0
64	1021.5000	378.0000	0	516.0000	127.5000	0	822.0000	567.0000	0	1091.4339	881.1154	0	1136.6612	894.0957	0	825.1017	585.6646	0
