Frame	X5	Y5	Flag5	X6	Y6	Flag6	X3	Y3	Flag3	X7	Y7	Flag7	X2	Y2	Flag2	X4	Y4	Flag4	X1	Y1	Flag1	X8	Y8	Flag8
1	445.5000	511.5000	0	70.3885	921.3927	0	29.1029	889.7960	0	872.9692	495.4802	0	865.8141	442.8917	0	426.0000	510.0000	0	466.5000	523.5000	0	396.0000	163.5000	0
2	444.0000	511.5000	0	70.7839	921.9127	0	28.8946	889.0057	0	871.3858	495.6752	0	865.8537	442.2342	0	426.0000	510.0000	0	466.5000	523.5000	0	390.0000	163.5000	0
3	445.5000	514.5000	0	70.3139	923.1451	0	28.3701	888.5418	0	870.2142	494.4916	0	865.2781	441.8556	0	427.5000	510.0000	0	463.5000	522.0000	0	387.0000	163.5000	0
4	442.5000	513.0000	0	71.6956	922.7709	0	28.9791	888.6014	0	873.2954	493.3156	0	866.7025	442.5796	0	426.0000	508.5000	0	460.5000	523.5000	0	385.5000	163.5000	0
5	441.0000	513.0000	0	71.6808	922.5046	0	28.3797	888.5112	0	872.2211	493.0856	0	866.7662	442.6573	0	427.5000	510.0000	0	460.5000	525.0000	0	385.5000	165.0000	0
6	438.0000	513.0000	0	71.3641	922.4379	0	28.0945	888.0036	0	870.7457	493.3786	0	865.8109	441.2893	0	427.5000	510.0000	0	457.5000	528.0000	0	385.5000	162.0000	0
7	438.0000	513.0000	0	71.1508	923.0536	0	27.5517	886.3178	0	870.8228	493.2725	0	867.9794	442.1572	0	426.0000	508.5000	0	457.5000	528.0000	0	384.0000	166.5000	0
8	438.0000	513.0000	0	69.8355	923.9179	0	27.0453	886.4778	0	869.4882	493.3328	0	867.0901	440.2274	0	426.0000	510.0000	0	457.5000	528.0000	0	381.0000	166.5000	0
9	436.5000	513.0000	0	68.7890	925.1519	0	26.5093	885.2285	0	867.6099	491.6288	0	866.4160	439.9705	0	424.5000	510.0000	0	456.0000	528.0000	0	379.5000	169.5000	0
10	436.5000	513.0000	0	68.2415	923.2708	0	26.3374	884.4498	0	868.4174	491.4566	0	867.1287	441.0281	0	426.0000	511.5000	0	456.0000	526.5000	0	376.5000	168.0000	0
11	435.0000	511.5000	0	67.4592	923.7502	0	26.6148	885.1700	0	868.8486	491.4903	0	867.4375	441.5545	0	427.5000	510.0000	0	457.5000	525.0000	0	375.0000	169.5000	0
12	435.0000	514.5000	0	66.2886	924.4596	0	26.6520	885.4882	0	868.6842	490.7815	0	868.5009	441.7821	0	427.5000	510.0000	0	457.5000	528.0000	0	375.0000	168.0000	0
13	435.0000	511.5000	0	68.6884	923.5480	0	26.4243	884.9395	0	869.1004	491.2801	0	868.7298	441.7768	0	426.0000	508.5000	0	456.0000	526.5000	0	375.0000	168.0000	0
14	435.0000	510.0000	0	68.4768	923.2353	0	26.2963	884.6926	0	870.5263	491.3682	0	868.4514	441.9078	0	424.5000	508.5000	0	457.5000	525.0000	0	373.5000	168.0000	0
15	435.0000	511.5000	0	68.2605	923.6820	0	26.1081	884.2764	0	871.5319	491.8380	0	868.4179	443.6919	0	426.0000	510.0000	0	457.5000	525.0000	0	373.5000	168.0000	0
16	435.0000	511.5000	0	67.8815	923.1198	0	25.8081	883.8255	0	870.4868	490.8480	0	869.7463	445.6712	0	426.0000	510.0000	0	457.5000	517.5000	0	372.0000	168.0000	0
17	436.5000	510.0000	0	67.1881	922.7358	0	25.3737	883.0431	0	870.4459	490.8994	0	870.0236	443.0972	0	427.5000	510.0000	0	456.0000	516.0000	0	370.5000	163.5000	0
18	435.0000	513.0000	0	66.4460	922.5999	0	25.4398	883.5031	0	871.6429	491.6560	0	870.5553	444.2485	0	427.5000	510.0000	0	456.0000	516.0000	0	370.5000	163.5000	0
19	436.5000	513.0000	0	66.1888	922.0950	0	25.2000	883.1286	0	872.5412	491.1502	0	870.1026	442.0661	0	426.0000	510.0000	0	456.0000	517.5000	0	370.5000	165.0000	0
20	435.0000	511.5000	0	66.5341	922.6238	0	24.9108	882.5819	0	872.7306	492.3978	0	869.4754	441.0717	0	426.0000	510.0000	0	456.0000	517.5000	0	369.0000	163.5000	0
21	435.0000	513.0000	0	65.2197	921.3231	0	24.5217	881.5109	0	874.6064	492.0475	0	868.8645	439.8138	0	424.5000	510.0000	0	456.0000	517.5000	0	369.0000	162.0000	0
22	435.0000	513.0000	0	65.4057	921.9160	0	25.0149	882.4760	0	874.2440	492.4317	0	867.2718	440.3646	0	424.5000	508.5000	0	457.5000	517.5000	0	367.5000	162.0000	0
23	436.5000	513.0000	0	66.1529	920.6357	0	24.3924	880.8268	0	873.6243	491.9560	0	868.0466	439.2653	0	427.5000	510.0000	0	457.5000	516.0000	0			
24	436.5000	513.0000	0	66.0803	921.1032	0	24.9752	880.8914	0	872.4927	492.3405	0	868.2011	438.1339	0	427.5000	510.0000	0	457.5000	517.5000	0			
25	436.5000	511.5000	0	67.8347	922.0056	0	25.4364	882.0398	0	871.2811	491.6303	0	867.4291	436.9626	0	426.0000	508.5000	0	456.0000	523.5000	0			
26	436.5000	511.5000	0	68.5705	921.2549	0	25.6872	883.1496	0	869.3335	490.7174	0	870.2831	438.4429	0	424.5000	508.5000	0	456.0000	525.0000	0			
