Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
1	262.5000	727.5000	0	259.2316	702.2314	0	258.0000	720.0000	0
2	262.5000	727.5000	0	255.0387	701.9398	0	256.5000	723.0000	0
3	261.0000	726.0000	0	256.3436	701.7574	0	256.5000	721.5000	0
4	259.5000	726.0000	0	257.5524	701.7808	0	256.5000	721.5000	0
5	261.0000	726.0000	0	259.1149	702.0256	0	256.5000	721.5000	0
6	261.0000	726.0000	0	257.6791	702.1557	0	256.5000	723.0000	0
7	261.0000	726.0000	0	258.0000	717.0000	0	256.5000	723.0000	0
8	259.5000	724.5000	0	256.5000	717.0000	0	255.0000	723.0000	0
9	259.5000	726.0000	0	256.5000	717.0000	0	255.0000	721.5000	0
10	258.0000	724.5000	0	256.5000	717.0000	0	255.0000	721.5000	0
11	259.5000	724.5000	0	258.0000	720.0000	0	255.0000	723.0000	0
12	258.0000	723.0000	0	256.5000	721.5000	0	256.5000	723.0000	0
13	258.0000	718.5000	0	258.0000	723.0000	0	256.5000	723.0000	0
14	258.0000	718.5000	0	259.5000	721.5000	0			
15	256.5000	718.5000	0	258.0000	718.5000	0			
16	256.5000	718.5000	0						
17	256.5000	718.5000	0						
18	256.5000	720.0000	0						
19	256.5000	717.0000	0						
20	256.5000	717.0000	0						
21	256.5000	718.5000	0						
22	258.0000	718.5000	0						
23	258.0000	718.5000	0						
24	258.0000	717.0000	0						
25	256.5000	718.5000	0						
26	256.5000	718.5000	0						
27	256.5000	718.5000	0						
28	256.5000	720.0000	0						
29	256.5000	721.5000	0						
30	256.5000	720.0000	0						
31	256.5000	718.5000	0						
32	256.5000	720.0000	0						
33	255.0000	720.0000	0						
34	253.5000	720.0000	0						
35	255.0000	721.5000	0						
36	255.0000	720.0000	0						
37	253.5000	720.0000	0						
38	253.5000	721.5000	0						
39	253.5000	721.5000	0						
40	253.5000	720.0000	0						
41	252.0000	721.5000	0						
42	250.5000	721.5000	0						
43	252.0000	721.5000	0						
44	252.0000	721.5000	0						
45	252.0000	723.0000	0						
46	253.5000	723.0000	0						
47	253.5000	724.5000	0						
48	252.0000	726.0000	0						
49	252.0000	726.0000	0						
50	252.0000	726.0000	0						
51	253.5000	727.5000	0						
52	252.0000	727.5000	0						
53	253.5000	727.5000	0						
54	253.5000	729.0000	0						
55	252.0000	727.5000	0						
56	252.0000	727.5000	0						
57	250.5000	727.5000	0						
58	252.0000	727.5000	0						
59	252.0000	726.0000	0						
60	253.5000	726.0000	0						
61	253.5000	727.5000	0						
62	253.5000	727.5000	0						
63	253.5000	727.5000	0						
64	253.5000	727.5000	0						
65	255.0000	727.5000	0						
66	255.0000	727.5000	0						
67	255.0000	727.5000	0						
68	253.5000	729.0000	0						
69	256.6092	743.5957	0						
70	259.5000	729.0000	0						
71	261.0000	729.0000	0						
72	261.0000	729.0000	0						
73	261.0000	729.0000	0						
74	261.0000	729.0000	0						
75	262.5000	729.0000	0						
76	261.0000	729.0000	0						
77	262.5000	727.5000	0						
78	262.5000	727.5000	0						
79	264.0000	727.5000	0						
80	262.5000	727.5000	0						
81	262.5000	727.5000	0						
82	262.5000	726.0000	0						
83	262.5000	727.5000	0						
84	262.5000	727.5000	0						
85	262.5000	726.0000	0						
86	261.0000	727.5000	0						
87	261.0000	724.5000	0						
88	258.0000	724.5000	0						
89	256.5000	724.5000	0						
90	258.0000	723.0000	0						
91	256.5000	721.5000	0						
92	258.0000	718.5000	0						
93	256.5000	721.5000	0						
94	256.5000	721.5000	0						
95	256.5000	721.5000	0						
96	258.0000	718.5000	0						
97	256.5000	724.5000	0						
98	256.5000	721.5000	0						
99	256.5000	721.5000	0						
100	256.5000	717.0000	0						
101	256.5000	718.5000	0						
102	258.0000	715.5000	0						
103	259.9692	702.5374	0						
104	258.0000	717.0000	0						
105	256.5000	717.0000	0						
106	258.0000	717.0000	0						
107	258.0000	715.5000	0						
108	259.5000	715.5000	0						
109	262.2196	702.6504	0						
110	256.5000	718.5000	0						
111	255.0000	717.0000	0						
112	256.5000	715.5000	0						
113	255.0000	717.0000	0						
114	256.5000	717.0000	0						
