Frame	X4	Y4	Flag4	X1	Y1	Flag1	X7	Y7	Flag7	X2	Y2	Flag2	X3	Y3	Flag3	X9	Y9	Flag9	X6	Y6	Flag6	X8	Y8	Flag8	X5	Y5	Flag5
1	237.0385	406.8077	0	424.1667	852.6250	0	390.7222	877.0000	0	386.3823	888.0883	0	38.9800	477.9000	0	392.0000	887.5000	0	43.7381	457.6905	0	386.8103	885.0517	0	42.4630	287.3889	0
2	235.7143	408.0000	0	422.4131	853.2826	0	391.8182	879.1818	0	390.6053	887.5000	0	38.0185	480.6111	0	388.0000	888.0000	0	46.8077	455.0000	0	385.0926	883.5741	0	45.5000	287.0000	0
3	233.1923	406.4615	0	423.0769	852.3461	0	387.1400	882.7400	0	386.5625	888.8125	0	37.6111	483.6852	0	390.0926	885.4259	0	44.0000	454.5000	0	386.0000	881.2857	0	42.9000	288.4600	0
4	234.6429	406.1071	0	420.9348	850.7609	0	386.4565	886.4130	0	384.5000	889.7917	0	36.6111	482.5371	0	387.9074	884.5741	0	44.1538	452.6154	0	387.2083	880.5000	0	43.8846	287.1538	0
5	233.1000	404.5400	0	422.7174	850.4130	0	386.1667	886.6250	0	386.0185	888.3889	0	34.9643	482.5000	0	389.9445	885.0926	0	45.9000	451.1800	0	389.5000	880.6739	0	45.1316	285.9737	0
6	233.5909	405.4091	0	418.2200	852.0600	0	390.0000	883.5000	0	384.9000	888.4600	0	37.1552	484.1207	0	385.7857	885.5476	0	44.9615	452.6538	0	388.9783	882.1087	0	43.0000	286.0000	0
7	234.5000	404.7917	0	420.0000	851.5000	0	388.1538	882.6154	0	387.1000	887.5400	0	31.9643	481.8571	0	385.2917	884.7917	0	47.0000	453.5000	0	391.0500	883.7000	0	47.5000	286.0000	0
8	233.8462	404.1538	0	421.8913	853.7174	0	388.1400	883.1800	0	385.1000	888.5400	0	37.3966	480.9828	0	385.9400	885.5800	0	42.3333	455.6250	0	394.0000	885.5000	0	42.5000	285.7105	0
9	235.5000	404.0000	0	418.0926	855.0555	0	388.6852	882.6111	0	385.6667	887.5000	0	33.5370	480.6111	0	381.7963	885.2778	0	44.9074	458.0555	0	390.0926	885.7593	0	42.1667	286.6250	0
10	236.0862	404.2242	0	417.6250	855.5000	0	386.2857	884.0000	0	386.0909	886.9545	0	35.8077	479.0000	0	383.9138	884.9483	0	44.0000	460.5000	0	392.0000	887.5000	0	42.8636	287.0454	0
11	236.5909	403.4091	0	415.1333	852.8666	0	388.3571	884.8929	0	384.6765	887.2647	0	35.3667	479.9667	0	383.0000	885.5000	0	44.5400	461.7400	0	387.1087	889.7174	0			
12	240.5800	402.7000	0	418.3750	852.3333	0	386.1087	887.9783	0	388.1667	885.9667	0	34.4200	483.4200	0	386.6905	885.4524	0	44.0000	462.7727	0						
13	237.5000	403.0000	0	416.5741	851.9074	0	388.7917	888.5000	0	383.2333	887.0333	0	36.4286	485.6429	0	385.5000	887.5000	0									
14	237.0600	406.5800	0	422.2500	852.1250	0	387.5741	888.9074	0																		
15	239.2826	406.4131	0	423.5909	850.5909	0	387.5400	889.1000	0																		
16	236.0600	405.5800	0	424.3095	850.4524	0																					
17	237.6500	404.9500	0																								
