condition_id,series,trial,bead_um,solvent_label,solute_pct,eta_mPas,n_segments,n_steps,D_var,D_var_err,D_gauss,D_gauss_err,D_msd,D_var_raw,D_gauss_raw,D_msd_raw,D0,F_min_wall,F_max_wall,D_theory_max,D_theory_min,alpha,alpha_err,classification,dirname
R5,R,1,1.0,20% Gly,20.0,1.694,,,0.2688,0.0075,0.2644,0.0075,0.243,0.2868,0.2825,0.2611,0.2544,0.986,0.561,0.2508384,0.14271840000000002,1.14,0.075,Super-diffusive,r5-1mu-0_5p-1_15ul-water-400ul-gly-100ul-trial1-tracker
R5,R,2,1.0,20% Gly,20.0,1.694,,,0.2545,0.007,0.2537,0.007,0.2319,0.2725,0.2718,0.2499,0.2544,0.986,0.561,0.2508384,0.14271840000000002,1.021,0.024,Normal diffusion,r5-1mu-0_5p-1_15ul-water-400ul-gly-100ul-trial2-tracker
R1,R,1,1.0,Water,0.0,0.981,,,0.4065,0.0087,0.404,0.0087,0.3818,0.4246,0.422,0.3998,0.4395,0.986,0.561,0.433347,0.24655950000000001,0.814,0.035,Sub-diffusive,r1-1mu-0_5p-1_15ul-water-500ul-gly-0-tracker
R14,R,1,2.1,100% Ace,100.0,0.32,5,1167,0.3036,0.0148,0.2999,0.0148,,,,,0.6414,0.971,0.56,0.6227994,0.359184,0.942,0.012,,r14-2_1mu-0_5p-4ul-acetone-498ul-trial1-tracker
R14,R,2,2.1,100% Ace,100.0,0.32,,,0.3466,0.006,0.3419,0.006,0.3619,0.3647,0.3599,0.3799,0.6413,0.971,0.56,0.6227022999999999,0.359128,1.032,0.019,Normal diffusion,r14-2_1mu-0_5p-4ul-acetone-498ul-trial2-tracker
R6,R,1,2.1,20% Gly,20.1,1.699,,,0.1357,0.0059,0.1318,0.0059,0.1299,0.1537,0.1498,0.1479,0.1208,0.971,0.56,0.1172968,0.06764800000000001,0.694,0.046,Sub-diffusive,r6-2_1mu-0_5p-4ul-water-398ul-gly-100l-trial1-tracker
R6,R,2,2.1,20% Gly,20.1,1.699,,,0.1101,0.0126,0.1105,0.0126,0.1145,0.1281,0.1286,0.1325,0.1208,0.971,0.56,0.1172968,0.06764800000000001,0.882,0.027,Sub-diffusive,r6-2_1mu-0_5p-4ul-water-398ul-gly-100l-trial2-tracker
R10,R,1,2.1,40% Gly,40.2,3.59,,,0.0114,0.0062,0.0085,0.0062,0.0128,0.0294,0.0265,0.0308,0.0572,0.971,0.56,0.0555412,0.032032000000000005,0.87,0.035,Sub-diffusive,r10-2_1mu-0_5p-4ul-water-298ul-gly-200ul-trial1-tracker
R10,R,2,2.1,40% Gly,40.2,3.59,,,0.0348,0.0042,0.0324,0.0042,0.0326,0.0528,0.0504,0.0507,0.0572,0.971,0.56,0.0555412,0.032032000000000005,0.94,0.01,Normal diffusion,r10-2_1mu-0_5p-4ul-water-298ul-gly-200ul-trial2-tracker
R2,R,1,2.1,Water,0.0,0.981,,,0.0706,0.025,0.0632,0.025,0.0727,0.0886,0.0812,0.0907,0.2093,0.971,0.56,0.2032303,0.11720800000000002,1.234,0.032,Super-diffusive,r2-2_1mu-0_5p-4ul-water-498ul-gly-0l-trial1-tracker
R15,R,1,3.0,100% Ace,100.0,0.32,,,0.1964,0.0114,0.1997,0.0114,0.1997,0.2145,0.2178,0.2177,0.4489,0.959,0.559,0.4304951,0.2509351,0.81,0.027,Sub-diffusive,r15-3mu-0_5p-6ul-acetone-497ul-trial1-tracker
R7,R,1,3.0,20% Gly,20.1,1.701,,,0.1119,0.006,0.1116,0.006,0.0844,0.1299,0.1297,0.1024,0.0845,0.959,0.559,0.0810355,0.04723550000000001,0.78,0.037,Sub-diffusive,r7-3mu-0_5p-3ul-water-397ul-gly-100ul-trial1-tracker
R7,R,2,3.0,20% Gly,20.1,1.701,,,0.0712,0.0027,0.072,0.0027,0.0703,0.0892,0.09,0.0884,0.0845,0.959,0.559,0.0810355,0.04723550000000001,1.001,0.023,Normal diffusion,r7-3mu-0_5p-3ul-water-397ul-gly-100ul-trial2-tracker
R7,R,3,3.0,20% Gly,20.1,1.701,,,0.0769,0.0085,0.0747,0.0085,0.0773,0.0949,0.0928,0.0953,0.0845,0.959,0.559,0.0810355,0.04723550000000001,1.183,0.03,Super-diffusive,r7-3mu-0_5p-3ul-water-397ul-gly-100ul-trial3-tracker
R11,R,1,3.0,40% Gly,40.2,3.603,,,0.0077,0.0033,0.0039,0.0033,0.0044,0.0257,0.0219,0.0224,0.0399,0.959,0.559,0.038264099999999995,0.0223041,0.801,0.035,Sub-diffusive,r11-3mu-0_5p-6ul-water-297ul-gly-200ul-trial1-tracker
