Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
1	-5.1991	14.0180	0	33.4295	-18.1967	0	17.7589	6.1830	0	-39.7773	7.7287	0	-33.6698	31.1905	0
2	-5.1849	14.0971	0	33.4298	-18.1882	0	17.7801	6.2158	0	-39.8058	7.7326	0	-33.6484	31.2451	0
3	-5.1724	14.0164	0	33.3843	-18.2681	0	17.7595	6.1407	0	-39.8049	7.6865	0	-33.6898	31.1555	0
4	-5.1345	14.0297	0	33.3496	-18.2102	0	17.7714	6.1866	0	-39.8171	7.7212	0	-33.6720	31.1902	0
5	-5.1424	14.0766	0	33.3629	-18.1976	0	17.7468	6.2022	0	-39.8153	7.7325	0	-33.6781	31.1797	0
6	-5.1217	14.0351	0	33.3773	-18.2676	0	17.7074	6.1631	0	-39.8319	7.7236	0	-33.6913	31.1610	0
7	-5.0725	14.0142	0	33.3976	-18.2391	0	17.7321	6.1830	0	-39.8458	7.7322	0	-33.6822	31.2019	0
8	-5.0701	14.0462	0	33.3730	-18.2068	0	17.7430	6.2549	0	-39.8197	7.8121	0	-33.6938	31.1953	0
9	-5.0747	14.0075	0	33.3563	-18.2465	0	17.7583	6.1873	0	-39.8533	7.7636	0	-33.6748	31.1540	0
10	-5.1047	13.9669	0	33.3442	-18.2447	0	17.7793	6.1765	0	-39.9066	7.7409	0	-33.6931	31.1646	0
11	-5.1540	14.0068	0	33.3444	-18.1786	0	17.7885	6.2149	0	-39.9030	7.7614	0	-33.6911	31.1734	0
12	-5.1478	13.9649	0	33.3151	-18.1961	0	17.7802	6.1691	0	-39.8987	7.7615	0	-33.6781	31.1392	0
13	-5.1542	13.9338	0	33.3085	-18.2306	0	17.7774	6.1495	0	-39.9011	7.7575	0	-33.6961	31.1632	0
14	-5.1449	13.9129	0	33.3204	-18.2046	0	17.8004	6.2023	0	-39.9173	7.7928	0	-33.7180	31.1870	0
15	-5.1181	13.9852	0	33.3312	-18.1675	0	17.7991	6.2417	0	-39.8960	7.7603	0	-33.7592	31.1964	0
16	-5.1587	13.9836	0	33.3244	-18.1748	0	17.7777	6.2025	0	-39.8651	7.7138	0	-33.7900	31.1873	0
17	-5.1929	13.9946	0	33.3119	-18.1558	0	17.7557	6.1798	0	-39.8198	7.7111	0	-33.8020	31.1776	0
18	-5.2061	14.0479	0	33.2929	-18.1270	0	17.7789	6.2035	0	-39.8337	7.7509	0	-33.7773	31.1981	0
19	-5.1788	14.0132	0	33.2711	-18.1468	0	17.7370	6.1682	0	-39.8249	7.7196	0	-33.7709	31.1428	0
20	-5.1687	13.9676	0	33.2732	-18.1983	0	17.7256	6.1851	0	-39.8518	7.7157	0	-33.8313	31.1038	0
21	-5.1254	14.0152	0	33.2201	-18.1351	0	17.7267	6.2137	0	-39.8323	7.7262	0	-33.8341	31.1316	0
22	-5.1431	13.9913	0	33.1899	-18.1294	0	17.7029	6.1640	0	-39.8552	7.7599	0	-33.8418	31.1201	0
23	-5.2097	13.9721	0	33.1593	-18.1357	0	17.7179	6.1426	0	-39.8420	7.7588	0	-33.8641	31.1165	0
24	-5.1811	13.9770	0	33.1274	-18.1159	0	17.7236	6.1601	0	-39.8469	7.7861	0	-33.8663	31.1469	0
25	-5.2045	13.9960	0	33.0988	-18.1029	0	17.7041	6.1899	0	-39.8600	7.8287	0	-33.8970	31.1593	0
26	-5.1965	13.9606	0	33.1313	-18.0965	0	17.7032	6.2233	0	-39.8229	7.8301	0	-33.8753	31.1425	0
27	-5.1977	13.9714	0	33.0988	-18.1011	0	17.7063	6.2035	0	-39.8242	7.8186	0	-33.8650	31.1575	0
28	-5.1850	13.9400	0	33.1008	-18.1410	0	17.6926	6.1885	0	-39.8225	7.8248	0	-33.8589	31.1427	0
29	-5.1675	13.9131	0	33.0954	-18.1298	0	17.6653	6.1627	0	-39.8079	7.7726	0	-33.8551	31.1496	0
30	-5.1819	13.8888	0	33.1007	-18.1305	0	17.6527	6.1614	0	-39.8101	7.7794	0	-33.8432	31.1591	0
31	-5.1771	13.8812	0	33.0766	-18.1661	0	17.6472	6.1445	0	-39.8092	7.7877	0	-33.8462	31.1666	0
32	-5.2380	13.8957	0	33.0660	-18.2169	0	17.6709	6.1436	0	-39.8217	7.7650	0	-33.8478	31.1771	0
33	-5.2571	13.9183	0	33.0913	-18.2034	0	17.7155	6.1546	0	-39.8391	7.7399	0	-33.8558	31.2654	0
34	-5.2187	13.9437	0	33.1361	-18.2305	0	17.6890	6.1087	0	-39.8287	7.7024	0	-33.9042	31.2481	0
35	-5.2205	13.9577	0	33.1381	-18.2205	0	17.6586	6.1131	0	-39.8468	7.7235	0	-33.8952	31.2235	0
36	-5.2214	13.9605	0	33.1629	-18.2463	0	17.6615	6.1224	0	-39.8260	7.7141	0	-33.9369	31.2479	0
37	-5.2294	13.9462	0	33.1632	-18.2323	0	17.6608	6.1200	0	-39.8651	7.7303	0	-33.9393	31.2822	0
38	-5.1980	13.9697	0	33.1602	-18.2154	0	17.6571	6.1121	0	-39.8407	7.7605	0	-33.9351	31.3410	0
39	-5.1982	13.9298	0	33.1739	-18.2283	0	17.6128	6.0953	0	-39.8038	7.7538	0	-33.9595	31.3544	0
40	-5.2142	13.9463	0	33.1962	-18.2449	0	17.5714	6.1117	0	-39.8626	7.7575	0	-33.9549	31.3123	0
41	-5.2246	13.9371	0	33.1854	-18.2411	0	17.5707	6.1053	0	-39.8951	7.7873	0	-33.9739	31.3435	0
42	-5.2263	13.9547	0	33.1753	-18.2405	0	17.5648	6.0985	0	-39.9236	7.7959	0	-34.0194	31.3750	0
43	-5.2691	13.9475	0	33.1625	-18.2128	0	17.5580	6.1045	0	-39.9237	7.8216	0	-34.0244	31.3834	0
44	-5.2904	13.9473	0	33.1865	-18.2431	0	17.5481	6.0876	0	-39.9692	7.7582	0	-34.0090	31.3629	0
45	-5.3233	13.9774	0	33.1889	-18.2226	0	17.5709	6.0878	0	-40.0062	7.7358	0	-34.0321	31.3754	0
46	-5.3261	14.0002	0	33.1990	-18.2046	0	17.5872	6.1334	0	-39.9947	7.7629	0	-34.0014	31.4131	0
47	-5.3388	13.9358	0	33.1943	-18.1822	0	17.5975	6.1042	0	-39.9845	7.7129	0	-33.9703	31.3540	0
