Frame	X2	Y2	Flag2	X1	Y1	Flag1	X4	Y4	Flag4	X3	Y3	Flag3	X5	Y5	Flag5
1	-11.1352	9.7951	0	-5.6541	-5.8224	0	5.0650	16.1971	0	26.3112	1.4577	0	20.0832	-5.7875	0
2	-11.1105	9.5267	0	-5.6671	-5.7831	0	4.8288	16.1229	0	26.3824	1.5658	0	20.0641	-5.6830	0
3	-11.3583	9.9464	0	-5.8274	-5.8437	0	4.9136	16.2466	0	26.3191	1.6625	0	20.2356	-5.5596	0
4	-11.7421	10.0814	0	-5.7342	-5.8613	0	5.0364	16.3465	0	26.3652	1.8040	0	19.9146	-5.8125	0
5	-11.8494	9.8062	0	-5.6200	-5.9095	0	4.8535	16.2717	0	26.3169	1.7675	0	19.9948	-5.7413	0
6	-11.9304	9.9191	0	-5.5034	-5.5661	0	4.8688	16.6443	0	26.4008	1.9118	0	20.2431	-5.6504	0
7	-11.8365	10.1209	0	-5.2917	-5.7073	0	4.8125	16.6622	0	26.8370	2.0026	0	20.1834	-5.6849	0
8	-11.7435	10.2337	0	-5.1980	-5.8227	0	4.8966	16.4336	0	26.8138	2.0097	0	19.8743	-5.7532	0
9	-11.8267	10.2272	0	-4.9341	-5.5782	0	4.8754	16.4468	0	26.5083	2.0784	0	19.8313	-5.6504	0
10	-12.0425	10.3645	0	-5.0303	-5.5153	0	5.0166	16.3351	0	26.5463	2.0699	0	19.7738	-5.5568	0
11	-12.0796	10.0833	0	-4.9607	-5.6359	0	4.9470	16.3398	0	26.5449	2.0688	0	19.5824	-5.6450	0
12	-11.9663	10.1687	0	-4.6728	-5.6727	0	5.2069	16.3451	0	26.4593	1.9356	0	19.6567	-5.7372	0
13	-12.1364	10.2963	0	-4.4556	-5.4747	0	5.1974	16.4484	0	26.5982	1.8683	0	19.5916	-5.8393	0
14	-11.9168	10.2181	0	-4.3408	-5.6356	0	5.4374	16.4399	0	26.5146	1.8191	0	19.4309	-5.7744	0
15	-12.0770	10.1092	0	-4.3284	-5.4824	0	5.5715	16.3305	0	26.5070	2.0357	0	19.4317	-5.7511	0
16	-12.2228	10.1463	0	-4.2545	-5.2451	0	5.2117	16.3831	0	26.2901	2.0488	0	19.2130	-5.9191	0
17	-12.2235	10.0990	0	-4.4454	-5.5157	0	5.3386	16.5473	0	26.5464	2.1328	0	19.0576	-6.0120	0
18	-11.8954	9.9196	0	-4.5481	-5.5371	0	5.2489	16.3939	0	26.5046	2.0222	0	19.1194	-5.9696	0
19	-11.7668	10.0720	0	-4.2964	-5.4748	0	5.2754	16.6481	0	26.4736	2.0651	0	19.2021	-6.0190	0
20	-11.9820	10.1763	0	-4.2813	-5.6328	0	5.1650	16.7128	0	26.6182	2.4266	0	19.1294	-6.0163	0
21	-11.9386	9.9604	0	-4.2826	-5.8204	0	5.2306	16.8195	0	26.2629	2.4234	0	19.3253	-5.9963	0
22	-11.9085	9.7340	0	-4.2116	-5.7698	0	4.9646	16.8943	0	26.5572	2.6781	0	19.5178	-6.1418	0
23	-12.0263	9.8440	0	-4.3091	-5.8417	0	4.9037	16.9849	0	26.2962	2.7887	0	19.3098	-6.1683	0
24	-12.1500	9.7986	0	-3.7803	-5.7683	0	4.8046	16.7860	0	26.1496	2.6594	0	19.3761	-6.1350	0
25	-11.9078	9.4647	0	-3.7225	-5.7169	0	4.6293	16.4499	0	26.1759	2.5497	0	19.3121	-5.9931	0
26	-11.8506	9.3736	0	-3.6571	-5.9106	0	4.7513	16.5725	0	26.1930	2.6252	0	19.2100	-5.8984	0
27	-11.8365	9.2922	0	-3.4619	-6.0031	0	4.5541	16.5487	0	26.3346	2.4499	0	19.0737	-6.0409	0
28	-11.6191	9.2867	0	-3.5212	-6.0025	0	4.5839	16.3775	0	26.3327	2.3741	0	19.0208	-5.9948	0
29	-11.4822	9.0689	0	-3.8161	-6.3125	0	4.6696	16.6607	0	26.6270	2.7939	0	18.9415	-6.0183	0
30	-11.5110	9.1623	0	-3.8821	-6.1688	0	4.7326	16.5110	0	26.4416	2.7335	0	19.1102	-5.9669	0
31	-11.4207	9.2105	0	-3.6084	-6.0715	0	4.7042	16.3714	0	26.2729	2.4251	0	19.1794	-6.0202	0
32	-11.4774	9.1203	0	-3.4901	-6.1536	0	4.5277	16.5194	0	26.3064	2.2555	0	19.0396	-6.3101	0
33	-11.5940	8.9303	0	-3.5147	-5.8762	0	4.4129	16.5285	0	26.0973	2.1046	0	18.9187	-6.1995	0
34	-11.5554	8.8314	0	-3.4593	-5.9637	0	4.3800	16.5677	0	25.8471	1.9851	0	18.9487	-6.1224	0
35	-11.6719	8.7431	0	-3.3563	-5.9511	0	4.5940	16.6587	0	25.9970	1.9839	0	18.7972	-6.1647	0
36	-11.6959	8.7160	0	-3.4364	-6.3980	0	4.9424	16.8031	0	25.7108	1.9437	0	19.0517	-6.2964	0
37	-11.7401	8.6363	0	-3.3843	-6.2121	0	4.9308	16.5955	0	25.7437	1.9259	0	19.0746	-6.2424	0
38	-11.7668	8.7553	0	-3.3075	-5.9969	0	5.3027	16.5209	0	25.9242	1.9156	0	19.0421	-6.2749	0
39	-11.9134	8.7802	0	-3.5677	-5.9481	0	5.2664	16.5835	0	25.7428	2.1544	0	18.9561	-6.1410	0
40	-11.6847	8.7313	0	-3.5123	-5.7843	0	5.4078	16.2775	0	25.6937	1.9175	0	18.7506	-6.5048	0
41	-11.2730	8.5375	0	-3.4177	-5.7807	0	5.3231	16.1458	0	25.6874	1.8315	0	18.9369	-6.7565	0
42	-11.1422	8.3744	0	-3.2903	-5.8230	0	5.3331	16.1607	0	25.6474	1.9041	0	18.8550	-6.4860	0
43	-11.1556	8.3898	0	-3.5746	-5.9291	0	5.4191	16.2011	0	25.7126	1.8416	0	18.5807	-6.4545	0
44	-11.1602	8.2045	0	-3.5788	-6.1011	0	5.2708	16.1493	0	25.3701	1.7100	0	18.5587	-6.4937	0
45	-11.0835	7.8931	0	-3.6967	-6.2165	0	5.2679	16.2390	0	25.4586	1.8432	0	18.4932	-6.2064	0
46	-11.2727	7.7233	0	-3.5770	-6.0411	0	5.4740	16.3303	0	25.3293	1.5431	0	18.4746	-6.2139	0
47	-11.3935	7.8446	0	-3.7231	-6.1861	0	5.4286	16.2534	0	25.4296	1.4498	0	18.4772	-6.1714	0
48	-11.1930	7.7471	0	-3.5712	-6.2194	0	5.3127	16.2244	0	25.1969	1.4521	0	18.2173	-6.3235	0
49	-11.2601	7.7946	0	-3.4781	-6.2789	0	5.3626	16.0696	0	25.5685	1.4777	0	18.2140	-6.3074	0
50	-11.2214	7.6876	0	-3.3695	-6.3433	0	5.4035	15.7448	0	25.3584	1.6256	0	18.1653	-6.0457	0
51	-11.3875	7.5714	0	-3.2815	-6.6640	0	5.4427	15.5695	0	25.4639	1.7114	0	18.1523	-6.1288	0
52	-11.3050	7.6021	0	-3.3342	-6.6764	0	5.4051	15.6184	0	25.4373	1.7459	0	17.9925	-6.2147	0
53	-11.2378	7.3597	0	-3.1607	-6.5165	0	5.6194	15.4122	0	25.6841	2.0616	0	17.8974	-6.2960	0
54	-11.2069	7.2671	0	-2.8935	-6.4475	0	5.3599	15.2413	0	25.5862	1.8875	0	18.0143	-6.1290	0
55	-11.0725	7.1942	0	-2.7306	-6.6108	0	5.3134	15.0266	0	25.4236	1.8787	0	18.3133	-5.8896	0
56	-11.0208	7.0545	0	-2.5046	-6.5187	0	5.2618	15.1256	0	25.4040	1.6331	0	17.9542	-5.7570	0
57	-11.0903	7.1460	0	-2.3325	-6.7696	0	5.3657	15.3680	0	25.5194	1.5671	0	17.7451	-5.6739	0
58	-10.8852	7.2659	0	-2.3197	-7.0879	0	5.4439	15.2733	0	25.2162	1.4853	0	17.7649	-5.5568	0
59	-10.8839	7.3094	0	-2.3067	-7.0374	0	5.3508	15.1192	0	25.1561	1.4863	0	17.7562	-5.6627	0
60	-10.8287	7.2520	0	-2.4154	-6.9742	0	5.4361	15.1007	0	25.0803	1.4975	0	17.9185	-6.1674	0
61	-10.7403	7.3454	0	-2.3603	-6.8497	0	5.4093	14.8212	0	24.8786	1.6880	0	17.5930	-6.1179	0
62	-10.7353	7.2188	0	-2.3922	-6.7951	0	5.3740	14.7490	0	24.7757	1.7903	0	17.5323	-5.9605	0
63	-10.6329	7.3550	0	-2.5033	-6.7905	0	5.4323	14.7310	0	25.0115	1.8563	0	17.8148	-6.0997	0
64	-10.6942	7.3955	0	-2.2481	-7.1990	0	5.5512	14.5605	0	24.7654	2.0077	0	17.6262	-6.2198	0
65	-10.6809	7.3917	0	-2.2846	-7.3916	0	5.5468	14.5023	0	24.8770	2.0088	0	17.7410	-6.5122	0
66	-10.6113	7.3734	0	-2.4047	-7.5677	0	5.2794	14.4099	0	24.6788	1.7597	0	17.6267	-6.8872	0
67	-10.6533	7.2528	0	-2.3279	-7.5862	0	5.1862	14.2884	0	24.8589	1.7860	0	17.5869	-6.8729	0
68	-10.4209	7.0823	0	-2.6473	-7.9324	0	5.4208	14.1398	0	24.7037	1.7711	0	17.6213	-6.9321	0
69	-10.3476	6.9722	0	-2.4554	-7.8285	0	5.1617	14.0502	0	24.5335	2.0527	0	17.4230	-6.5843	0
70	-10.4321	7.1225	0	-2.0539	-8.0888	0	5.0528	13.7150	0	24.3487	1.6757	0	17.6654	-6.4971	0
71	-10.3539	7.0700	0	-1.9687	-7.9475	0	4.9472	13.6727	0	24.2614	1.3917	0	17.7381	-6.4878	0
72	-10.3701	7.0350	0	-1.9805	-8.0074	0	4.8332	13.8253	0	24.3307	1.5808	0	17.8648	-6.3955	0
73	-10.1531	7.1231	0	-2.0608	-8.0381	0	5.1061	13.7717	0	24.2398	1.6047	0	17.6660	-6.6313	0
74	-10.1980	7.0492	0	-1.9803	-7.9146	0	5.2693	13.7152	0	24.3716	1.5300	0	17.6697	-6.4151	0
75	-9.9720	7.0152	0	-2.0884	-7.8940	0	5.1255	13.5149	0	24.4198	1.7243	0	17.8187	-6.4240	0
76	-10.0971	7.2192	0	-2.1920	-7.9505	0	5.0983	13.4020	0	24.3011	1.6190	0	18.0777	-6.4552	0
77	-10.0275	7.3430	0	-2.2858	-7.9332	0	4.9420	13.3433	0	24.5822	1.7185	0	18.1383	-6.3278	0
78	-10.1724	7.3372	0	-2.1994	-8.1610	0	5.0235	13.4097	0	24.7008	1.6470	0	18.1935	-6.2025	0
79	-10.0332	7.3319	0	-2.2225	-8.1138	0	5.1348	13.5607	0	24.7548	1.7183	0	18.0614	-6.1914	0
80	-10.1116	7.3350	0	-2.2077	-8.1427	0	5.3716	13.3962	0	24.7551	1.6678	0	18.1426	-6.3922	0
81	-10.2221	7.2613	0	-2.1737	-8.3090	0	5.3635	13.2503	0	24.6741	1.6360	0	17.7965	-6.5890	0
82	-9.9676	7.2536	0	-2.0817	-8.3888	0	5.2551	13.1356	0	24.7199	1.3525	0	17.6389	-6.7181	0
