Frame	X1	Y1	Flag1	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X2	Y2	Flag2
1	-1.4386	-10.8049	0	-10.8845	23.8708	0	42.9375	-31.0180	0	38.6263	-14.5403	0	-32.3362	6.5596	0
2	-1.1870	-10.9326	0	-11.0000	24.1110	0	42.9778	-31.1598	0	38.6234	-14.5870	0	-32.4435	6.4527	0
3	-1.1971	-10.9302	0	-11.0821	24.1753	0	42.9089	-31.3770	0	38.5865	-14.5314	0	-32.5157	6.3136	0
4	-1.2265	-11.0420	0	-10.9321	24.1440	0	43.0328	-31.0993	0	38.5457	-14.7194	0	-32.5643	6.3039	0
5	-1.2585	-10.9415	0	-11.1195	24.0557	0	43.1292	-30.7992	0	38.6322	-14.4542	0	-32.4300	6.5129	0
6	-1.2640	-10.8533	0	-10.9681	24.1460	0	42.9541	-30.9481	0	38.8068	-14.4923	0	-32.4687	6.5585	0
7	-1.4595	-10.8663	0	-11.0569	24.0281	0	42.9900	-31.1168	0	38.9255	-14.4226	0	-32.6257	6.6858	0
8	-1.3429	-10.7788	0	-11.1453	23.9098	0	42.9525	-30.9312	0	38.9258	-14.1150	0	-32.7231	6.5651	0
9	-1.2381	-10.8244	0	-11.0884	24.1078	0	42.9993	-30.7911	0	38.9855	-14.2156	0	-32.7456	6.5233	0
10	-1.3570	-10.8624	0	-11.1612	24.1456	0	43.1086	-30.9672	0	38.8016	-14.1524	0	-32.7097	6.4835	0
11	-1.6168	-10.9540	0	-11.3644	24.4106	0	42.9842	-30.8602	0	38.7619	-14.3411	0	-32.8205	6.7085	0
12	-1.5031	-11.1285	0	-11.1355	24.2159	0	43.0840	-30.9870	0	38.6855	-14.5061	0	-32.7659	6.7017	0
13	-1.3959	-11.3427	0	-11.1132	24.1894	0	43.0941	-30.9156	0	38.7099	-14.4601	0	-32.7260	6.6373	0
14	-1.4639	-11.2761	0	-11.1068	24.1990	0	43.1437	-30.9158	0	38.7388	-14.2747	0	-32.5424	6.5630	0
15	-1.6136	-11.3435	0	-11.0106	24.1758	0	43.1616	-30.9488	0	38.6416	-14.1602	0	-32.2980	6.4775	0
16	-1.6978	-11.3843	0	-10.9055	24.2902	0	43.2773	-31.0210	0	38.5506	-14.0434	0	-32.3190	6.4457	0
17	-1.9237	-11.2540	0	-11.0417	24.5924	0	43.3288	-30.7888	0	38.4323	-13.9860	0	-32.4354	6.6441	0
18	-1.9900	-11.2888	0	-11.2858	24.5293	0	43.2470	-30.8409	0	38.3082	-13.9005	0	-32.4553	6.9233	0
19	-1.8787	-11.3397	0	-11.2819	24.5976	0	43.0924	-30.9535	0	38.1256	-13.9424	0	-32.4139	6.8248	0
20	-1.8242	-11.3644	0	-11.1970	24.4171	0	43.2416	-30.9725	0	38.0343	-13.9184	0	-32.2170	6.9784	0
21	-1.8625	-11.3484	0	-11.2078	24.6619	0	43.3943	-30.9791	0	37.9463	-13.7525	0	-32.2903	6.9511	0
22	-1.8321	-11.3365	0	-11.1789	24.4527	0	43.3603	-30.9568	0	38.0320	-13.7730	0	-32.1665	6.9242	0
23	-1.7302	-11.3445	0	-11.1608	24.5339	0	43.3602	-30.8121	0	38.1041	-13.7004	0	-32.3074	6.8855	0
24	-1.6251	-11.2306	0	-11.1216	24.5442	0	43.2088	-30.6423	0	38.0140	-13.7625	0	-32.3618	6.8134	0
25	-1.5578	-11.2968	0	-11.0961	24.5182	0	43.0994	-30.7710	0	37.9428	-13.7344	0	-32.5391	6.7452	0
26	-1.6673	-11.4045	0	-11.2189	24.2650	0	43.1814	-30.9749	0	38.0105	-13.8665	0	-32.6888	6.6786	0
27	-1.7455	-10.9885	0	-11.2461	24.2519	0	43.1282	-30.9007	0	37.9919	-13.7410	0	-32.6382	6.6409	0
28	-1.6900	-10.8673	0	-11.2371	24.1352	0	43.1946	-30.9925	0	38.1373	-13.9137	0	-32.5093	6.7230	0
29	-1.6045	-11.1371	0	-11.1676	24.1554	0	43.2865	-30.9703	0	38.1434	-13.9386	0	-32.6211	6.8225	0
30	-1.4820	-11.1081	0	-11.1650	24.2869	0	43.3888	-31.1699	0	38.3579	-13.9629	0	-32.3758	6.9212	0
31	-1.5778	-10.8723	0	-11.2084	24.2584	0	43.3039	-31.0789	0	38.5545	-13.8344	0	-32.3393	6.9042	0
