Frame	X1	Y1	Flag1	X2	Y2	Flag2
1	-13.5321	13.3135	0	-1.7424	4.0258	0
2	-13.6725	13.3670	0	-1.6355	4.1116	0
3	-13.6793	13.3678	0	-1.6934	4.0560	0
4	-13.6433	13.4419	0	-1.7108	4.0241	0
5	-13.7888	13.4388	0	-1.7605	4.0374	0
6	-13.7474	13.3727	0	-1.8800	3.9865	0
7	-13.7871	13.3896	0	-2.0125	3.8664	0
8	-13.8247	13.4948	0	-1.8228	4.0497	0
9	-13.8091	13.4771	0	-1.8428	4.0841	0
10	-13.8698	13.4199	0	-1.9331	4.0502	0
11	-13.8614	13.5122	0	-2.0305	4.1367	0
12	-13.8737	13.6289	0	-2.0348	4.1918	0
13	-13.9035	13.5826	0	-2.0198	4.0382	0
14	-13.7988	13.5046	0	-2.0453	4.1107	0
15	-13.7721	13.6440	0	-1.9461	4.1254	0
16	-13.6112	13.7433	0	-1.8974	4.1137	0
17	-13.5480	13.7677	0	-1.8868	3.9899	0
18	-13.6106	13.7069	0	-1.8136	3.9492	0
19	-13.5221	13.7719	0	-1.8727	3.8305	0
20	-13.5949	13.6673	0	-1.8818	3.6779	0
21	-13.4560	13.7120	0	-1.7824	3.7279	0
22	-13.5335	13.7407	0	-1.8469	3.8281	0
23	-13.7180	13.6849	0	-1.9725	3.6614	0
24	-13.7357	13.7486	0	-1.8019	3.7710	0
25	-13.7446	13.7217	0	-1.7307	3.7827	0
26	-13.8362	13.7367	0	-1.7700	3.6489	0
27	-13.7187	13.7055	0	-1.6739	3.6575	0
28	-13.7495	13.6369	0	-1.7295	3.7268	0
29	-13.7269	13.6232	0	-1.7393	3.6189	0
30	-13.6736	13.7241	0	-1.8407	3.5750	0
31	-13.7723	13.6617	0	-1.8298	3.4338	0
32	-13.7349	13.6893	0	-1.7687	3.3554	0
33	-13.6671	13.6496	0	-1.8882	3.3655	0
34	-13.5942	13.5713	0	-1.9534	3.3087	0
35	-13.6654	13.6855	0	-1.8128	3.5222	0
36	-13.7698	13.5812	0	-2.0175	3.4959	0
37	-13.6381	13.5902	0	-1.9086	3.5264	0
38	-13.6189	13.7426	0	-2.0017	3.6237	0
39	-13.6684	13.7713	0	-2.0480	3.7114	0
40	-13.5742	13.7540	0	-2.1429	3.6602	0
41	-13.5704	13.7385	0	-2.1642	3.6711	0
42	-13.6407	13.6357	0	-2.1873	3.6933	0
43	-13.5579	13.6220	0	-2.2132	3.5965	0
44	-13.5072	13.6606	0	-2.2528	3.7180	0
45	-13.5743	13.6921	0	-2.2774	3.5466	0
46	-13.5990	13.7514	0	-2.3221	3.5708	0
47	-13.6723	13.6655	0	-2.3772	3.5473	0
48	-13.6753	13.6920	0	-2.3760	3.5719	0
49	-13.6902	13.7926	0	-2.4989	3.5708	0
50	-13.6981	13.9291	0	-2.5735	3.5538	0
51	-13.8112	13.8579	0	-2.5625	3.5171	0
