Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
1	-20.4161	25.7421	0	37.0737	2.9882	0	-17.4841	-15.9899	0
2	-20.4455	25.7383	0	37.0904	3.0766	0	-17.5591	-15.9819	0
3	-20.4733	25.8152	0	37.1062	3.0801	0	-17.5124	-15.9109	0
4	-20.3697	25.9546	0	37.0532	3.0237	0	-17.4138	-15.8296	0
5	-20.3658	25.9383	0	37.0327	2.9583	0	-17.3801	-15.9397	0
6	-20.4873	25.9142	0	36.9199	3.0323	0	-17.3838	-15.9482	0
7	-20.5476	26.0657	0	36.9463	3.0264	0	-17.3635	-15.9327	0
8	-20.4680	26.0871	0	36.9834	2.9018	0	-17.2858	-15.9162	0
9	-20.5125	26.0669	0	36.8969	2.8643	0	-17.2660	-16.0139	0
10	-20.4253	26.1579	0	36.7857	2.9383	0	-17.3213	-16.0093	0
11	-20.3551	26.0674	0	36.7168	2.9000	0	-17.3880	-15.9551	0
12	-20.3522	25.9481	0	36.7702	2.8514	0	-17.4550	-15.9292	0
13	-20.4264	25.9292	0	36.8613	2.8508	0	-17.5821	-15.8619	0
14	-20.4303	26.0341	0	36.7130	2.7722	0	-17.6590	-15.8542	0
15	-20.4889	25.8657	0	36.8055	2.7301	0	-17.6644	-15.9446	0
16	-20.4909	25.9135	0	36.8297	2.7175	0	-17.6615	-15.8555	0
17	-20.4943	25.9433	0	36.7310	2.7390	0	-17.7507	-15.8935	0
18	-20.4685	25.8682	0	36.7410	2.6997	0	-17.8070	-15.8956	0
19	-20.5676	25.9121	0	36.6784	2.6518	0	-17.8741	-15.9991	0
20	-20.5719	25.9218	0	36.5658	2.7204	0	-17.8425	-16.0041	0
21	-20.5626	25.9348	0	36.6943	2.6307	0	-17.7927	-15.9893	0
22	-20.6163	25.9126	0	36.6754	2.6292	0	-17.7812	-15.9573	0
23	-20.6159	25.9979	0	36.6863	2.5867	0	-17.5839	-16.0671	0
24	-20.5019	26.0525	0	36.6495	2.5977	0	-17.5578	-15.9733	0
25	-20.5117	26.0724	0	36.6950	2.5968	0	-17.5254	-16.0726	0
26	-20.4281	26.2011	0	36.7389	2.6300	0	-17.5548	-16.0360	0
27	-20.4202	26.3067	0	36.6927	2.7316	0	-17.5000	-16.0910	0
28	-20.3885	26.2463	0	36.5219	2.6522	0	-17.5933	-16.1620	0
29	-20.4168	26.1507	0	36.5574	2.5976	0	-17.5825	-16.2028	0
30	-20.3775	26.0713	0	36.5010	2.6285	0	-17.6319	-16.3101	0
31	-20.3804	26.0670	0	36.5275	2.6953	0	-17.6931	-16.3906	0
32	-20.3241	26.0212	0	36.5623	2.7731	0	-17.7042	-16.4335	0
33	-20.3447	26.0032	0	36.6585	2.8507	0	-17.6503	-16.4484	0
34	-20.3797	26.0788	0	36.6085	2.8466	0	-17.5795	-16.4296	0
35	-20.2145	26.1090	0	36.7153	2.8418	0	-17.5110	-16.3846	0
36	-20.1594	26.1854	0	36.6980	2.9729	0	-17.5071	-16.3152	0
37	-20.1817	26.2396	0	36.7670	3.0267	0	-17.5215	-16.2615	0
38	-20.2701	26.2592	0	36.7872	2.9726	0	-17.6260	-16.1778	0
39	-20.3780	26.2618	0	36.8292	2.9283	0	-17.5681	-16.1041	0
40	-20.4067	26.3662	0	36.7620	2.9593	0	-17.5700	-16.1575	0
41	-20.4400	26.3824	0	36.6733	2.9891	0	-17.5473	-16.2026	0
42	-20.4605	26.4160	0	36.7682	2.9563	0	-17.5766	-16.2332	0
43	-20.4779	26.4834	0	36.7725	3.0581	0	-17.5146	-16.3004	0
44	-20.4335	26.4870	0	36.9548	2.9947	0	-17.6356	-16.2964	0
45	-20.4240	26.5801	0	36.9176	2.9254	0	-17.6547	-16.2152	0
46	-20.3896	26.4141	0	36.9106	2.8204	0	-17.7229	-16.1915	0
47	-20.3588	26.5136	0	36.9548	2.8913	0	-17.6109	-16.2463	0
48	-20.2677	26.4896	0	37.0045	2.8419	0	-17.6131	-16.3478	0
49	-20.3291	26.4835	0	36.9746	2.9496	0	-17.6637	-16.4336	0
50	-20.3805	26.5570	0	37.0560	2.9741	0	-17.5931	-16.4063	0
51	-20.4201	26.6042	0	37.0259	3.0572	0	-17.5032	-16.3437	0
52	-20.4584	26.6697	0	37.0186	3.0333	0	-17.4757	-16.3374	0
53	-20.4456	26.7361	0	37.0217	3.0462	0	-17.4313	-16.2607	0
54	-20.3601	26.7511	0	37.0432	3.0724	0	-17.3196	-16.0870	0
55	-20.4238	26.7360	0	37.1697	3.0204	0	-17.4158	-16.0783	0
56	-20.4683	26.7521	0	37.1919	2.9768	0	-17.3918	-16.0542	0
57	-20.4350	26.7113	0	37.1675	2.9901	0	-17.4038	-16.0805	0
58	-20.4539	26.5398	0	37.0741	2.9967	0	-17.4108	-16.1498	0
59	-20.4682	26.5656	0	36.9749	2.9839	0	-17.3424	-16.1844	0
60	-20.5516	26.7696	0	37.0419	2.9958	0	-17.3935	-16.0926	0
61	-20.6059	26.7576	0	37.1693	2.9570	0	-17.4027	-16.0192	0
62	-20.5798	26.7871	0	37.1951	2.9316	0	-17.3811	-16.0591	0
63	-20.5452	26.7490	0	37.1284	3.0287	0	-17.4381	-16.0687	0
64	-20.6101	26.6768	0	37.1383	3.0845	0	-17.4066	-16.0056	0
65	-20.5564	26.7338	0	37.0363	3.1358	0	-17.4417	-16.0644	0
66	-20.4481	26.6892	0	37.0447	3.1015	0	-17.3285	-16.0654	0
67	-20.4321	26.7180	0	37.0836	3.1875	0	-17.3498	-16.1144	0
68	-20.5408	26.6930	0	36.9942	3.0635	0	-17.2642	-16.1494	0
69	-20.5786	26.6787	0	37.0751	3.0529	0	-17.3828	-16.1855	0
70	-20.5404	26.7953	0	37.1046	3.0579	0	-17.4602	-16.0873	0
71	-20.7375	26.7614	0	37.0585	3.0989	0	-17.4337	-15.9904	0
72	-20.7884	26.7415	0	37.0229	3.1159	0	-17.4163	-16.0313	0
73	-20.7822	26.6393	0	36.9793	3.1610	0	-17.3528	-16.0632	0
74	-20.6643	26.7171	0	36.9489	3.0879	0	-17.3886	-16.1439	0
75	-20.6239	26.7091	0	36.9768	3.0419	0	-17.3895	-16.1154	0
76	-20.6758	26.5769	0	36.9939	3.1375	0	-17.3745	-15.9304	0
77	-20.8544	26.5519	0	36.8776	3.2496	0	-17.4946	-15.9105	0
78	-20.8436	26.7074	0	36.9512	3.2066	0	-17.4111	-15.9031	0
79	-20.7806	26.6636	0	36.9439	3.2337	0	-17.3414	-15.9957	0
80	-20.8135	26.5919	0	37.0238	3.2289	0	-17.2193	-15.8970	0
81	-20.7712	26.5552	0	37.0691	3.2548	0	-17.2180	-15.8981	0
82	-20.8432	26.4841	0	37.0667	3.1978	0	-17.3243	-16.0104	0
83	-20.8354	26.5976	0	37.0912	3.2280	0	-17.5161	-15.9298	0
84	-20.7252	26.7261	0	37.0507	3.1062	0	-17.4369	-16.0334	0
85	-20.6935	26.7041	0	37.1135	3.1793	0	-17.3689	-16.0458	0
86	-20.6150	26.7812	0	37.1480	3.3368	0	-17.2756	-15.9790	0
87	-20.5741	26.7914	0	37.0526	3.2768	0	-17.3819	-15.8730	0
88	-20.5283	26.7657	0	37.1225	3.1668	0	-17.4032	-15.9931	0
89	-20.6195	26.6709	0	37.2329	3.2261	0	-17.3827	-15.9949	0
90	-20.6079	26.7232	0	37.2315	3.3050	0	-17.5196	-15.8606	0
91	-20.5336	26.7508	0	37.2741	3.3248	0	-17.4664	-15.8074	0
92	-20.5073	26.7679	0	37.2532	3.2849	0	-17.4599	-15.7453	0
93	-20.3949	27.0045	0	37.3076	3.2896	0	-17.5376	-15.6439	0
94	-20.5742	27.0291	0	37.2679	3.3178	0	-17.6622	-15.5906	0
