Frame	X1	Y1	Flag1	X2	Y2	Flag2	X4	Y4	Flag4	X3	Y3	Flag3
1	-5.1697	14.9251	0	-26.2931	-5.8762	0	5.1868	-4.8090	0	-29.6470	-32.5715	0
2	-5.1489	14.7091	0	-26.0924	-5.9941	0	5.2040	-4.8605	0	-29.7915	-32.5594	0
3	-5.3080	14.7037	0	-26.0376	-5.9362	0	5.1660	-4.7372	0	-29.8409	-32.4839	0
4	-5.3826	14.7755	0	-25.8940	-6.2963	0	5.1618	-4.7448	0	-29.4061	-32.7182	0
5	-5.3347	14.6497	0	-26.0636	-6.3628	0	5.1495	-4.7210	0	-29.4353	-32.4635	0
6	-5.4719	14.7567	0	-26.0279	-6.2704	0	5.0640	-4.6821	0	-29.7386	-32.2379	0
7	-5.2363	14.6335	0	-25.7583	-6.5467	0	5.0693	-4.5669	0	-29.8609	-32.8516	0
8	-5.4008	14.6542	0	-25.7611	-6.7131	0	4.8952	-4.5888	0	-29.7778	-32.8575	0
9	-5.5070	14.5427	0	-25.6263	-6.7887	0	4.6842	-4.8096	0	-29.6791	-32.5838	0
10	-5.4981	14.6080	0	-25.7444	-6.6491	0	4.7674	-4.6718	0	-29.5834	-32.5704	0
11	-5.6479	14.4699	0	-25.7368	-6.2345	0	4.8470	-4.7052	0	-29.6440	-32.6172	0
12	-5.6220	14.4423	0	-25.7174	-6.3970	0	5.1257	-4.8130	0	-29.6883	-32.6804	0
13	-5.6473	14.3519	0	-25.5786	-6.2366	0	5.1055	-5.0199	0	-29.6590	-32.6220	0
14	-5.6732	14.5411	0	-25.8474	-6.1487	0	5.3071	-4.7747	0	-29.8652	-32.8442	0
15	-5.8946	14.4698	0	-25.8516	-6.2027	0	5.3509	-4.7291	0	-30.1823	-32.9850	0
16	-5.8110	14.5570	0	-26.0910	-6.3153	0	5.2928	-4.6823	0	-30.2386	-32.9991	0
17	-5.7567	14.6593	0	-25.9368	-6.0171	0	5.2212	-4.4311	0	-30.1788	-32.8715	0
18	-5.7022	14.3946	0	-26.0256	-6.1695	0	5.1667	-4.6434	0	-30.1996	-32.7816	0
19	-5.7799	14.2709	0	-25.9567	-5.9184	0	5.2040	-4.5857	0	-30.1379	-32.7079	0
20	-5.9281	14.4036	0	-25.8344	-5.9793	0	5.4498	-4.3320	0	-29.8106	-32.8169	0
21	-6.0220	14.1614	0	-25.8410	-5.9521	0	5.2212	-4.3796	0	-29.8001	-32.6646	0
22	-6.0162	14.2280	0	-25.8394	-6.0751	0	5.2177	-4.3486	0	-29.8254	-32.6638	0
23	-5.9606	14.0525	0	-25.8290	-6.0028	0	5.2922	-4.2825	0	-29.4687	-32.5975	0
24	-6.1498	14.1082	0	-25.9152	-6.0370	0	5.5670	-4.2141	0	-29.5243	-32.4079	0
25	-6.3082	14.0752	0	-25.9069	-5.9270	0	5.6032	-4.1764	0	-29.5778	-32.4459	0
26	-6.4385	13.8717	0	-25.8956	-6.0253	0	5.5198	-4.2191	0	-29.5019	-32.6352	0
27	-6.2792	13.7628	0	-25.9623	-5.8453	0	5.4876	-4.1239	0	-29.6334	-32.5306	0
28	-6.2931	13.3074	0	-26.0150	-5.7956	0	5.4273	-4.3281	0	-29.3603	-32.3699	0
29	-6.2353	13.2740	0	-25.9682	-5.7268	0	5.3556	-4.1752	0	-29.3121	-32.3974	0
30	-6.2237	13.2902	0	-25.9797	-5.7674	0	5.5151	-4.0829	0	-29.2380	-32.2711	0
31	-6.2081	13.2907	0	-25.9753	-5.8004	0	5.6334	-4.1735	0	-29.4532	-32.0655	0
32	-6.0470	13.4078	0	-25.8181	-5.9810	0	5.6407	-4.1801	0	-29.2767	-32.8043	0
33	-5.9802	13.3537	0	-25.9386	-6.3534	0	5.5349	-4.4122	0	-29.6936	-32.7850	0
34	-5.8881	13.4172	0	-25.9903	-6.5436	0	5.6325	-4.0941	0	-29.5471	-32.8287	0
35	-5.9001	13.4510	0	-25.9792	-6.5851	0	5.7422	-4.0871	0	-29.3981	-32.8933	0
36	-5.9600	13.5786	0	-26.1181	-6.3253	0	5.8729	-4.0589	0	-29.3471	-33.1578	0
37	-6.0158	13.6479	0	-26.0326	-6.2367	0	5.7239	-4.1909	0	-29.3392	-33.0743	0
38	-6.0938	13.4560	0	-25.9578	-6.2597	0	5.5106	-3.9306	0	-29.3471	-32.9805	0
39	-6.1058	13.3618	0	-25.9411	-6.3678	0	5.5309	-4.3963	0	-29.2448	-33.2424	0
40	-6.0493	13.3818	0	-26.1177	-6.1000	0	5.7938	-4.4737	0	-29.3072	-33.3401	0
41	-6.1833	13.3053	0	-26.0633	-5.9970	0	6.0866	-4.3794	0	-29.3575	-33.2345	0
42	-6.1397	13.1952	0	-25.8990	-5.7210	0	6.0284	-4.1563	0	-29.2061	-33.3039	0
43	-6.1990	13.1041	0	-25.9723	-5.7839	0	5.8567	-4.2079	0	-29.3062	-33.3759	0
44	-6.1948	13.2571	0	-26.0496	-6.0583	0	5.9123	-4.1383	0	-29.2517	-33.4305	0
45	-6.1868	13.3173	0	-26.0985	-5.8666	0	5.8425	-4.1563	0	-29.3062	-33.3487	0
46	-6.0732	13.1998	0	-26.1121	-5.9609	0	5.8910	-4.1048	0	-29.3863	-33.1353	0
47	-6.2455	13.4280	0	-26.3136	-6.0698	0	6.2345	-3.9331	0	-29.4841	-32.9471	0
48	-6.2811	13.3940	0	-26.2678	-6.0758	0	6.3167	-3.9502	0	-29.3725	-33.0834	0
49	-6.3147	13.4858	0	-26.0507	-5.7372	0	6.2345	-4.0018	0	-29.3672	-33.2210	0
50	-6.4317	13.5408	0	-26.0741	-5.6549	0	6.3032	-4.2079	0	-29.4425	-33.4577	0
51	-6.6532	13.9444	0	-26.1568	-5.7707	0	6.1518	-4.1584	0	-29.4562	-33.5804	0
52	-6.7048	13.9119	0	-26.1081	-5.7356	0	6.1624	-4.3074	0	-29.2015	-33.6480	0
53	-6.9708	13.9784	0	-25.9937	-5.7838	0	6.1867	-4.2126	0	-28.7831	-33.5823	0
54	-6.9932	14.0987	0	-26.1697	-5.7346	0	6.5093	-4.4311	0	-28.9653	-33.3487	0
55	-6.9402	14.4230	0	-26.3332	-5.6116	0	6.5952	-4.3796	0	-28.8604	-33.6116	0
56	-6.8079	14.3062	0	-26.4112	-5.5139	0	6.6124	-4.1563	0	-29.0880	-33.4577	0
57	-7.0940	14.1889	0	-26.4031	-5.5151	0	6.6532	-4.1483	0	-28.8805	-33.3513	0
58	-7.1047	14.2870	0	-26.4983	-5.8553	0	6.8340	-4.0615	0	-28.8426	-33.3078	0
59	-7.2292	14.2076	0	-26.4703	-5.7399	0	7.0420	-4.1235	0	-29.0893	-33.4230	0
60	-7.1429	14.0866	0	-26.4085	-5.6920	0	7.1360	-4.1598	0	-29.3062	-33.4850	0
61	-7.2655	13.9622	0	-26.2378	-5.8278	0	7.0246	-4.2594	0	-29.3827	-33.5813	0
62	-7.3606	13.8316	0	-26.3463	-5.7116	0	6.9375	-4.3940	0	-29.4971	-33.6350	0
63	-6.8528	13.8946	0	-26.3923	-5.6160	0	7.0325	-4.5182	0	-29.4971	-33.5941	0
64	-6.8635	13.7758	0	-26.2073	-5.5715	0	6.9902	-4.4827	0	-29.4578	-33.5665	0
65	-6.7395	13.8553	0	-26.1966	-5.5074	0	6.9361	-4.7557	0	-29.2674	-33.4804	0
66	-6.6594	13.9322	0	-26.2356	-5.5650	0	7.2135	-4.7575	0	-29.2170	-33.3336	0
67	-6.5229	13.8868	0	-26.3651	-5.6450	0	7.0269	-4.9512	0	-29.4425	-33.2532	0
68	-6.5449	13.7672	0	-26.2795	-5.5763	0	6.9387	-4.8777	0	-29.4070	-33.1481	0
69	-6.5480	13.7451	0	-26.2082	-5.6177	0	6.9435	-4.8428	0	-29.4357	-33.1327	0
70	-6.4367	13.6565	0	-26.2877	-5.7238	0	6.6982	-4.8090	0	-29.3478	-33.0359	0
71	-6.3799	13.7680	0	-26.5037	-5.8786	0	6.4750	-4.7918	0	-29.3829	-33.0621	0
72	-6.3271	13.6885	0	-26.5092	-5.9243	0	6.3884	-4.6620	0	-29.3932	-33.1100	0
73	-6.4046	13.5439	0	-26.5898	-6.0951	0	6.8488	-4.7691	0	-29.3857	-33.1631	0
74	-6.4928	13.5352	0	-26.6632	-6.1005	0	6.9893	-4.9167	0	-29.4016	-33.1169	0
75	-6.4421	13.5728	0	-26.8237	-6.0940	0	7.0620	-5.0584	0	-29.5243	-33.0624	0
76	-6.5988	13.5372	0	-26.6432	-6.2156	0	6.7886	-4.9916	0	-29.5925	-33.2805	0
77	-6.7618	13.6191	0	-26.7404	-6.0804	0	6.8357	-5.0323	0	-29.6470	-33.4168	0
78	-6.8458	13.5253	0	-26.7160	-6.1773	0	6.6744	-5.4023	0	-29.9197	-33.6622	0
79	-6.9296	13.4786	0	-26.6209	-6.2518	0	6.7505	-5.1546	0	-29.8304	-33.6952	0
80	-6.9541	13.6082	0	-26.6942	-6.4527	0	6.9845	-5.3493	0	-29.9197	-34.2485	0
81	-6.8783	13.6886	0	-26.6843	-6.4174	0	7.2057	-5.3293	0	-30.0469	-34.1434	0
82	-6.7181	13.6560	0	-26.5582	-6.6043	0	7.1870	-5.2887	0	-30.0211	-34.1801	0
83	-6.7239	13.8670	0	-26.5669	-6.4579	0	7.0810	-5.1603	0	-30.0537	-34.2112	0
84	-6.6739	14.0354	0	-26.1588	-6.3551	0	7.0246	-5.2384	0	-29.9605	-34.0863	0
85	-6.7802	14.1795	0	-25.8683	-6.4363	0	6.9730	-5.1697	0	-30.0358	-33.9802	0
86	-6.5510	14.1748	0	-25.6932	-6.6397	0	6.9559	-5.4445	0	-30.1780	-34.0421	0
87	-6.7152	14.1921	0	-25.6810	-6.5013	0	6.9423	-5.4394	0	-30.1404	-34.0413	0
88	-6.7386	14.1566	0	-25.8559	-6.5526	0	7.1105	-5.3071	0	-30.3261	-33.7925	0
89	-6.5905	14.4007	0	-26.0613	-6.6943	0	7.0074	-5.3243	0	-30.1060	-33.6504	0
90	-6.3230	14.3648	0	-25.7205	-6.9261	0	6.8765	-5.3242	0	-30.0454	-33.6747	0
91	-6.6209	14.5824	0	-25.5978	-6.8170	0	6.8528	-5.0323	0	-30.1242	-33.7850	0
92	-6.4978	14.5980	0	-25.5666	-6.7533	0	6.9673	-4.9178	0	-30.1788	-33.8804	0
93	-6.5583	14.4795	0	-25.6620	-6.5369	0	6.8734	-4.9782	0	-30.1515	-33.8531	0
94	-6.5390	14.6156	0	-25.5978	-6.4625	0	7.0589	-4.8262	0	-30.3329	-33.9768	0
95	-6.3548	14.4442	0	-25.6464	-6.6257	0	7.1759	-4.7514	0	-30.1337	-34.0178	0
96	-6.4735	14.5096	0	-25.8173	-6.2658	0	6.7982	-4.5874	0	-30.0274	-33.9379	0
97	-6.4578	14.7190	0	-25.4439	-6.3411	0	6.8599	-4.5273	0	-30.1474	-33.8949	0
98	-6.4574	14.6074	0	-25.2559	-6.3129	0	6.3891	-4.4999	0	-30.1894	-33.9679	0
99	-6.6500	14.7056	0	-25.1715	-6.3048	0	6.2510	-4.6613	0	-30.3304	-33.7050	0
100	-6.6803	14.6381	0	-25.3517	-6.4110	0	6.2968	-4.7473	0	-30.1414	-33.6915	0
101	-6.5759	14.5081	0	-25.4125	-6.3313	0	6.3376	-4.5857	0	-30.1514	-33.7405	0
102	-6.5724	14.4756	0	-25.4421	-6.2609	0	6.3548	-4.8090	0	-30.1515	-33.8259	0
103	-6.5072	14.4608	0	-25.7014	-6.4616	0	6.4093	-4.9136	0	-30.2113	-34.1095	0
104	-6.6396	14.3938	0	-25.7327	-6.2583	0	5.7364	-4.9120	0	-30.1523	-34.1794	0
105	-6.7184	14.5831	0	-25.6958	-6.3617	0	6.1486	-4.8262	0	-30.0015	-33.9895	0
106	-6.5731	14.2183	0	-25.5809	-6.2504	0	6.1029	-4.7895	0	-30.1288	-33.8879	0
107	-6.8450	14.3252	0	-25.3194	-6.3345	0	6.1707	-4.6694	0	-30.3151	-33.9076	0
108	-7.2141	14.0439	0	-24.9394	-6.5846	0	6.2676	-4.6168	0	-30.4214	-33.8705	0
109	-6.8108	13.9760	0	-24.7818	-6.5271	0	6.2861	-4.6029	0	-30.2953	-33.8820	0
110	-6.6908	13.8130	0	-24.7292	-6.3250	0	6.3872	-4.4352	0	-30.3316	-34.0493	0
111	-6.7327	14.0980	0	-24.8350	-6.1503	0	6.1315	-4.5686	0	-30.3015	-33.8940	0
112	-6.7658	13.9507	0	-24.7113	-6.0462	0	5.9648	-4.5525	0	-30.4625	-34.0512	0
113	-6.8941	13.6880	0	-24.5482	-5.7906	0	6.0113	-4.3281	0	-30.3969	-33.8122	0
114	-6.9540	13.4633	0	-24.7111	-5.7076	0	6.0209	-4.3330	0	-30.1434	-33.8359	0
115	-6.8125	13.2874	0	-24.7653	-5.6567	0	6.1512	-4.1641	0	-30.1781	-33.8811	0
116	-6.8793	13.1201	0	-24.7797	-5.9035	0	6.2002	-4.2079	0	-30.1924	-33.8531	0
117	-6.6333	13.1435	0	-24.8479	-5.8081	0	6.2517	-4.0190	0	-30.2965	-33.9373	0
118	-6.7010	12.8977	0	-24.8007	-5.7299	0	6.1141	-4.0284	0	-30.0960	-33.8753	0
119	-6.6228	12.9031	0	-24.7796	-5.7417	0	6.2517	-4.0018	0	-30.2001	-33.9991	0
120	-6.6152	13.0328	0	-24.6783	-5.6745	0	5.9905	-3.8144	0	-30.0800	-34.1000	0
121	-6.4539	13.0461	0	-24.7435	-5.5153	0	6.0117	-3.8411	0	-30.1164	-34.3148	0
122	-6.1200	13.1288	0	-24.5520	-5.7215	0	5.8696	-3.8418	0	-30.2197	-34.4394	0
123	-6.0639	13.0017	0	-24.5071	-5.5989	0	5.8468	-3.5310	0	-30.2298	-34.4594	0
124	-6.0328	13.1235	0	-24.2817	-5.6616	0	5.6849	-3.3319	0	-29.6198	-34.2076	0
125	-6.1977	13.2229	0	-24.2742	-5.8348	0	5.5885	-3.2594	0	-29.6997	-34.0501	0
126	-6.2268	13.2005	0	-24.2485	-5.9637	0	5.6677	-3.2289	0	-29.6649	-33.7302	0
127	-6.4522	12.9407	0	-24.0048	-5.8240	0	5.5982	-3.3405	0	-29.7311	-33.7818	0
128	-6.4000	12.8338	0	-24.1431	-5.8867	0	5.5061	-3.5289	0	-29.7363	-33.7342	0
129	-6.3359	12.8234	0	-24.0255	-5.7911	0	5.7021	-3.6411	0	-29.9965	-33.7668	0
130	-6.4413	12.5125	0	-23.9478	-5.6928	0	5.5548	-3.8631	0	-30.0288	-33.8122	0
131	-6.3903	12.5102	0	-24.1782	-5.7337	0	5.6334	-3.7159	0	-29.9231	-33.8158	0
132	-6.6175	12.6347	0	-24.1012	-5.7728	0	5.6310	-3.7923	0	-29.8217	-34.0782	0
133	-6.5870	12.6494	0	-24.0319	-5.7351	0	5.7049	-3.7152	0	-30.0654	-33.9635	0
