Frame	X1	Y1	Flag1	X3	Y3	Flag3	X2	Y2	Flag2
1	-38.0455	-15.6701	0	-22.5445	30.3244	0	-26.0518	11.7137	0
2	-37.9854	-15.5453	0	-22.4492	30.2768	0	-25.9633	11.8531	0
3	-38.0431	-15.7092	0	-22.5376	30.1512	0	-26.0414	11.7292	0
4	-38.0275	-15.7146	0	-22.6097	30.2794	0	-25.9327	11.7774	0
5	-37.8875	-15.5732	0	-22.6799	30.3278	0	-26.0422	11.7612	0
6	-37.9025	-15.7091	0	-22.6592	30.2995	0	-26.1677	11.7678	0
7	-37.8892	-15.6859	0	-22.5342	30.3845	0	-26.1986	11.7708	0
8	-37.8565	-15.6055	0	-22.3237	30.6072	0	-26.1499	11.9344	0
9	-37.8385	-15.6925	0	-22.5114	30.5564	0	-26.2396	11.8714	0
10	-37.6830	-15.4855	0	-22.4552	30.4936	0	-26.1222	11.7822	0
11	-37.6130	-15.5759	0	-22.3647	30.6925	0	-26.0102	11.8925	0
12	-37.5666	-15.6030	0	-22.3753	30.7090	0	-26.0660	11.8400	0
13	-37.5731	-15.4119	0	-22.2741	30.6355	0	-25.9907	11.5520	0
14	-37.6498	-15.3870	0	-22.1095	30.6089	0	-25.8368	11.4332	0
15	-37.4823	-15.3698	0	-22.0530	30.7498	0	-25.8918	11.4605	0
16	-37.6052	-15.3814	0	-21.8769	30.7067	0	-25.8193	11.2616	0
17	-37.7157	-15.3110	0	-21.6412	30.7992	0	-26.0313	11.2788	0
18	-37.5931	-15.1262	0	-21.8202	30.7960	0	-26.0761	11.1949	0
19	-37.6664	-15.2611	0	-21.8201	30.7983	0	-26.1035	11.0390	0
20	-37.6166	-15.0763	0	-21.7984	30.7055	0	-26.0174	11.0691	0
21	-37.7581	-15.1970	0	-21.7207	30.7531	0	-25.9503	11.1535	0
22	-37.8158	-15.2600	0	-21.6500	30.8074	0	-25.9325	11.1057	0
23	-37.7759	-15.3076	0	-21.6271	30.8244	0	-25.9544	11.1010	0
24	-37.7081	-15.2444	0	-21.8449	30.4875	0	-25.8604	11.1049	0
25	-37.8602	-15.1373	0	-21.7888	30.5253	0	-25.8022	11.0562	0
26	-37.9229	-15.2080	0	-21.7982	30.5633	0	-25.7859	11.0657	0
27	-38.0502	-15.3513	0	-21.7741	30.5785	0	-25.8358	11.0368	0
28	-38.0521	-15.1664	0	-21.7717	30.6024	0	-25.8916	10.9990	0
29	-38.1195	-15.1666	0	-21.8260	30.6864	0	-25.9367	10.8032	0
30	-38.1941	-15.3747	0	-21.8067	30.6968	0	-26.0588	10.7191	0
31	-38.3842	-15.4539	0	-21.6825	30.6579	0	-26.0106	10.6810	0
32	-38.4369	-15.5111	0	-21.6622	30.7699	0	-26.0598	10.7213	0
33	-38.3757	-15.4095	0	-21.7674	30.6312	0	-25.8404	10.7275	0
