Frame	X1	Y1	Flag1	X3	Y3	Flag3	X2	Y2	Flag2	X4	Y4	Flag4
1	12.2630	-10.7515	0	9.8372	26.2327	0	-6.6982	0.0343	0	-39.1129	-23.8900	0
2	12.3706	-10.7201	0	9.8169	26.1005	0	-6.6036	-0.0365	0	-39.2066	-23.9976	0
3	12.3965	-10.6581	0	9.8591	26.3192	0	-6.6002	0.0727	0	-39.1778	-23.8880	0
4	12.4087	-10.7441	0	9.8979	26.2771	0	-6.5470	-0.0656	0	-39.1586	-23.9306	0
5	12.5172	-10.8500	0	9.7129	26.3043	0	-6.5172	-0.1506	0	-39.1056	-23.8984	0
6	12.5952	-10.8581	0	9.6607	26.4981	0	-6.5577	-0.2104	0	-39.0568	-23.8231	0
7	12.6823	-10.6325	0	9.5853	26.5793	0	-6.4717	-0.2032	0	-39.1583	-23.7753	0
8	12.7796	-10.5912	0	9.5686	26.5140	0	-6.5138	-0.1856	0	-39.2097	-23.9067	0
9	12.7439	-10.4080	0	9.5559	26.4924	0	-6.3204	-0.1718	0	-38.9201	-23.9286	0
10	12.9016	-10.2394	0	9.5881	26.5098	0	-6.1920	-0.0932	0	-38.7224	-24.0255	0
11	12.8016	-10.1919	0	9.6288	26.4538	0	-6.0892	-0.0600	0	-38.9201	-24.0443	0
12	12.8034	-10.0137	0	9.6227	26.4344	0	-6.0693	0.0375	0	-38.8702	-24.0342	0
13	12.8491	-10.0086	0	9.6385	26.3380	0	-6.0350	0.0177	0	-38.7296	-23.9428	0
14	12.7605	-10.0815	0	9.7017	26.2401	0	-5.9744	-0.0080	0	-38.7788	-23.9482	0
15	12.8069	-9.9599	0	9.8690	26.3156	0	-5.9090	0.0149	0	-38.7406	-23.9567	0
16	12.7957	-9.9305	0	10.0696	26.3977	0	-5.8548	0.0985	0	-38.6488	-24.1150	0
17	12.7578	-9.9639	0	10.0970	26.5357	0	-5.8052	0.0687	0	-38.6887	-23.8129	0
18	12.7344	-9.8494	0	10.0942	26.5399	0	-5.9302	0.0259	0	-38.6581	-23.6743	0
19	12.6246	-9.6919	0	10.0650	26.4200	0	-5.9063	0.1350	0	-38.6992	-23.5212	0
20	12.5644	-9.7730	0	10.1241	26.4762	0	-5.9477	0.2021	0	-38.7435	-23.4651	0
21	12.5257	-9.9344	0	10.0839	26.4307	0	-5.9624	0.1855	0	-38.6412	-23.4591	0
22	12.4644	-9.9162	0	10.0455	26.4363	0	-6.0382	0.3592	0	-38.7075	-23.5293	0
23	12.5572	-10.0697	0	9.9999	26.4072	0	-6.1520	0.3225	0	-38.5535	-23.4881	0
24	12.7186	-10.2274	0	9.8805	26.3842	0	-6.3891	0.3779	0	-38.6309	-23.6779	0
25	12.7376	-10.2885	0	10.0183	26.5041	0	-6.3565	0.3149	0	-38.4311	-23.7221	0
26	12.5834	-10.5955	0	10.0038	26.3037	0	-6.3162	0.2828	0	-38.6241	-23.6897	0
27	12.6408	-9.9271	0	9.9888	26.3409	0	-6.2173	0.2061	0	-38.8430	-23.7936	0
28	12.5839	-9.9557	0	9.9888	26.4275	0	-6.2558	0.1554	0	-38.6695	-23.4658	0
29	12.7362	-9.9052	0	9.9149	26.4354	0	-6.2180	0.1737	0	-38.9401	-23.4912	0
30	12.6795	-9.8911	0	9.9176	26.2643	0	-6.2963	0.1394	0	-38.7769	-23.3322	0
31	12.5113	-10.0003	0	9.7444	26.2769	0	-6.3754	0.1966	0	-38.6733	-23.4867	0
32	12.3581	-10.1900	0	9.8060	26.2933	0	-6.2872	0.1905	0	-38.6752	-23.4745	0
33	12.3999	-10.0159	0	9.7449	26.3007	0	-6.3745	0.1696	0	-38.6675	-23.3552	0
34	12.4922	-10.0002	0	9.9640	26.3567	0	-6.4623	0.1725	0	-38.6695	-23.3694	0
35	12.5292	-10.0135	0	9.9838	26.4126	0	-6.3943	0.1780	0	-38.6899	-23.4269	0
