Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
1	17.1305	5.8920	0	-14.7846	14.6755	0	-10.0094	25.3637	0
2	17.1025	5.8320	0	-14.7494	14.6456	0	-9.9962	25.3436	0
3	17.0792	5.9153	0	-14.6602	14.5825	0	-10.0396	25.2808	0
4	17.0010	5.8730	0	-14.6521	14.5595	0	-9.9568	25.2300	0
5	17.0647	5.8250	0	-14.6025	14.6049	0	-10.0108	25.2732	0
6	17.0336	5.9382	0	-14.5592	14.7792	0	-10.0127	25.3000	0
7	17.0927	5.8422	0	-14.6202	14.6830	0	-9.9586	25.1683	0
8	17.1379	5.7885	0	-14.5777	14.7437	0	-9.9484	25.1594	0
9	17.1129	5.9199	0	-14.5742	14.7262	0	-9.9967	25.1533	0
10	17.1427	5.7957	0	-14.6386	14.6394	0	-10.0061	25.1859	0
11	17.1050	5.8914	0	-14.6432	14.6882	0	-10.1100	25.2727	0
12	17.2171	6.0352	0	-14.6862	14.6858	0	-10.1375	25.2759	0
13	17.2602	5.9210	0	-14.6168	14.7312	0	-10.0947	25.3510	0
14	17.1748	5.9427	0	-14.6338	14.7570	0	-10.1069	25.3291	0
15	17.1605	5.9843	0	-14.6534	14.8602	0	-10.1145	25.3664	0
16	17.1215	6.0505	0	-14.5884	14.7027	0	-10.0235	25.3735	0
17	17.1441	6.0068	0	-14.5818	14.6935	0	-10.0901	25.3574	0
18	17.2099	6.0667	0	-14.5268	14.6807	0	-10.0711	25.4231	0
19	17.1924	6.0747	0	-14.4945	14.6757	0	-10.0498	25.4474	0
20	17.1735	5.9895	0	-14.5162	14.6067	0	-10.0692	25.4156	0
21	17.2544	5.9712	0	-14.4624	14.5524	0	-10.0601	25.4804	0
22	17.2332	6.0089	0	-14.5165	14.6414	0	-10.1683	25.5749	0
23	17.1489	5.9156	0	-14.5239	14.6372	0	-10.1333	25.5711	0
24	17.1608	5.9007	0	-14.6220	14.6201	0	-10.0741	25.5300	0
25	17.1533	5.9535	0	-14.7188	14.7181	0	-10.1382	25.5580	0
26	17.1977	5.8715	0	-14.7157	14.7181	0	-10.1171	25.5236	0
27	17.2640	5.8596	0	-14.7205	14.7800	0	-10.1150	25.4897	0
28	17.3035	5.8063	0	-14.7532	14.6624	0	-10.1433	25.5648	0
29	17.3333	5.8889	0	-14.6782	14.6783	0	-10.0997	25.6359	0
30	17.3079	5.8793	0	-14.6925	14.6707	0	-10.0467	25.6437	0
31	17.3967	5.8938	0	-14.7488	14.7160	0	-10.0964	25.7736	0
32	17.2989	5.8007	0	-14.7298	14.6940	0	-10.2340	25.7512	0
33	17.3052	5.8588	0	-14.7223	14.5843	0	-10.3403	25.6824	0
34	17.2715	5.8838	0	-14.7851	14.5530	0	-10.3672	25.7397	0
35	17.2981	5.8460	0	-14.6923	14.5983	0	-10.3910	25.7524	0
36	17.3971	5.8270	0	-14.6352	14.6662	0	-10.3786	25.7370	0
37	17.3645	5.9811	0	-14.7424	14.5907	0	-10.3302	25.6699	0
38	17.3790	6.0618	0	-14.7190	14.5758	0	-10.3722	25.6953	0
39	17.3318	6.0807	0	-14.7889	14.6016	0	-10.3453	25.7029	0
40	17.3200	6.0440	0	-14.8787	14.6537	0	-10.3418	25.6214	0
41	17.3075	6.0970	0	-14.8662	14.6295	0	-10.2838	25.6541	0
42	17.3025	6.1748	0	-14.7906	14.5836	0	-10.3548	25.7326	0
43	17.3660	6.1856	0	-14.8212	14.6614	0	-10.4405	25.7774	0
44	17.3401	6.2259	0	-14.8453	14.6213	0	-10.4957	25.7999	0
45	17.3771	6.1556	0	-14.7963	14.5746	0	-10.4911	25.7089	0
46	17.4779	6.2055	0	-14.8277	14.6387	0	-10.6111	25.6607	0
47	17.4743	6.1175	0	-14.8328	14.6532	0	-10.6123	25.6757	0
48	17.5059	6.1543	0	-14.8104	14.6049	0	-10.6319	25.7382	0
49	17.4538	6.1937	0	-14.8076	14.6347	0	-10.7097	25.8218	0
50	17.5346	6.1407	0	-14.7537	14.7289	0	-10.6617	25.7500	0
51	17.5442	6.1578	0	-14.6271	14.7343	0	-10.6303	25.7827	0
52	17.4789	6.1991	0	-14.7846	14.5664	0	-10.5925	25.8010	0
53	17.4194	6.3363	0	-14.7076	14.5332	0	-10.5953	25.7819	0
54	17.3872	6.1983	0	-14.7302	14.5922	0	-10.5977	25.7696	0
55	17.3202	6.2233	0	-14.7055	14.5671	0	-10.6590	25.6843	0
56	17.3994	6.2769	0	-14.7171	14.4437	0	-10.6938	25.6543	0
57	17.4488	6.1915	0	-14.7266	14.4084	0	-10.6809	25.6221	0
58	17.3922	6.1444	0	-14.6970	14.3876	0	-10.7514	25.6373	0
59	17.2297	6.2149	0	-14.7722	14.4167	0	-10.7843	25.6545	0
60	17.1298	6.1661	0	-14.7614	14.4517	0	-10.7423	25.6644	0
61	17.1325	6.0595	0	-14.8748	14.3718	0	-10.7793	25.6950	0
62	17.0048	6.1035	0	-14.8089	14.4403	0	-10.7896	25.7233	0
63	16.9406	6.1019	0	-14.8297	14.4629	0	-10.8394	25.7469	0
64	16.9043	6.1151	0	-14.8400	14.4428	0	-10.8688	25.7997	0
65	16.9412	6.0856	0	-14.8059	14.5704	0	-10.7928	25.8604	0
66	16.9931	6.0451	0	-14.7931	14.5310	0	-10.7158	25.8778	0
67	17.0350	6.1108	0	-14.7939	14.4358	0	-10.7376	25.8492	0
68	17.0306	6.2121	0	-14.8418	14.3819	0	-10.7220	25.7554	0
69	17.1081	6.2548	0	-14.8432	14.3530	0	-10.7167	25.7287	0
70	17.1112	6.2166	0	-14.8510	14.2748	0	-10.7735	25.6974	0
71	17.1492	6.1455	0	-14.8174	14.3073	0	-10.7618	25.6437	0
72	17.1873	6.0546	0	-14.8625	14.3405	0	-10.7503	25.5712	0
73	17.2202	6.0110	0	-14.9562	14.3210	0	-10.7482	25.5088	0
74	17.2605	6.0227	0	-14.9591	14.2566	0	-10.7652	25.5333	0
75	17.1929	6.0143	0	-14.9248	14.2189	0	-10.8026	25.5109	0
76	17.2536	5.9589	0	-14.9266	14.1717	0	-10.8471	25.4212	0
77	17.3251	6.0443	0	-14.9797	14.1000	0	-10.8762	25.3898	0
78	17.2683	6.0373	0	-14.9483	14.2936	0	-10.7868	25.3151	0
79	17.2310	5.9722	0	-14.8682	14.2879	0	-10.7746	25.2984	0
80	17.1744	5.9251	0	-14.8817	14.2854	0	-10.7740	25.3418	0
81	17.2355	6.0701	0	-14.8453	14.3334	0	-10.7198	25.3790	0
82	17.2857	6.0479	0	-14.8207	14.3198	0	-10.6710	25.3522	0
83	17.3826	5.9170	0	-14.8236	14.2951	0	-10.5796	25.3752	0
84	17.4433	5.9043	0	-14.7083	14.2345	0	-10.4417	25.3881	0
85	17.4984	5.8912	0	-14.6601	14.2454	0	-10.4060	25.4235	0
86	17.6054	5.8511	0	-14.6796	14.1701	0	-10.3257	25.4251	0
87	17.5343	5.8559	0	-14.7673	13.9949	0	-10.4032	25.3387	0
88	17.5721	5.8282	0	-14.7710	14.0074	0	-10.4297	25.3257	0
89	17.5265	5.9315	0	-14.7859	14.0008	0	-10.3812	25.3090	0
90	17.6328	5.8397	0	-14.7592	13.9708	0	-10.4219	25.2916	0
91	17.6691	5.8514	0	-14.7786	13.9922	0	-10.4294	25.3298	0
92	17.7024	5.8267	0	-14.7424	14.0547	0	-10.4782	25.3259	0
93	17.7125	5.6805	0	-14.8199	14.1527	0	-10.4856	25.2921	0
94	17.7289	5.7347	0	-14.8367	14.1910	0	-10.5784	25.2711	0
95	17.7500	5.6880	0	-14.8524	14.1283	0	-10.5937	25.2698	0
96	17.6804	5.7183	0	-14.7959	14.1380	0	-10.6057	25.2676	0
97	17.7660	5.7338	0	-14.8384	14.1075	0	-10.5326	25.1530	0
98	17.7740	5.7788	0	-14.8332	14.0808	0	-10.6152	25.1039	0
99	17.8169	5.7772	0	-14.8873	14.0217	0	-10.6685	25.1090	0
100	17.7374	5.9040	0	-14.8606	13.9519	0	-10.6665	25.1800	0
101	17.7905	5.9967	0	-14.8605	13.9617	0	-10.6845	25.0982	0
102	17.7765	5.9950	0	-14.7666	13.9155	0	-10.5922	25.0848	0
103	17.7935	6.0796	0	-14.7839	13.8925	0	-10.6321	25.1283	0
104	17.7914	6.1038	0	-14.8157	13.9146	0	-10.7003	25.2071	0
105	17.7171	6.1344	0	-14.8875	14.0143	0	-10.6025	25.1574	0
106	17.6565	6.1744	0	-14.8629	14.0617	0	-10.6332	25.2052	0
107	17.5417	6.0398	0	-14.9139	13.9983	0	-10.7266	25.2031	0
108	17.5811	5.9798	0	-15.0166	14.0169	0	-10.8607	25.1448	0
109	17.5971	6.0136	0	-15.0065	14.0384	0	-10.9196	25.0488	0
110	17.4499	6.0050	0	-15.0561	14.0965	0	-10.8113	25.1489	0
111	17.4468	5.9773	0	-14.9347	14.1006	0	-10.7993	25.0752	0
112	17.4650	6.1045	0	-14.8832	14.1475	0	-10.8163	25.0103	0
113	17.4362	5.9922	0	-14.8201	14.1147	0	-10.7516	25.0127	0
114	17.5390	5.9295	0	-14.8254	13.9712	0	-10.7952	24.9696	0
