Frame	X1	Y1	Flag1	X2	Y2	Flag2
1	-25.9188	5.8872	0	11.0498	8.6393	0
2	-25.9160	5.9260	0	11.0405	8.6352	0
3	-25.9976	5.9250	0	11.0542	8.4871	0
4	-25.9797	5.9825	0	11.0222	8.5514	0
5	-25.9378	5.9078	0	11.0002	8.5558	0
6	-25.9755	5.9068	0	10.8456	8.6309	0
7	-26.0261	5.9858	0	10.8481	8.7413	0
8	-26.0059	5.9060	0	10.7993	8.6462	0
9	-26.0217	5.9417	0	10.7307	8.6236	0
10	-26.0817	5.8848	0	10.6698	8.6223	0
11	-26.0056	5.8655	0	10.7012	8.5602	0
12	-26.0950	5.9236	0	10.5257	8.6389	0
13	-26.1255	5.9118	0	10.4543	8.5803	0
14	-26.2092	5.8772	0	10.4564	8.6828	0
15	-26.2728	5.7978	0	10.3113	8.5695	0
16	-26.3008	5.8152	0	10.3140	8.5160	0
17	-26.3288	5.7611	0	10.2227	8.5544	0
18	-26.3644	5.7249	0	10.2871	8.5627	0
19	-26.2839	5.7043	0	10.2546	8.5894	0
20	-26.2856	5.6568	0	10.1460	8.5778	0
21	-26.2897	5.6536	0	10.2174	8.5630	0
22	-26.3190	5.6445	0	10.2231	8.6047	0
23	-26.3091	5.6184	0	10.2790	8.6160	0
24	-26.3929	5.5815	0	10.2907	8.6692	0
25	-26.3977	5.5721	0	10.3299	8.6580	0
26	-26.4655	5.5369	0	10.3346	8.6793	0
27	-26.4452	5.4933	0	10.3573	8.7338	0
28	-26.4795	5.4786	0	10.3137	8.7162	0
29	-26.4338	5.5158	0	10.3175	8.7473	0
30	-26.4331	5.5130	0	10.2233	8.8534	0
31	-26.4769	5.5129	0	10.2613	8.8025	0
32	-26.5107	5.5583	0	10.2634	8.7396	0
33	-26.6351	5.5543	0	10.3450	8.7348	0
34	-26.5783	5.5911	0	10.3562	8.6276	0
35	-26.6179	5.6206	0	10.3589	8.5936	0
36	-26.6147	5.6989	0	10.3238	8.5295	0
37	-26.6037	5.7069	0	10.2679	8.4759	0
38	-26.6541	5.5976	0	10.3356	8.4585	0
39	-26.7259	5.6983	0	10.3526	8.4425	0
40	-26.7856	5.6198	0	10.3776	8.4250	0
41	-26.7646	5.6818	0	10.3555	8.4224	0
42	-26.8578	5.7413	0	10.3460	8.4693	0
43	-26.8494	5.7795	0	10.3901	8.6068	0
44	-26.8770	5.8106	0	10.2753	8.6991	0
45	-26.8525	5.8825	0	10.3130	8.7379	0
46	-26.9191	5.8942	0	10.3263	8.7177	0
47	-27.0085	5.8517	0	10.3082	8.7559	0
48	-27.0383	5.8567	0	10.2407	8.7715	0
49	-27.0480	5.9530	0	10.0831	8.8168	0
50	-27.0360	5.9852	0	10.1003	8.8776	0
51	-27.0510	5.9322	0	10.1159	8.8452	0
52	-27.1134	5.9238	0	10.1985	8.8664	0
53	-27.1012	5.9545	0	10.2209	8.8380	0
54	-27.0061	5.9625	0	10.2127	8.9578	0
55	-27.0095	5.9452	0	10.2130	8.9922	0
56	-27.0270	5.9318	0	10.1985	8.9559	0
57	-27.1384	5.9215	0	10.3186	9.0181	0
58	-27.1892	5.8237	0	10.2127	9.0190	0
59	-27.2287	5.8428	0	10.1600	9.1315	0
60	-27.2952	5.8295	0	10.1747	9.0298	0
61	-27.2986	5.7996	0	10.1077	9.0217	0
