Frame	X1	Y1	Flag1	X2	Y2	Flag2	X4	Y4	Flag4	X3	Y3	Flag3	X5	Y5	Flag5
1	-26.2135	11.3569	0	-1.6035	9.0862	0	-36.1362	-33.0275	0	-18.7986	-16.0289	0	36.3209	7.2396	0
2	-26.2515	11.3324	0	-1.5360	8.9318	0	-36.1116	-33.0855	0	-18.7682	-16.1017	0	36.3878	7.1855	0
3	-26.2866	11.2875	0	-1.6374	8.9318	0	-36.1706	-33.1875	0	-18.7850	-16.1310	0	36.5344	7.2116	0
4	-26.2788	11.2359	0	-1.6513	8.9684	0	-36.1526	-33.2198	0	-18.8352	-16.1346	0	36.6879	7.2727	0
5	-26.3244	11.1205	0	-1.7697	9.0352	0	-36.0930	-33.2202	0	-19.0589	-16.0906	0	36.5643	7.3115	0
6	-26.3725	11.2099	0	-1.7326	9.0633	0	-36.0818	-33.1554	0	-19.0298	-15.9863	0	36.5629	7.3052	0
7	-26.4255	11.3187	0	-1.7950	9.0579	0	-36.0084	-33.1744	0	-18.9736	-16.0264	0	36.3788	7.3189	0
8	-26.4708	11.2319	0	-1.7407	8.9437	0	-36.0438	-33.1648	0	-18.9007	-16.0189	0	36.2458	7.3729	0
9	-26.4664	11.3015	0	-1.6813	8.9381	0	-36.0360	-33.0477	0	-18.9020	-16.0696	0	36.2218	7.5256	0
10	-26.3607	11.3389	0	-1.7550	9.0304	0	-36.1391	-33.0852	0	-18.9059	-16.0294	0	36.1693	7.4866	0
11	-26.2802	11.4379	0	-1.7201	9.0144	0	-36.1973	-33.1692	0	-19.0133	-16.0640	0	36.1300	7.4941	0
12	-26.2837	11.4729	0	-1.8635	8.9165	0	-36.2797	-33.1689	0	-18.9922	-16.0861	0	36.1828	7.4903	0
13	-26.3247	11.6148	0	-1.9122	8.8981	0	-36.3710	-33.2773	0	-19.0929	-16.0988	0	36.2374	7.5157	0
14	-26.4764	11.6189	0	-1.8689	8.8579	0	-36.4325	-33.3092	0	-19.1261	-16.1094	0	36.1694	7.5424	0
15	-26.5278	11.6134	0	-1.8656	8.9119	0	-36.5134	-33.3993	0	-19.1097	-16.0518	0	36.2331	7.5645	0
16	-26.6393	11.5419	0	-1.8933	8.9845	0	-36.4468	-33.3056	0	-19.0746	-16.0257	0	36.0155	7.5366	0
17	-26.6844	11.4376	0	-1.9703	9.0459	0	-36.4499	-33.3923	0	-18.9675	-16.0028	0	35.8723	7.3089	0
18	-26.5589	11.5137	0	-1.9620	9.1062	0	-36.4633	-33.2057	0	-18.9785	-16.0094	0	35.8053	7.3350	0
19	-26.5392	11.4395	0	-1.8836	9.2056	0	-36.4863	-33.2032	0	-19.0852	-16.0322	0	35.7567	7.2244	0
