Frame	X1	Y1	Flag1	X3	Y3	Flag3	X2	Y2	Flag2
1	1.7836	11.7618	0	24.5431	-32.6840	0	-18.2352	-7.2291	0
2	1.9353	11.6452	0	24.6707	-32.6649	0	-18.1833	-7.2690	0
3	2.0998	11.5881	0	24.4229	-32.7871	0	-18.1092	-7.3069	0
4	2.1548	11.5048	0	24.4036	-32.8030	0	-18.1017	-7.5419	0
5	1.9248	11.4615	0	24.4324	-32.7801	0	-18.1521	-7.4031	0
6	1.8344	11.5244	0	24.7170	-32.8849	0	-17.9814	-7.5073	0
7	1.7485	11.6214	0	24.6185	-32.9750	0	-17.9549	-7.5895	0
8	1.8720	11.5556	0	24.7544	-33.0562	0	-18.0909	-7.7137	0
9	1.9085	11.5334	0	24.7503	-33.0861	0	-18.0201	-7.5822	0
10	1.8274	11.4329	0	24.8611	-32.9898	0	-17.9405	-7.4630	0
11	1.9091	11.3076	0	24.8956	-33.1645	0	-17.8453	-7.5768	0
12	1.8049	11.3010	0	24.9126	-33.1244	0	-17.7315	-7.3167	0
13	1.7633	11.3939	0	24.8818	-32.9340	0	-17.4823	-7.3588	0
14	1.7550	11.5491	0	24.8745	-32.9931	0	-17.5305	-7.2972	0
15	1.7788	11.4874	0	24.9891	-32.9183	0	-17.5544	-7.3380	0
16	1.8709	11.4476	0	25.0280	-32.9520	0	-17.6975	-7.1355	0
17	1.6714	11.4480	0	25.1233	-32.6925	0	-17.5230	-7.0934	0
18	1.8221	11.5622	0	25.0583	-32.7356	0	-17.5271	-7.0523	0
19	1.6780	11.6217	0	24.7846	-32.5640	0	-17.5209	-6.7557	0
20	1.7172	11.5935	0	24.7778	-32.5412	0	-17.3959	-6.6226	0
21	1.8579	11.6886	0	24.8000	-32.7732	0	-17.2855	-6.5441	0
22	1.7620	11.8010	0	24.7773	-32.9984	0	-17.2383	-6.9000	0
23	1.8372	11.8314	0	24.9033	-32.7855	0	-17.0505	-6.9330	0
24	2.0449	11.6713	0	25.1101	-32.8332	0	-16.8166	-6.8845	0
25	2.0986	11.6991	0	25.1168	-32.7621	0	-16.8379	-6.8087	0
26	1.8255	12.0933	0	25.2666	-32.8843	0	-16.6079	-6.9596	0
27	1.6933	12.3450	0	25.1817	-32.7922	0	-16.7358	-6.8726	0
28	1.4949	12.4034	0	25.2708	-32.4957	0	-16.5999	-6.9395	0
29	1.2770	12.3959	0	25.1525	-32.3895	0	-16.4830	-6.7676	0
30	1.1434	12.0754	0	25.0850	-32.3041	0	-16.2701	-6.7729	0
31	1.2750	12.0854	0	25.0004	-32.5731	0	-16.1382	-6.7897	0
32	1.2430	11.9637	0	24.7162	-32.7355	0	-16.2501	-6.8331	0
33	1.2879	11.9286	0	24.8146	-32.7957	0	-16.3293	-6.7394	0
34	1.2614	11.9641	0	24.8023	-32.6078	0	-16.4523	-6.9302	0
35	1.1539	11.9729	0	24.9058	-32.5460	0	-16.4948	-6.9121	0
36	1.1681	12.0457	0	24.9904	-32.6856	0	-16.6429	-7.1574	0
37	0.9377	11.8109	0	24.8928	-32.8551	0	-16.7193	-7.0007	0
38	1.1790	12.0069	0	24.6822	-32.6266	0	-16.4863	-6.9629	0
39	1.1850	12.1886	0	24.6362	-32.5388	0	-16.3695	-6.9545	0
40	1.0080	12.0259	0	24.5973	-32.4722	0	-16.2965	-6.7412	0
41	0.8283	12.0214	0	24.6772	-32.5460	0	-16.3842	-6.7592	0
42	0.8540	12.0249	0	24.7056	-32.5455	0	-16.6254	-6.8575	0
