Frame	X1	Y1	Flag1
1	9.4384	14.4034	0
2	9.2748	14.4167	0
3	9.3507	14.6561	0
4	9.6356	14.6825	0
5	9.7851	14.4233	0
6	9.8249	14.3900	0
7	9.6606	14.3136	0
8	9.4194	14.3798	0
9	9.4327	14.2419	0
10	9.6726	14.3239	0
11	9.6444	14.1481	0
12	9.4643	14.2633	0
13	9.4833	14.2301	0
14	9.7738	13.8385	0
15	9.6242	13.7624	0
16	9.6302	13.8568	0
17	9.5232	14.0746	0
18	9.2777	14.1427	0
19	9.1143	14.1273	0
20	9.1682	13.9535	0
21	9.1759	13.7912	0
22	9.0716	13.7767	0
23	9.3683	13.8384	0
24	9.5208	13.8026	0
25	9.5275	13.8319	0
26	9.6891	14.2106	0
27	10.0162	14.1309	0
28	10.1123	14.1938	0
29	10.0976	14.2110	0
30	10.1114	14.3784	0
31	10.4796	14.6734	0
32	10.1756	14.6659	0
33	10.0001	14.8082	0
34	10.0214	14.9240	0
35	9.8324	14.8888	0
36	9.8243	14.4721	0
37	9.6494	14.3600	0
38	9.5127	14.3098	0
39	9.5083	14.4702	0
40	9.3740	14.6126	0
41	9.5632	14.8176	0
42	9.5666	14.7046	0
43	9.4550	14.5977	0
44	9.2356	14.6381	0
45	9.2845	14.8218	0
46	9.4206	14.9691	0
47	9.6346	14.7951	0
48	9.5896	14.6662	0
49	9.5372	14.7932	0
50	9.5695	14.8217	0
51	9.5878	14.5229	0
52	9.6052	14.4265	0
53	9.5290	14.3671	0
54	9.5627	14.3912	0
55	9.6719	14.3492	0
56	9.5912	14.3504	0
57	9.7019	14.2584	0
58	9.6464	14.0858	0
59	9.6619	13.8570	0
60	9.3698	13.8391	0
61	9.2927	13.6667	0
62	9.3207	13.5700	0
63	9.4050	13.5525	0
64	9.3211	13.5191	0
65	9.2189	13.6064	0
66	9.3502	13.6650	0
67	9.3144	13.5449	0
68	9.2971	13.5449	0
69	9.3638	13.5873	0
70	9.4486	13.4836	0
71	9.4678	13.5238	0
72	9.4278	13.4359	0
73	9.5062	13.4653	0
74	9.3961	13.3003	0
75	9.3037	13.4097	0
76	9.3323	13.6007	0
77	9.2790	13.4633	0
78	9.6131	13.5708	0
79	9.6549	13.5572	0
80	9.6108	13.5161	0
81	9.4181	13.4228	0
82	9.2102	13.4600	0
83	8.9972	13.5927	0
84	8.7588	13.6631	0
85	8.6717	13.6948	0
86	8.8748	13.4498	0
87	8.7463	13.6222	0
88	8.6238	13.6225	0
89	8.6535	13.8268	0
90	8.3849	13.9731	0
91	8.3235	14.0014	0
92	8.2331	13.7054	0
93	8.4778	13.5545	0
94	8.1115	13.7132	0
95	7.9676	13.9378	0
96	7.9970	14.0010	0
97	7.9729	14.2857	0
98	8.1912	14.4888	0
99	7.9823	14.4067	0
100	8.0230	14.5576	0
101	8.0543	14.5333	0
102	8.2205	14.5367	0
103	8.0962	14.5508	0
104	8.2074	14.7492	0
105	8.4346	14.8973	0
106	8.5628	14.7992	0
107	8.8422	15.0058	0
108	8.9128	14.8747	0
109	8.8834	14.9031	0
110	8.9543	14.7432	0
111	8.9047	14.5972	0
112	8.7802	14.5319	0
113	8.7624	14.4981	0
114	8.3961	14.6578	0
115	8.2121	14.5118	0
116	7.7995	14.8084	0
