Frame	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X1	Y1	Flag1
1	-38.3346	28.8540	0	28.4762	-15.2686	0	15.0318	27.4664	0	32.2338	33.0908	0	-22.2573	18.7350	0
2	-38.3112	28.6063	0	28.5248	-15.3457	0	15.0426	27.2901	0	32.3157	32.7669	0	-22.2644	18.6427	0
3	-38.5900	28.3635	0	28.4885	-15.4458	0	15.0824	27.2384	0	32.3567	32.7958	0	-22.4051	18.5321	0
4	-38.7047	28.3800	0	28.5048	-15.5068	0	15.1351	27.3500	0	32.2969	32.8715	0	-22.3885	18.6371	0
5	-38.7367	28.2215	0	28.5663	-15.6951	0	15.1085	27.2980	0	32.2272	32.9232	0	-22.2882	18.6768	0
6	-38.7609	28.0384	0	28.4789	-15.7039	0	15.0376	27.4142	0	32.1181	32.9980	0	-22.2523	18.4574	0
7	-38.7476	27.8948	0	28.6098	-15.6760	0	14.9253	27.2045	0	32.1854	33.1273	0	-22.3691	18.4744	0
8	-38.5839	27.8956	0	28.5611	-15.6496	0	14.8347	27.2399	0	32.0736	33.2247	0	-22.1891	18.4564	0
9	-38.4678	27.9143	0	28.5319	-15.8065	0	14.8776	27.2907	0	31.9691	33.2128	0	-22.1898	18.3241	0
10	-38.4350	27.9078	0	28.5172	-15.8299	0	15.0274	27.3250	0	31.8707	33.0674	0	-22.0759	18.2605	0
11	-38.1830	27.8826	0	28.5861	-15.9240	0	15.0038	27.4079	0	31.8091	33.1650	0	-22.2962	18.2113	0
12	-38.1673	28.1747	0	28.6595	-15.9094	0	14.9245	27.3157	0	31.6697	33.0363	0	-22.4590	18.2315	0
13	-38.1797	28.2676	0	28.6951	-16.0952	0	14.7877	27.3245	0	31.7914	33.0138	0	-22.5116	18.2749	0
14	-38.0932	28.1906	0	28.7734	-16.1831	0	14.7930	27.3521	0	31.8537	33.0497	0	-22.6148	18.3444	0
15	-38.0742	28.1288	0	28.7656	-16.2286	0	14.8140	27.3560	0	31.8556	33.2141	0	-22.6383	18.2650	0
16	-38.0541	28.0913	0	28.8500	-16.1769	0	14.7050	27.3168	0	31.8113	33.3815	0	-22.7715	18.2867	0
17	-38.0872	28.2112	0	28.8177	-16.1852	0	14.6054	27.2662	0	31.8508	33.3238	0	-22.7673	18.3998	0
18	-37.9543	28.3633	0	28.7671	-16.0888	0	14.7829	27.5359	0	31.5807	33.2315	0	-22.8374	18.4051	0
