Frame	X1	Y1	Flag1	X3	Y3	Flag3	X4	Y4	Flag4	X2	Y2	Flag2
1	-20.5069	-0.2748	0	25.8010	-16.9820	0	2.1641	17.3124	0	10.3981	-7.8472	0
2	-20.4996	-0.2914	0	25.8106	-16.9282	0	2.1609	17.3496	0	10.4037	-7.8309	0
3	-20.5133	-0.2981	0	25.8146	-16.9731	0	2.1606	17.3365	0	10.3940	-7.8282	0
4	-20.5267	-0.2289	0	25.8063	-16.8834	0	2.1818	17.3712	0	10.4264	-7.8420	0
5	-20.5233	-0.2151	0	25.8038	-16.8983	0	2.1569	17.3627	0	10.4340	-7.8738	0
6	-20.5414	-0.2570	0	25.8340	-16.9443	0	2.1409	17.3327	0	10.4124	-7.9074	0
7	-20.5203	-0.2628	0	25.8276	-16.8801	0	2.1015	17.3700	0	10.4267	-7.8609	0
8	-20.5142	-0.2734	0	25.8370	-16.8664	0	2.1172	17.3659	0	10.4485	-7.8213	0
9	-20.4971	-0.3232	0	25.8222	-16.9076	0	2.1185	17.3083	0	10.4675	-7.8347	0
10	-20.4800	-0.2836	0	25.7624	-16.9044	0	2.1443	17.3467	0	10.4691	-7.8103	0
11	-20.4855	-0.2822	0	25.7429	-16.9044	0	2.1397	17.3495	0	10.4783	-7.7945	0
12	-20.4590	-0.2539	0	25.7479	-16.8569	0	2.1706	17.3315	0	10.5086	-7.8265	0
13	-20.4745	-0.2430	0	25.7495	-16.8580	0	2.1801	17.3517	0	10.5172	-7.8067	0
14	-20.4661	-0.2382	0	25.7617	-16.8788	0	2.1763	17.3927	0	10.5203	-7.7753	0
15	-20.4708	-0.2688	0	25.7317	-16.8998	0	2.1962	17.4269	0	10.5309	-7.7492	0
16	-20.4604	-0.3063	0	25.7632	-16.8887	0	2.1550	17.4044	0	10.5404	-7.7524	0
17	-20.4307	-0.2888	0	25.7587	-16.8383	0	2.1676	17.4359	0	10.5253	-7.7087	0
18	-20.4332	-0.2973	0	25.8159	-16.8304	0	2.1467	17.4613	0	10.5026	-7.6778	0
19	-20.4172	-0.3383	0	25.8092	-16.8669	0	2.1197	17.4465	0	10.5453	-7.6765	0
20	-20.4142	-0.3017	0	25.8010	-16.8117	0	2.1460	17.4820	0	10.5304	-7.6103	0
21	-20.4276	-0.3579	0	25.8136	-16.7887	0	2.1485	17.4555	0	10.5030	-7.6138	0
22	-20.4768	-0.3842	0	25.7762	-16.8133	0	2.1109	17.4083	0	10.5188	-7.6548	0
23	-20.4619	-0.3422	0	25.7949	-16.7749	0	2.0844	17.4407	0	10.5433	-7.6310	0
24	-20.4528	-0.3674	0	25.8130	-16.7496	0	2.0989	17.4415	0	10.5613	-7.6179	0
25	-20.4339	-0.3980	0	25.8280	-16.7772	0	2.0984	17.4526	0	10.5557	-7.6051	0
26	-20.4377	-0.4187	0	25.8066	-16.8108	0	2.0941	17.4521	0	10.5795	-7.5944	0
27	-20.4451	-0.3907	0	25.8185	-16.8149	0	2.0969	17.4424	0	10.5500	-7.5976	0
28	-20.4286	-0.3908	0	25.8471	-16.8165	0	2.0657	17.4359	0	10.5769	-7.5796	0
29	-20.4410	-0.3952	0	25.8660	-16.8185	0	2.0470	17.4022	0	10.5692	-7.5909	0
30	-20.4002	-0.3775	0	25.8974	-16.8282	0	2.0402	17.3931	0	10.5380	-7.5755	0
31	-20.3838	-0.3541	0	25.9102	-16.8057	0	2.0378	17.3896	0	10.5443	-7.5613	0
32	-20.3787	-0.3756	0	25.9186	-16.7849	0	2.0852	17.3486	0	10.5621	-7.5486	0
33	-20.3944	-0.3398	0	25.9328	-16.7478	0	2.0751	17.3570	0	10.5623	-7.5493	0
34	-20.4073	-0.2996	0	25.9571	-16.7208	0	2.1146	17.4097	0	10.5767	-7.5402	0
35	-20.3827	-0.2909	0	25.9162	-16.7293	0	2.0839	17.3753	0	10.5776	-7.5189	0
36	-20.3888	-0.3207	0	25.9339	-16.7733	0	2.0494	17.3685	0	10.5601	-7.5013	0
37	-20.4028	-0.2937	0	25.9168	-16.7759	0	2.0366	17.3329	0	10.5633	-7.4814	0
38	-20.4007	-0.2757	0	25.9102	-16.7636	0	2.0622	17.3602	0	10.6023	-7.4979	0
39	-20.4023	-0.2515	0	25.8910	-16.7793	0	2.0549	17.3570	0	10.6057	-7.4880	0
40	-20.3854	-0.2760	0	25.8930	-16.8100	0	2.0459	17.3451	0	10.5963	-7.4994	0
41	-20.3807	-0.2570	0	25.9065	-16.7839	0	2.0638	17.3454	0	10.6226	-7.5340	0
42	-20.3853	-0.2263	0	25.8956	-16.8245	0	2.0004	17.3744	0	10.6402	-7.5217	0
43	-20.3743	-0.2117	0	25.8778	-16.8051	0	1.9665	17.3331	0	10.6793	-7.5566	0
44	-20.3530	-0.1926	0	25.9025	-16.8112	0	1.9824	17.3425	0	10.6912	-7.5965	0
45	-20.3608	-0.1745	0	25.9424	-16.8418	0	1.9798	17.2995	0	10.7335	-7.6149	0
46	-20.3979	-0.1817	0	25.9247	-16.8441	0	1.9868	17.2953	0	10.7233	-7.6057	0
47	-20.4053	-0.1738	0	25.9530	-16.8537	0	1.9580	17.3400	0	10.7107	-7.6092	0
48	-20.4353	-0.1904	0	25.9580	-16.8520	0	1.9705	17.3018	0	10.6922	-7.6008	0
49	-20.4526	-0.1882	0	25.9677	-16.8379	0	1.9481	17.2751	0	10.7328	-7.5925	0
50	-20.4396	-0.1419	0	26.0128	-16.8673	0	1.9733	17.3110	0	10.7496	-7.5846	0
51	-20.4301	-0.1549	0	25.9859	-16.8693	0	1.9628	17.3250	0	10.7344	-7.5659	0
52	-20.4321	-0.1893	0	25.9761	-16.8993	0	1.9628	17.3177	0	10.7480	-7.5657	0
53	-20.4637	-0.1947	0	25.9397	-16.9094	0	1.9577	17.2942	0	10.7834	-7.5434	0
54	-20.4736	-0.2151	0	25.9331	-16.9464	0	1.9771	17.2844	0	10.7751	-7.5437	0
55	-20.5076	-0.1970	0	25.9315	-16.9506	0	1.9850	17.2427	0	10.7351	-7.5505	0
56	-20.5042	-0.1410	0	25.8901	-16.9466	0	1.9740	17.2712	0	10.7325	-7.5522	0
57	-20.5106	-0.1565	0	25.8767	-16.9468	0	1.9978	17.2858	0	10.7370	-7.5454	0
58	-20.5260	-0.1573	0	25.8514	-16.9194	0	2.0052	17.2891	0	10.7274	-7.5539	0
59	-20.5408	-0.1857	0	25.8602	-16.9364	0	1.9917	17.3304	0	10.7175	-7.5153	0
60	-20.5526	-0.2054	0	25.8586	-16.8948	0	1.9625	17.3445	0	10.7083	-7.5136	0
61	-20.5576	-0.2228	0	25.8628	-16.9273	0	1.9183	17.3415	0	10.6810	-7.5261	0
62	-20.5323	-0.2309	0	25.8573	-16.9176	0	1.8661	17.3165	0	10.6532	-7.5100	0
63	-20.5430	-0.2405	0	25.9190	-16.9300	0	1.8290	17.3491	0	10.7011	-7.4857	0
64	-20.5664	-0.2403	0	25.9206	-16.9519	0	1.8198	17.3500	0	10.7005	-7.4813	0
65	-20.5552	-0.2060	0	25.9318	-16.9617	0	1.8373	17.3717	0	10.7164	-7.5133	0
66	-20.5529	-0.2038	0	25.9159	-17.0000	0	1.8000	17.3474	0	10.6889	-7.4914	0
67	-20.5316	-0.1741	0	25.9133	-17.0181	0	1.7890	17.3544	0	10.6785	-7.4832	0
68	-20.5071	-0.1895	0	25.8919	-17.0408	0	1.7567	17.3812	0	10.6767	-7.4634	0
69	-20.4893	-0.1693	0	25.9036	-17.0466	0	1.7374	17.3934	0	10.6679	-7.4262	0
70	-20.5206	-0.1528	0	25.9045	-17.0916	0	1.7816	17.3966	0	10.6871	-7.4144	0
71	-20.5340	-0.1342	0	25.9177	-17.1139	0	1.8141	17.4019	0	10.7050	-7.4004	0
72	-20.5496	-0.1036	0	25.9277	-17.1157	0	1.8191	17.4096	0	10.6881	-7.3916	0
73	-20.5491	-0.0931	0	25.9235	-17.1155	0	1.8522	17.3935	0	10.6719	-7.4139	0
74	-20.5469	-0.1112	0	25.9056	-17.1085	0	1.8719	17.4049	0	10.6733	-7.4408	0
75	-20.5251	-0.0759	0	25.8715	-17.0735	0	1.8900	17.4157	0	10.7020	-7.4074	0
76	-20.5209	-0.0850	0	25.9097	-17.1156	0	1.8985	17.4017	0	10.7390	-7.4762	0
77	-20.4756	-0.0669	0	25.9061	-17.1098	0	1.9056	17.3895	0	10.7498	-7.5034	0
78	-20.4618	-0.0353	0	25.9183	-17.0988	0	1.8882	17.4107	0	10.7331	-7.4493	0
79	-20.4596	-0.0557	0	25.9355	-17.1258	0	1.8328	17.3814	0	10.7213	-7.5275	0
80	-20.4277	-0.0764	0	25.9235	-17.1629	0	1.8081	17.3334	0	10.7488	-7.5458	0
81	-20.4522	-0.0704	0	25.9599	-17.1594	0	1.8077	17.3877	0	10.7488	-7.5280	0
82	-20.4905	-0.0361	0	25.9441	-17.1478	0	1.8263	17.3804	0	10.7914	-7.5482	0
83	-20.4803	-0.0522	0	25.8832	-17.1640	0	1.8326	17.3683	0	10.7703	-7.6086	0
84	-20.4793	-0.0049	0	25.9315	-17.1430	0	1.8684	17.3595	0	10.7802	-7.6075	0
85	-20.4916	-0.0340	0	25.9333	-17.1324	0	1.8506	17.3385	0	10.7700	-7.6203	0
86	-20.4954	-0.0398	0	25.9574	-17.1513	0	1.8626	17.2982	0	10.7209	-7.6622	0
87	-20.4639	-0.0457	0	25.9495	-17.1428	0	1.8357	17.3113	0	10.6921	-7.6509	0
88	-20.4794	-0.0202	0	25.9293	-17.1497	0	1.8382	17.3311	0	10.6894	-7.6262	0
89	-20.4711	-0.0351	0	25.9465	-17.1398	0	1.8272	17.3027	0	10.7055	-7.6157	0
