Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
1	33.8347	10.8202	0	-19.3823	30.4749	0	-21.6748	-15.8010	0	-32.1344	11.6790	0	-4.0150	-32.7692	0
2	33.8451	10.7741	0	-19.3819	30.4427	0	-21.6694	-15.8475	0	-32.1265	11.6574	0	-3.9926	-32.8005	0
3	33.8368	10.8116	0	-19.3717	30.5515	0	-21.6689	-15.8030	0	-32.1346	11.7445	0	-3.9597	-32.6978	0
4	33.8170	10.7989	0	-19.4160	30.5048	0	-21.6674	-15.8593	0	-32.1337	11.6873	0	-3.9508	-32.7805	0
5	33.8614	10.7760	0	-19.4110	30.4294	0	-21.6747	-15.8888	0	-32.1633	11.6568	0	-3.9632	-32.7985	0
6	33.8482	10.7888	0	-19.3541	30.4769	0	-21.7100	-15.8412	0	-32.1102	11.7278	0	-3.9186	-32.7179	0
7	33.8149	10.8342	0	-19.3542	30.5135	0	-21.7344	-15.8716	0	-32.1518	11.7177	0	-3.9480	-32.6896	0
8	33.8205	10.8469	0	-19.3893	30.5127	0	-21.7319	-15.8740	0	-32.1583	11.7272	0	-3.9547	-32.6924	0
9	33.8494	10.8251	0	-19.3982	30.5954	0	-21.7410	-15.8573	0	-32.1348	11.7504	0	-3.9248	-32.6796	0
10	33.8200	10.7651	0	-19.3730	30.6266	0	-21.7528	-15.8649	0	-32.1418	11.7490	0	-3.9314	-32.7212	0
11	33.8156	10.7340	0	-19.3407	30.6091	0	-21.7711	-15.8639	0	-32.1343	11.7363	0	-3.9131	-32.7488	0
12	33.8015	10.7673	0	-19.3118	30.5999	0	-21.7224	-15.8548	0	-32.1033	11.7445	0	-3.9336	-32.7801	0
13	33.8362	10.7584	0	-19.3280	30.6274	0	-21.7500	-15.8507	0	-32.1497	11.7517	0	-3.9017	-32.7630	0
14	33.8894	10.7472	0	-19.3176	30.6344	0	-21.7282	-15.8781	0	-32.1225	11.7406	0	-3.8514	-32.7733	0
15	33.8953	10.7530	0	-19.2970	30.6057	0	-21.7294	-15.8509	0	-32.1268	11.7497	0	-3.8415	-32.7973	0
16	33.8650	10.7104	0	-19.3297	30.5979	0	-21.7290	-15.8878	0	-32.1347	11.7278	0	-3.8047	-32.8170	0
17	33.8398	10.6817	0	-19.2808	30.5564	0	-21.7514	-15.8596	0	-32.1240	11.7488	0	-3.8105	-32.8386	0
18	33.8509	10.6980	0	-19.3009	30.5374	0	-21.7384	-15.7957	0	-32.1471	11.8075	0	-3.8034	-32.8041	0
19	33.8176	10.7011	0	-19.3562	30.4795	0	-21.6996	-15.8115	0	-32.1391	11.8300	0	-3.7937	-32.8406	0
20	33.8627	10.6468	0	-19.4449	30.4815	0	-21.6941	-15.8881	0	-32.1312	11.7925	0	-3.8085	-32.8685	0
21	33.8414	10.6281	0	-19.4563	30.5037	0	-21.6806	-15.8657	0	-32.1256	11.8282	0	-3.8004	-32.8056	0
22	33.8626	10.6864	0	-19.4223	30.5004	0	-21.6506	-15.8312	0	-32.0873	11.8329	0	-3.7714	-32.8109	0
23	33.7999	10.6844	0	-19.4358	30.3784	0	-21.6624	-15.8652	0	-32.0401	11.7209	0	-3.7503	-32.8574	0
24	33.7629	10.6935	0	-19.4374	30.3914	0	-21.6719	-15.8779	0	-32.0295	11.7235	0	-3.7185	-32.8837	0
25	33.7809	10.7733	0	-19.4016	30.4270	0	-21.6521	-15.8127	0	-32.0104	11.7994	0	-3.7207	-32.8304	0
26	33.7678	10.7103	0	-19.3832	30.3822	0	-21.6968	-15.8504	0	-31.9971	11.7948	0	-3.7439	-32.8579	0
27	33.7456	10.6412	0	-19.3297	30.3309	0	-21.6862	-15.8971	0	-32.0000	11.8089	0	-3.7440	-32.8680	0
28	33.7880	10.6316	0	-19.3002	30.3927	0	-21.6267	-15.8114	0	-31.9972	11.8687	0	-3.7393	-32.7854	0
29	33.7586	10.6092	0	-19.3362	30.3707	0	-21.6087	-15.8089	0	-31.9938	11.8791	0	-3.7044	-32.7803	0
30	33.7720	10.5686	0	-19.3223	30.2992	0	-21.6353	-15.8338	0	-32.0053	11.8386	0	-3.6897	-32.8184	0
31	33.7700	10.6056	0	-19.3128	30.3068	0	-21.6069	-15.7450	0	-32.0094	11.8384	0	-3.6730	-32.8178	0
32	33.8107	10.6590	0	-19.3229	30.3171	0	-21.6338	-15.7581	0	-31.9797	11.8098	0	-3.6774	-32.8041	0
33	33.8255	10.6438	0	-19.3254	30.3426	0	-21.5974	-15.8212	0	-31.9946	11.7683	0	-3.6904	-32.8349	0
34	33.8588	10.6411	0	-19.3057	30.3340	0	-21.5939	-15.8030	0	-31.9875	11.7376	0	-3.6435	-32.8563	0
35	33.8344	10.6041	0	-19.3017	30.3565	0	-21.5703	-15.8472	0	-32.0087	11.7389	0	-3.6520	-32.8142	0
36	33.8575	10.6197	0	-19.3292	30.3519	0	-21.5236	-15.9003	0	-31.9803	11.7265	0	-3.6775	-32.8383	0
37	33.8752	10.6355	0	-19.3444	30.3412	0	-21.5416	-15.9144	0	-31.9844	11.7081	0	-3.6530	-32.8540	0
