Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
1	-29.2039	-10.3482	0	0.6734	14.7229	0	39.6076	25.7504	0
2	-29.2142	-10.3256	0	0.6573	14.8075	0	39.5853	25.7408	0
3	-29.2260	-10.3165	0	0.6508	14.7847	0	39.5874	25.7492	0
4	-29.2876	-10.2337	0	0.6722	14.7854	0	39.5779	25.7790	0
5	-29.2905	-10.2060	0	0.7070	14.7700	0	39.6208	25.7701	0
6	-29.2975	-10.2005	0	0.7093	14.7625	0	39.6367	25.7567	0
7	-29.2996	-10.1704	0	0.6870	14.7835	0	39.6731	25.7495	0
8	-29.2997	-10.1707	0	0.6473	14.8258	0	39.6768	25.7891	0
9	-29.2602	-10.1862	0	0.6313	14.8259	0	39.6737	25.6976	0
10	-29.2440	-10.1754	0	0.6273	14.8141	0	39.6799	25.6876	0
11	-29.2176	-10.1395	0	0.6708	14.8180	0	39.7057	25.7769	0
12	-29.2155	-10.0699	0	0.6785	14.8623	0	39.8188	25.8605	0
13	-29.2141	-10.0253	0	0.6902	14.8225	0	39.8544	25.8479	0
14	-29.2008	-10.0766	0	0.6649	14.7827	0	39.8490	25.7738	0
15	-29.2909	-10.0500	0	0.6917	14.8191	0	39.8255	25.7730	0
16	-29.2666	-10.0518	0	0.7227	14.7995	0	39.7793	25.7434	0
17	-29.2934	-9.9923	0	0.7133	14.7815	0	39.8207	25.7353	0
18	-29.2498	-10.0164	0	0.7007	14.7609	0	39.8288	25.7005	0
19	-29.2502	-9.9831	0	0.7522	14.7748	0	39.8553	25.7301	0
20	-29.2643	-9.9734	0	0.7798	14.7697	0	39.8573	25.6385	0
21	-29.2412	-9.9819	0	0.7296	14.8577	0	39.8827	25.6579	0
22	-29.2946	-9.9929	0	0.7059	14.8707	0	39.9178	25.7059	0
23	-29.3309	-10.0205	0	0.7173	14.8368	0	39.8724	25.7386	0
24	-29.3014	-10.0539	0	0.7006	14.8333	0	39.8733	25.6853	0
25	-29.3142	-10.0528	0	0.6846	14.8809	0	39.7869	25.6770	0
26	-29.2986	-10.1497	0	0.6757	14.8565	0	39.8142	25.6356	0
27	-29.2146	-10.1657	0	0.6701	14.8420	0	39.8165	25.5920	0
28	-29.2277	-10.1640	0	0.6325	14.8831	0	39.8066	25.5568	0
29	-29.2192	-10.2016	0	0.6112	14.8520	0	39.7580	25.4389	0
30	-29.1891	-10.1799	0	0.5731	14.8527	0	39.7546	25.4336	0
31	-29.1010	-10.1399	0	0.5594	14.9132	0	39.8045	25.4151	0
32	-29.0689	-10.1444	0	0.5453	14.8742	0	39.8017	25.3784	0
33	-29.0557	-10.1904	0	0.5247	14.8647	0	39.8422	25.3797	0
34	-29.0245	-10.2036	0	0.5259	14.8895	0	39.8322	25.2848	0
35	-28.9869	-10.2281	0	0.5346	14.9065	0	39.8386	25.2903	0
36	-28.9849	-10.2582	0	0.4803	14.8742	0	39.8591	25.2484	0
37	-28.9232	-10.3285	0	0.5003	14.8621	0	39.8270	25.2191	0
38	-28.8939	-10.2593	0	0.5136	14.8694	0	39.8609	25.2315	0
39	-28.8218	-10.2826	0	0.5131	14.8658	0	39.8860	25.2213	0
40	-28.7821	-10.2672	0	0.5317	14.8286	0	39.8646	25.1902	0
41	-28.7514	-10.2343	0	0.5468	14.8883	0	39.9471	25.2313	0
42	-28.7397	-10.2377	0	0.5498	14.8724	0	39.8903	25.1397	0
43	-28.7667	-10.2629	0	0.5297	14.8483	0	39.9575	25.0825	0
44	-28.7302	-10.1908	0	0.5189	14.8523	0	39.8576	25.1585	0
45	-28.7626	-10.1787	0	0.5406	14.8934	0	39.8259	25.1800	0
46	-28.7883	-10.1971	0	0.5361	14.8649	0	39.8223	25.1719	0
47	-28.7676	-10.1996	0	0.4922	14.8631	0	39.8254	25.1774	0
48	-28.7615	-10.1571	0	0.5253	14.8835	0	39.8566	25.1990	0
49	-28.7916	-10.1731	0	0.5284	14.8817	0	39.8423	25.2318	0
50	-28.7470	-10.2014	0	0.5296	14.8727	0	39.8615	25.1473	0
51	-28.7467	-10.1630	0	0.5236	14.9072	0	39.8991	25.1079	0
52	-28.6880	-10.1727	0	0.5602	14.9466	0	39.8984	25.0301	0
53	-28.6784	-10.2010	0	0.5761	14.9390	0	39.8991	25.0824	0
54	-28.6677	-10.2030	0	0.5905	14.9386	0	39.9386	25.0934	0
55	-28.6991	-10.1702	0	0.6315	14.9465	0	39.9230	25.0276	0
56	-28.7128	-10.1669	0	0.6226	14.9481	0	39.8631	25.0080	0
57	-28.7164	-10.1911	0	0.6090	14.8980	0	39.8925	24.9861	0
58	-28.7446	-10.1474	0	0.6311	14.9372	0	39.9183	25.0573	0
59	-28.7808	-10.1741	0	0.6525	14.9617	0	39.9498	25.0799	0
60	-28.8443	-10.1970	0	0.6726	14.9561	0	39.9909	25.0901	0
61	-28.8868	-10.2255	0	0.6752	14.9657	0	40.0570	25.0851	0
62	-28.9303	-10.2311	0	0.7336	14.9857	0	40.0598	25.1077	0
63	-28.9350	-10.1905	0	0.7357	14.9503	0	40.0600	25.0873	0
64	-28.9747	-10.2815	0	0.7044	14.9324	0	40.0327	25.1176	0
65	-28.9583	-10.2797	0	0.6987	14.9435	0	40.0162	25.0943	0
66	-28.9490	-10.3049	0	0.7297	14.9563	0	39.9667	25.0538	0
67	-28.9187	-10.3406	0	0.7511	14.9414	0	39.9808	24.9783	0
68	-28.8916	-10.3439	0	0.7555	14.9628	0	40.0033	24.9338	0
69	-28.9346	-10.3216	0	0.7356	14.9368	0	40.0183	24.9706	0
70	-28.9182	-10.3382	0	0.7524	14.8573	0	40.0413	24.9273	0
71	-28.8696	-10.3152	0	0.7426	14.8464	0	40.0974	24.9305	0
72	-28.8279	-10.3010	0	0.7309	14.8297	0	40.1081	24.8563	0
73	-28.8248	-10.2953	0	0.6972	14.8576	0	40.0189	24.8729	0
74	-28.8575	-10.2932	0	0.7198	14.8502	0	40.0138	24.8427	0
75	-28.8381	-10.2903	0	0.6796	14.8545	0	40.0471	24.7779	0
76	-28.8726	-10.2741	0	0.6224	14.8696	0	40.0063	24.7715	0
77	-28.9070	-10.3167	0	0.6120	14.8577	0	40.0362	24.7229	0
78	-28.8852	-10.3437	0	0.5865	14.8563	0	40.0207	24.6967	0
79	-28.8711	-10.3012	0	0.5765	14.8556	0	40.0047	24.6601	0
80	-28.8600	-10.2897	0	0.5936	14.8182	0	40.0135	24.6015	0
81	-28.8900	-10.2695	0	0.5848	14.7730	0	40.0358	24.5883	0
82	-28.8919	-10.2293	0	0.6133	14.7848	0	40.0701	24.5330	0
83	-28.9586	-10.2192	0	0.6042	14.7972	0	40.1450	24.4999	0
84	-28.9599	-10.2580	0	0.6147	14.7870	0	40.1746	24.4476	0
85	-28.9670	-10.2719	0	0.6273	14.8221	0	40.1666	24.4709	0
86	-28.9183	-10.2937	0	0.6348	14.8400	0	40.2297	24.4673	0
87	-28.9184	-10.3179	0	0.5955	14.8193	0	40.1992	24.4819	0
88	-28.8780	-10.2618	0	0.6020	14.8130	0	40.1667	24.4655	0
89	-28.8622	-10.2426	0	0.6233	14.8497	0	40.1677	24.5736	0
90	-28.8336	-10.2548	0	0.5750	14.8115	0	40.1325	24.5759	0
91	-28.7799	-10.2168	0	0.6188	14.7940	0	40.1884	24.5805	0
92	-28.7494	-10.1244	0	0.5881	14.7899	0	40.2822	24.6095	0
93	-28.7914	-10.1253	0	0.6448	14.7665	0	40.2936	24.6870	0
94	-28.8233	-10.1142	0	0.6895	14.7713	0	40.3056	24.6679	0
95	-28.8280	-10.0872	0	0.6715	14.7767	0	40.2965	24.6443	0
96	-28.8210	-10.0681	0	0.6522	14.7900	0	40.3282	24.6630	0
97	-28.7839	-10.0583	0	0.6398	14.7416	0	40.2967	24.6213	0
98	-28.7221	-10.0483	0	0.6639	14.7754	0	40.2483	24.7266	0
99	-28.6733	-10.0618	0	0.6973	14.7234	0	40.2719	24.7258	0
100	-28.5931	-10.0010	0	0.6965	14.7413	0	40.2837	24.7210	0
101	-28.5865	-10.0090	0	0.6926	14.7859	0	40.3177	24.7666	0
102	-28.5666	-10.0316	0	0.7002	14.7972	0	40.2941	24.7932	0
103	-28.5430	-9.9764	0	0.6743	14.7698	0	40.3211	24.7681	0
104	-28.5723	-9.9793	0	0.6397	14.8109	0	40.3343	24.7967	0
105	-28.5477	-10.0075	0	0.6366	14.7882	0	40.3283	24.8622	0
106	-28.5539	-10.0152	0	0.6198	14.7913	0	40.3297	24.8468	0
107	-28.5612	-10.0213	0	0.6444	14.8488	0	40.3397	24.8945	0
108	-28.5222	-10.1057	0	0.6605	14.8425	0	40.3262	24.9210	0
109	-28.5378	-10.1173	0	0.7102	14.8436	0	40.3821	24.9224	0
110	-28.4612	-10.1082	0	0.7243	14.8865	0	40.3552	24.8807	0
111	-28.4688	-10.0584	0	0.7502	14.8796	0	40.3555	24.9289	0
112	-28.5013	-10.0089	0	0.7663	14.8577	0	40.3639	24.9163	0
113	-28.5364	-9.9483	0	0.7902	14.8297	0	40.4036	24.9209	0
114	-28.5550	-9.9525	0	0.8469	14.8501	0	40.3948	24.9767	0
115	-28.5563	-9.9910	0	0.8299	14.8139	0	40.3899	24.9685	0
116	-28.5904	-10.0173	0	0.8612	14.7966	0	40.4388	24.9621	0
117	-28.5659	-9.9511	0	0.8129	14.7929	0	40.5561	24.9308	0
118	-28.5821	-10.0080	0	0.8062	14.8226	0	40.5509	24.9075	0
119	-28.5564	-10.0433	0	0.8007	14.8574	0	40.5937	24.8687	0
120	-28.5170	-10.0350	0	0.7958	14.8453	0			
