Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
1	-24.5167	-2.3909	0	-25.4703	15.7229	0	25.7700	29.2889	0	0.6355	-22.5508	0
2	-24.5118	-2.3449	0	-25.4568	15.7569	0	25.7651	29.3463	0	0.6686	-22.5530	0
3	-24.5165	-2.2573	0	-25.4916	15.7287	0	25.8015	29.4156	0	0.6223	-22.5125	0
4	-24.5069	-2.3025	0	-25.4812	15.7259	0	25.7807	29.3765	0	0.6335	-22.5221	0
5	-24.5292	-2.3707	0	-25.4071	15.7058	0	25.7815	29.3159	0	0.6854	-22.5424	0
6	-24.5283	-2.2879	0	-25.4467	15.8078	0	25.7955	29.3335	0	0.6725	-22.4964	0
7	-24.5642	-2.3440	0	-25.4405	15.7821	0	25.7884	29.3899	0	0.6949	-22.4968	0
8	-24.5512	-2.4862	0	-25.5154	15.7363	0	25.7788	29.2637	0	0.7159	-22.5610	0
9	-24.6196	-2.4599	0	-25.5206	15.7741	0	25.7419	29.2801	0	0.6799	-22.5580	0
10	-24.5964	-2.3556	0	-25.5276	15.8730	0	25.7887	29.3074	0	0.7059	-22.5069	0
11	-24.6338	-2.3116	0	-25.5536	15.8473	0	25.7617	29.3180	0	0.6822	-22.4470	0
12	-24.6646	-2.3879	0	-25.5191	15.8888	0	25.8282	29.2874	0	0.6668	-22.4691	0
13	-24.6043	-2.3391	0	-25.5674	15.9548	0	25.8242	29.3184	0	0.6243	-22.4541	0
14	-24.5977	-2.3735	0	-25.5946	16.0166	0	25.8793	29.3043	0	0.6164	-22.4627	0
15	-24.5922	-2.3611	0	-25.5496	15.9857	0	25.9168	29.2003	0	0.6368	-22.5114	0
16	-24.6252	-2.3986	0	-25.5285	15.9701	0	25.9519	29.2355	0	0.6414	-22.4880	0
17	-24.6642	-2.2821	0	-25.5330	16.1036	0	26.0056	29.2737	0	0.6325	-22.4277	0
18	-24.6135	-2.2509	0	-25.5349	16.1567	0	25.9633	29.2456	0	0.6073	-22.4393	0
19	-24.5329	-2.2915	0	-25.4688	16.1632	0	25.9493	29.1378	0	0.6582	-22.4091	0
20	-24.5277	-2.2662	0	-25.4567	16.1462	0	25.9567	29.2107	0	0.6914	-22.3833	0
21	-24.5518	-2.2700	0	-25.5120	16.1965	0	25.9908	29.2202	0	0.6871	-22.3822	0
22	-24.6235	-2.2822	0	-25.5914	16.1851	0	25.9996	29.1791	0	0.6863	-22.4744	0
23	-24.6610	-2.2166	0	-25.6603	16.1662	0	26.0102	29.0983	0	0.7270	-22.5170	0
24	-24.6897	-2.1767	0	-25.6274	16.1485	0	26.0098	29.1675	0	0.7210	-22.5294	0
25	-24.6702	-2.2268	0	-25.6431	16.0909	0	26.0211	29.1647	0	0.6674	-22.5367	0
26	-24.6420	-2.2674	0	-25.7129	16.1119	0	26.0338	29.1772	0	0.6432	-22.5616	0
27	-24.6718	-2.2639	0	-25.7008	16.1971	0	26.0389	29.1519	0	0.6502	-22.5362	0
28	-24.6934	-2.3144	0	-25.6946	16.2244	0	26.0327	29.1250	0	0.6304	-22.5806	0
29	-24.7139	-2.3396	0	-25.6753	16.1613	0	26.0350	29.1377	0	0.6191	-22.5746	0
30	-24.7650	-2.3105	0	-25.7024	16.1456	0	26.0618	29.1505	0	0.6541	-22.5324	0
31	-24.8190	-2.2525	0	-25.6851	16.1246	0	26.0459	29.1680	0	0.6594	-22.5282	0
32	-24.7220	-2.2655	0	-25.6553	16.1199	0	26.0866	29.1802	0	0.6380	-22.5408	0
33	-24.7562	-2.2777	0	-25.6339	16.0785	0	26.1490	29.1627	0	0.6125	-22.5789	0
34	-24.7002	-2.2947	0	-25.5995	16.0648	0	26.1795	29.2051	0	0.6377	-22.5448	0
35	-24.7049	-2.3312	0	-25.6371	16.0603	0	26.1904	29.2021	0	0.6353	-22.5654	0
36	-24.7030	-2.3529	0	-25.6183	16.0739	0	26.2111	29.2108	0	0.6600	-22.5727	0
37	-24.7585	-2.2302	0	-25.5973	16.1176	0	26.1986	29.2290	0	0.6235	-22.5380	0
38	-24.8121	-2.2067	0	-25.6612	16.0955	0	26.1550	29.2272	0	0.6235	-22.5794	0
39	-24.7991	-2.1998	0	-25.6334	16.0389	0	26.1669	29.1437	0	0.6444	-22.5875	0
40	-24.8187	-2.1731	0	-25.5846	16.0999	0	26.1652	29.1449	0	0.6631	-22.6046	0
41	-24.8675	-2.1658	0	-25.5899	15.9882	0	26.1851	29.1409	0	0.6182	-22.5381	0
42	-24.8921	-2.2135	0	-25.6099	16.0074	0	26.2121	29.1511	0	0.6138	-22.5059	0
43	-24.8422	-2.2253	0	-25.5405	15.9766	0	26.1353	29.1630	0	0.6101	-22.5059	0
44	-24.8420	-2.1959	0	-25.5431	15.9566	0	26.0870	29.2046	0	0.6267	-22.5001	0
45	-24.8290	-2.1746	0	-25.4913	15.9350	0	26.1496	29.2026	0	0.6238	-22.4900	0
46	-24.8605	-2.2089	0	-25.4402	15.9202	0	26.1255	29.1776	0	0.6816	-22.5025	0
47	-24.8594	-2.2538	0	-25.4720	15.9350	0	26.1205	29.1950	0	0.6764	-22.4896	0
48	-24.8580	-2.1885	0	-25.4738	16.0069	0	26.0761	29.2451	0	0.7292	-22.4730	0
49	-24.9229	-2.1797	0	-25.5062	16.0077	0	25.9830	29.1937	0	0.6800	-22.5104	0
50	-24.8785	-2.1345	0	-25.5446	15.9825	0	25.9609	29.2366	0	0.6599	-22.5172	0
51	-24.8900	-2.1009	0	-25.5624	16.0401	0	26.0101	29.2594	0	0.5935	-22.5526	0
52	-24.8346	-2.1283	0	-25.5342	16.0901	0	25.9891	29.3078	0	0.5556	-22.5203	0
53	-24.8676	-2.0568	0	-25.5545	16.0804	0	25.9507	29.2653	0	0.6379	-22.5572	0
54	-24.8160	-2.0800	0	-25.5023	16.0695	0	25.9737	29.3199	0	0.6311	-22.5533	0
55	-24.7457	-1.9635	0	-25.4547	16.1535	0	26.0330	29.2989	0	0.5914	-22.4991	0
56	-24.7176	-1.9357	0	-25.4584	16.1766	0	26.0237	29.2628	0	0.5860	-22.5110	0
57	-24.7711	-1.8616	0	-25.5138	16.1993	0	26.0266	29.2428	0	0.5919	-22.4829	0
58	-24.8424	-1.7935	0	-25.5608	16.2402	0	26.0122	29.2740	0	0.5624	-22.4091	0
59	-24.8939	-1.7379	0	-25.5307	16.3020	0	26.0623	29.2992	0	0.5401	-22.3888	0
60	-24.8808	-1.7107	0	-25.5007	16.2484	0	26.0323	29.2523	0	0.5767	-22.4626	0
61	-24.8769	-1.6375	0	-25.4918	16.2813	0	26.0530	29.2542	0	0.5704	-22.4916	0
62	-24.8559	-1.6437	0	-25.4518	16.2833	0	26.0595	29.3036	0	0.6243	-22.4512	0
63	-24.9078	-1.6732	0	-25.4019	16.2728	0	26.0288	29.2985	0	0.6228	-22.5310	0
64	-24.9302	-1.7485	0	-25.4355	16.2716	0	26.0128	29.3268	0	0.6551	-22.5761	0
65	-24.9098	-1.7726	0	-25.3678	16.2848	0	25.9535	29.3857	0	0.5930	-22.5270	0
66	-24.9200	-1.7984	0	-25.4185	16.3265	0	25.9930	29.3320	0	0.5752	-22.5420	0
67	-24.9622	-1.8578	0	-25.3526	16.3120	0	25.9667	29.3163	0	0.6041	-22.5506	0
68	-24.9532	-1.7938	0	-25.3600	16.4201	0	25.9843	29.3659	0	0.6280	-22.5195	0
69	-24.9169	-1.7769	0	-25.3115	16.4104	0	25.9895	29.3472	0	0.6192	-22.5816	0
70	-24.9104	-1.7415	0	-25.2952	16.4532	0	25.9453	29.3464	0	0.6743	-22.5415	0
71	-24.9158	-1.7997	0	-25.2915	16.5621	0	25.9805	29.4066	0	0.7228	-22.5234	0
72	-25.0267	-1.8454	0	-25.3544	16.5255	0	25.9168	29.3655	0	0.6921	-22.5606	0
73	-24.9950	-1.8929	0	-25.2506	16.5993	0	25.8967	29.3648	0	0.6871	-22.5388	0
74	-24.9684	-1.7945	0	-25.2168	16.6666	0	25.8871	29.4297	0	0.7260	-22.4808	0
75	-25.0132	-1.9323	0	-25.2266	16.6261	0	25.8927	29.3436	0	0.6885	-22.5909	0
76	-24.9850	-1.9351	0	-25.1814	16.5860	0	25.9238	29.3522	0	0.7396	-22.5940	0
77	-25.0267	-1.8119	0	-25.1903	16.7827	0	25.9023	29.3997	0	0.8083	-22.5791	0
78	-25.0230	-1.9074	0	-25.1500	16.7172	0	25.9425	29.3611	0	0.8078	-22.5316	0
79	-25.0670	-2.0094	0	-25.1238	16.5804	0	25.9730	29.2914	0	0.8413	-22.6591	0
80	-25.0648	-1.8509	0	-25.1151	16.6763	0	26.0081	29.3773	0	0.8445	-22.5748	0
81	-25.0782	-1.8831	0	-25.1295	16.7424	0	25.9940	29.3138	0	0.8610	-22.5279	0
82	-25.0796	-2.0069	0	-25.1797	16.6632	0	25.9202	29.1926	0	0.7981	-22.6866	0
83	-25.0724	-1.9578	0	-25.2550	16.7334	0	25.9067	29.2424	0	0.8150	-22.6240	0
84	-25.1642	-1.9516	0	-25.2725	16.7967	0	25.9001	29.3181	0	0.8739	-22.5695	0
85	-25.1248	-2.0548	0	-25.2953	16.7921	0	25.9376	29.1990	0	0.8174	-22.5690	0
86	-25.1018	-2.0473	0	-25.2674	16.7898	0	25.9029	29.2074	0	0.7665	-22.5312	0
87	-25.1597	-1.9841	0	-25.3091	16.7885	0	25.9186	29.2026	0	0.7682	-22.5869	0
88	-25.1299	-1.9681	0	-25.2911	16.8337	0	25.9188	29.2078	0	0.7923	-22.6118	0
89	-25.1403	-2.0192	0	-25.3652	16.7668	0	25.8505	29.1830	0	0.7599	-22.6554	0
90	-25.0737	-1.9678	0	-25.3846	16.7822	0	25.8584	29.1878	0	0.7643	-22.6627	0
91	-25.0632	-1.9517	0	-25.3561	16.7755	0	25.7968	29.2120	0	0.7980	-22.5951	0
92	-25.1134	-1.9606	0	-25.3552	16.7089	0	25.7932	29.2572	0	0.7813	-22.6661	0
93	-25.0903	-1.9999	0	-25.3045	16.6862	0	25.7745	29.2539	0	0.8078	-22.7605	0
94	-25.0397	-1.9848	0	-25.3840	16.6758	0	25.7797	29.2660	0	0.8181	-22.7166	0
95	-25.0974	-1.9661	0	-25.4871	16.7053	0	25.7856	29.2901	0	0.7947	-22.6951	0
96	-25.0511	-1.9959	0	-25.4994	16.6630	0	25.7841	29.2305	0	0.7840	-22.6796	0
97	-25.0917	-1.9797	0	-25.4778	16.6502	0	25.7714	29.2194	0	0.8064	-22.6833	0
98	-25.0376	-1.9550	0	-25.5524	16.6608	0	25.7500	29.2489	0	0.7538	-22.6483	0
99	-25.0839	-1.9838	0	-25.5382	16.6194	0	25.8142	29.1850	0	0.7428	-22.6311	0
100	-25.0946	-2.0015	0	-25.5024	16.6428	0	25.8050	29.1566	0	0.7800	-22.6358	0
101	-25.1060	-1.9975	0	-25.4278	16.6313	0	25.8233	29.1764	0	0.7800	-22.5278	0
102	-25.2057	-1.9821	0	-25.4169	16.5725	0	25.8075	29.1256	0	0.7932	-22.6015	0
103	-25.2299	-2.0696	0	-25.4116	16.5000	0	25.8437	29.0815	0	0.7715	-22.6121	0
