Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
1	-6.5265	29.0257	0	4.0202	5.1482	0	-35.6392	-20.4646	0	30.3492	19.6193	0	-11.2325	-5.0495	0
2	-6.5424	29.0473	0	3.9849	5.1107	0	-35.6718	-20.4219	0	30.3795	19.6074	0	-11.2515	-5.0268	0
3	-6.5359	29.0727	0	3.9920	5.1390	0	-35.6562	-20.4291	0	30.3568	19.6195	0	-11.2442	-4.9992	0
4	-6.5080	29.0954	0	4.0775	5.1093	0	-35.6486	-20.4312	0	30.3787	19.6412	0	-11.2155	-4.9796	0
5	-6.5075	29.0680	0	4.1313	5.0316	0	-35.6225	-20.4864	0	30.3510	19.6030	0	-11.2151	-5.0050	0
6	-6.5077	29.0987	0	4.1851	5.0313	0	-35.6271	-20.4407	0	30.3338	19.6089	0	-11.2136	-4.9764	0
7	-6.5779	29.1153	0	4.0563	5.0138	0	-35.6119	-20.4293	0	30.3472	19.6512	0	-11.2851	-4.9590	0
8	-6.5624	29.0911	0	4.0716	5.0601	0	-35.6680	-20.4544	0	30.3565	19.6326	0	-11.2682	-4.9838	0
9	-6.6027	29.1172	0	4.1313	5.0678	0	-35.6514	-20.4581	0	30.3731	19.5857	0	-11.3093	-4.9579	0
10	-6.5402	29.0169	0	4.1560	5.0171	0	-35.5876	-20.5217	0	30.3224	19.6249	0	-11.2465	-5.0583	0
11	-6.5515	28.9865	0	4.1175	5.0304	0	-35.5923	-20.5838	0	30.3716	19.5997	0	-11.2577	-5.0908	0
12	-6.4724	28.9130	0	4.0842	5.0993	0	-35.5844	-20.5643	0	30.3556	19.6610	0	-11.1784	-5.1618	0
13	-6.4885	28.8217	0	4.0807	5.0733	0	-35.5928	-20.5327	0	30.3237	19.6579	0	-11.1960	-5.2505	0
14	-6.4498	28.8151	0	4.1304	5.1038	0	-35.5329	-20.5347	0	30.3444	19.6764	0	-11.1566	-5.2578	0
15	-6.4422	28.8724	0	4.1660	5.0285	0	-35.5103	-20.5451	0	30.2996	19.6390	0	-11.1497	-5.2008	0
16	-6.3459	28.9606	0	4.1025	5.0066	0	-35.5485	-20.5513	0	30.2552	19.5900	0	-11.0509	-5.1168	0
17	-6.3509	28.9509	0	4.0844	5.0104	0	-35.5920	-20.5418	0	30.2821	19.6022	0	-11.0569	-5.1256	0
18	-6.3555	28.9665	0	4.0501	5.0273	0	-35.5655	-20.5370	0	30.2717	19.6268	0	-11.0628	-5.1079	0
19	-6.3899	28.9639	0	3.9559	5.0626	0	-35.6115	-20.5040	0	30.2854	19.5587	0	-11.0969	-5.1108	0
20	-6.4198	28.9155	0	3.9274	5.0816	0	-35.6602	-20.5134	0	30.2713	19.5315	0	-11.1249	-5.1615	0
21	-6.4249	28.8236	0	3.9378	5.0598	0	-35.6598	-20.5168	0	30.2746	19.5467	0	-11.1297	-5.2518	0
22	-6.3879	28.8239	0	3.9371	5.0725	0	-35.6192	-20.5164	0	30.3122	19.5502	0	-11.0960	-5.2490	0
23	-6.3962	28.8564	0	3.9687	5.0856	0	-35.6340	-20.5250	0	30.2747	19.5435	0	-11.1029	-5.2163	0
24	-6.4183	28.8933	0	3.9651	5.0700	0	-35.6202	-20.5571	0	30.2890	19.5413	0	-11.1250	-5.1815	0
25	-6.4896	28.8879	0	3.9953	5.1161	0	-35.6298	-20.5382	0	30.2612	19.5391	0	-11.1938	-5.1905	0
26	-6.5075	28.8280	0	3.9857	5.1755	0	-35.6225	-20.5635	0	30.2942	19.5539	0	-11.2109	-5.2491	0
27	-6.5114	28.8213	0	3.9360	5.1350	0	-35.6232	-20.5526	0	30.2926	19.5611	0	-11.2168	-5.2549	0
28	-6.6066	28.8238	0	3.9546	5.2194	0	-35.5799	-20.5560	0	30.2809	19.5164	0	-11.3138	-5.2517	0
29	-6.6283	28.8200	0	3.9938	5.2717	0	-35.5659	-20.5436	0	30.2723	19.5438	0	-11.3339	-5.2555	0
30	-6.5346	28.8914	0	4.0064	5.2329	0	-35.5780	-20.5909	0	30.2622	19.5545	0	-11.2408	-5.1841	0
31	-6.5311	28.9010	0	4.0214	5.2407	0	-35.5875	-20.5520	0	30.2197	19.5593	0	-11.2295	-5.1773	0
32	-6.5539	28.9010	0	4.0489	5.2218	0	-35.5599	-20.5186	0	30.2026	19.5606	0	-11.2630	-5.1735	0
33	-6.4903	28.8239	0	3.9565	5.2209	0	-35.6090	-20.5176	0	30.2656	19.4938	0	-11.1952	-5.2542	0
34	-6.4744	28.8403	0	4.0022	5.1930	0	-35.6367	-20.4854	0	30.2870	19.4224	0	-11.1738	-5.2383	0
35	-6.5322	28.8459	0	4.0647	5.2964	0	-35.6253	-20.4730	0	30.2230	19.4153	0	-11.2451	-5.2259	0
36	-6.6063	28.7928	0	4.0699	5.3421	0	-35.6071	-20.4768	0	30.1963	19.3926	0	-11.3145	-5.2830	0
37	-6.5771	28.7847	0	4.0824	5.3451	0	-35.6233	-20.5107	0	30.2220	19.4220	0	-11.2868	-5.2898	0
38	-6.5437	28.7106	0	4.1598	5.3382	0	-35.6153	-20.5103	0	30.1971	19.4012	0	-11.2531	-5.2978	0
39	-6.5293	28.6864	0	4.2405	5.3651	0	-35.6416	-20.4773	0	30.2258	19.4563	0	-11.2357	-5.3221	0
40	-6.4781	28.7058	0	4.2699	5.3033	0	-35.6262	-20.4756	0	30.2130	19.4723	0	-11.1866	-5.3011	0
41	-6.5567	28.6504	0	4.3565	5.2062	0	-35.6449	-20.4591	0	30.1534	19.5059	0	-11.2702	-5.3560	0
42	-6.4986	28.7191	0	4.3922	5.1706	0	-35.6410	-20.4662	0	30.1931	19.5196	0	-11.2674	-5.2909	0
43	-6.5512	28.6775	0	4.3791	5.2237	0	-35.6344	-20.4766	0	30.2185	19.5296	0	-11.3248	-5.3970	0
44	-6.5787	28.6697	0	4.3290	5.2320	0	-35.6671	-20.4391	0	30.2054	19.5489	0	-11.3482	-5.4065	0
45	-6.5866	28.7612	0	4.2894	5.2327	0	-35.5935	-20.4218	0	30.2270	19.5526	0	-11.3611	-5.3119	0
46	-6.5443	28.7347	0	4.3267	5.2173	0	-35.5683	-20.4200	0	30.2405	19.5549	0	-11.3160	-5.3410	0
47	-6.4635	28.6967	0	4.2913	5.1736	0	-35.5769	-20.4068	0	30.2103	19.5706	0	-11.2318	-5.3801	0
48	-6.4550	28.6983	0	4.3131	5.0675	0	-35.5401	-20.3387	0	30.1632	19.5752	0	-11.2272	-5.3762	0
49	-6.4558	28.7048	0	4.2802	5.1040	0	-35.5257	-20.3308	0	30.1557	19.5476	0	-11.2270	-5.3697	0
50	-6.4865	28.6724	0	4.2788	5.1199	0	-35.5158	-20.3364	0	30.1964	19.5627	0	-11.2638	-5.3997	0
51	-6.4328	28.6970	0	4.3176	5.1335	0	-35.4842	-20.3103	0	30.2475	19.5429	0	-11.2028	-5.3811	0
52	-6.4423	28.6979	0	4.3123	5.1559	0	-35.4996	-20.3423	0	30.2894	19.5483	0	-11.2098	-5.3791	0
53	-6.5186	28.7056	0	4.3172	5.1806	0	-35.4879	-20.3653	0	30.2878	19.5966	0	-11.2879	-5.3749	0
54	-6.4980	28.6941	0	4.3523	5.1547	0	-35.4821	-20.3965	0	30.2620	19.6067	0	-11.2708	-5.3791	0
55	-6.4734	28.6704	0	4.3457	5.2461	0	-35.5348	-20.4000	0	30.2828	19.6326	0	-11.2446	-5.4012	0
56	-6.4655	28.6675	0	4.3900	5.1455	0	-35.4386	-20.4262	0	30.2421	19.5434	0	-11.2413	-5.4019	0
57	-6.3652	28.6487	0	4.3866	5.1146	0	-35.4798	-20.3996	0	30.2057	19.5889	0	-11.1362	-5.4271	0
58	-6.4175	28.6978	0	4.2891	5.1536	0	-35.5318	-20.3499	0	30.1868	19.6094	0	-11.1908	-5.3789	0
59	-6.3495	28.5721	0	4.2959	5.2029	0	-35.4863	-20.3363	0	30.2461	19.6231	0	-11.1201	-5.5015	0
60	-6.3825	28.5040	0	4.2228	5.2091	0	-35.4920	-20.3383	0	30.2530	19.5579	0	-11.1571	-5.5665	0
61	-6.5134	28.5155	0	4.2290	5.1948	0	-35.5084	-20.3540	0	30.3208	19.5663	0	-11.2877	-5.5593	0
62	-6.5622	28.6181	0	4.2445	5.2130	0	-35.5368	-20.3279	0	30.3513	19.5401	0	-11.3327	-5.4640	0
63	-6.6400	28.6520	0	4.2176	5.2058	0	-35.5559	-20.3867	0	30.3594	19.5937	0	-11.3468	-5.4228	0
64	-6.6725	28.7048	0	4.2143	5.2076	0	-35.5749	-20.3745	0	30.3535	19.6465	0	-11.3776	-5.3700	0
65	-6.6007	28.6839	0	4.2816	5.2380	0	-35.5467	-20.4438	0	30.3338	19.6147	0	-11.3093	-5.3876	0
