Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
1	17.2378	-3.2976	0	39.3382	-23.2025	0	-9.2070	32.9717	0
2	17.2158	-3.4562	0	39.3484	-23.2769	0	-9.2116	32.8723	0
3	17.2393	-3.4086	0	39.3684	-23.2114	0	-9.2475	32.8959	0
4	17.2735	-3.4488	0	39.2984	-23.1708	0	-9.2597	33.0342	0
5	17.3070	-3.3685	0	39.2922	-23.2685	0	-9.2778	33.0392	0
6	17.2886	-3.3087	0	39.2756	-23.2237	0	-9.2924	32.9652	0
7	17.3233	-3.3500	0	39.2715	-23.1967	0	-9.2845	32.9588	0
8	17.3043	-3.3874	0	39.2848	-23.2391	0	-9.2257	32.9935	0
9	17.2642	-3.3357	0	39.2657	-23.2907	0	-9.2278	32.9367	0
10	17.2538	-3.3446	0	39.3182	-23.1752	0	-9.2327	32.9992	0
11	17.2023	-3.3599	0	39.3644	-23.2096	0	-9.2327	32.9810	0
12	17.1653	-3.4616	0	39.3677	-23.2054	0	-9.2425	32.8962	0
13	17.1929	-3.3712	0	39.3825	-23.1707	0	-9.3023	32.9069	0
14	17.1947	-3.3678	0	39.3675	-23.1562	0	-9.2610	32.9563	0
15	17.1268	-3.3710	0	39.3336	-23.1181	0	-9.2934	32.9219	0
16	17.0966	-3.3978	0	39.3807	-23.2316	0	-9.2648	32.8789	0
17	17.0815	-3.3794	0	39.4220	-23.1457	0	-9.3011	32.9405	0
18	17.1251	-3.3526	0	39.4165	-23.1290	0	-9.2860	32.9924	0
19	17.1111	-3.3639	0	39.4454	-23.1023	0	-9.2816	32.8914	0
20	17.1370	-3.3480	0	39.5138	-23.1389	0	-9.2995	32.9210	0
21	17.1717	-3.3276	0	39.5062	-23.1289	0	-9.2624	32.9295	0
22	17.1411	-3.3621	0	39.4935	-23.0755	0	-9.2469	32.8873	0
23	17.2270	-3.3378	0	39.5007	-23.0764	0	-9.3231	32.9376	0
24	17.2136	-3.3554	0	39.4288	-23.0566	0	-9.3379	32.9809	0
25	17.2547	-3.3378	0	39.4488	-23.1076	0	-9.3154	32.9511	0
26	17.2115	-3.4415	0	39.4625	-23.1542	0	-9.3209	32.9727	0
27	17.2250	-3.4303	0	39.4866	-23.1410	0	-9.3262	32.9397	0
28	17.2522	-3.3892	0	39.4783	-23.0847	0	-9.3548	32.9708	0
29	17.1925	-3.3825	0	39.5150	-23.0668	0	-9.3148	33.0118	0
30	17.2027	-3.4112	0	39.5344	-23.0429	0	-9.3495	33.0699	0
31	17.1808	-3.3594	0	39.5364	-23.0748	0	-9.3226	32.9975	0
32	17.1404	-3.4207	0	39.5417	-23.0486	0	-9.2808	32.9642	0
33	17.1804	-3.3932	0	39.4994	-23.0880	0	-9.3175	32.9430	0
34	17.1580	-3.3481	0	39.4600	-23.1626	0	-9.3455	32.9390	0
35	17.1705	-3.3736	0	39.4596	-23.0910	0	-9.3221	33.0200	0
36	17.2038	-3.3715	0	39.5284	-23.0697	0	-9.3044	33.0197	0
37	17.2087	-3.3890	0	39.5720	-23.0569	0	-9.2096	32.9734	0
38	17.2622	-3.3727	0	39.4852	-23.1397	0	-9.2226	33.0196	0
39	17.2016	-3.3578	0	39.4799	-23.1468	0	-9.1872	33.0305	0
40	17.1964	-3.3740	0	39.5220	-23.1043	0	-9.2186	32.9979	0
41	17.1769	-3.3601	0	39.5334	-23.1094	0	-9.2115	32.9829	0
42	17.1853	-3.3462	0	39.4971	-23.1179	0	-9.2248	32.9838	0
43	17.1787	-3.3867	0	39.4719	-23.2345	0	-9.3164	32.9801	0
44	17.1803	-3.3611	0	39.4648	-23.1651	0	-9.3349	32.9020	0
45	17.1206	-3.3702	0	39.4649	-23.1397	0	-9.3520	32.8856	0
46	17.1437	-3.4012	0	39.4430	-23.1721	0	-9.3485	32.9125	0
47	17.1772	-3.3980	0	39.4512	-23.1979	0	-9.3154	32.9286	0
48	17.1886	-3.3307	0	39.4508	-23.2143	0	-9.3623	32.9652	0
49	17.2116	-3.3312	0	39.5067	-23.2516	0	-9.3681	32.9355	0
50	17.1587	-3.2802	0	39.4553	-23.2856	0	-9.3296	32.8918	0
51	17.2435	-3.3456	0	39.4702	-23.2151	0	-9.2799	32.9503	0
52	17.2065	-3.3708	0	39.4954	-23.1748	0	-9.2971	32.9327	0
53	17.2262	-3.3212	0	39.4834	-23.2101	0	-9.3236	32.9175	0
54	17.2077	-3.3149	0	39.5179	-23.2085	0	-9.3868	32.8585	0
55	17.2311	-3.3250	0	39.5502	-23.1657	0	-9.3830	32.8685	0
56	17.3062	-3.2468	0	39.5289	-23.1447	0	-9.3662	32.8786	0
57	17.3036	-3.2578	0	39.5454	-23.1607	0	-9.3239	32.9347	0
58	17.3175	-3.1866	0	39.5510	-23.1578	0	-9.3662	32.8716	0
59	17.2556	-3.1734	0	39.5395	-23.0754	0	-9.3555	32.8998	0
60	17.2601	-3.1777	0	39.5715	-23.1099	0	-9.3559	32.8904	0
61	17.2586	-3.2078	0	39.5240	-23.1317	0	-9.3479	32.8750	0
62	17.2022	-3.2687	0	39.4579	-23.1507	0	-9.2826	32.9301	0
63	17.1650	-3.2568	0	39.4519	-23.1697	0	-9.2481	32.9001	0
64	17.1644	-3.2952	0	39.5046	-23.2041	0	-9.2326	32.9220	0
65	17.2138	-3.2487	0	39.4708	-23.1896	0	-9.2214	32.8971	0
66	17.1996	-3.2094	0	39.4716	-23.2073	0	-9.2255	32.9114	0
67	17.2048	-3.2564	0	39.4960	-23.2050	0	-9.2561	32.8637	0
68	17.2386	-3.2266	0	39.4212	-23.1850	0	-9.2810	32.8544	0
69	17.2077	-3.2311	0	39.4609	-23.2036	0	-9.3039	32.9012	0
70	17.2227	-3.2506	0	39.4927	-23.1596	0	-9.2695	32.8875	0
71	17.2791	-3.2584	0	39.5252	-23.0999	0	-9.2257	32.8656	0
72	17.2915	-3.2230	0	39.5434	-23.0981	0	-9.2178	32.8130	0
73	17.2618	-3.2667	0	39.5129	-23.0987	0	-9.2657	32.8666	0
74	17.2341	-3.3099	0	39.5683	-23.0974	0	-9.2616	32.8890	0
75	17.3085	-3.2583	0	39.5661	-23.0414	0	-9.3089	32.8700	0
76	17.3045	-3.2395	0	39.5618	-23.0745	0	-9.3068	32.9383	0
77	17.2973	-3.1739	0	39.5451	-23.0630	0	-9.2616	32.9448	0
78	17.2600	-3.1766	0	39.5543	-23.0742	0	-9.2744	32.9269	0
79	17.2665	-3.1990	0	39.5413	-23.0621	0	-9.2167	32.8817	0
80	17.2140	-3.2675	0	39.4980	-23.0758	0	-9.2308	32.9155	0
81	17.2673	-3.3152	0	39.4973	-23.0778	0	-9.2228	32.9397	0
82	17.2202	-3.2655	0	39.5159	-23.0190	0	-9.1880	32.9531	0
83	17.2455	-3.3276	0	39.6121	-22.9644	0	-9.2580	32.9962	0
84	17.1974	-3.2955	0	39.5665	-23.0102	0	-9.2388	32.9110	0
85	17.1874	-3.2896	0	39.5744	-22.9731	0	-9.2054	32.9126	0
86	17.1942	-3.2818	0	39.5346	-23.0082	0	-9.1782	32.9537	0
87	17.1640	-3.3425	0	39.5342	-23.0378	0	-9.2021	32.9249	0
88	17.1840	-3.3940	0	39.5606	-23.0327	0	-9.1892	32.9121	0
89	17.1546	-3.3634	0	39.5530	-23.1375	0	-9.2332	32.9231	0
90	17.1926	-3.3128	0	39.4802	-23.1609	0	-9.3219	32.9006	0
91	17.1671	-3.2724	0	39.4735	-23.1293	0	-9.2930	32.9361	0
92	17.2006	-3.3088	0	39.4185	-23.1151	0	-9.2575	32.9578	0
93	17.1417	-3.3212	0	39.4258	-23.1042	0	-9.2945	32.9588	0
94	17.1770	-3.3522	0	39.3777	-23.1640	0	-9.2395	32.8947	0
95	17.1656	-3.3636	0	39.4849	-23.1128	0	-9.1988	32.8935	0
96	17.1677	-3.2990	0	39.5245	-23.1775	0	-9.1970	32.9122	0
97	17.1639	-3.3469	0	39.4888	-23.1858	0	-9.1740	32.8990	0
98	17.1884	-3.3502	0	39.4721	-23.1999	0	-9.2752	32.9111	0
99	17.1691	-3.3885	0	39.4311	-23.1720	0	-9.2240	32.8840	0
100	17.1923	-3.3390	0	39.4515	-23.2016	0	-9.2213	32.9211	0
101	17.1718	-3.3869	0	39.5598	-23.2197	0	-9.2695	32.8943	0
102	17.1620	-3.3483	0	39.5768	-23.1673	0	-9.2631	32.9663	0
103	17.1247	-3.3812	0	39.5037	-23.1390	0	-9.3057	33.0128	0
104	17.0990	-3.3857	0	39.4913	-23.1105	0	-9.2934	33.0325	0
105	17.0917	-3.3764	0	39.5592	-23.1111	0	-9.2908	33.0507	0
106	17.1386	-3.4225	0	39.5327	-23.0968	0	-9.2548	33.0215	0
107	17.1723	-3.3827	0	39.5093	-23.0603	0	-9.2348	33.0180	0
