Frame	X5	Y5	Flag5	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
1	-2.1073	30.1035	0	-35.1990	15.1197	0	-37.8956	-19.1284	0	9.1303	8.7264	0	33.1919	7.7305	0
2	-2.0139	30.0359	0	-35.1604	14.9388	0	-37.8563	-19.1031	0	9.2580	8.6501	0	32.7313	7.6922	0
3	-2.0409	30.1550	0	-35.0555	15.1788	0	-37.8731	-19.3252	0	9.1722	8.7275	0	32.5977	7.5509	0
4	-2.0645	30.1808	0	-34.9311	15.2426	0	-37.6935	-19.2363	0	9.2199	8.7500	0	32.8721	7.7092	0
5	-1.9607	30.0933	0	-34.8945	15.4342	0	-37.7178	-19.4913	0	9.2679	8.7508	0	32.7852	7.6026	0
6	-1.9004	29.9055	0	-34.8957	15.1376	0	-37.4818	-19.4108	0	9.1694	8.5279	0	32.8442	7.7228	0
7	-2.1252	30.0362	0	-35.0010	15.0795	0	-37.5759	-19.4273	0	9.0356	8.3540	0	32.5300	7.5586	0
8	-1.9838	30.3001	0	-34.4703	14.7965	0	-37.1691	-19.2942	0	9.4062	8.3990	0	32.3703	7.5336	0
9	-1.7205	30.2476	0	-34.2101	15.0221	0	-37.1218	-19.3747	0	9.3641	8.6238	0	32.4157	7.7081	0
10	-1.9457	30.1248	0	-34.6592	15.5149	0	-36.9757	-19.2548	0	8.8970	8.7178	0	32.6261	7.8036	0
11	-2.1316	30.3221	0	-34.5343	15.5520	0	-36.6413	-19.0330	0	8.7592	8.6219	0	32.4420	7.8804	0
12	-2.1316	30.3343	0	-34.4151	15.5086	0	-36.4952	-19.1182	0	8.8279	8.7764	0	32.4184	7.8708	0
13	-1.9389	30.3501	0	-34.2174	15.2467	0	-36.7224	-18.8747	0	8.5796	8.8104	0	32.2917	8.0208	0
14	-1.7651	30.4856	0	-34.6590	15.0893	0	-36.5644	-19.1975	0	8.6788	9.0451	0	32.1541	8.0849	0
15	-1.7605	30.4236	0	-34.5706	14.8909	0	-36.6913	-19.1859	0	8.6268	9.0785	0	32.1795	7.8155	0
16	-1.8140	30.4132	0	-34.7065	14.9185	0	-36.6142	-18.9831	0	8.3730	9.0946	0	32.2520	7.8784	0
17	-1.7930	30.5178	0	-34.8210	14.8655	0	-36.2059	-19.3994	0	8.3842	9.2213	0	32.3739	7.6996	0
18	-2.2148	30.4855	0	-34.7636	14.8118	0	-35.9293	-19.7020	0	8.5642	9.3271	0	32.4046	7.6674	0
19	-2.3972	30.0649	0	-34.7480	14.8288	0	-35.6040	-20.1400	0	8.5259	9.4885	0	32.5366	7.4216	0
20	-2.2508	29.7494	0	-35.1040	14.5458	0	-35.9057	-20.6699	0	8.5144	9.2243	0	32.4778	7.5660	0
21	-2.3179	30.0337	0	-34.9068	14.5632	0	-36.0957	-20.6020	0	8.5788	9.4812	0	32.2330	7.4632	0
22	-2.5032	30.0296	0	-34.7592	14.7873	0	-36.0704	-20.5807	0	8.2629	9.5558	0	32.2303	7.4594	0
23	-2.4195	30.4388	0	-34.4828	14.4922	0	-35.9845	-20.5323	0	8.1521	9.5838	0	32.0031	7.6969	0
24	-2.1549	30.7416	0	-34.7246	14.2294	0	-36.0845	-20.7313	0	8.2670	9.8506	0	32.1941	7.9168	0
25	-2.3676	30.5946	0	-34.4086	14.3728	0	-35.6592	-20.6666	0	8.2222	10.1212	0	31.7208	7.7395	0
26	-2.8104	30.2443	0	-34.3347	14.3408	0	-35.6972	-20.6289	0	8.0530	10.0948	0	32.3019	8.1280	0
27	-2.6243	30.4492	0	-34.3950	14.3367	0	-35.7280	-20.5911	0	8.2150	10.3600	0	32.3110	8.1396	0
28	-2.6486	30.3933	0	-34.3036	14.1662	0	-35.7128	-20.3518	0	8.2236	10.4783	0	32.3976	7.6662	0
29	-2.5054	30.2777	0	-34.4383	14.1996	0	-35.7132	-20.2505	0	8.0673	10.3488	0	32.4057	7.5914	0
30	-2.5934	30.2373	0	-34.3748	14.2103	0	-35.7775	-20.5555	0	7.8858	10.3184	0	32.6118	7.7395	0
31	-2.4528	30.6838	0	-34.4870	14.3245	0	-35.7296	-20.3865	0	7.6371	10.3678	0	32.5577	7.5290	0
32	-2.7041	30.5261	0	-34.3789	14.3936	0	-35.8386	-20.5309	0	7.8302	10.1054	0	32.6192	7.6214	0
33	-2.4225	30.7459	0	-34.4310	14.6405	0	-35.6933	-20.2720	0	7.8494	9.9233	0	32.6148	7.4309	0
34	-2.4352	30.8565	0	-34.0151	14.4161	0	-35.6445	-20.2450	0	8.2040	10.0296	0	32.8584	7.3507	0
35	-2.5613	30.7619	0	-34.0168	14.3847	0	-35.7481	-20.1179	0	8.1775	9.6971	0	32.7934	7.6311	0
36	-2.3957	31.0015	0	-34.0449	14.3759	0	-35.9653	-20.3550	0	7.9305	9.5075	0	32.7762	7.5196	0
